Name, Team, Year, Games Started, IP, ERA, EWA, Record, Earned Record, Support/Luck
Bobby Shantz , Astros , 1962 , 3 , 20.67 , 1.31 , 0.65 , 1 - 1 , 1.96 - 0.3 , -1.66
Hal Woodeshick , Astros , 1962 , 26 , 131.69 , 4.37 , 0.27 , 5 - 15 , 7.0 - 9.92 , -7.08
Dean Stone , Astros , 1962 , 7 , 38.66 , 3.96 , 0.34 , 2 - 2 , 2.37 - 2.6 , 0.23
Turk Farrell , Astros , 1962 , 29 , 214.66 , 3.14 , 0.44 , 8 - 17 , 12.73 - 9.43 , -12.31
Ken Johnson , Astros , 1962 , 31 , 190.66 , 3.92 , 0.37 , 7 - 16 , 11.43 - 10.95 , -9.48
Dave Giusti , Astros , 1962 , 5 , 26.66 , 6.75 , 0.17 , 0 - 3 , 0.85 - 2.56 , -1.29
Jim Golden , Astros , 1962 , 18 , 103.31 , 4.7 , 0.31 , 5 - 10 , 5.58 - 7.66 , -2.92
Bob Bruce , Astros , 1962 , 27 , 161.65 , 4.4 , 0.33 , 9 - 9 , 8.98 - 10.63 , 1.65
George Witt , Astros , 1962 , 2 , 6.66 , 8.11 , 0.0 , 0 - 2 , 0.0 - 0.97 , -1.03
Russ Kemmerer , Astros , 1962 , 2 , 8.67 , 5.19 , 0.2 , 0 - 2 , 0.4 - 0.75 , -1.65
George Brunet , Astros , 1962 , 11 , 46.33 , 4.66 , 0.3 , 2 - 4 , 3.33 - 4.35 , -0.98
Dick Drott , Astros , 1962 , 1 , 5.33 , 5.07 , 0.25 , 1 - 0 , 0.25 - 0.36 , 1.11
Turk Farrell , Astros , 1963 , 26 , 191.0 , 3.02 , 0.47 , 11 - 12 , 12.28 - 7.51 , -5.77
Bob Bruce , Astros , 1963 , 25 , 162.33 , 3.55 , 0.38 , 5 - 9 , 9.44 - 8.28 , -5.16
Ken Johnson , Astros , 1963 , 32 , 218.99 , 2.67 , 0.48 , 10 - 16 , 15.39 - 8.57 , -12.81
George Brunet , Astros , 1963 , 2 , 5.0 , 10.8 , 0.0 , 0 - 2 , 0.0 - 1.07 , -0.93
Don Nottebart , Astros , 1963 , 27 , 186.67 , 3.04 , 0.42 , 11 - 8 , 11.39 - 8.53 , 0.14
Conrad Cardinal , Astros , 1963 , 1 , 0.67 , 40.3 , 0.0 , 0 - 1 , 0.0 - 0.71 , -0.29
Jim Golden , Astros , 1963 , 1 , 2.33 , 7.73 , 0.0 , 0 - 1 , 0.0 - 0.43 , -0.56
Hal Brown , Astros , 1963 , 20 , 124.0 , 3.41 , 0.44 , 4 - 11 , 8.79 - 6.12 , -9.67
Dick Drott , Astros , 1963 , 14 , 70.0 , 4.76 , 0.24 , 2 - 10 , 3.31 - 5.83 , -5.48
Jim Umbricht , Astros , 1963 , 3 , 15.0 , 3.6 , 0.35 , 0 - 2 , 1.06 - 0.86 , -2.2
Chris Zachary , Astros , 1963 , 7 , 30.66 , 4.11 , 0.23 , 2 - 2 , 1.6 - 2.43 , 0.83
Don McMahon , Astros , 1963 , 2 , 13.67 , 5.27 , 0.26 , 0 - 2 , 0.51 - 0.97 , -1.54
Larry Yellen , Astros , 1963 , 1 , 5.0 , 3.6 , 0.35 , 0 - 0 , 0.35 - 0.24 , -0.12
Jay Dahl , Astros , 1963 , 1 , 2.67 , 16.85 , 0.0 , 0 - 1 , 0.0 - 0.74 , -0.26
Ken Johnson , Astros , 1964 , 35 , 218.0 , 3.63 , 0.4 , 11 - 16 , 13.93 - 11.81 , -7.11
Jim Owens , Astros , 1964 , 11 , 58.0 , 4.5 , 0.26 , 2 - 5 , 2.82 - 4.07 , -1.75
Hal Brown , Astros , 1964 , 21 , 124.0 , 3.99 , 0.3 , 2 - 15 , 6.22 - 7.45 , -11.77
Don Nottebart , Astros , 1964 , 24 , 152.66 , 3.71 , 0.36 , 5 - 11 , 8.56 - 8.01 , -6.55
Turk Farrell , Astros , 1964 , 27 , 192.32 , 3.14 , 0.46 , 11 - 9 , 12.39 - 8.43 , -1.96
Bob Bruce , Astros , 1964 , 29 , 192.34 , 2.85 , 0.43 , 14 - 9 , 12.49 - 8.49 , 1.0
Larry Yellen , Astros , 1964 , 1 , 3.67 , 4.9 , 0.0 , 0 - 0 , 0.0 - 0.4 , 0.4
Don Larsen , Astros , 1964 , 10 , 65.0 , 2.35 , 0.47 , 3 - 5 , 4.71 - 2.26 , -4.45
Larry Dierker , Astros , 1964 , 1 , 2.67 , 6.74 , 0.0 , 0 - 1 , 0.0 - 0.46 , -0.54
Chris Zachary , Astros , 1964 , 1 , 4.0 , 9.0 , 0.0 , 0 - 1 , 0.0 - 0.6 , -0.4
Danny Coombs , Astros , 1964 , 1 , 5.0 , 0 , 0.59 , 1 - 0 , 0.59 - 0.05 , 0.46
Don Bradey , Astros , 1964 , 1 , 0.67 , 67.16 , 0.0 , 0 - 1 , 0.0 - 0.77 , -0.23
Bob Bruce , Astros , 1965 , 34 , 229.66 , 3.68 , 0.4 , 9 - 18 , 13.48 - 11.92 , -10.56
Turk Farrell , Astros , 1965 , 29 , 203.34 , 3.45 , 0.4 , 10 - 11 , 11.63 - 9.97 , -2.65
Ken Johnson , Astros , 1965 , 8 , 51.66 , 4.18 , 0.34 , 3 - 2 , 2.73 - 3.07 , 1.34
Don Nottebart , Astros , 1965 , 25 , 145.34 , 5.02 , 0.29 , 4 - 14 , 7.15 - 10.44 , -6.7
Don Larsen , Astros , 1965 , 1 , 5.33 , 5.07 , 0.25 , 0 - 0 , 0.25 - 0.36 , 0.11
Dave Giusti , Astros , 1965 , 13 , 75.99 , 4.97 , 0.33 , 4 - 4 , 4.34 - 5.42 , 1.08
Danny Coombs , Astros , 1965 , 3 , 8.0 , 9.0 , 0.06 , 0 - 2 , 0.19 - 1.52 , -0.67
Larry Dierker , Astros , 1965 , 19 , 118.33 , 3.5 , 0.37 , 6 - 8 , 7.1 - 6.4 , -2.7
Claude Raymond , Astros , 1965 , 7 , 50.0 , 2.52 , 0.53 , 4 - 2 , 3.69 - 1.61 , -0.08
Mike Cuellar , Astros , 1965 , 4 , 22.99 , 4.7 , 0.32 , 0 - 3 , 1.28 - 1.63 , -2.66
Ron Taylor , Astros , 1965 , 1 , 5.33 , 11.82 , 0.05 , 0 - 1 , 0.05 - 0.78 , -0.27
Robin Roberts , Astros , 1965 , 10 , 76.0 , 1.89 , 0.6 , 5 - 2 , 6.04 - 1.79 , -1.25
Jack Lamabe , Astros , 1965 , 2 , 10.67 , 5.06 , 0.13 , 0 - 2 , 0.25 - 0.9 , -1.35
Chris Zachary , Astros , 1965 , 2 , 8.67 , 4.15 , 0.26 , 0 - 2 , 0.51 - 0.63 , -1.89
Jim Ray , Astros , 1965 , 2 , 6.67 , 12.14 , 0.14 , 0 - 2 , 0.29 - 1.22 , -1.07
Don Arlich , Astros , 1965 , 1 , 6.0 , 3.0 , 0.4 , 0 - 0 , 0.4 - 0.23 , -0.16
Carroll Sembera , Astros , 1965 , 1 , 5.33 , 5.07 , 0.25 , 0 - 1 , 0.25 - 0.36 , -0.89
Robin Roberts , Astros , 1966 , 12 , 62.67 , 3.88 , 0.32 , 3 - 5 , 3.82 - 4.12 , -1.7
Larry Dierker , Astros , 1966 , 28 , 184.99 , 3.16 , 0.45 , 10 - 8 , 12.72 - 8.22 , -2.49
Bob Bruce , Astros , 1966 , 23 , 127.0 , 5.03 , 0.24 , 3 - 12 , 5.6 - 9.3 , -5.3
Turk Farrell , Astros , 1966 , 21 , 126.33 , 4.7 , 0.34 , 4 - 10 , 7.07 - 8.61 , -4.47
Dave Giusti , Astros , 1966 , 33 , 207.99 , 4.24 , 0.38 , 15 - 14 , 12.67 - 12.78 , 1.11
Barry Latman , Astros , 1966 , 9 , 53.33 , 3.38 , 0.32 , 1 - 5 , 2.9 - 2.63 , -4.27
Mike Cuellar , Astros , 1966 , 28 , 205.68 , 2.32 , 0.51 , 9 - 9 , 14.28 - 6.36 , -7.92
Ron Taylor , Astros , 1966 , 1 , 5.0 , 1.8 , 0.47 , 0 - 0 , 0.47 - 0.13 , -0.35
Chris Zachary , Astros , 1966 , 8 , 50.67 , 2.84 , 0.38 , 3 - 4 , 3.02 - 2.07 , -1.95
Mike Cuellar , Astros , 1967 , 32 , 241.33 , 2.95 , 0.5 , 15 - 11 , 15.96 - 9.22 , -2.74
Larry Dierker , Astros , 1967 , 15 , 99.0 , 3.36 , 0.44 , 6 - 5 , 6.67 - 4.47 , -1.2
Dave Giusti , Astros , 1967 , 33 , 209.99 , 4.24 , 0.38 , 11 - 14 , 12.56 - 12.3 , -3.26
Don Wilson , Astros , 1967 , 28 , 180.34 , 2.69 , 0.44 , 10 - 7 , 12.42 - 7.21 , -2.21
Chris Zachary , Astros , 1967 , 7 , 33.0 , 5.45 , 0.18 , 1 - 6 , 1.23 - 3.08 , -3.16
Bo Belinsky , Astros , 1967 , 18 , 99.68 , 3.88 , 0.3 , 3 - 8 , 5.46 - 6.12 , -4.34
Wade Blasingame , Astros , 1967 , 14 , 76.66 , 5.99 , 0.2 , 3 - 7 , 2.77 - 6.65 , -0.11
Barry Latman , Astros , 1967 , 1 , 3.0 , 12.0 , 0.0 , 0 - 1 , 0.0 - 0.62 , -0.38
Bruce Von Hoff , Astros , 1967 , 10 , 50.33 , 4.83 , 0.29 , 0 - 3 , 2.86 - 4.28 , -1.57
Danny Coombs , Astros , 1967 , 2 , 11.67 , 3.86 , 0.36 , 0 - 0 , 0.71 - 0.55 , -0.16
Howie Reed , Astros , 1967 , 2 , 13.33 , 3.38 , 0.39 , 0 - 1 , 0.78 - 0.61 , -1.17
Larry Dierker , Astros , 1968 , 32 , 233.65 , 3.31 , 0.46 , 12 - 15 , 14.86 - 10.13 , -7.73
Don Wilson , Astros , 1968 , 30 , 204.99 , 2.94 , 0.5 , 13 - 14 , 14.85 - 8.64 , -7.21
Denny Lemaster , Astros , 1968 , 32 , 222.02 , 2.8 , 0.48 , 10 - 15 , 15.34 - 8.56 , -11.77
Dave Giusti , Astros , 1968 , 34 , 246.33 , 3.0 , 0.48 , 11 - 14 , 16.39 - 10.33 , -9.06
Jim Ray , Astros , 1968 , 2 , 12.0 , 6.0 , 0.4 , 1 - 1 , 0.8 - 0.9 , 0.11
Mike Cuellar , Astros , 1968 , 23 , 157.34 , 2.69 , 0.5 , 8 - 9 , 11.53 - 6.19 , -6.33
Wade Blasingame , Astros , 1968 , 2 , 8.33 , 6.48 , 0.14 , 0 - 0 , 0.29 - 0.91 , 0.62
John Buzhardt , Astros , 1968 , 4 , 26.0 , 3.12 , 0.41 , 1 - 1 , 1.64 - 1.14 , -0.5
Danny Coombs , Astros , 1968 , 1 , 2.33 , 11.59 , 0.0 , 0 - 1 , 0.0 - 0.56 , -0.44
