Name, Team, Year, Games Started, IP, ERA, EWA, Record, Earned Record, Support/Luck
Tom Morgan , Athletics , 1957 , 13 , 88.0 , 4.6 , 0.3 , 3 - 5 , 3.86 - 5.93 , 0.07
Ned Garver , Athletics , 1957 , 23 , 144.0 , 3.81 , 0.41 , 6 - 13 , 9.35 - 7.57 , -8.78
Alex Kellner , Athletics , 1957 , 21 , 120.67 , 4.7 , 0.3 , 6 - 5 , 6.34 - 8.1 , 2.76
Gene Host , Athletics , 1957 , 2 , 3.67 , 14.71 , 0.0 , 0 - 1 , 0.0 - 1.13 , 0.13
Mickey McDermott , Athletics , 1957 , 4 , 15.01 , 9.59 , 0.02 , 0 - 2 , 0.09 - 2.52 , 0.43
Rip Coleman , Athletics , 1957 , 6 , 19.99 , 8.1 , 0.17 , 0 - 4 , 1.03 - 2.74 , -2.29
Wally Burnette , Athletics , 1957 , 9 , 41.66 , 7.35 , 0.18 , 2 - 6 , 1.59 - 4.75 , -0.84
Ryne Duren , Athletics , 1957 , 6 , 32.66 , 4.13 , 0.33 , 0 - 3 , 1.99 - 1.96 , -3.04
Arnie Portocarrero , Athletics , 1957 , 17 , 80.32 , 5.38 , 0.22 , 2 - 9 , 3.71 - 7.18 , -3.53
Jack Urban , Athletics , 1957 , 13 , 90.33 , 3.79 , 0.36 , 6 - 4 , 4.64 - 4.77 , 2.12
Virgil Trucks , Athletics , 1957 , 7 , 45.99 , 2.94 , 0.43 , 1 - 4 , 3.03 - 2.01 , -4.02
Ralph Terry , Athletics , 1957 , 19 , 127.0 , 3.26 , 0.38 , 4 - 10 , 7.16 - 6.48 , -6.68
Tom Gorman , Athletics , 1957 , 12 , 70.99 , 4.06 , 0.36 , 4 - 4 , 4.28 - 4.26 , -0.01
George Brunet , Athletics , 1957 , 2 , 8.67 , 6.23 , 0.17 , 0 - 1 , 0.34 - 0.95 , -0.39
Ned Garver , Athletics , 1958 , 28 , 197.99 , 4.09 , 0.41 , 12 - 11 , 11.49 - 10.84 , 0.35
Ralph Terry , Athletics , 1958 , 33 , 202.68 , 4.13 , 0.32 , 11 - 12 , 10.71 - 12.66 , 0.95
Duke Maas , Athletics , 1958 , 7 , 46.34 , 4.08 , 0.41 , 3 - 4 , 2.9 - 2.69 , -1.21
Alex Kellner , Athletics , 1958 , 6 , 31.66 , 5.97 , 0.19 , 0 - 2 , 1.13 - 2.88 , -0.25
Jack Urban , Athletics , 1958 , 24 , 123.03 , 6.14 , 0.24 , 8 - 11 , 5.76 - 11.41 , 2.65
Wally Burnette , Athletics , 1958 , 4 , 17.66 , 5.1 , 0.19 , 1 - 1 , 0.76 - 1.48 , 0.72
Ray Herbert , Athletics , 1958 , 16 , 110.99 , 3.32 , 0.4 , 7 - 7 , 6.47 - 4.75 , -1.72
Murry Dickson , Athletics , 1958 , 9 , 54.67 , 3.62 , 0.36 , 3 - 3 , 3.23 - 2.92 , -0.31
Bud Daley , Athletics , 1958 , 5 , 34.33 , 3.93 , 0.38 , 2 - 2 , 1.92 - 2.04 , 0.12
Tom Gorman , Athletics , 1958 , 1 , 4.33 , 8.31 , 0.0 , 0 - 1 , 0.0 - 0.6 , -0.4
Dick Tomanek , Athletics , 1958 , 2 , 13.33 , 4.05 , 0.45 , 1 - 1 , 0.89 - 0.79 , -0.11
Bob Grim , Athletics , 1958 , 14 , 89.0 , 3.34 , 0.42 , 7 - 5 , 5.84 - 4.17 , 0.33
Bob Davis , Athletics , 1958 , 4 , 19.67 , 8.24 , 0.07 , 0 - 4 , 0.29 - 2.34 , -1.95
Walt Craddock , Athletics , 1958 , 1 , 2.0 , 18.0 , 0.0 , 0 - 1 , 0.0 - 0.59 , -0.41
Howie Reed , Athletics , 1958 , 1 , 9.0 , 1.0 , 0.89 , 1 - 0 , 0.89 - 0.05 , 0.16
John Tsitouris , Athletics , 1958 , 1 , 3.0 , 3.0 , 0.0 , 0 - 0 , 0.0 - 0.22 , 0.22
Bob Grim , Athletics , 1959 , 9 , 60.33 , 3.28 , 0.48 , 4 - 4 , 4.31 - 2.98 , -1.34
Ned Garver , Athletics , 1959 , 30 , 200.34 , 3.77 , 0.38 , 10 - 13 , 11.53 - 10.34 , -4.19
Ralph Terry , Athletics , 1959 , 7 , 43.0 , 5.02 , 0.36 , 2 - 4 , 2.5 - 2.99 , -1.51
Rip Coleman , Athletics , 1959 , 11 , 51.99 , 5.02 , 0.22 , 2 - 6 , 2.47 - 4.66 , -1.81
Ray Herbert , Athletics , 1959 , 26 , 165.0 , 4.91 , 0.35 , 10 - 10 , 9.18 - 11.03 , 1.85
John Tsitouris , Athletics , 1959 , 10 , 52.99 , 4.59 , 0.26 , 2 - 3 , 2.64 - 3.77 , 0.13
Bud Daley , Athletics , 1959 , 29 , 194.33 , 3.33 , 0.5 , 15 - 11 , 14.62 - 8.73 , -1.89
Johnny Kucks , Athletics , 1959 , 23 , 135.32 , 4.19 , 0.38 , 7 - 11 , 8.63 - 8.82 , -3.81
Tom Sturdivant , Athletics , 1959 , 3 , 12.34 , 8.02 , 0.0 , 0 - 2 , 0.0 - 1.72 , -0.28
Howie Reed , Athletics , 1959 , 3 , 11.33 , 7.15 , 0.21 , 0 - 2 , 0.64 - 1.26 , -1.38
Al Grunwald , Athletics , 1959 , 1 , 3.67 , 17.17 , 0.0 , 0 - 1 , 0.0 - 0.83 , -0.17
Ken Johnson , Athletics , 1959 , 2 , 11.0 , 4.09 , 0.23 , 1 - 1 , 0.46 - 0.73 , 0.27
Mark Freeman , Athletics , 1959 , 1 , 7.0 , 2.57 , 0.46 , 0 - 0 , 0.46 - 0.23 , -0.22
Bud Daley , Athletics , 1960 , 35 , 224.99 , 4.64 , 0.38 , 15 - 15 , 13.3 - 14.34 , 1.04
Ned Garver , Athletics , 1960 , 15 , 87.33 , 3.4 , 0.4 , 4 - 9 , 5.98 - 5.09 , -5.89
Ray Herbert , Athletics , 1960 , 33 , 248.0 , 3.27 , 0.49 , 14 - 14 , 16.26 - 10.33 , -5.93
Dick Hall , Athletics , 1960 , 28 , 180.32 , 3.94 , 0.37 , 8 - 12 , 10.27 - 10.02 , -4.26
Don Larsen , Athletics , 1960 , 15 , 69.33 , 5.58 , 0.22 , 1 - 9 , 3.3 - 6.29 , -5.02
George Brunet , Athletics , 1960 , 2 , 7.33 , 4.91 , 0.23 , 0 - 2 , 0.46 - 0.76 , -1.7
Johnny Kucks , Athletics , 1960 , 17 , 87.99 , 5.83 , 0.18 , 2 - 10 , 2.98 - 7.94 , -3.05
Ken Johnson , Athletics , 1960 , 6 , 37.33 , 4.58 , 0.32 , 2 - 4 , 1.94 - 2.38 , -1.57
