Name, Team, Year, Games Started, IP, ERA, EWA, Record, Earned Record, Support/Luck
Warren Spahn , Braves , 1957 , 35 , 267.0 , 2.7 , 0.56 , 20 - 11 , 19.77 - 8.9 , -1.87
Lew Burdette , Braves , 1957 , 33 , 245.32 , 3.71 , 0.42 , 15 - 8 , 13.99 - 11.93 , 4.94
Ray Crone , Braves , 1957 , 5 , 34.67 , 4.15 , 0.42 , 3 - 0 , 2.1 - 1.82 , 2.73
Bob Buhl , Braves , 1957 , 31 , 209.66 , 2.79 , 0.51 , 18 - 7 , 15.91 - 7.87 , 2.95
Taylor Phillips , Braves , 1957 , 6 , 27.0 , 5.33 , 0.09 , 1 - 1 , 0.53 - 2.79 , 2.26
Gene Conley , Braves , 1957 , 18 , 106.35 , 3.39 , 0.4 , 5 - 8 , 7.13 - 5.6 , -4.53
Juan Pizarro , Braves , 1957 , 10 , 61.66 , 4.67 , 0.35 , 2 - 5 , 3.49 - 4.21 , -2.27
Red Murff , Braves , 1957 , 1 , 4.0 , 9.0 , 0.0 , 0 - 0 , 0.0 - 0.6 , 0.6
Bob Trowbridge , Braves , 1957 , 16 , 96.32 , 4.11 , 0.34 , 5 - 5 , 5.52 - 5.94 , 0.42
Warren Spahn , Braves , 1958 , 36 , 288.34 , 3.09 , 0.58 , 22 - 11 , 21.05 - 10.04 , -0.01
Lew Burdette , Braves , 1958 , 36 , 265.0 , 2.95 , 0.52 , 18 - 10 , 18.81 - 9.65 , -1.16
Bob Buhl , Braves , 1958 , 10 , 70.0 , 3.6 , 0.45 , 5 - 2 , 4.52 - 3.32 , 1.81
Bob Trowbridge , Braves , 1958 , 4 , 15.99 , 5.07 , 0.19 , 0 - 1 , 0.76 - 1.58 , -0.18
Bob Rush , Braves , 1958 , 20 , 124.0 , 3.85 , 0.39 , 7 - 5 , 7.79 - 6.7 , 0.91
Gene Conley , Braves , 1958 , 7 , 32.99 , 6.82 , 0.12 , 0 - 3 , 0.87 - 3.77 , -0.1
Joey Jay , Braves , 1958 , 12 , 87.0 , 1.66 , 0.64 , 7 - 5 , 7.64 - 2.03 , -3.6
Carl Willey , Braves , 1958 , 19 , 134.99 , 2.67 , 0.54 , 9 - 6 , 10.28 - 5.34 , -1.94
Juan Pizarro , Braves , 1958 , 10 , 79.67 , 2.71 , 0.64 , 5 - 3 , 6.44 - 2.3 , -2.13
Warren Spahn , Braves , 1959 , 36 , 280.67 , 2.92 , 0.59 , 21 - 12 , 21.1 - 10.23 , -1.87
Lew Burdette , Braves , 1959 , 39 , 287.99 , 4.09 , 0.46 , 21 - 15 , 17.9 - 14.62 , 2.72
Bob Rush , Braves , 1959 , 9 , 51.0 , 3.18 , 0.31 , 2 - 4 , 2.75 - 2.71 , -2.04
Bob Buhl , Braves , 1959 , 25 , 187.0 , 2.84 , 0.54 , 15 - 8 , 13.41 - 7.21 , 0.79
Juan Pizarro , Braves , 1959 , 14 , 91.34 , 3.45 , 0.44 , 6 - 2 , 6.13 - 4.6 , 2.47
Joey Jay , Braves , 1959 , 19 , 108.34 , 4.24 , 0.35 , 5 - 9 , 6.71 - 7.08 , -3.63
Carl Willey , Braves , 1959 , 15 , 96.34 , 3.83 , 0.35 , 5 - 7 , 5.22 - 5.49 , -1.72
Warren Spahn , Braves , 1960 , 33 , 256.33 , 3.51 , 0.5 , 19 - 8 , 16.46 - 11.45 , 5.99
Carl Willey , Braves , 1960 , 21 , 126.33 , 4.35 , 0.31 , 5 - 7 , 6.45 - 8.07 , -0.38
Lew Burdette , Braves , 1960 , 32 , 247.34 , 3.38 , 0.51 , 16 - 11 , 16.36 - 10.41 , -0.95
Bob Buhl , Braves , 1960 , 33 , 229.34 , 3.18 , 0.47 , 14 - 9 , 15.4 - 10.09 , -0.31
Juan Pizarro , Braves , 1960 , 17 , 101.33 , 4.71 , 0.31 , 5 - 6 , 5.32 - 7.35 , 1.03
Joey Jay , Braves , 1960 , 11 , 72.67 , 2.85 , 0.47 , 6 - 3 , 5.12 - 2.78 , 0.66
George Brunet , Braves , 1960 , 6 , 34.0 , 5.03 , 0.12 , 1 - 0 , 0.74 - 2.69 , 2.95
Don Nottebart , Braves , 1960 , 1 , 6.0 , 9.0 , 0.08 , 0 - 0 , 0.08 - 0.74 , 0.65
Warren Spahn , Braves , 1961 , 34 , 258.33 , 2.89 , 0.53 , 20 - 10 , 18.03 - 9.35 , 1.32
Lew Burdette , Braves , 1961 , 36 , 260.68 , 4.14 , 0.42 , 16 - 11 , 15.18 - 14.57 , 4.39
Bob Buhl , Braves , 1961 , 28 , 181.67 , 4.21 , 0.37 , 9 - 10 , 10.41 - 11.24 , -0.17
Carl Willey , Braves , 1961 , 22 , 138.32 , 4.03 , 0.36 , 4 - 11 , 7.96 - 7.96 , -7.0
Don Nottebart , Braves , 1961 , 11 , 56.34 , 5.43 , 0.28 , 3 - 5 , 3.07 - 4.64 , -0.42
Tony Cloninger , Braves , 1961 , 10 , 63.0 , 5.29 , 0.23 , 5 - 2 , 2.33 - 4.99 , 5.65
Bob Hendley , Braves , 1961 , 13 , 83.65 , 3.77 , 0.4 , 4 - 7 , 5.14 - 4.48 , -3.65
