Name, Team, Year, Games Started, IP, ERA, EWA, Record, Earned Record, Support/Luck
Don Newcombe , Dodgers , 1957 , 28 , 198.65 , 3.49 , 0.41 , 11 - 12 , 11.41 - 9.79 , -2.62
Sal Maglie , Dodgers , 1957 , 17 , 99.01 , 3.0 , 0.4 , 6 - 6 , 6.87 - 4.9 , -1.97
Johnny Podres , Dodgers , 1957 , 27 , 191.33 , 2.68 , 0.54 , 11 - 9 , 14.66 - 7.12 , -5.54
Don Drysdale , Dodgers , 1957 , 29 , 212.67 , 2.71 , 0.5 , 15 - 8 , 14.49 - 7.8 , 0.31
Roger Craig , Dodgers , 1957 , 13 , 73.0 , 4.93 , 0.3 , 2 - 7 , 3.92 - 5.17 , -3.75
Sandy Koufax , Dodgers , 1957 , 13 , 74.01 , 4.5 , 0.28 , 4 - 4 , 3.58 - 4.99 , 1.41
Ed Roebuck , Dodgers , 1957 , 1 , 5.0 , 3.6 , 0.35 , 0 - 1 , 0.35 - 0.24 , -1.12
Danny McDevitt , Dodgers , 1957 , 17 , 113.66 , 2.77 , 0.47 , 7 - 4 , 7.93 - 4.79 , -0.14
Carl Erskine , Dodgers , 1957 , 7 , 47.01 , 2.68 , 0.47 , 4 - 3 , 3.31 - 1.71 , -0.6
Bill Harris , Dodgers , 1957 , 1 , 7.0 , 3.86 , 0.34 , 0 - 1 , 0.34 - 0.37 , -0.97
Rene Valdez , Dodgers , 1957 , 1 , 4.67 , 5.78 , 0.0 , 0 - 0 , 0.0 - 0.5 , 0.5
Don Drysdale , Dodgers , 1958 , 29 , 178.66 , 4.18 , 0.37 , 11 - 12 , 10.62 - 10.76 , -0.86
Johnny Podres , Dodgers , 1958 , 31 , 202.33 , 3.74 , 0.45 , 13 - 14 , 13.96 - 9.79 , -5.17
Don Newcombe , Dodgers , 1958 , 8 , 31.99 , 8.44 , 0.11 , 0 - 6 , 0.9 - 4.2 , -2.7
Carl Erskine , Dodgers , 1958 , 9 , 56.32 , 5.11 , 0.3 , 3 - 3 , 2.7 - 4.32 , 1.62
Danny McDevitt , Dodgers , 1958 , 10 , 42.32 , 6.38 , 0.21 , 2 - 6 , 2.14 - 4.2 , -1.94
Fred Kipp , Dodgers , 1958 , 9 , 53.66 , 4.7 , 0.33 , 4 - 3 , 2.93 - 3.51 , 1.57
Sandy Koufax , Dodgers , 1958 , 26 , 135.0 , 4.47 , 0.27 , 8 - 10 , 6.95 - 10.35 , 1.4
Clem Labine , Dodgers , 1958 , 2 , 14.0 , 3.21 , 0.23 , 1 - 1 , 0.46 - 0.65 , 0.19
Stan Williams , Dodgers , 1958 , 21 , 107.0 , 3.53 , 0.33 , 8 - 6 , 6.97 - 6.83 , 1.86
Bob Giallombardo , Dodgers , 1958 , 5 , 25.33 , 3.55 , 0.34 , 1 - 1 , 1.68 - 1.71 , 0.03
Roger Craig , Dodgers , 1958 , 2 , 16.67 , 1.62 , 0.76 , 2 - 0 , 1.51 - 0.21 , 0.7
Ralph Mauriello , Dodgers , 1958 , 2 , 8.0 , 4.5 , 0.36 , 1 - 1 , 0.72 - 0.82 , 0.1
Don Drysdale , Dodgers , 1959 , 36 , 255.99 , 3.34 , 0.47 , 16 - 11 , 16.76 - 11.74 , -0.01
Sandy Koufax , Dodgers , 1959 , 23 , 137.32 , 4.0 , 0.33 , 8 - 6 , 7.49 - 8.54 , 3.05
Johnny Podres , Dodgers , 1959 , 29 , 183.7 , 4.16 , 0.4 , 13 - 9 , 11.57 - 10.67 , 3.1
Stan Williams , Dodgers , 1959 , 15 , 81.0 , 4.89 , 0.26 , 3 - 3 , 3.84 - 6.28 , 2.44
Danny McDevitt , Dodgers , 1959 , 22 , 120.0 , 4.05 , 0.35 , 9 - 8 , 7.72 - 7.63 , 0.91
Carl Erskine , Dodgers , 1959 , 3 , 6.67 , 16.19 , 0.0 , 0 - 3 , 0.0 - 1.92 , -1.08
Gene Snyder , Dodgers , 1959 , 2 , 8.33 , 5.4 , 0.3 , 0 - 1 , 0.59 - 0.73 , -0.86
Roger Craig , Dodgers , 1959 , 17 , 119.0 , 1.97 , 0.56 , 9 - 5 , 9.5 - 3.27 , -2.23
Larry Sherry , Dodgers , 1959 , 9 , 57.99 , 3.1 , 0.4 , 2 - 2 , 3.58 - 2.81 , -0.78
Don Drysdale , Dodgers , 1960 , 36 , 260.33 , 2.9 , 0.48 , 14 - 13 , 17.34 - 10.36 , -5.99
Larry Sherry , Dodgers , 1960 , 3 , 22.67 , 5.56 , 0.31 , 1 - 2 , 0.93 - 1.54 , -0.39
