Name, Team, Year, Games Started, IP, ERA, EWA, Record, Earned Record, Support/Luck
Herb Score , Indians , 1957 , 5 , 36.0 , 2.0 , 0.46 , 2 - 1 , 2.28 - 1.03 , -0.25
Bob Lemon , Indians , 1957 , 17 , 101.33 , 4.53 , 0.32 , 5 - 9 , 5.38 - 6.46 , -2.92
Early Wynn , Indians , 1957 , 37 , 260.0 , 4.22 , 0.41 , 14 - 16 , 15.11 - 14.69 , -2.43
Mike Garcia , Indians , 1957 , 27 , 190.66 , 3.54 , 0.46 , 11 - 8 , 12.46 - 8.35 , -1.1
Bud Daley , Indians , 1957 , 10 , 47.99 , 4.88 , 0.16 , 2 - 6 , 1.58 - 4.16 , -1.42
Dick Tomanek , Indians , 1957 , 2 , 6.0 , 12.0 , 0.0 , 0 - 0 , 0.0 - 1.25 , 1.25
Don Mossi , Indians , 1957 , 22 , 136.66 , 4.08 , 0.37 , 10 - 9 , 8.09 - 8.15 , 1.05
Cal McLish , Indians , 1957 , 7 , 48.66 , 3.14 , 0.42 , 3 - 2 , 2.94 - 2.13 , 0.19
Stan Pitula , Indians , 1957 , 5 , 27.67 , 3.9 , 0.36 , 2 - 2 , 1.78 - 1.6 , -0.17
Ray Narleski , Indians , 1957 , 15 , 106.34 , 3.3 , 0.53 , 6 - 4 , 7.94 - 4.2 , -1.74
Johnny Gray , Indians , 1957 , 3 , 13.33 , 2.7 , 0.32 , 1 - 2 , 0.96 - 1.0 , -0.97
Vito Valentinetti , Indians , 1957 , 2 , 10.33 , 3.48 , 0.45 , 1 - 0 , 0.89 - 0.63 , 0.73
Hank Aguirre , Indians , 1957 , 1 , 7.0 , 1.29 , 0.59 , 1 - 0 , 0.59 - 0.11 , 0.52
Herb Score , Indians , 1958 , 5 , 30.66 , 3.82 , 0.38 , 2 - 2 , 1.88 - 1.87 , -0.0
Ray Narleski , Indians , 1958 , 24 , 153.33 , 4.23 , 0.38 , 11 - 9 , 9.06 - 9.0 , 1.94
Mudcat Grant , Indians , 1958 , 28 , 180.34 , 3.74 , 0.4 , 9 - 9 , 11.18 - 9.73 , -1.45
Don Mossi , Indians , 1958 , 5 , 25.99 , 5.19 , 0.21 , 0 - 4 , 1.07 - 2.03 , -3.04
Bob Lemon , Indians , 1958 , 1 , 1.0 , 18.0 , 0.0 , 0 - 1 , 0.0 - 0.54 , -0.46
Dick Tomanek , Indians , 1958 , 6 , 33.67 , 6.42 , 0.12 , 1 - 3 , 0.7 - 3.33 , 0.63
Mike Garcia , Indians , 1958 , 1 , 1.0 , 18.0 , 0.0 , 0 - 0 , 0.0 - 0.54 , 0.54
Cal McLish , Indians , 1958 , 30 , 212.0 , 2.89 , 0.5 , 16 - 8 , 15.02 - 7.59 , 0.56
