Name, Team, Year, Games Started, IP, ERA, EWA, Record, Earned Record, Support/Luck
Charlie Hough , Marlins , 1993 , 34 , 204.31 , 4.27 , 0.34 , 9 - 16 , 11.49 - 12.49 , -5.99
Jack Armstrong , Marlins , 1993 , 33 , 192.0 , 4.59 , 0.3 , 8 - 17 , 9.95 - 12.75 , -6.2
Chris Hammond , Marlins , 1993 , 32 , 191.0 , 4.66 , 0.31 , 11 - 12 , 9.81 - 12.62 , 1.8
Ryan Bowen , Marlins , 1993 , 27 , 156.67 , 4.42 , 0.35 , 8 - 12 , 9.32 - 10.0 , -3.32
Luis Aquino , Marlins , 1993 , 13 , 80.33 , 3.36 , 0.38 , 4 - 6 , 4.95 - 3.95 , -3.0
Pat Rapp , Marlins , 1993 , 16 , 94.01 , 4.02 , 0.35 , 4 - 6 , 5.64 - 5.16 , -2.48
Robb Nen , Marlins , 1993 , 1 , 6.0 , 1.5 , 0.51 , 1 - 0 , 0.51 - 0.11 , 0.6
David Weathers , Marlins , 1993 , 6 , 35.33 , 4.59 , 0.34 , 2 - 3 , 2.02 - 2.28 , -0.74
Charlie Hough , Marlins , 1994 , 21 , 113.67 , 5.15 , 0.27 , 5 - 9 , 5.76 - 8.63 , -1.12
Ryan Bowen , Marlins , 1994 , 8 , 47.33 , 4.94 , 0.3 , 1 - 5 , 2.41 - 3.45 , -2.97
Chris Hammond , Marlins , 1994 , 13 , 73.35 , 3.07 , 0.39 , 4 - 4 , 5.07 - 3.45 , -1.62
David Weathers , Marlins , 1994 , 24 , 135.01 , 5.27 , 0.31 , 8 - 12 , 7.43 - 9.87 , -1.56
Pat Rapp , Marlins , 1994 , 23 , 132.34 , 3.88 , 0.36 , 7 - 8 , 8.32 - 7.39 , -1.93
Mark Gardner , Marlins , 1994 , 14 , 81.67 , 4.52 , 0.33 , 4 - 4 , 4.57 - 5.09 , 0.52
Kurt Miller , Marlins , 1994 , 4 , 20.0 , 8.1 , 0.2 , 1 - 3 , 0.78 - 2.23 , -0.56
Terry Mathews , Marlins , 1994 , 2 , 11.0 , 4.09 , 0.29 , 1 - 1 , 0.59 - 0.72 , 0.13
Rich Scheid , Marlins , 1994 , 5 , 28.0 , 3.54 , 0.28 , 0 - 3 , 1.41 - 1.5 , -2.9
Luis Aquino , Marlins , 1994 , 1 , 5.33 , 3.38 , 0.35 , 0 - 0 , 0.35 - 0.24 , -0.12
John Burkett , Marlins , 1995 , 30 , 188.34 , 4.3 , 0.37 , 14 - 14 , 10.99 - 11.09 , 0.1
Mark Gardner , Marlins , 1995 , 11 , 61.01 , 4.72 , 0.3 , 4 - 4 , 3.34 - 4.19 , 0.85
Bobby Witt , Marlins , 1995 , 19 , 110.67 , 3.9 , 0.32 , 2 - 7 , 6.1 - 6.49 , -4.61
Pat Rapp , Marlins , 1995 , 28 , 167.33 , 3.44 , 0.4 , 14 - 7 , 11.18 - 8.04 , 3.86
David Weathers , Marlins , 1995 , 15 , 72.67 , 5.57 , 0.25 , 3 - 4 , 3.7 - 5.97 , 1.27
Chris Hammond , Marlins , 1995 , 24 , 159.66 , 3.83 , 0.38 , 9 - 6 , 9.23 - 8.66 , 2.44
Richie Lewis , Marlins , 1995 , 1 , 6.67 , 2.7 , 0.53 , 0 - 0 , 0.53 - 0.18 , -0.35
Willie Banks , Marlins , 1995 , 9 , 50.01 , 4.32 , 0.37 , 2 - 3 , 3.3 - 2.95 , -1.35
Marc Valdes , Marlins , 1995 , 3 , 7.0 , 14.14 , 0.0 , 0 - 0 , 0.0 - 1.77 , 1.77
Ryan Bowen , Marlins , 1995 , 3 , 15.67 , 3.45 , 0.38 , 2 - 0 , 1.15 - 0.68 , 1.53
Kevin Brown , Marlins , 1996 , 32 , 233.0 , 1.89 , 0.56 , 17 - 11 , 17.83 - 6.06 , -5.77
John Burkett , Marlins , 1996 , 24 , 154.0 , 4.32 , 0.36 , 6 - 10 , 8.76 - 8.91 , -3.84
Al Leiter , Marlins , 1996 , 33 , 215.36 , 2.93 , 0.45 , 16 - 12 , 14.74 - 8.89 , -1.85
Pat Rapp , Marlins , 1996 , 29 , 160.67 , 5.1 , 0.3 , 8 - 15 , 8.66 - 11.64 , -4.03
Chris Hammond , Marlins , 1996 , 9 , 35.68 , 10.59 , 0.14 , 2 - 6 , 1.28 - 5.46 , 0.18
Kurt Miller , Marlins , 1996 , 5 , 22.0 , 7.36 , 0.18 , 1 - 1 , 0.93 - 2.55 , 1.63
David Weathers , Marlins , 1996 , 8 , 42.33 , 4.25 , 0.26 , 2 - 1 , 2.11 - 2.81 , 1.71
