Name, Team, Year, Games Started, IP, ERA, EWA, Record, Earned Record, Support/Luck
Dick Donovan , Rangers , 1961 , 22 , 166.66 , 2.38 , 0.56 , 10 - 10 , 12.35 - 4.84 , -7.51
Joe McClain , Rangers , 1961 , 29 , 203.0 , 3.99 , 0.38 , 8 - 18 , 11.1 - 11.58 , -9.52
Bennie Daniels , Rangers , 1961 , 28 , 203.66 , 3.4 , 0.45 , 12 - 10 , 12.56 - 8.83 , -1.73
Ed Hobaugh , Rangers , 1961 , 18 , 109.33 , 4.61 , 0.34 , 7 - 7 , 6.11 - 7.04 , 0.93
Hal Woodeshick , Rangers , 1961 , 6 , 34.67 , 4.41 , 0.36 , 3 - 2 , 2.13 - 2.15 , 1.02
Pete Burnside , Rangers , 1961 , 16 , 89.32 , 4.74 , 0.31 , 4 - 8 , 5.02 - 6.49 , -2.53
Tom Sturdivant , Rangers , 1961 , 10 , 60.99 , 4.87 , 0.31 , 2 - 4 , 3.15 - 4.23 , -0.92
John Gabler , Rangers , 1961 , 9 , 50.99 , 4.06 , 0.32 , 1 - 6 , 2.88 - 3.09 , -4.78
Carl Mathias , Rangers , 1961 , 3 , 12.67 , 12.08 , 0.0 , 0 - 1 , 0.0 - 2.5 , 1.5
Johnny Klippstein , Rangers , 1961 , 1 , 2.33 , 15.45 , 0.0 , 0 - 1 , 0.0 - 0.59 , -0.41
Tom Cheney , Rangers , 1961 , 7 , 22.33 , 10.48 , 0.05 , 1 - 3 , 0.36 - 4.22 , 1.86
Marty Kutyna , Rangers , 1961 , 6 , 43.67 , 4.53 , 0.33 , 1 - 4 , 1.97 - 2.61 , -2.35
Dave Sisler , Rangers , 1961 , 1 , 4.33 , 12.47 , 0.0 , 0 - 1 , 0.0 - 0.79 , -0.21
Carl Bouldin , Rangers , 1961 , 1 , 1.33 , 33.83 , 0.0 , 0 - 1 , 0.0 - 0.72 , -0.28
Hector Maestri , Rangers , 1961 , 1 , 6.0 , 1.5 , 0.51 , 0 - 1 , 0.51 - 0.11 , -1.4
Claude Osteen , Rangers , 1961 , 3 , 18.33 , 4.91 , 0.27 , 1 - 1 , 0.8 - 1.23 , 0.42
Bennie Daniels , Rangers , 1962 , 21 , 117.33 , 5.22 , 0.27 , 4 - 13 , 5.59 - 9.35 , -5.24
Pete Burnside , Rangers , 1962 , 20 , 113.33 , 5.0 , 0.36 , 5 - 10 , 7.11 - 7.89 , -4.22
Claude Osteen , Rangers , 1962 , 22 , 144.66 , 3.8 , 0.45 , 8 - 13 , 9.9 - 7.52 , -7.38
Joe McClain , Rangers , 1962 , 4 , 17.0 , 11.65 , 0.06 , 0 - 4 , 0.25 - 2.85 , -1.4
Jim Hannan , Rangers , 1962 , 3 , 11.67 , 7.71 , 0.15 , 1 - 2 , 0.46 - 1.43 , -0.03
Carl Bouldin , Rangers , 1962 , 3 , 16.0 , 4.5 , 0.42 , 1 - 1 , 1.25 - 1.04 , -0.21
Dave Stenhouse , Rangers , 1962 , 26 , 182.67 , 3.7 , 0.42 , 11 - 11 , 10.96 - 8.92 , -2.04
Don Rudolph , Rangers , 1962 , 23 , 156.33 , 3.63 , 0.43 , 8 - 8 , 9.96 - 7.76 , -2.2
Steve Hamilton , Rangers , 1962 , 10 , 67.34 , 4.28 , 0.32 , 1 - 4 , 3.21 - 4.22 , -1.99
Tom Cheney , Rangers , 1962 , 23 , 150.34 , 3.29 , 0.37 , 7 - 8 , 8.48 - 7.4 , -2.08
Ray Rippelmeyer , Rangers , 1962 , 1 , 3.67 , 9.81 , 0.0 , 0 - 1 , 0.0 - 0.62 , -0.38
Ed Hobaugh , Rangers , 1962 , 2 , 8.0 , 7.88 , 0.0 , 0 - 1 , 0.0 - 1.1 , 0.1
Bob Baird , Rangers , 1962 , 3 , 10.67 , 6.75 , 0.19 , 0 - 1 , 0.56 - 1.33 , -0.23
Jack Jenkins , Rangers , 1962 , 1 , 8.33 , 3.24 , 0.36 , 0 - 1 , 0.36 - 0.45 , -0.91
Don Rudolph , Rangers , 1963 , 26 , 159.34 , 4.52 , 0.31 , 7 - 17 , 8.05 - 10.6 , -7.46
Claude Osteen , Rangers , 1963 , 29 , 201.98 , 3.12 , 0.42 , 8 - 13 , 12.12 - 9.4 , -7.72
Tom Cheney , Rangers , 1963 , 21 , 132.34 , 2.79 , 0.45 , 8 - 9 , 9.49 - 5.57 , -4.92
Bennie Daniels , Rangers , 1963 , 24 , 156.33 , 4.38 , 0.34 , 5 - 10 , 8.06 - 9.47 , -3.59
Art Quirk , Rangers , 1963 , 3 , 15.0 , 4.2 , 0.24 , 1 - 0 , 0.71 - 0.98 , 1.28
Dave Stenhouse , Rangers , 1963 , 16 , 87.02 , 4.55 , 0.3 , 3 - 9 , 4.73 - 5.9 , -4.82
Carl Bouldin , Rangers , 1963 , 3 , 12.33 , 7.3 , 0.03 , 0 - 2 , 0.1 - 1.47 , -0.63
Ron Kline , Rangers , 1963 , 1 , 3.0 , 3.0 , 0.0 , 0 - 0 , 0.0 - 0.22 , 0.22
Jim Coates , Rangers , 1963 , 2 , 8.67 , 6.23 , 0.2 , 0 - 0 , 0.4 - 0.89 , 0.49
Jim Duckworth , Rangers , 1963 , 15 , 69.33 , 6.88 , 0.21 , 3 - 9 , 3.1 - 7.43 , -1.67
Steve Ridzik , Rangers , 1963 , 10 , 57.35 , 5.96 , 0.27 , 3 - 4 , 2.74 - 3.64 , -0.1
Pete Burnside , Rangers , 1963 , 1 , 4.67 , 5.78 , 0.0 , 0 - 1 , 0.0 - 0.5 , -0.5
Ron Moeller , Rangers , 1963 , 3 , 14.33 , 2.51 , 0.29 , 2 - 0 , 0.87 - 0.57 , 1.7
Ed Hobaugh , Rangers , 1963 , 1 , 3.0 , 12.0 , 0.0 , 0 - 0 , 0.0 - 0.62 , 0.62
Bob Baird , Rangers , 1963 , 3 , 9.66 , 9.32 , 0.06 , 0 - 3 , 0.19 - 1.71 , -1.48
Jack Jenkins , Rangers , 1963 , 2 , 8.34 , 8.63 , 0.0 , 0 - 2 , 0.0 - 1.22 , -0.78
Jim Hannan , Rangers , 1963 , 2 , 12.0 , 3.75 , 0.29 , 1 - 1 , 0.59 - 0.72 , 0.13
Claude Osteen , Rangers , 1964 , 36 , 256.99 , 3.33 , 0.45 , 15 - 13 , 16.29 - 10.87 , -3.42
Bennie Daniels , Rangers , 1964 , 24 , 145.68 , 3.95 , 0.3 , 7 - 10 , 7.13 - 8.85 , -1.28
Carl Bouldin , Rangers , 1964 , 3 , 11.0 , 8.18 , 0.06 , 0 - 2 , 0.18 - 1.57 , -0.61
Tom Cheney , Rangers , 1964 , 6 , 32.99 , 4.91 , 0.22 , 1 - 3 , 1.34 - 2.52 , -0.82
Dave Stenhouse , Rangers , 1964 , 14 , 68.01 , 5.56 , 0.21 , 2 - 6 , 2.98 - 6.35 , -0.63
Howie Koplitz , Rangers , 1964 , 1 , 5.33 , 10.13 , 0.08 , 0 - 0 , 0.08 - 0.7 , 0.62
Buster Narum , Rangers , 1964 , 32 , 191.0 , 4.38 , 0.32 , 9 - 15 , 10.16 - 12.47 , -3.69
Jim Hannan , Rangers , 1964 , 7 , 28.66 , 6.59 , 0.18 , 0 - 5 , 1.23 - 3.15 , -3.08
Alan Koch , Rangers , 1964 , 14 , 69.99 , 6.3 , 0.19 , 3 - 7 , 2.72 - 6.8 , 0.08
Jim Duckworth , Rangers , 1964 , 2 , 8.33 , 8.64 , 0.13 , 0 - 2 , 0.25 - 1.05 , -1.2
Don Rudolph , Rangers , 1964 , 8 , 35.34 , 4.58 , 0.26 , 1 - 3 , 2.04 - 2.87 , -1.17
Steve Ridzik , Rangers , 1964 , 3 , 15.0 , 4.8 , 0.16 , 0 - 2 , 0.49 - 1.1 , -1.38
Frank Kreutzer , Rangers , 1964 , 9 , 41.33 , 4.79 , 0.22 , 2 - 5 , 1.94 - 3.32 , -1.62
Don Loun , Rangers , 1964 , 2 , 13.0 , 2.08 , 0.48 , 1 - 1 , 0.96 - 0.51 , -0.46
Pete Craig , Rangers , 1964 , 1 , 0.67 , 67.16 , 0.0 , 0 - 0 , 0.0 - 0.77 , 0.77
Phil Ortega , Rangers , 1965 , 29 , 167.32 , 4.95 , 0.31 , 10 - 15 , 8.97 - 12.48 , -1.49
Buster Narum , Rangers , 1965 , 24 , 132.32 , 5.1 , 0.22 , 3 - 11 , 5.34 - 10.31 , -3.03
