Name, Team, Year, Games Started, IP, ERA, EWA, Record, Earned Record, Support/Luck
Wilson Alvarez , Rays , 1998 , 25 , 142.66 , 4.73 , 0.31 , 6 - 14 , 7.87 - 9.68 , -6.19
Rolando Arrojo , Rays , 1998 , 32 , 202.01 , 3.56 , 0.4 , 14 - 12 , 12.95 - 10.6 , -0.34
Tony Saunders , Rays , 1998 , 31 , 192.34 , 4.12 , 0.35 , 6 - 15 , 10.73 - 11.23 , -8.51
Rick Gorecki , Rays , 1998 , 3 , 16.67 , 4.86 , 0.31 , 1 - 2 , 0.94 - 1.08 , -0.86
Dennis Springer , Rays , 1998 , 17 , 93.0 , 6.0 , 0.21 , 3 - 11 , 3.54 - 8.11 , -3.43
Jason Johnson , Rays , 1998 , 13 , 60.0 , 5.7 , 0.19 , 2 - 5 , 2.46 - 5.4 , -0.07
Matt Ruebel , Rays , 1998 , 1 , 4.33 , 6.24 , 0.0 , 0 - 1 , 0.0 - 0.5 , -0.5
Rick White , Rays , 1998 , 3 , 14.33 , 6.91 , 0.18 , 0 - 3 , 0.54 - 1.41 , -2.13
Julio Santana , Rays , 1998 , 19 , 116.67 , 4.47 , 0.34 , 4 - 6 , 6.5 - 7.22 , -1.29
Bryan Rekar , Rays , 1998 , 15 , 85.66 , 5.04 , 0.24 , 2 - 8 , 3.66 - 6.07 , -3.59
Terrell Wade , Rays , 1998 , 2 , 10.67 , 5.06 , 0.27 , 1 - 1 , 0.54 - 0.71 , 0.17
Dave Eiland , Rays , 1998 , 1 , 2.67 , 20.22 , 0.0 , 0 - 1 , 0.0 - 0.8 , -0.2
Wilson Alvarez , Rays , 1999 , 28 , 160.01 , 4.22 , 0.35 , 9 - 9 , 9.73 - 9.73 , 0.0
Tony Saunders , Rays , 1999 , 9 , 42.0 , 6.43 , 0.23 , 3 - 3 , 2.07 - 4.12 , 2.05
Bobby Witt , Rays , 1999 , 32 , 180.34 , 5.84 , 0.27 , 7 - 15 , 8.65 - 15.08 , -1.57
Rolando Arrojo , Rays , 1999 , 24 , 140.66 , 5.18 , 0.31 , 7 - 12 , 7.43 - 9.94 , -2.49
Julio Santana , Rays , 1999 , 5 , 26.0 , 9.0 , 0.15 , 1 - 3 , 0.74 - 2.89 , 0.15
Bryan Rekar , Rays , 1999 , 12 , 63.01 , 6.0 , 0.23 , 5 - 5 , 2.8 - 5.4 , 2.6
Ryan Rupe , Rays , 1999 , 24 , 142.33 , 4.55 , 0.33 , 8 - 9 , 7.9 - 9.25 , 0.35
Esteban Yan , Rays , 1999 , 1 , 4.0 , 4.5 , 0.0 , 0 - 0 , 0.0 - 0.38 , 0.38
Dave Eiland , Rays , 1999 , 15 , 68.0 , 4.9 , 0.2 , 4 - 7 , 2.97 - 5.35 , -0.62
Mickey Callaway , Rays , 1999 , 4 , 15.33 , 7.63 , 0.16 , 1 - 2 , 0.65 - 1.91 , 0.27
Rick White , Rays , 1999 , 1 , 2.33 , 7.73 , 0.0 , 0 - 0 , 0.0 - 0.43 , 0.43
Dan Wheeler , Rays , 1999 , 6 , 30.67 , 5.87 , 0.24 , 0 - 4 , 1.41 - 2.53 , -2.88
Cory Lidle , Rays , 1999 , 1 , 2.0 , 9.0 , 0.0 , 0 - 0 , 0.0 - 0.43 , 0.43
Steve Trachsel , Rays , 2000 , 23 , 137.67 , 4.58 , 0.32 , 6 - 10 , 7.43 - 9.36 , -2.08
Ryan Rupe , Rays , 2000 , 18 , 91.0 , 6.92 , 0.19 , 5 - 6 , 3.39 - 8.82 , 4.43
Esteban Yan , Rays , 2000 , 20 , 107.67 , 6.6 , 0.23 , 5 - 7 , 4.54 - 9.92 , 3.38
Dan Wheeler , Rays , 2000 , 2 , 9.67 , 9.31 , 0.1 , 0 - 1 , 0.19 - 1.3 , 0.11
Juan Guzman , Rays , 2000 , 1 , 1.67 , 43.11 , 0.0 , 0 - 1 , 0.0 - 0.92 , -0.08
Dwight Gooden , Rays , 2000 , 8 , 36.66 , 6.63 , 0.2 , 2 - 3 , 1.6 - 3.69 , 1.09
Dave Eiland , Rays , 2000 , 10 , 40.32 , 6.92 , 0.19 , 1 - 3 , 1.87 - 4.26 , 0.38
Bryan Rekar , Rays , 2000 , 27 , 165.67 , 4.51 , 0.32 , 6 - 10 , 8.66 - 10.23 , -2.44
Albie Lopez , Rays , 2000 , 24 , 157.68 , 3.88 , 0.41 , 9 - 9 , 9.77 - 8.14 , -1.63
Cory Lidle , Rays , 2000 , 11 , 56.65 , 5.56 , 0.32 , 4 - 4 , 3.51 - 4.51 , 1.0
Travis Harper , Rays , 2000 , 5 , 28.67 , 4.71 , 0.38 , 1 - 1 , 1.92 - 1.84 , -0.08
Tanyon Sturtze , Rays , 2000 , 5 , 27.67 , 2.28 , 0.38 , 3 - 0 , 1.92 - 0.86 , 1.94
Paul Wilson , Rays , 2000 , 7 , 41.0 , 3.29 , 0.44 , 1 - 2 , 3.07 - 1.96 , -2.11
Albie Lopez , Rays , 2001 , 20 , 124.65 , 5.34 , 0.29 , 5 - 12 , 5.81 - 8.72 , -4.08
Paul Wilson , Rays , 2001 , 24 , 131.66 , 5.13 , 0.32 , 8 - 9 , 7.7 - 9.23 , 0.53
Bryan Rekar , Rays , 2001 , 25 , 140.68 , 5.89 , 0.23 , 3 - 13 , 5.63 - 11.55 , -4.07
Ryan Rupe , Rays , 2001 , 26 , 141.67 , 5.91 , 0.29 , 5 - 11 , 7.46 - 11.04 , -2.42
Travis Harper , Rays , 2001 , 2 , 7.0 , 7.71 , 0.09 , 0 - 2 , 0.17 - 0.93 , -1.24
Mike Judd , Rays , 2001 , 2 , 8.67 , 5.19 , 0.3 , 1 - 0 , 0.59 - 0.74 , 1.15
Tanyon Sturtze , Rays , 2001 , 27 , 177.0 , 4.32 , 0.37 , 11 - 10 , 9.91 - 10.2 , 1.29
Brian Rose , Rays , 2001 , 3 , 11.0 , 12.27 , 0.02 , 0 - 2 , 0.05 - 1.98 , -0.07
Joe Kennedy , Rays , 2001 , 20 , 117.66 , 4.44 , 0.32 , 7 - 8 , 6.45 - 7.21 , -0.23
Nick Bierbrodt , Rays , 2001 , 11 , 61.34 , 4.55 , 0.31 , 3 - 4 , 3.45 - 3.99 , -0.46
Jeff Wallace , Rays , 2001 , 1 , 5.0 , 9.0 , 0.1 , 0 - 1 , 0.1 - 0.62 , -0.49
Jason Standridge , Rays , 2001 , 1 , 6.33 , 0 , 0.66 , 0 - 0 , 0.66 - 0.04 , -0.62
Tanyon Sturtze , Rays , 2002 , 33 , 224.0 , 5.18 , 0.33 , 4 - 18 , 10.9 - 15.21 , -9.69
Paul Wilson , Rays , 2002 , 30 , 193.66 , 4.83 , 0.31 , 6 - 12 , 9.15 - 13.26 , -1.89
Ryan Rupe , Rays , 2002 , 15 , 89.99 , 5.6 , 0.32 , 5 - 10 , 4.74 - 6.68 , -3.06
Joe Kennedy , Rays , 2002 , 30 , 196.68 , 4.53 , 0.36 , 8 - 11 , 10.74 - 12.15 , -1.59
Wilson Alvarez , Rays , 2002 , 10 , 47.0 , 6.32 , 0.25 , 2 - 2 , 2.5 - 4.4 , 1.9
