Name, Team, Year, Games Started, IP, ERA, EWA, Record, Earned Record, Support/Luck
Tom Brewer , Red_Sox , 1957 , 32 , 238.34 , 3.81 , 0.47 , 16 - 13 , 15.17 - 11.31 , -0.86
Frank Sullivan , Red_Sox , 1957 , 30 , 238.66 , 2.75 , 0.53 , 14 - 11 , 15.77 - 8.41 , -4.36
Willard Nixon , Red_Sox , 1957 , 29 , 191.0 , 3.68 , 0.43 , 12 - 13 , 12.41 - 9.69 , -3.72
Dave Sisler , Red_Sox , 1957 , 19 , 118.34 , 4.79 , 0.33 , 7 - 8 , 6.32 - 8.08 , 0.76
Russ Meyer , Red_Sox , 1957 , 1 , 3.0 , 6.0 , 0.0 , 0 - 0 , 0.0 - 0.39 , 0.39
Dean Stone , Red_Sox , 1957 , 8 , 41.0 , 4.39 , 0.27 , 1 - 3 , 2.17 - 2.9 , -1.27
Bob Porterfield , Red_Sox , 1957 , 9 , 55.67 , 3.56 , 0.42 , 3 - 4 , 3.75 - 3.18 , -1.57
George Susce , Red_Sox , 1957 , 5 , 34.33 , 4.19 , 0.31 , 1 - 2 , 1.54 - 2.06 , -0.48
Mike Fornieles , Red_Sox , 1957 , 18 , 117.0 , 3.62 , 0.48 , 6 - 7 , 8.58 - 5.74 , -3.84
Ike Delock , Red_Sox , 1957 , 2 , 8.33 , 9.72 , 0.13 , 0 - 2 , 0.25 - 1.14 , -1.11
Frank Baumann , Red_Sox , 1957 , 1 , 7.0 , 2.57 , 0.46 , 1 - 0 , 0.46 - 0.23 , 0.78
Frank Sullivan , Red_Sox , 1958 , 29 , 195.34 , 3.64 , 0.44 , 13 - 9 , 12.83 - 9.59 , 0.75
Willard Nixon , Red_Sox , 1958 , 8 , 36.66 , 5.65 , 0.22 , 1 - 6 , 1.75 - 3.43 , -3.31
Dave Sisler , Red_Sox , 1958 , 25 , 137.34 , 4.85 , 0.31 , 7 - 8 , 7.79 - 10.22 , 1.43
Tom Brewer , Red_Sox , 1958 , 32 , 223.01 , 3.75 , 0.42 , 11 - 12 , 13.36 - 11.52 , -2.84
