Name, Team, Year, Games Started, IP, ERA, EWA, Record, Earned Record, Support/Luck
Johnny Klippstein , Reds , 1957 , 18 , 103.33 , 4.62 , 0.31 , 5 - 9 , 5.64 - 7.15 , -2.49
Hal Jeffcoat , Reds , 1957 , 31 , 202.99 , 4.3 , 0.4 , 12 - 12 , 12.3 - 12.15 , -0.15
Brooks Lawrence , Reds , 1957 , 32 , 223.0 , 3.47 , 0.45 , 15 - 11 , 14.52 - 10.31 , -0.21
Joe Nuxhall , Reds , 1957 , 28 , 161.34 , 4.91 , 0.29 , 9 - 10 , 8.16 - 12.23 , 3.07
Warren Hacker , Reds , 1957 , 6 , 25.33 , 6.75 , 0.15 , 2 - 2 , 0.89 - 3.03 , 2.14
Tom Acker , Reds , 1957 , 6 , 32.0 , 5.34 , 0.26 , 3 - 1 , 1.57 - 2.43 , 2.86
Art Fowler , Reds , 1957 , 7 , 38.01 , 5.45 , 0.29 , 2 - 0 , 2.03 - 2.95 , 2.92
Don Gross , Reds , 1957 , 16 , 90.99 , 4.25 , 0.34 , 6 - 5 , 5.47 - 5.87 , 1.39
Vicente Amor , Reds , 1957 , 4 , 17.33 , 6.75 , 0.2 , 1 - 1 , 0.8 - 1.81 , 1.02
Bud Podbielan , Reds , 1957 , 3 , 12.67 , 4.97 , 0.21 , 0 - 1 , 0.64 - 1.22 , -0.42
Jay Hook , Reds , 1957 , 2 , 7.67 , 5.87 , 0.3 , 0 - 1 , 0.59 - 0.79 , -0.8
Charlie Rabe , Reds , 1957 , 1 , 7.0 , 2.57 , 0.46 , 0 - 1 , 0.46 - 0.23 , -1.22
Brooks Lawrence , Reds , 1958 , 23 , 132.66 , 4.41 , 0.33 , 6 - 8 , 7.53 - 9.1 , -0.42
Bob Purkey , Reds , 1958 , 34 , 248.67 , 3.62 , 0.47 , 17 - 11 , 16.13 - 11.82 , 1.69
Harvey Haddix , Reds , 1958 , 26 , 181.0 , 3.43 , 0.38 , 8 - 7 , 10.0 - 9.1 , 0.1
Joe Nuxhall , Reds , 1958 , 26 , 158.66 , 4.14 , 0.33 , 8 - 11 , 8.56 - 9.49 , -2.07
Bob Kelly , Reds , 1958 , 1 , 0.33 , 27.27 , 0.0 , 0 - 0 , 0.0 - 0.18 , 0.18
Tom Acker , Reds , 1958 , 10 , 56.0 , 5.79 , 0.25 , 4 - 2 , 2.52 - 4.4 , 3.88
Johnny Klippstein , Reds , 1958 , 4 , 17.67 , 5.6 , 0.19 , 1 - 1 , 0.76 - 1.69 , 0.93
Charlie Rabe , Reds , 1958 , 1 , 3.0 , 12.0 , 0.0 , 0 - 1 , 0.0 - 0.62 , -0.38
Willard Schmidt , Reds , 1958 , 2 , 1.33 , 20.3 , 0.0 , 0 - 0 , 0.0 - 0.6 , 0.6
Don Newcombe , Reds , 1958 , 18 , 130.34 , 3.87 , 0.44 , 7 - 6 , 7.83 - 6.59 , -0.25
Alex Kellner , Reds , 1958 , 7 , 51.33 , 2.1 , 0.56 , 4 - 3 , 3.95 - 1.4 , -1.56
Jim O'Toole , Reds , 1958 , 1 , 7.0 , 1.29 , 0.59 , 0 - 1 , 0.59 - 0.11 , -1.48
Jay Hook , Reds , 1958 , 1 , 3.0 , 12.0 , 0.0 , 0 - 1 , 0.0 - 0.62 , -0.38
Bob Purkey , Reds , 1959 , 33 , 209.01 , 4.39 , 0.38 , 11 - 17 , 12.44 - 12.06 , -6.38
Don Newcombe , Reds , 1959 , 29 , 221.0 , 3.18 , 0.48 , 13 - 8 , 13.86 - 9.46 , 0.6
Joe Nuxhall , Reds , 1959 , 21 , 119.34 , 4.52 , 0.3 , 7 - 9 , 6.33 - 8.04 , -0.29
Brooks Lawrence , Reds , 1959 , 14 , 78.67 , 5.38 , 0.29 , 3 - 7 , 4.11 - 6.55 , -1.56
Jim O'Toole , Reds , 1959 , 19 , 113.65 , 4.83 , 0.28 , 5 - 8 , 5.35 - 8.18 , -0.17
Orlando Pena , Reds , 1959 , 8 , 48.33 , 5.77 , 0.28 , 3 - 5 , 2.22 - 3.87 , -0.35
Bob Mabe , Reds , 1959 , 1 , 1.0 , 18.0 , 0.0 , 0 - 0 , 0.0 - 0.54 , 0.54
Willard Schmidt , Reds , 1959 , 4 , 17.34 , 5.19 , 0.19 , 1 - 2 , 0.76 - 1.73 , -0.03
Jim Brosnan , Reds , 1959 , 9 , 51.01 , 4.41 , 0.32 , 4 - 3 , 2.89 - 3.65 , 1.77
Jay Hook , Reds , 1959 , 15 , 75.67 , 5.23 , 0.34 , 5 - 5 , 5.09 - 6.12 , 1.03
Jim Bailey , Reds , 1959 , 1 , 7.67 , 7.04 , 0.11 , 0 - 1 , 0.11 - 0.82 , -0.3
Jim Brosnan , Reds , 1960 , 2 , 4.0 , 18.0 , 0.0 , 0 - 0 , 0.0 - 1.26 , 1.26
Cal McLish , Reds , 1960 , 21 , 117.0 , 4.77 , 0.29 , 4 - 11 , 6.06 - 8.67 , -4.38
Jay Hook , Reds , 1960 , 33 , 220.66 , 4.45 , 0.38 , 11 - 18 , 12.5 - 13.56 , -5.94
Joe Nuxhall , Reds , 1960 , 6 , 31.66 , 6.82 , 0.15 , 1 - 5 , 0.89 - 3.32 , -1.57
Don Newcombe , Reds , 1960 , 15 , 79.0 , 4.78 , 0.22 , 4 - 6 , 3.37 - 5.62 , 0.25
Jim O'Toole , Reds , 1960 , 31 , 189.02 , 3.95 , 0.38 , 12 - 12 , 11.64 - 10.89 , -0.75
Bob Purkey , Reds , 1960 , 33 , 240.66 , 3.78 , 0.46 , 17 - 11 , 15.02 - 11.6 , 2.59
Jim Maloney , Reds , 1960 , 10 , 61.66 , 4.82 , 0.31 , 2 - 6 , 3.13 - 4.41 , -2.73
Claude Osteen , Reds , 1960 , 3 , 12.67 , 9.23 , 0.11 , 0 - 1 , 0.34 - 1.77 , 0.43
Jim O'Toole , Reds , 1961 , 35 , 250.32 , 3.13 , 0.5 , 18 - 9 , 17.54 - 10.49 , 1.96
Bob Purkey , Reds , 1961 , 34 , 244.33 , 3.72 , 0.46 , 16 - 12 , 15.69 - 11.84 , 0.15
Jay Hook , Reds , 1961 , 5 , 19.34 , 9.31 , 0.07 , 0 - 3 , 0.34 - 2.95 , -0.39
Joey Jay , Reds , 1961 , 34 , 247.34 , 3.53 , 0.49 , 21 - 10 , 16.65 - 11.32 , 5.67
Ken Hunt , Reds , 1961 , 22 , 124.99 , 3.89 , 0.36 , 9 - 10 , 7.96 - 7.44 , -1.52
Jim Maloney , Reds , 1961 , 11 , 63.0 , 4.86 , 0.27 , 5 - 4 , 2.97 - 4.77 , 2.8
Sherman Jones , Reds , 1961 , 2 , 12.0 , 3.75 , 0.24 , 1 - 0 , 0.49 - 0.81 , 1.32
Ken Johnson , Reds , 1961 , 11 , 77.01 , 2.8 , 0.48 , 6 - 2 , 5.33 - 2.91 , 1.58
Joey Jay , Reds , 1962 , 37 , 269.32 , 3.81 , 0.42 , 20 - 14 , 15.57 - 13.72 , 4.14
Bob Purkey , Reds , 1962 , 37 , 288.34 , 2.81 , 0.53 , 23 - 5 , 19.74 - 10.04 , 8.3
Moe Drabowsky , Reds , 1962 , 10 , 50.0 , 5.58 , 0.23 , 1 - 5 , 2.34 - 4.6 , -1.74
Jim O'Toole , Reds , 1962 , 34 , 245.99 , 3.59 , 0.44 , 14 - 13 , 14.94 - 11.8 , -2.13
Sammy Ellis , Reds , 1962 , 4 , 17.33 , 7.79 , 0.15 , 2 - 2 , 0.61 - 2.19 , 1.58
Johnny Klippstein , Reds , 1962 , 7 , 38.67 , 4.65 , 0.29 , 1 - 3 , 2.0 - 2.73 , -1.27
Jim Maloney , Reds , 1962 , 17 , 104.0 , 3.81 , 0.41 , 7 - 7 , 6.96 - 5.67 , -1.29
Ted Wills , Reds , 1962 , 5 , 21.67 , 8.31 , 0.11 , 0 - 1 , 0.53 - 2.77 , 1.24
Joe Nuxhall , Reds , 1962 , 9 , 59.67 , 2.71 , 0.44 , 4 - 0 , 3.99 - 2.25 , 2.26
John Tsitouris , Reds , 1962 , 2 , 17.0 , 0.53 , 0.8 , 1 - 0 , 1.6 - 0.16 , -0.44
Jim O'Toole , Reds , 1963 , 32 , 233.34 , 2.89 , 0.51 , 17 - 14 , 16.22 - 9.34 , -3.88
Joey Jay , Reds , 1963 , 22 , 146.32 , 4.18 , 0.35 , 5 - 15 , 7.74 - 8.78 , -8.96
Jim Maloney , Reds , 1963 , 33 , 250.33 , 2.8 , 0.54 , 23 - 7 , 17.82 - 8.92 , 7.1
Joe Nuxhall , Reds , 1963 , 29 , 206.33 , 2.7 , 0.55 , 15 - 8 , 15.88 - 7.58 , -1.3
Jim Owens , Reds , 1963 , 3 , 9.66 , 8.39 , 0.13 , 0 - 1 , 0.4 - 1.52 , 0.13
Bob Purkey , Reds , 1963 , 21 , 137.0 , 3.55 , 0.38 , 6 - 10 , 7.92 - 7.23 , -4.69
John Tsitouris , Reds , 1963 , 21 , 166.66 , 2.65 , 0.54 , 12 - 7 , 11.38 - 5.72 , -0.66
Dom Zanni , Reds , 1963 , 1 , 2.0 , 18.0 , 0.0 , 0 - 0 , 0.0 - 0.59 , 0.59
Jim Maloney , Reds , 1964 , 31 , 216.0 , 2.71 , 0.46 , 15 - 10 , 14.34 - 8.3 , -1.04
Jim O'Toole , Reds , 1964 , 30 , 219.99 , 2.66 , 0.5 , 17 - 7 , 15.13 - 7.76 , 2.63
Joey Jay , Reds , 1964 , 23 , 162.67 , 3.1 , 0.46 , 9 - 11 , 10.6 - 6.47 , -6.13
