Name, Team, Year, Games Started, IP, ERA, EWA, Record, Earned Record, Support/Luck
Frank Lary , Tigers , 1957 , 35 , 233.0 , 4.02 , 0.38 , 11 - 15 , 13.37 - 12.85 , -4.52
Jim Bunning , Tigers , 1957 , 30 , 237.0 , 2.89 , 0.55 , 18 - 7 , 16.35 - 8.49 , 3.13
Billy Hoeft , Tigers , 1957 , 28 , 191.66 , 3.62 , 0.4 , 9 - 11 , 11.19 - 9.94 , -3.25
Steve Gromek , Tigers , 1957 , 1 , 2.33 , 7.73 , 0.0 , 0 - 0 , 0.0 - 0.43 , 0.43
Paul Foytack , Tigers , 1957 , 27 , 189.34 , 3.28 , 0.44 , 11 - 9 , 11.79 - 8.11 , -1.68
Don Lee , Tigers , 1957 , 6 , 34.33 , 4.98 , 0.28 , 1 - 2 , 1.68 - 2.7 , 0.01
Duke Maas , Tigers , 1957 , 26 , 182.0 , 3.51 , 0.41 , 9 - 12 , 10.66 - 8.54 , -5.12
Harry Byrd , Tigers , 1957 , 1 , 0.0 , 99 , 0.0 , 0 - 0 , 0.0 - 0.67 , 0.67
Jim Bunning , Tigers , 1958 , 34 , 219.33 , 3.49 , 0.44 , 14 - 12 , 14.89 - 10.97 , -1.92
Tom Morgan , Tigers , 1958 , 1 , 2.0 , 13.5 , 0.0 , 0 - 0 , 0.0 - 0.56 , 0.56
Frank Lary , Tigers , 1958 , 34 , 250.0 , 2.88 , 0.54 , 16 - 13 , 18.26 - 9.65 , -5.62
Billy Hoeft , Tigers , 1958 , 21 , 117.99 , 4.2 , 0.34 , 9 - 7 , 7.1 - 7.53 , 2.43
Paul Foytack , Tigers , 1958 , 33 , 219.68 , 3.48 , 0.47 , 15 - 13 , 15.59 - 10.88 , -2.71
Bob Shaw , Tigers , 1958 , 2 , 9.33 , 7.72 , 0.09 , 0 - 2 , 0.17 - 1.1 , -1.08
