Name, Team, Year, Games Started, IP, ERA, EWA, Record, Earned Record, Support/Luck
Whitey Ford , Yankees , 1957 , 17 , 107.34 , 2.6 , 0.47 , 8 - 5 , 7.96 - 3.97 , -0.99
Johnny Kucks , Yankees , 1957 , 23 , 145.32 , 4.03 , 0.39 , 7 - 9 , 8.89 - 8.49 , -2.4
Don Larsen , Yankees , 1957 , 20 , 114.0 , 3.79 , 0.34 , 8 - 4 , 6.89 - 6.99 , 4.1
Tom Sturdivant , Yankees , 1957 , 28 , 201.66 , 2.54 , 0.51 , 16 - 6 , 14.32 - 7.5 , 3.18
Art Ditmar , Yankees , 1957 , 11 , 50.0 , 5.58 , 0.14 , 2 - 2 , 1.52 - 4.78 , 3.27
Bobby Shantz , Yankees , 1957 , 21 , 158.0 , 2.45 , 0.55 , 10 - 5 , 11.6 - 5.07 , -1.53
Bob Turley , Yankees , 1957 , 23 , 158.66 , 2.67 , 0.53 , 12 - 6 , 12.12 - 5.9 , -0.22
Al Cicotte , Yankees , 1957 , 2 , 7.0 , 6.43 , 0.13 , 0 - 2 , 0.25 - 0.86 , -1.39
Ralph Terry , Yankees , 1957 , 2 , 11.33 , 3.18 , 0.48 , 1 - 1 , 0.96 - 0.6 , -0.37
Tommy Byrne , Yankees , 1957 , 4 , 19.66 , 5.49 , 0.3 , 0 - 2 , 1.22 - 1.73 , -1.49
Sal Maglie , Yankees , 1957 , 3 , 22.33 , 2.02 , 0.57 , 2 - 0 , 1.71 - 0.6 , 0.89
Don Larsen , Yankees , 1958 , 19 , 114.33 , 3.07 , 0.44 , 9 - 6 , 8.27 - 5.29 , 0.02
Tom Sturdivant , Yankees , 1958 , 10 , 62.67 , 4.6 , 0.33 , 3 - 6 , 3.31 - 3.63 , -2.69
Johnny Kucks , Yankees , 1958 , 15 , 83.99 , 3.96 , 0.34 , 6 - 5 , 5.16 - 5.13 , 0.97
Whitey Ford , Yankees , 1958 , 29 , 217.67 , 2.03 , 0.59 , 14 - 7 , 17.15 - 5.97 , -4.18
Bobby Shantz , Yankees , 1958 , 13 , 97.67 , 3.41 , 0.44 , 5 - 5 , 5.77 - 4.48 , -1.29
Bob Turley , Yankees , 1958 , 31 , 244.34 , 2.95 , 0.59 , 21 - 7 , 18.3 - 8.63 , 4.34
Sal Maglie , Yankees , 1958 , 3 , 18.0 , 4.5 , 0.28 , 1 - 1 , 0.83 - 1.3 , 0.47
Art Ditmar , Yankees , 1958 , 13 , 87.99 , 3.17 , 0.46 , 7 - 5 , 5.93 - 3.8 , -0.13
Duke Maas , Yankees , 1958 , 13 , 81.66 , 3.2 , 0.43 , 6 - 2 , 5.53 - 3.74 , 2.21
Zach Monroe , Yankees , 1958 , 6 , 34.0 , 3.44 , 0.39 , 4 - 1 , 2.33 - 1.77 , 2.44
Murry Dickson , Yankees , 1958 , 2 , 11.33 , 9.53 , 0.09 , 0 - 1 , 0.18 - 1.47 , 0.29
Ryne Duren , Yankees , 1958 , 1 , 5.0 , 0 , 0.59 , 0 - 0 , 0.59 - 0.05 , -0.54
Bob Turley , Yankees , 1959 , 22 , 137.34 , 4.26 , 0.38 , 7 - 10 , 8.26 - 8.52 , -2.73
Don Larsen , Yankees , 1959 , 18 , 100.33 , 4.13 , 0.33 , 6 - 7 , 5.93 - 6.84 , -0.09
