Name, Team, Year, IP, ER, Decision, Earned Wins, Earned Losses
Mike Witt , Angels , 1987 , 9.0 , 1 , W , 0.89 , 0.05
John Candelaria , Angels , 1987 , 6.67 , 1 , W , 0.62 , 0.09
Don Sutton , Angels , 1987 , 6.33 , 3 , L , 0.29 , 0.36
Kirk McCaskill , Angels , 1987 , 6.0 , 3 , W , 0.29 , 0.36
Urbano Lugo , Angels , 1987 , 4.0 , 3 , N , 0.0 , 0.5
Mike Witt , Angels , 1987 , 4.0 , 6 , L , 0.0 , 0.79
John Candelaria , Angels , 1987 , 6.0 , 2 , N , 0.4 , 0.23
Don Sutton , Angels , 1987 , 2.67 , 4 , L , 0.0 , 0.65
Kirk McCaskill , Angels , 1987 , 9.0 , 0 , W , 0.96 , 0.01
Mike Witt , Angels , 1987 , 9.0 , 1 , W , 0.89 , 0.05
John Candelaria , Angels , 1987 , 7.33 , 0 , W , 0.73 , 0.04
Don Sutton , Angels , 1987 , 5.0 , 4 , L , 0.17 , 0.5
Kirk McCaskill , Angels , 1987 , 6.0 , 3 , N , 0.29 , 0.36
Urbano Lugo , Angels , 1987 , 5.0 , 5 , N , 0.1 , 0.62
Mike Witt , Angels , 1987 , 3.0 , 6 , L , 0.0 , 0.77
John Candelaria , Angels , 1987 , 7.0 , 1 , W , 0.59 , 0.11
Don Sutton , Angels , 1987 , 6.67 , 1 , W , 0.62 , 0.09
Willie Fraser , Angels , 1987 , 4.0 , 3 , N , 0.0 , 0.5
Urbano Lugo , Angels , 1987 , 5.0 , 5 , N , 0.1 , 0.62
Mike Witt , Angels , 1987 , 8.0 , 5 , N , 0.2 , 0.67
John Candelaria , Angels , 1987 , 5.33 , 5 , N , 0.1 , 0.62
Don Sutton , Angels , 1987 , 7.0 , 1 , N , 0.59 , 0.11
Willie Fraser , Angels , 1987 , 5.0 , 3 , L , 0.25 , 0.36
Urbano Lugo , Angels , 1987 , 5.0 , 8 , L , 0.03 , 0.84
Mike Witt , Angels , 1987 , 9.0 , 2 , W , 0.8 , 0.13
John Candelaria , Angels , 1987 , 7.33 , 4 , W , 0.25 , 0.5
Don Sutton , Angels , 1987 , 7.0 , 0 , W , 0.73 , 0.04
Mike Witt , Angels , 1987 , 7.0 , 0 , W , 0.73 , 0.04
John Candelaria , Angels , 1987 , 5.0 , 1 , N , 0.47 , 0.13
Willie Fraser , Angels , 1987 , 9.0 , 1 , W , 0.89 , 0.05
Don Sutton , Angels , 1987 , 5.0 , 5 , L , 0.1 , 0.62
Mike Witt , Angels , 1987 , 6.33 , 1 , W , 0.51 , 0.11
Urbano Lugo , Angels , 1987 , 2.33 , 3 , L , 0.0 , 0.56
John Candelaria , Angels , 1987 , 2.67 , 7 , L , 0.0 , 0.85
Don Sutton , Angels , 1987 , 4.0 , 6 , N , 0.0 , 0.79
Mike Witt , Angels , 1987 , 6.67 , 4 , L , 0.24 , 0.5
Willie Fraser , Angels , 1987 , 8.0 , 1 , N , 0.64 , 0.15
Mike Cook , Angels , 1987 , 5.0 , 5 , L , 0.1 , 0.62
Don Sutton , Angels , 1987 , 7.0 , 1 , N , 0.59 , 0.11
Jack Lazorko , Angels , 1987 , 8.33 , 2 , N , 0.49 , 0.3
Mike Witt , Angels , 1987 , 3.0 , 6 , L , 0.0 , 0.77
Willie Fraser , Angels , 1987 , 8.33 , 3 , L , 0.36 , 0.45
Don Sutton , Angels , 1987 , 2.67 , 5 , N , 0.0 , 0.74
Jack Lazorko , Angels , 1987 , 8.0 , 5 , L , 0.2 , 0.67
Mike Witt , Angels , 1987 , 4.67 , 3 , N , 0.0 , 0.5
Willie Fraser , Angels , 1987 , 4.0 , 5 , N , 0.0 , 0.73
Don Sutton , Angels , 1987 , 8.0 , 3 , L , 0.36 , 0.45
Jack Lazorko , Angels , 1987 , 9.0 , 4 , L , 0.55 , 0.37
John Candelaria , Angels , 1987 , 4.67 , 3 , L , 0.0 , 0.5
Mike Witt , Angels , 1987 , 9.0 , 1 , W , 0.89 , 0.05
Willie Fraser , Angels , 1987 , 7.33 , 3 , L , 0.34 , 0.37
Don Sutton , Angels , 1987 , 2.33 , 5 , L , 0.0 , 0.75
Jack Lazorko , Angels , 1987 , 9.0 , 2 , W , 0.8 , 0.13
John Candelaria , Angels , 1987 , 7.0 , 3 , W , 0.34 , 0.37
Mike Witt , Angels , 1987 , 10.0 , 1 , W , 0.46 , 0.05
Willie Fraser , Angels , 1987 , 9.0 , 4 , L , 0.55 , 0.37
Don Sutton , Angels , 1987 , 8.0 , 2 , L , 0.49 , 0.3
Jack Lazorko , Angels , 1987 , 7.0 , 3 , W , 0.34 , 0.37
John Candelaria , Angels , 1987 , 5.0 , 7 , N , 0.05 , 0.78
Mike Witt , Angels , 1987 , 8.0 , 1 , L , 0.64 , 0.15
Willie Fraser , Angels , 1987 , 9.0 , 0 , W , 0.96 , 0.01
Don Sutton , Angels , 1987 , 7.0 , 0 , W , 0.73 , 0.04
Jack Lazorko , Angels , 1987 , 2.67 , 6 , N , 0.0 , 0.8
John Candelaria , Angels , 1987 , 5.67 , 3 , L , 0.29 , 0.35
