Name, Team, Year, IP, ER, Decision, Earned Wins, Earned Losses
Nolan Ryan , Astros , 1986 , 6.33 , 6 , L , 0.08 , 0.74
Mike Scott , Astros , 1986 , 5.0 , 3 , L , 0.25 , 0.36
Bob Knepper , Astros , 1986 , 9.0 , 0 , W , 0.96 , 0.01
Jim Deshaies , Astros , 1986 , 6.0 , 1 , N , 0.51 , 0.11
Nolan Ryan , Astros , 1986 , 7.0 , 1 , W , 0.59 , 0.11
Mike Scott , Astros , 1986 , 5.0 , 5 , L , 0.1 , 0.62
Bob Knepper , Astros , 1986 , 5.0 , 3 , W , 0.25 , 0.36
Nolan Ryan , Astros , 1986 , 7.67 , 0 , W , 0.83 , 0.03
Mike Scott , Astros , 1986 , 8.33 , 4 , W , 0.25 , 0.58
Bob Knepper , Astros , 1986 , 5.33 , 0 , W , 0.59 , 0.05
Jim Deshaies , Astros , 1986 , 2.67 , 3 , N , 0.0 , 0.52
Nolan Ryan , Astros , 1986 , 3.0 , 7 , L , 0.0 , 0.84
Mike Scott , Astros , 1986 , 6.0 , 2 , N , 0.4 , 0.23
Bob Knepper , Astros , 1986 , 7.0 , 2 , N , 0.46 , 0.23
Mike Madden , Astros , 1986 , 4.0 , 1 , L , 0.0 , 0.25
Nolan Ryan , Astros , 1986 , 9.0 , 1 , W , 0.89 , 0.05
Mike Scott , Astros , 1986 , 9.0 , 0 , W , 0.96 , 0.01
Bob Knepper , Astros , 1986 , 9.0 , 0 , W , 0.96 , 0.01
Nolan Ryan , Astros , 1986 , 1.0 , 6 , L , 0.0 , 0.85
Mike Scott , Astros , 1986 , 6.33 , 0 , W , 0.66 , 0.04
Bob Knepper , Astros , 1986 , 6.0 , 1 , W , 0.51 , 0.11
Nolan Ryan , Astros , 1986 , 5.0 , 2 , N , 0.35 , 0.24
Mike Scott , Astros , 1986 , 5.0 , 6 , N , 0.08 , 0.7
Bob Knepper , Astros , 1986 , 6.33 , 3 , L , 0.29 , 0.36
Nolan Ryan , Astros , 1986 , 5.0 , 3 , L , 0.25 , 0.36
Mike Scott , Astros , 1986 , 7.0 , 1 , N , 0.59 , 0.11
Bob Knepper , Astros , 1986 , 7.0 , 2 , W , 0.46 , 0.23
Nolan Ryan , Astros , 1986 , 6.0 , 3 , N , 0.29 , 0.36
Jim Deshaies , Astros , 1986 , 4.33 , 4 , L , 0.0 , 0.6
