Name, Team, Year, IP, ER, Decision, Earned Wins, Earned Losses
Chris Codiroli , Athletics , 1986 , 5.0 , 0 , L , 0.59 , 0.05
Jose Rijo , Athletics , 1986 , 7.0 , 3 , N , 0.34 , 0.37
Moose Haas , Athletics , 1986 , 7.67 , 0 , W , 0.83 , 0.03
Rick Langford , Athletics , 1986 , 5.67 , 4 , L , 0.17 , 0.51
Joaquin Andujar , Athletics , 1986 , 4.0 , 6 , L , 0.0 , 0.79
Chris Codiroli , Athletics , 1986 , 5.0 , 4 , W , 0.17 , 0.5
Jose Rijo , Athletics , 1986 , 4.67 , 6 , N , 0.0 , 0.73
Moose Haas , Athletics , 1986 , 9.0 , 2 , W , 0.8 , 0.13
Joaquin Andujar , Athletics , 1986 , 6.33 , 3 , N , 0.29 , 0.36
Chris Codiroli , Athletics , 1986 , 7.67 , 1 , W , 0.72 , 0.08
Jose Rijo , Athletics , 1986 , 8.0 , 2 , W , 0.49 , 0.3
Moose Haas , Athletics , 1986 , 7.0 , 1 , W , 0.59 , 0.11
Joaquin Andujar , Athletics , 1986 , 6.0 , 1 , W , 0.51 , 0.11
Rick Langford , Athletics , 1986 , 4.0 , 4 , L , 0.0 , 0.6
Chris Codiroli , Athletics , 1986 , 6.0 , 1 , L , 0.51 , 0.11
Jose Rijo , Athletics , 1986 , 8.33 , 3 , L , 0.36 , 0.45
Moose Haas , Athletics , 1986 , 5.0 , 1 , W , 0.47 , 0.13
Joaquin Andujar , Athletics , 1986 , 6.0 , 1 , W , 0.51 , 0.11
Rick Langford , Athletics , 1986 , 7.0 , 0 , W , 0.73 , 0.04
Chris Codiroli , Athletics , 1986 , 5.0 , 1 , N , 0.47 , 0.13
Jose Rijo , Athletics , 1986 , 7.0 , 5 , L , 0.18 , 0.64
Moose Haas , Athletics , 1986 , 8.0 , 2 , W , 0.49 , 0.3
Joaquin Andujar , Athletics , 1986 , 9.0 , 1 , W , 0.89 , 0.05
Chris Codiroli , Athletics , 1986 , 8.0 , 4 , L , 0.25 , 0.58
Rick Langford , Athletics , 1986 , 5.67 , 4 , L , 0.17 , 0.51
Jose Rijo , Athletics , 1986 , 3.33 , 5 , N , 0.0 , 0.69
Moose Haas , Athletics , 1986 , 7.0 , 2 , W , 0.46 , 0.23
Joaquin Andujar , Athletics , 1986 , 5.0 , 4 , W , 0.17 , 0.5
Chris Codiroli , Athletics , 1986 , 8.0 , 0 , W , 0.76 , 0.04
Rick Langford , Athletics , 1986 , 1.67 , 4 , N , 0.0 , 0.67
Jose Rijo , Athletics , 1986 , 8.0 , 1 , N , 0.64 , 0.15
Moose Haas , Athletics , 1986 , 8.67 , 5 , L , 0.42 , 0.46
Joaquin Andujar , Athletics , 1986 , 1.0 , 1 , L , 0.0 , 0.31
Chris Codiroli , Athletics , 1986 , 7.0 , 3 , N , 0.34 , 0.37
Curt Young , Athletics , 1986 , 7.33 , 4 , W , 0.25 , 0.5
Moose Haas , Athletics , 1986 , 6.0 , 4 , W , 0.19 , 0.5
Rick Langford , Athletics , 1986 , 1.67 , 4 , L , 0.0 , 0.67
Chris Codiroli , Athletics , 1986 , 4.67 , 4 , L , 0.0 , 0.6
Curt Young , Athletics , 1986 , 8.33 , 1 , W , 0.64 , 0.15
Moose Haas , Athletics , 1986 , 2.0 , 0 , N , 0.0 , 0.06
Joaquin Andujar , Athletics , 1986 , 6.0 , 2 , N , 0.4 , 0.23
Jose Rijo , Athletics , 1986 , 9.0 , 1 , W , 0.89 , 0.05
Chris Codiroli , Athletics , 1986 , 6.0 , 3 , L , 0.29 , 0.36
Curt Young , Athletics , 1986 , 7.0 , 1 , L , 0.59 , 0.11
Joaquin Andujar , Athletics , 1986 , 1.0 , 0 , N , 0.0 , 0.03
Jose Rijo , Athletics , 1986 , 6.33 , 4 , N , 0.19 , 0.5
Chris Codiroli , Athletics , 1986 , 5.0 , 7 , L , 0.05 , 0.78
Curt Young , Athletics , 1986 , 6.0 , 3 , W , 0.29 , 0.36
Eric Plunk , Athletics , 1986 , 7.0 , 3 , N , 0.34 , 0.37
Dave Stewart , Athletics , 1986 , 5.0 , 1 , N , 0.47 , 0.13
Chris Codiroli , Athletics , 1986 , 7.0 , 1 , W , 0.59 , 0.11
Curt Young , Athletics , 1986 , 6.33 , 2 , W , 0.4 , 0.23
Eric Plunk , Athletics , 1986 , 2.33 , 4 , L , 0.0 , 0.59
Moose Haas , Athletics , 1986 , 3.0 , 4 , L , 0.0 , 0.62
Joaquin Andujar , Athletics , 1986 , 0.33 , 0 , N , 0.0 , 0.03
Chris Codiroli , Athletics , 1986 , 4.33 , 7 , L , 0.0 , 0.83
Curt Young , Athletics , 1986 , 4.0 , 8 , L , 0.0 , 0.91
Eric Plunk , Athletics , 1986 , 5.67 , 4 , N , 0.17 , 0.51
Bill Mooneyham , Athletics , 1986 , 4.33 , 3 , N , 0.0 , 0.5
Rick Langford , Athletics , 1986 , 4.67 , 4 , L , 0.0 , 0.6
Curt Young , Athletics , 1986 , 7.33 , 1 , L , 0.59 , 0.11
Eric Plunk , Athletics , 1986 , 7.67 , 2 , W , 0.56 , 0.17
Chris Codiroli , Athletics , 1986 , 6.0 , 0 , W , 0.66 , 0.04
Rick Langford , Athletics , 1986 , 6.33 , 1 , N , 0.51 , 0.11
Bill Mooneyham , Athletics , 1986 , 7.33 , 2 , L , 0.46 , 0.23
Curt Young , Athletics , 1986 , 9.0 , 0 , W , 0.96 , 0.01
Eric Plunk , Athletics , 1986 , 6.33 , 3 , L , 0.29 , 0.36
Chris Codiroli , Athletics , 1986 , 1.67 , 3 , L , 0.0 , 0.58
Rick Langford , Athletics , 1986 , 7.0 , 3 , L , 0.34 , 0.37
Bill Mooneyham , Athletics , 1986 , 5.0 , 2 , N , 0.35 , 0.24
Curt Young , Athletics , 1986 , 5.67 , 5 , L , 0.13 , 0.61
Eric Plunk , Athletics , 1986 , 5.67 , 3 , W , 0.29 , 0.35
Jose Rijo , Athletics , 1986 , 3.33 , 4 , N , 0.0 , 0.62
Rick Langford , Athletics , 1986 , 1.0 , 8 , L , 0.0 , 0.79
Chris Codiroli , Athletics , 1986 , 5.33 , 2 , N , 0.35 , 0.24
Curt Young , Athletics , 1986 , 9.0 , 4 , L , 0.55 , 0.37
Eric Plunk , Athletics , 1986 , 7.0 , 5 , N , 0.18 , 0.64
Jose Rijo , Athletics , 1986 , 8.33 , 4 , L , 0.25 , 0.58
Rick Langford , Athletics , 1986 , 2.0 , 5 , L , 0.0 , 0.75
Bill Mooneyham , Athletics , 1986 , 5.0 , 7 , L , 0.05 , 0.78
Curt Young , Athletics , 1986 , 5.67 , 4 , N , 0.17 , 0.51
Eric Plunk , Athletics , 1986 , 8.33 , 2 , L , 0.49 , 0.3
Jose Rijo , Athletics , 1986 , 8.67 , 3 , W , 0.55 , 0.28
Dave Stewart , Athletics , 1986 , 6.0 , 4 , W , 0.19 , 0.5
Bill Mooneyham , Athletics , 1986 , 5.0 , 4 , N , 0.17 , 0.5
Curt Young , Athletics , 1986 , 7.33 , 6 , L , 0.15 , 0.69
Eric Plunk , Athletics , 1986 , 6.33 , 3 , L , 0.29 , 0.36
Jose Rijo , Athletics , 1986 , 7.0 , 3 , L , 0.34 , 0.37
Dave Stewart , Athletics , 1986 , 7.0 , 2 , W , 0.46 , 0.23
Bill Mooneyham , Athletics , 1986 , 4.33 , 4 , N , 0.0 , 0.6
Joaquin Andujar , Athletics , 1986 , 5.33 , 0 , W , 0.59 , 0.05
Moose Haas , Athletics , 1986 , 4.0 , 1 , N , 0.0 , 0.25
Eric Plunk , Athletics , 1986 , 3.33 , 5 , L , 0.0 , 0.69
Jose Rijo , Athletics , 1986 , 9.0 , 2 , W , 0.8 , 0.13
Curt Young , Athletics , 1986 , 8.67 , 2 , W , 0.68 , 0.18
Joaquin Andujar , Athletics , 1986 , 7.33 , 2 , W , 0.46 , 0.23
Dave Stewart , Athletics , 1986 , 8.0 , 2 , W , 0.49 , 0.3
Jose Rijo , Athletics , 1986 , 5.33 , 1 , N , 0.47 , 0.13
Eric Plunk , Athletics , 1986 , 6.0 , 0 , W , 0.66 , 0.04
Curt Young , Athletics , 1986 , 8.33 , 0 , N , 0.76 , 0.04
Joaquin Andujar , Athletics , 1986 , 5.67 , 6 , L , 0.07 , 0.73
Dave Stewart , Athletics , 1986 , 7.0 , 2 , W , 0.46 , 0.23
Jose Rijo , Athletics , 1986 , 7.33 , 2 , N , 0.46 , 0.23
Eric Plunk , Athletics , 1986 , 6.33 , 8 , L , 0.0 , 0.99
Curt Young , Athletics , 1986 , 4.33 , 6 , L , 0.0 , 0.79
Joaquin Andujar , Athletics , 1986 , 1.33 , 7 , L , 0.0 , 0.94
Dave Stewart , Athletics , 1986 , 7.0 , 4 , N , 0.25 , 0.5
Jose Rijo , Athletics , 1986 , 6.67 , 6 , N , 0.09 , 0.74
Curt Young , Athletics , 1986 , 7.0 , 3 , W , 0.34 , 0.37
Eric Plunk , Athletics , 1986 , 4.33 , 5 , N , 0.0 , 0.73
Joaquin Andujar , Athletics , 1986 , 6.0 , 2 , W , 0.4 , 0.23
Dave Stewart , Athletics , 1986 , 6.67 , 4 , L , 0.24 , 0.5
Curt Young , Athletics , 1986 , 7.0 , 0 , W , 0.73 , 0.04
Jose Rijo , Athletics , 1986 , 6.0 , 5 , W , 0.13 , 0.61
Eric Plunk , Athletics , 1986 , 6.33 , 3 , N , 0.29 , 0.36
Joaquin Andujar , Athletics , 1986 , 9.0 , 2 , N , 0.8 , 0.13
Dave Stewart , Athletics , 1986 , 7.0 , 1 , W , 0.59 , 0.11
Jose Rijo , Athletics , 1986 , 7.67 , 5 , L , 0.25 , 0.56
Curt Young , Athletics , 1986 , 6.33 , 2 , L , 0.4 , 0.23
Joaquin Andujar , Athletics , 1986 , 5.0 , 4 , L , 0.17 , 0.5
Dave Stewart , Athletics , 1986 , 7.67 , 0 , W , 0.83 , 0.03
Joaquin Andujar , Athletics , 1986 , 8.0 , 2 , L , 0.49 , 0.3
Curt Young , Athletics , 1986 , 8.0 , 1 , W , 0.64 , 0.15
Dave Stewart , Athletics , 1986 , 9.0 , 4 , W , 0.55 , 0.37
Jose Rijo , Athletics , 1986 , 9.0 , 4 , W , 0.55 , 0.37
