Name, Team, Year, IP, ER, Decision, Earned Wins, Earned Losses
Tommy Hanson , Braves , 2012 , 5.0 , 1 , L , 0.47 , 0.13
Jair Jurrjens , Braves , 2012 , 4.33 , 3 , L , 0.0 , 0.5
Mike Minor , Braves , 2012 , 5.0 , 6 , L , 0.08 , 0.7
Brandon Beachy , Braves , 2012 , 5.0 , 1 , L , 0.47 , 0.13
Tommy Hanson , Braves , 2012 , 5.0 , 2 , W , 0.35 , 0.24
Randall Delgado , Braves , 2012 , 5.0 , 2 , W , 0.35 , 0.24
Jair Jurrjens , Braves , 2012 , 5.0 , 5 , N , 0.1 , 0.62
Mike Minor , Braves , 2012 , 7.33 , 0 , W , 0.73 , 0.04
Brandon Beachy , Braves , 2012 , 7.0 , 0 , W , 0.73 , 0.04
Tommy Hanson , Braves , 2012 , 7.0 , 4 , L , 0.25 , 0.5
Randall Delgado , Braves , 2012 , 5.33 , 3 , W , 0.25 , 0.36
Jair Jurrjens , Braves , 2012 , 4.0 , 4 , N , 0.0 , 0.6
Mike Minor , Braves , 2012 , 8.0 , 1 , W , 0.64 , 0.15
Brandon Beachy , Braves , 2012 , 7.33 , 0 , W , 0.73 , 0.04
Tommy Hanson , Braves , 2012 , 7.0 , 2 , W , 0.46 , 0.23
Randall Delgado , Braves , 2012 , 5.33 , 5 , L , 0.1 , 0.62
Jair Jurrjens , Braves , 2012 , 3.0 , 5 , L , 0.0 , 0.69
Mike Minor , Braves , 2012 , 6.0 , 3 , N , 0.29 , 0.36
Brandon Beachy , Braves , 2012 , 6.33 , 2 , N , 0.4 , 0.23
Tommy Hanson , Braves , 2012 , 6.0 , 1 , W , 0.51 , 0.11
Randall Delgado , Braves , 2012 , 4.33 , 4 , L , 0.0 , 0.6
Tim Hudson , Braves , 2012 , 5.0 , 2 , W , 0.35 , 0.24
Mike Minor , Braves , 2012 , 6.33 , 7 , L , 0.07 , 0.81
Brandon Beachy , Braves , 2012 , 7.0 , 2 , N , 0.46 , 0.23
Tommy Hanson , Braves , 2012 , 3.67 , 4 , N , 0.0 , 0.62
Randall Delgado , Braves , 2012 , 8.0 , 2 , L , 0.49 , 0.3
Tim Hudson , Braves , 2012 , 6.0 , 6 , N , 0.08 , 0.74
