Name, Team, Year, IP, ER, Decision, Earned Wins, Earned Losses
Doug Davis , Brewers , 2006 , 6.0 , 2 , N , 0.4 , 0.23
Chris Capuano , Brewers , 2006 , 6.0 , 2 , W , 0.4 , 0.23
Tomo Ohka , Brewers , 2006 , 7.0 , 1 , N , 0.59 , 0.11
Dave Bush , Brewers , 2006 , 7.0 , 1 , W , 0.59 , 0.11
Doug Davis , Brewers , 2006 , 5.0 , 4 , N , 0.17 , 0.5
Chris Capuano , Brewers , 2006 , 6.33 , 3 , L , 0.29 , 0.36
Tomo Ohka , Brewers , 2006 , 4.0 , 4 , L , 0.0 , 0.6
Dave Bush , Brewers , 2006 , 6.0 , 7 , L , 0.07 , 0.81
Doug Davis , Brewers , 2006 , 6.0 , 3 , N , 0.29 , 0.36
Chris Capuano , Brewers , 2006 , 6.0 , 3 , L , 0.29 , 0.36
Tomo Ohka , Brewers , 2006 , 7.0 , 1 , W , 0.59 , 0.11
Ben Sheets , Brewers , 2006 , 5.0 , 4 , L , 0.17 , 0.5
Dave Bush , Brewers , 2006 , 6.0 , 3 , N , 0.29 , 0.36
Doug Davis , Brewers , 2006 , 2.67 , 9 , L , 0.0 , 1.0
Chris Capuano , Brewers , 2006 , 7.67 , 2 , W , 0.56 , 0.17
Tomo Ohka , Brewers , 2006 , 4.0 , 4 , N , 0.0 , 0.6
Ben Sheets , Brewers , 2006 , 7.0 , 2 , L , 0.46 , 0.23
Dave Bush , Brewers , 2006 , 9.0 , 0 , W , 0.96 , 0.01
Doug Davis , Brewers , 2006 , 5.0 , 3 , L , 0.25 , 0.36
Chris Capuano , Brewers , 2006 , 7.0 , 1 , W , 0.59 , 0.11
Tomo Ohka , Brewers , 2006 , 7.0 , 2 , W , 0.46 , 0.23
Ben Sheets , Brewers , 2006 , 6.0 , 2 , W , 0.4 , 0.23
Dave Bush , Brewers , 2006 , 6.0 , 5 , L , 0.13 , 0.61
Doug Davis , Brewers , 2006 , 6.33 , 1 , W , 0.51 , 0.11
Chris Capuano , Brewers , 2006 , 9.0 , 0 , W , 0.96 , 0.01
Tomo Ohka , Brewers , 2006 , 5.0 , 0 , N , 0.59 , 0.05
Ben Sheets , Brewers , 2006 , 2.33 , 7 , L , 0.0 , 0.88
Dave Bush , Brewers , 2006 , 8.0 , 2 , L , 0.49 , 0.3
Doug Davis , Brewers , 2006 , 6.0 , 0 , W , 0.66 , 0.04
Chris Capuano , Brewers , 2006 , 6.0 , 3 , N , 0.29 , 0.36
Ben Hendrickson , Brewers , 2006 , 5.0 , 3 , N , 0.25 , 0.36
Dave Bush , Brewers , 2006 , 6.0 , 4 , L , 0.19 , 0.5
Doug Davis , Brewers , 2006 , 7.0 , 4 , N , 0.25 , 0.5
Chris Capuano , Brewers , 2006 , 6.0 , 3 , L , 0.29 , 0.36
Ben Hendrickson , Brewers , 2006 , 2.33 , 7 , L , 0.0 , 0.88
Dave Bush , Brewers , 2006 , 6.0 , 3 , W , 0.29 , 0.36
Dana Eveland , Brewers , 2006 , 5.67 , 6 , N , 0.07 , 0.73
Doug Davis , Brewers , 2006 , 5.0 , 2 , N , 0.35 , 0.24
Chris Capuano , Brewers , 2006 , 7.0 , 2 , N , 0.46 , 0.23
Dave Bush , Brewers , 2006 , 6.0 , 4 , N , 0.19 , 0.5
Dana Eveland , Brewers , 2006 , 5.0 , 4 , N , 0.17 , 0.5
Doug Davis , Brewers , 2006 , 7.0 , 4 , L , 0.25 , 0.5
Ben Hendrickson , Brewers , 2006 , 0.0 , 6 , L , 0.0 , 0.84
Chris Capuano , Brewers , 2006 , 7.0 , 2 , W , 0.46 , 0.23
Dave Bush , Brewers , 2006 , 4.0 , 7 , L , 0.0 , 0.83
Dana Eveland , Brewers , 2006 , 4.67 , 4 , L , 0.0 , 0.6
Doug Davis , Brewers , 2006 , 7.0 , 2 , W , 0.46 , 0.23
Chris Capuano , Brewers , 2006 , 7.0 , 3 , N , 0.34 , 0.37
Dave Bush , Brewers , 2006 , 5.33 , 4 , N , 0.17 , 0.5
Dana Eveland , Brewers , 2006 , 5.0 , 4 , L , 0.17 , 0.5
Doug Davis , Brewers , 2006 , 3.0 , 7 , L , 0.0 , 0.84
Jorge de la Rosa , Brewers , 2006 , 3.0 , 6 , L , 0.0 , 0.77
Chris Capuano , Brewers , 2006 , 6.0 , 6 , L , 0.08 , 0.74
Dave Bush , Brewers , 2006 , 7.0 , 2 , N , 0.46 , 0.23
Dana Eveland , Brewers , 2006 , 4.0 , 5 , L , 0.0 , 0.73
Doug Davis , Brewers , 2006 , 8.0 , 2 , N , 0.49 , 0.3
Jorge de la Rosa , Brewers , 2006 , 5.67 , 4 , L , 0.17 , 0.51
Chris Capuano , Brewers , 2006 , 6.0 , 2 , W , 0.4 , 0.23
Dave Bush , Brewers , 2006 , 9.0 , 1 , W , 0.89 , 0.05
Zach Jackson , Brewers , 2006 , 6.33 , 2 , N , 0.4 , 0.23
Doug Davis , Brewers , 2006 , 7.0 , 3 , N , 0.34 , 0.37
Jorge de la Rosa , Brewers , 2006 , 3.0 , 5 , N , 0.0 , 0.69
Chris Capuano , Brewers , 2006 , 7.0 , 3 , N , 0.34 , 0.37
Dave Bush , Brewers , 2006 , 4.0 , 7 , L , 0.0 , 0.83
