Name, Team, Year, IP, ER, Decision, Earned Wins, Earned Losses
Bob Gibson , Cardinals , 1967 , 9.0 , 0 , W , 0.96 , 0.01
Larry Jaster , Cardinals , 1967 , 8.0 , 3 , W , 0.36 , 0.45
Al Jackson , Cardinals , 1967 , 7.0 , 4 , W , 0.25 , 0.5
Bob Gibson , Cardinals , 1967 , 6.0 , 7 , W , 0.07 , 0.81
Ray Washburn , Cardinals , 1967 , 9.0 , 1 , N , 0.89 , 0.05
Larry Jaster , Cardinals , 1967 , 7.33 , 5 , W , 0.18 , 0.64
Al Jackson , Cardinals , 1967 , 2.0 , 2 , L , 0.0 , 0.43
Bob Gibson , Cardinals , 1967 , 9.0 , 1 , W , 0.89 , 0.05
Ray Washburn , Cardinals , 1967 , 3.33 , 5 , L , 0.0 , 0.69
Larry Jaster , Cardinals , 1967 , 2.33 , 4 , N , 0.0 , 0.59
Al Jackson , Cardinals , 1967 , 9.0 , 0 , W , 0.96 , 0.01
Steve Carlton , Cardinals , 1967 , 8.0 , 2 , W , 0.49 , 0.3
Bob Gibson , Cardinals , 1967 , 6.0 , 3 , L , 0.29 , 0.36
Ray Washburn , Cardinals , 1967 , 7.67 , 5 , L , 0.25 , 0.56
Larry Jaster , Cardinals , 1967 , 2.33 , 1 , L , 0.0 , 0.25
Al Jackson , Cardinals , 1967 , 2.0 , 4 , L , 0.0 , 0.59
Bob Gibson , Cardinals , 1967 , 9.0 , 0 , W , 0.96 , 0.01
Ray Washburn , Cardinals , 1967 , 9.0 , 0 , W , 0.96 , 0.01
Dick Hughes , Cardinals , 1967 , 6.67 , 3 , N , 0.36 , 0.33
Al Jackson , Cardinals , 1967 , 8.33 , 3 , W , 0.36 , 0.45
Bob Gibson , Cardinals , 1967 , 8.67 , 5 , L , 0.42 , 0.46
Ray Washburn , Cardinals , 1967 , 6.67 , 3 , N , 0.36 , 0.33
Steve Carlton , Cardinals , 1967 , 8.0 , 3 , W , 0.36 , 0.45
Dick Hughes , Cardinals , 1967 , 7.0 , 2 , L , 0.46 , 0.23
Al Jackson , Cardinals , 1967 , 6.0 , 3 , N , 0.29 , 0.36
Bob Gibson , Cardinals , 1967 , 3.67 , 3 , L , 0.0 , 0.51
Ray Washburn , Cardinals , 1967 , 7.0 , 2 , N , 0.46 , 0.23
Steve Carlton , Cardinals , 1967 , 6.67 , 0 , N , 0.74 , 0.04
Bob Gibson , Cardinals , 1967 , 8.0 , 3 , W , 0.36 , 0.45
Al Jackson , Cardinals , 1967 , 3.0 , 4 , N , 0.0 , 0.62
Ray Washburn , Cardinals , 1967 , 9.0 , 2 , W , 0.8 , 0.13
Steve Carlton , Cardinals , 1967 , 1.33 , 2 , N , 0.0 , 0.54
Bob Gibson , Cardinals , 1967 , 8.0 , 2 , L , 0.49 , 0.3
Dick Hughes , Cardinals , 1967 , 9.0 , 0 , W , 0.96 , 0.01
Ray Washburn , Cardinals , 1967 , 7.0 , 4 , N , 0.25 , 0.5
Larry Jaster , Cardinals , 1967 , 5.0 , 4 , W , 0.17 , 0.5
Steve Carlton , Cardinals , 1967 , 9.0 , 3 , W , 0.7 , 0.23
Bob Gibson , Cardinals , 1967 , 11.0 , 1 , W , 0.46 , 0.05
Al Jackson , Cardinals , 1967 , 4.0 , 5 , N , 0.0 , 0.73
Dick Hughes , Cardinals , 1967 , 8.0 , 2 , L , 0.49 , 0.3
Ray Washburn , Cardinals , 1967 , 7.33 , 3 , N , 0.34 , 0.37
Steve Carlton , Cardinals , 1967 , 9.0 , 1 , W , 0.89 , 0.05
Bob Gibson , Cardinals , 1967 , 4.33 , 5 , L , 0.0 , 0.73
Dick Hughes , Cardinals , 1967 , 9.0 , 2 , W , 0.8 , 0.13
Larry Jaster , Cardinals , 1967 , 5.0 , 3 , L , 0.25 , 0.36
Ray Washburn , Cardinals , 1967 , 8.0 , 3 , L , 0.36 , 0.45
Steve Carlton , Cardinals , 1967 , 5.0 , 3 , L , 0.25 , 0.36
Bob Gibson , Cardinals , 1967 , 9.0 , 1 , W , 0.89 , 0.05
Dick Hughes , Cardinals , 1967 , 8.0 , 2 , W , 0.49 , 0.3
Larry Jaster , Cardinals , 1967 , 9.0 , 2 , N , 0.8 , 0.13
Ray Washburn , Cardinals , 1967 , 6.33 , 3 , N , 0.29 , 0.36
Al Jackson , Cardinals , 1967 , 5.67 , 3 , W , 0.29 , 0.35
Steve Carlton , Cardinals , 1967 , 6.0 , 7 , L , 0.07 , 0.81
Dick Hughes , Cardinals , 1967 , 8.67 , 4 , W , 0.45 , 0.36
Bob Gibson , Cardinals , 1967 , 9.0 , 4 , W , 0.55 , 0.37
Ray Washburn , Cardinals , 1967 , 6.67 , 1 , W , 0.62 , 0.09
Steve Carlton , Cardinals , 1967 , 2.0 , 3 , L , 0.0 , 0.56
Dick Hughes , Cardinals , 1967 , 9.0 , 1 , W , 0.89 , 0.05
Bob Gibson , Cardinals , 1967 , 7.0 , 3 , N , 0.34 , 0.37
Larry Jaster , Cardinals , 1967 , 8.0 , 1 , W , 0.64 , 0.15
Ray Washburn , Cardinals , 1967 , 6.33 , 0 , W , 0.66 , 0.04
Steve Carlton , Cardinals , 1967 , 9.0 , 1 , W , 0.89 , 0.05
Dick Hughes , Cardinals , 1967 , 9.0 , 2 , W , 0.8 , 0.13
Bob Gibson , Cardinals , 1967 , 9.0 , 1 , W , 0.89 , 0.05
