Name, Team, Year, IP, ER, Decision, Earned Wins, Earned Losses
Rick Sutcliffe , Cubs , 1988 , 4.0 , 8 , N , 0.0 , 0.91
Greg Maddux , Cubs , 1988 , 9.0 , 0 , W , 0.96 , 0.01
Jamie Moyer , Cubs , 1988 , 6.67 , 4 , W , 0.24 , 0.5
Calvin Schiraldi , Cubs , 1988 , 4.33 , 5 , L , 0.0 , 0.73
Rick Sutcliffe , Cubs , 1988 , 8.67 , 5 , N , 0.42 , 0.46
Greg Maddux , Cubs , 1988 , 9.0 , 1 , W , 0.89 , 0.05
Al Nipper , Cubs , 1988 , 3.67 , 3 , N , 0.0 , 0.51
Jamie Moyer , Cubs , 1988 , 6.0 , 3 , N , 0.29 , 0.36
Rick Sutcliffe , Cubs , 1988 , 9.0 , 0 , W , 0.96 , 0.01
Greg Maddux , Cubs , 1988 , 6.0 , 4 , L , 0.19 , 0.5
Calvin Schiraldi , Cubs , 1988 , 3.0 , 5 , L , 0.0 , 0.69
Jamie Moyer , Cubs , 1988 , 6.0 , 2 , L , 0.4 , 0.23
Rick Sutcliffe , Cubs , 1988 , 8.0 , 2 , L , 0.49 , 0.3
Greg Maddux , Cubs , 1988 , 9.0 , 2 , W , 0.8 , 0.13
Calvin Schiraldi , Cubs , 1988 , 6.0 , 3 , N , 0.29 , 0.36
Al Nipper , Cubs , 1988 , 5.67 , 2 , N , 0.42 , 0.19
Rick Sutcliffe , Cubs , 1988 , 8.0 , 4 , L , 0.25 , 0.58
Greg Maddux , Cubs , 1988 , 8.0 , 3 , W , 0.36 , 0.45
Jamie Moyer , Cubs , 1988 , 4.0 , 3 , L , 0.0 , 0.5
Calvin Schiraldi , Cubs , 1988 , 5.33 , 0 , W , 0.59 , 0.05
Rick Sutcliffe , Cubs , 1988 , 8.0 , 4 , L , 0.25 , 0.58
Al Nipper , Cubs , 1988 , 8.0 , 0 , N , 0.76 , 0.04
Greg Maddux , Cubs , 1988 , 6.0 , 4 , L , 0.19 , 0.5
Jamie Moyer , Cubs , 1988 , 6.0 , 2 , W , 0.4 , 0.23
Calvin Schiraldi , Cubs , 1988 , 7.0 , 3 , W , 0.34 , 0.37
Rick Sutcliffe , Cubs , 1988 , 6.67 , 3 , W , 0.36 , 0.33
Greg Maddux , Cubs , 1988 , 7.33 , 1 , W , 0.59 , 0.11
Jamie Moyer , Cubs , 1988 , 7.0 , 2 , L , 0.46 , 0.23
Al Nipper , Cubs , 1988 , 5.0 , 3 , N , 0.25 , 0.36
Rick Sutcliffe , Cubs , 1988 , 5.0 , 5 , N , 0.1 , 0.62
Greg Maddux , Cubs , 1988 , 10.0 , 0 , W , 0.37 , 0.03
Calvin Schiraldi , Cubs , 1988 , 6.0 , 0 , N , 0.66 , 0.04
Jamie Moyer , Cubs , 1988 , 6.0 , 2 , L , 0.4 , 0.23
Al Nipper , Cubs , 1988 , 6.0 , 2 , L , 0.4 , 0.23
Rick Sutcliffe , Cubs , 1988 , 9.0 , 1 , W , 0.89 , 0.05
Greg Maddux , Cubs , 1988 , 10.67 , 3 , L , 0.26 , 0.34
Jamie Moyer , Cubs , 1988 , 6.0 , 1 , N , 0.51 , 0.11
Al Nipper , Cubs , 1988 , 6.33 , 2 , L , 0.4 , 0.23
Rick Sutcliffe , Cubs , 1988 , 2.67 , 6 , L , 0.0 , 0.8
Bob Tewksbury , Cubs , 1988 , 3.33 , 3 , N , 0.0 , 0.47
Greg Maddux , Cubs , 1988 , 6.0 , 1 , W , 0.51 , 0.11
Jamie Moyer , Cubs , 1988 , 9.33 , 3 , L , 0.7 , 0.23
Al Nipper , Cubs , 1988 , 6.0 , 1 , W , 0.51 , 0.11
Les Lancaster , Cubs , 1988 , 7.0 , 1 , N , 0.59 , 0.11
Greg Maddux , Cubs , 1988 , 8.0 , 2 , W , 0.49 , 0.3
Calvin Schiraldi , Cubs , 1988 , 5.67 , 3 , W , 0.29 , 0.35
Jamie Moyer , Cubs , 1988 , 5.33 , 4 , L , 0.17 , 0.5
Les Lancaster , Cubs , 1988 , 9.0 , 3 , W , 0.7 , 0.23
Jeff Pico , Cubs , 1988 , 9.0 , 0 , W , 0.96 , 0.01
Greg Maddux , Cubs , 1988 , 8.33 , 3 , W , 0.36 , 0.45
Calvin Schiraldi , Cubs , 1988 , 9.0 , 0 , N , 0.96 , 0.01
Jamie Moyer , Cubs , 1988 , 9.0 , 0 , W , 0.96 , 0.01
