Name, Team, Year, IP, ER, Decision, Earned Wins, Earned Losses
Zack Greinke , Diamondbacks , 2016 , 4.0 , 7 , L , 0.0 , 0.83
Shelby Miller , Diamondbacks , 2016 , 6.0 , 6 , N , 0.08 , 0.74
Patrick Corbin , Diamondbacks , 2016 , 7.0 , 4 , L , 0.25 , 0.5
Rubby De La Rosa , Diamondbacks , 2016 , 3.33 , 6 , L , 0.0 , 0.77
Robbie Ray , Diamondbacks , 2016 , 6.0 , 2 , N , 0.4 , 0.23
Zack Greinke , Diamondbacks , 2016 , 6.0 , 4 , L , 0.19 , 0.5
Shelby Miller , Diamondbacks , 2016 , 5.0 , 4 , L , 0.17 , 0.5
Patrick Corbin , Diamondbacks , 2016 , 6.0 , 1 , N , 0.51 , 0.11
Rubby De La Rosa , Diamondbacks , 2016 , 4.67 , 2 , L , 0.0 , 0.4
Robbie Ray , Diamondbacks , 2016 , 6.33 , 2 , N , 0.4 , 0.23
Zack Greinke , Diamondbacks , 2016 , 7.33 , 2 , N , 0.46 , 0.23
Shelby Miller , Diamondbacks , 2016 , 1.67 , 2 , N , 0.0 , 0.5
Patrick Corbin , Diamondbacks , 2016 , 6.67 , 1 , W , 0.62 , 0.09
Archie Bradley , Diamondbacks , 2016 , 4.33 , 5 , N , 0.0 , 0.73
Robbie Ray , Diamondbacks , 2016 , 6.0 , 0 , W , 0.66 , 0.04
Zack Greinke , Diamondbacks , 2016 , 6.67 , 1 , W , 0.62 , 0.09
Shelby Miller , Diamondbacks , 2016 , 2.0 , 2 , N , 0.0 , 0.43
Patrick Corbin , Diamondbacks , 2016 , 6.0 , 4 , L , 0.19 , 0.5
Rubby De La Rosa , Diamondbacks , 2016 , 6.0 , 1 , W , 0.51 , 0.11
Robbie Ray , Diamondbacks , 2016 , 3.0 , 5 , N , 0.0 , 0.69
Zack Greinke , Diamondbacks , 2016 , 6.67 , 7 , W , 0.07 , 0.82
Shelby Miller , Diamondbacks , 2016 , 5.0 , 5 , L , 0.1 , 0.62
Patrick Corbin , Diamondbacks , 2016 , 5.67 , 7 , L , 0.06 , 0.8
Rubby De La Rosa , Diamondbacks , 2016 , 7.0 , 0 , W , 0.73 , 0.04
Robbie Ray , Diamondbacks , 2016 , 4.0 , 5 , L , 0.0 , 0.73
Zack Greinke , Diamondbacks , 2016 , 7.0 , 2 , N , 0.46 , 0.23
Shelby Miller , Diamondbacks , 2016 , 3.67 , 3 , L , 0.0 , 0.51
Patrick Corbin , Diamondbacks , 2016 , 5.33 , 3 , N , 0.25 , 0.36
Rubby De La Rosa , Diamondbacks , 2016 , 5.67 , 4 , L , 0.17 , 0.51
