Name, Team, Year, IP, ER, Decision, Earned Wins, Earned Losses
Derek Lowe , Dodgers , 2005 , 7.0 , 2 , L , 0.46 , 0.23
Odalis Perez , Dodgers , 2005 , 5.0 , 1 , W , 0.47 , 0.13
Jeff Weaver , Dodgers , 2005 , 8.0 , 0 , W , 0.76 , 0.04
Elmer Dessens , Dodgers , 2005 , 5.67 , 2 , N , 0.42 , 0.19
Scott Erickson , Dodgers , 2005 , 4.33 , 6 , N , 0.0 , 0.79
Derek Lowe , Dodgers , 2005 , 4.33 , 2 , N , 0.0 , 0.38
Jeff Weaver , Dodgers , 2005 , 3.0 , 8 , N , 0.0 , 0.92
Odalis Perez , Dodgers , 2005 , 6.33 , 1 , W , 0.51 , 0.11
Derek Lowe , Dodgers , 2005 , 9.0 , 0 , W , 0.96 , 0.01
Scott Erickson , Dodgers , 2005 , 6.0 , 2 , W , 0.4 , 0.23
Jeff Weaver , Dodgers , 2005 , 9.0 , 0 , W , 0.96 , 0.01
Odalis Perez , Dodgers , 2005 , 6.33 , 2 , W , 0.4 , 0.23
Elmer Dessens , Dodgers , 2005 , 3.33 , 2 , N , 0.0 , 0.39
Derek Lowe , Dodgers , 2005 , 8.0 , 0 , N , 0.76 , 0.04
Scott Erickson , Dodgers , 2005 , 4.67 , 5 , L , 0.0 , 0.66
Jeff Weaver , Dodgers , 2005 , 4.0 , 8 , L , 0.0 , 0.91
Odalis Perez , Dodgers , 2005 , 5.0 , 7 , L , 0.05 , 0.78
Brad Penny , Dodgers , 2005 , 5.0 , 4 , N , 0.17 , 0.5
Derek Lowe , Dodgers , 2005 , 7.0 , 4 , L , 0.25 , 0.5
Scott Erickson , Dodgers , 2005 , 5.0 , 3 , L , 0.25 , 0.36
Jeff Weaver , Dodgers , 2005 , 6.33 , 5 , L , 0.13 , 0.61
Odalis Perez , Dodgers , 2005 , 7.0 , 1 , W , 0.59 , 0.11
Brad Penny , Dodgers , 2005 , 6.0 , 0 , W , 0.66 , 0.04
Derek Lowe , Dodgers , 2005 , 6.0 , 1 , W , 0.51 , 0.11
Scott Erickson , Dodgers , 2005 , 6.33 , 2 , L , 0.4 , 0.23
Jeff Weaver , Dodgers , 2005 , 6.0 , 2 , W , 0.4 , 0.23
Odalis Perez , Dodgers , 2005 , 6.33 , 5 , L , 0.13 , 0.61
Brad Penny , Dodgers , 2005 , 7.0 , 0 , W , 0.73 , 0.04
Derek Lowe , Dodgers , 2005 , 5.67 , 6 , L , 0.07 , 0.73
Jeff Weaver , Dodgers , 2005 , 6.67 , 2 , W , 0.53 , 0.18
