Name, Team, Year, IP, ER, Decision, Earned Wins, Earned Losses
Atlee Hammaker , Giants , 1985 , 6.33 , 1 , N , 0.51 , 0.11
Dave LaPoint , Giants , 1985 , 8.0 , 0 , L , 0.76 , 0.04
Mike Krukow , Giants , 1985 , 9.0 , 1 , W , 0.89 , 0.05
Bill Laskey , Giants , 1985 , 6.33 , 0 , N , 0.66 , 0.04
Jim Gott , Giants , 1985 , 5.0 , 1 , W , 0.47 , 0.13
Atlee Hammaker , Giants , 1985 , 5.0 , 4 , L , 0.17 , 0.5
Dave LaPoint , Giants , 1985 , 5.0 , 2 , L , 0.35 , 0.24
Mike Krukow , Giants , 1985 , 8.0 , 0 , N , 0.76 , 0.04
Bill Laskey , Giants , 1985 , 5.33 , 4 , L , 0.17 , 0.5
Jim Gott , Giants , 1985 , 4.67 , 1 , N , 0.0 , 0.3
Atlee Hammaker , Giants , 1985 , 7.0 , 1 , L , 0.59 , 0.11
Dave LaPoint , Giants , 1985 , 9.33 , 3 , L , 0.7 , 0.23
Mike Krukow , Giants , 1985 , 9.0 , 0 , W , 0.96 , 0.01
Bill Laskey , Giants , 1985 , 4.67 , 1 , L , 0.0 , 0.3
Jim Gott , Giants , 1985 , 6.0 , 3 , N , 0.29 , 0.36
Atlee Hammaker , Giants , 1985 , 5.0 , 4 , N , 0.17 , 0.5
Dave LaPoint , Giants , 1985 , 6.0 , 2 , L , 0.4 , 0.23
Mike Krukow , Giants , 1985 , 8.0 , 1 , N , 0.64 , 0.15
Bill Laskey , Giants , 1985 , 4.0 , 2 , L , 0.0 , 0.38
Jim Gott , Giants , 1985 , 6.33 , 2 , N , 0.4 , 0.23
Mike Krukow , Giants , 1985 , 6.0 , 5 , L , 0.13 , 0.61
Atlee Hammaker , Giants , 1985 , 5.0 , 5 , L , 0.1 , 0.62
Dave LaPoint , Giants , 1985 , 9.0 , 0 , W , 0.96 , 0.01
Bill Laskey , Giants , 1985 , 5.0 , 3 , W , 0.25 , 0.36
Jim Gott , Giants , 1985 , 7.0 , 2 , W , 0.46 , 0.23
Mike Krukow , Giants , 1985 , 7.0 , 1 , L , 0.59 , 0.11
Atlee Hammaker , Giants , 1985 , 8.0 , 0 , N , 0.76 , 0.04
Dave LaPoint , Giants , 1985 , 6.33 , 2 , L , 0.4 , 0.23
Bill Laskey , Giants , 1985 , 3.67 , 7 , L , 0.0 , 0.83
Jim Gott , Giants , 1985 , 7.0 , 3 , N , 0.34 , 0.37
Mike Krukow , Giants , 1985 , 9.0 , 1 , W , 0.89 , 0.05
Atlee Hammaker , Giants , 1985 , 7.0 , 2 , N , 0.46 , 0.23
Dave LaPoint , Giants , 1985 , 7.0 , 2 , N , 0.46 , 0.23
Bill Laskey , Giants , 1985 , 7.33 , 1 , N , 0.59 , 0.11
Jim Gott , Giants , 1985 , 5.0 , 0 , N , 0.59 , 0.05
Mike Krukow , Giants , 1985 , 5.0 , 1 , N , 0.47 , 0.13
Atlee Hammaker , Giants , 1985 , 5.0 , 1 , L , 0.47 , 0.13
Dave LaPoint , Giants , 1985 , 6.0 , 1 , W , 0.51 , 0.11
Bill Laskey , Giants , 1985 , 6.67 , 2 , L , 0.53 , 0.18
Jim Gott , Giants , 1985 , 7.0 , 3 , L , 0.34 , 0.37
Mike Krukow , Giants , 1985 , 7.0 , 3 , L , 0.34 , 0.37
Atlee Hammaker , Giants , 1985 , 7.0 , 0 , W , 0.73 , 0.04
Dave LaPoint , Giants , 1985 , 7.33 , 2 , N , 0.46 , 0.23
Jim Gott , Giants , 1985 , 7.0 , 1 , L , 0.59 , 0.11
Mike Krukow , Giants , 1985 , 8.0 , 2 , W , 0.49 , 0.3
Atlee Hammaker , Giants , 1985 , 6.33 , 1 , W , 0.51 , 0.11
Vida Blue , Giants , 1985 , 5.0 , 1 , W , 0.47 , 0.13
Dave LaPoint , Giants , 1985 , 7.67 , 1 , N , 0.72 , 0.08
Jim Gott , Giants , 1985 , 9.0 , 0 , W , 0.96 , 0.01
Mike Krukow , Giants , 1985 , 3.67 , 5 , L , 0.0 , 0.69
Atlee Hammaker , Giants , 1985 , 6.0 , 4 , L , 0.19 , 0.5
Bill Laskey , Giants , 1985 , 7.0 , 3 , L , 0.34 , 0.37
Dave LaPoint , Giants , 1985 , 6.0 , 5 , L , 0.13 , 0.61
Jim Gott , Giants , 1985 , 0.67 , 5 , L , 0.0 , 0.77
Mike Krukow , Giants , 1985 , 5.0 , 4 , N , 0.17 , 0.5
Atlee Hammaker , Giants , 1985 , 5.0 , 4 , L , 0.17 , 0.5
Bill Laskey , Giants , 1985 , 6.0 , 3 , L , 0.29 , 0.36
Dave LaPoint , Giants , 1985 , 9.0 , 4 , N , 0.55 , 0.37
Jim Gott , Giants , 1985 , 5.0 , 1 , L , 0.47 , 0.13
Mike Krukow , Giants , 1985 , 7.67 , 3 , W , 0.46 , 0.32
Vida Blue , Giants , 1985 , 7.0 , 1 , N , 0.59 , 0.11
Atlee Hammaker , Giants , 1985 , 9.0 , 0 , W , 0.96 , 0.01
Bill Laskey , Giants , 1985 , 6.33 , 2 , L , 0.4 , 0.23
Dave LaPoint , Giants , 1985 , 6.0 , 0 , W , 0.66 , 0.04
Mike Krukow , Giants , 1985 , 7.0 , 4 , N , 0.25 , 0.5
Vida Blue , Giants , 1985 , 4.33 , 1 , L , 0.0 , 0.25
Bill Laskey , Giants , 1985 , 7.0 , 2 , L , 0.46 , 0.23
Atlee Hammaker , Giants , 1985 , 6.0 , 6 , L , 0.08 , 0.74
Dave LaPoint , Giants , 1985 , 6.0 , 3 , N , 0.29 , 0.36
Mike Krukow , Giants , 1985 , 6.0 , 4 , L , 0.19 , 0.5
Jim Gott , Giants , 1985 , 4.33 , 6 , L , 0.0 , 0.79
Bill Laskey , Giants , 1985 , 6.0 , 2 , L , 0.4 , 0.23
Atlee Hammaker , Giants , 1985 , 5.0 , 3 , L , 0.25 , 0.36
Dave LaPoint , Giants , 1985 , 7.0 , 4 , L , 0.25 , 0.5
Vida Blue , Giants , 1985 , 7.33 , 4 , W , 0.25 , 0.5
Mike Krukow , Giants , 1985 , 8.0 , 4 , L , 0.25 , 0.58
Jim Gott , Giants , 1985 , 6.67 , 2 , W , 0.53 , 0.18
Bill Laskey , Giants , 1985 , 4.67 , 3 , N , 0.0 , 0.5
Vida Blue , Giants , 1985 , 5.0 , 2 , W , 0.35 , 0.24
Mike Krukow , Giants , 1985 , 5.67 , 4 , N , 0.17 , 0.51
Jim Gott , Giants , 1985 , 5.0 , 5 , N , 0.1 , 0.62
Dave LaPoint , Giants , 1985 , 5.67 , 5 , L , 0.13 , 0.61
Bill Laskey , Giants , 1985 , 7.0 , 2 , L , 0.46 , 0.23
Vida Blue , Giants , 1985 , 3.0 , 5 , L , 0.0 , 0.69
Mike Krukow , Giants , 1985 , 5.0 , 6 , L , 0.08 , 0.7
Jim Gott , Giants , 1985 , 6.0 , 3 , L , 0.29 , 0.36
Dave LaPoint , Giants , 1985 , 9.0 , 1 , W , 0.89 , 0.05
Bill Laskey , Giants , 1985 , 5.33 , 2 , W , 0.35 , 0.24
Mike Krukow , Giants , 1985 , 9.0 , 0 , W , 0.96 , 0.01
Jim Gott , Giants , 1985 , 6.33 , 4 , L , 0.19 , 0.5
Atlee Hammaker , Giants , 1985 , 5.0 , 2 , L , 0.35 , 0.24
Bill Laskey , Giants , 1985 , 7.0 , 1 , W , 0.59 , 0.11
Dave LaPoint , Giants , 1985 , 7.33 , 3 , L , 0.34 , 0.37
