Name, Team, Year, IP, ER, Decision, Earned Wins, Earned Losses
Jake Westbrook , Indians , 2010 , 4.0 , 5 , L , 0.0 , 0.73
Fausto Carmona , Indians , 2010 , 6.0 , 3 , W , 0.29 , 0.36
Justin Masterson , Indians , 2010 , 5.0 , 1 , N , 0.47 , 0.13
David Huff , Indians , 2010 , 6.0 , 1 , L , 0.51 , 0.11
Mitch Talbot , Indians , 2010 , 5.0 , 4 , L , 0.17 , 0.5
Jake Westbrook , Indians , 2010 , 5.67 , 3 , N , 0.29 , 0.35
Fausto Carmona , Indians , 2010 , 8.0 , 2 , N , 0.49 , 0.3
Justin Masterson , Indians , 2010 , 6.0 , 2 , L , 0.4 , 0.23
David Huff , Indians , 2010 , 9.0 , 2 , W , 0.8 , 0.13
Mitch Talbot , Indians , 2010 , 9.0 , 1 , W , 0.89 , 0.05
Jake Westbrook , Indians , 2010 , 7.0 , 2 , N , 0.46 , 0.23
Fausto Carmona , Indians , 2010 , 6.0 , 3 , W , 0.29 , 0.36
Justin Masterson , Indians , 2010 , 4.0 , 2 , L , 0.0 , 0.38
David Huff , Indians , 2010 , 6.0 , 4 , L , 0.19 , 0.5
Mitch Talbot , Indians , 2010 , 6.0 , 0 , W , 0.66 , 0.04
Jake Westbrook , Indians , 2010 , 5.0 , 4 , L , 0.17 , 0.5
Fausto Carmona , Indians , 2010 , 7.33 , 1 , W , 0.59 , 0.11
Justin Masterson , Indians , 2010 , 4.0 , 7 , L , 0.0 , 0.83
David Huff , Indians , 2010 , 5.33 , 5 , L , 0.1 , 0.62
Mitch Talbot , Indians , 2010 , 6.33 , 1 , W , 0.51 , 0.11
Jake Westbrook , Indians , 2010 , 6.0 , 3 , N , 0.29 , 0.36
Fausto Carmona , Indians , 2010 , 6.0 , 6 , L , 0.08 , 0.74
Justin Masterson , Indians , 2010 , 7.67 , 4 , N , 0.32 , 0.44
David Huff , Indians , 2010 , 5.0 , 4 , L , 0.17 , 0.5
Mitch Talbot , Indians , 2010 , 8.0 , 5 , L , 0.2 , 0.67
Jake Westbrook , Indians , 2010 , 3.67 , 3 , N , 0.0 , 0.51
Fausto Carmona , Indians , 2010 , 6.33 , 2 , N , 0.4 , 0.23
Justin Masterson , Indians , 2010 , 6.0 , 3 , N , 0.29 , 0.36
Mitch Talbot , Indians , 2010 , 5.0 , 4 , W , 0.17 , 0.5
Jake Westbrook , Indians , 2010 , 6.0 , 1 , W , 0.51 , 0.11
Fausto Carmona , Indians , 2010 , 5.0 , 0 , W , 0.59 , 0.05
David Huff , Indians , 2010 , 5.67 , 6 , L , 0.07 , 0.73
Justin Masterson , Indians , 2010 , 5.33 , 6 , L , 0.08 , 0.7
Mitch Talbot , Indians , 2010 , 8.0 , 2 , W , 0.49 , 0.3
Jake Westbrook , Indians , 2010 , 9.0 , 1 , W , 0.89 , 0.05
Fausto Carmona , Indians , 2010 , 6.67 , 2 , N , 0.53 , 0.18
David Huff , Indians , 2010 , 5.0 , 3 , L , 0.25 , 0.36
Justin Masterson , Indians , 2010 , 5.0 , 2 , N , 0.35 , 0.24
Mitch Talbot , Indians , 2010 , 6.0 , 6 , L , 0.08 , 0.74
Jake Westbrook , Indians , 2010 , 5.0 , 4 , N , 0.17 , 0.5
Fausto Carmona , Indians , 2010 , 6.0 , 3 , L , 0.29 , 0.36
David Huff , Indians , 2010 , 6.0 , 3 , W , 0.29 , 0.36
Justin Masterson , Indians , 2010 , 4.0 , 5 , L , 0.0 , 0.73
Mitch Talbot , Indians , 2010 , 7.0 , 2 , W , 0.46 , 0.23
Jake Westbrook , Indians , 2010 , 7.0 , 5 , L , 0.18 , 0.64
Fausto Carmona , Indians , 2010 , 6.0 , 4 , L , 0.19 , 0.5
David Huff , Indians , 2010 , 2.33 , 3 , N , 0.0 , 0.56
Justin Masterson , Indians , 2010 , 6.67 , 3 , N , 0.36 , 0.33
Mitch Talbot , Indians , 2010 , 6.33 , 3 , L , 0.29 , 0.36
Jake Westbrook , Indians , 2010 , 7.67 , 1 , W , 0.72 , 0.08
Fausto Carmona , Indians , 2010 , 8.0 , 2 , L , 0.49 , 0.3
David Huff , Indians , 2010 , 3.0 , 5 , N , 0.0 , 0.69
Justin Masterson , Indians , 2010 , 5.67 , 1 , W , 0.51 , 0.12
Mitch Talbot , Indians , 2010 , 7.0 , 1 , W , 0.59 , 0.11
Jake Westbrook , Indians , 2010 , 4.67 , 6 , N , 0.0 , 0.73
Fausto Carmona , Indians , 2010 , 6.0 , 2 , L , 0.4 , 0.23
David Huff , Indians , 2010 , 6.0 , 0 , L , 0.66 , 0.04
Justin Masterson , Indians , 2010 , 9.0 , 0 , W , 0.96 , 0.01
Mitch Talbot , Indians , 2010 , 4.0 , 2 , N , 0.0 , 0.38
Jake Westbrook , Indians , 2010 , 7.33 , 2 , W , 0.46 , 0.23
Fausto Carmona , Indians , 2010 , 9.0 , 1 , W , 0.89 , 0.05
David Huff , Indians , 2010 , 5.67 , 6 , L , 0.07 , 0.73
Justin Masterson , Indians , 2010 , 7.0 , 6 , L , 0.15 , 0.69
Mitch Talbot , Indians , 2010 , 5.67 , 8 , L , 0.01 , 0.91
Jake Westbrook , Indians , 2010 , 7.0 , 5 , L , 0.18 , 0.64
Fausto Carmona , Indians , 2010 , 6.0 , 3 , W , 0.29 , 0.36
David Huff , Indians , 2010 , 5.0 , 5 , L , 0.1 , 0.62
Justin Masterson , Indians , 2010 , 6.0 , 2 , N , 0.4 , 0.23
Mitch Talbot , Indians , 2010 , 7.0 , 2 , L , 0.46 , 0.23
Jake Westbrook , Indians , 2010 , 5.0 , 4 , N , 0.17 , 0.5
Fausto Carmona , Indians , 2010 , 4.0 , 5 , L , 0.0 , 0.73
Aaron Laffey , Indians , 2010 , 4.0 , 5 , L , 0.0 , 0.73
Justin Masterson , Indians , 2010 , 5.0 , 6 , L , 0.08 , 0.7
Mitch Talbot , Indians , 2010 , 7.0 , 1 , W , 0.59 , 0.11
Jake Westbrook , Indians , 2010 , 6.0 , 1 , W , 0.51 , 0.11
Fausto Carmona , Indians , 2010 , 6.33 , 3 , W , 0.29 , 0.36
Aaron Laffey , Indians , 2010 , 6.0 , 1 , W , 0.51 , 0.11
Justin Masterson , Indians , 2010 , 8.33 , 1 , W , 0.64 , 0.15
Mitch Talbot , Indians , 2010 , 5.33 , 2 , L , 0.35 , 0.24
Jake Westbrook , Indians , 2010 , 6.0 , 2 , N , 0.4 , 0.23
Fausto Carmona , Indians , 2010 , 7.0 , 3 , L , 0.34 , 0.37
Aaron Laffey , Indians , 2010 , 4.33 , 1 , N , 0.0 , 0.25
Justin Masterson , Indians , 2010 , 5.33 , 7 , L , 0.05 , 0.78
Mitch Talbot , Indians , 2010 , 5.67 , 4 , L , 0.17 , 0.51
Jake Westbrook , Indians , 2010 , 6.0 , 5 , L , 0.13 , 0.61
Fausto Carmona , Indians , 2010 , 6.67 , 2 , W , 0.53 , 0.18
Aaron Laffey , Indians , 2010 , 5.67 , 3 , L , 0.29 , 0.35
Justin Masterson , Indians , 2010 , 5.0 , 4 , N , 0.17 , 0.5
Jake Westbrook , Indians , 2010 , 5.67 , 2 , W , 0.42 , 0.19
Fausto Carmona , Indians , 2010 , 7.0 , 3 , W , 0.34 , 0.37
Mitch Talbot , Indians , 2010 , 5.0 , 1 , N , 0.47 , 0.13
Jeanmar Gomez , Indians , 2010 , 7.0 , 0 , W , 0.73 , 0.04
Aaron Laffey , Indians , 2010 , 5.0 , 0 , W , 0.59 , 0.05
Justin Masterson , Indians , 2010 , 6.33 , 3 , N , 0.29 , 0.36
Jake Westbrook , Indians , 2010 , 6.0 , 4 , L , 0.19 , 0.5
Fausto Carmona , Indians , 2010 , 5.0 , 0 , W , 0.59 , 0.05
Mitch Talbot , Indians , 2010 , 5.67 , 5 , L , 0.13 , 0.61
Justin Masterson , Indians , 2010 , 6.67 , 3 , L , 0.36 , 0.33
Jake Westbrook , Indians , 2010 , 8.0 , 3 , L , 0.36 , 0.45
Josh Tomlin , Indians , 2010 , 7.0 , 1 , W , 0.59 , 0.11
Fausto Carmona , Indians , 2010 , 2.67 , 7 , L , 0.0 , 0.85
Mitch Talbot , Indians , 2010 , 2.0 , 1 , N , 0.0 , 0.25
Justin Masterson , Indians , 2010 , 5.33 , 8 , L , 0.03 , 0.84
Josh Tomlin , Indians , 2010 , 5.33 , 1 , N , 0.47 , 0.13
Jeanmar Gomez , Indians , 2010 , 5.0 , 2 , W , 0.35 , 0.24
Fausto Carmona , Indians , 2010 , 7.0 , 1 , W , 0.59 , 0.11
David Huff , Indians , 2010 , 5.33 , 3 , L , 0.25 , 0.36
Justin Masterson , Indians , 2010 , 5.0 , 1 , W , 0.47 , 0.13
Josh Tomlin , Indians , 2010 , 7.0 , 4 , L , 0.25 , 0.5
Jeanmar Gomez , Indians , 2010 , 5.33 , 1 , N , 0.47 , 0.13
Fausto Carmona , Indians , 2010 , 7.33 , 5 , L , 0.18 , 0.64
David Huff , Indians , 2010 , 4.33 , 5 , L , 0.0 , 0.73
Justin Masterson , Indians , 2010 , 5.0 , 4 , L , 0.17 , 0.5
Josh Tomlin , Indians , 2010 , 5.0 , 2 , L , 0.35 , 0.24
Jeanmar Gomez , Indians , 2010 , 6.0 , 1 , W , 0.51 , 0.11
Fausto Carmona , Indians , 2010 , 6.0 , 2 , L , 0.4 , 0.23
Mitch Talbot , Indians , 2010 , 4.0 , 4 , L , 0.0 , 0.6
Justin Masterson , Indians , 2010 , 6.0 , 0 , N , 0.66 , 0.04
