Name, Team, Year, IP, ER, Decision, Earned Wins, Earned Losses
Dave Stieb , Jays , 1985 , 6.67 , 2 , L , 0.53 , 0.18
Doyle Alexander , Jays , 1985 , 6.67 , 0 , N , 0.74 , 0.04
Luis Leal , Jays , 1985 , 6.0 , 2 , N , 0.4 , 0.23
Jimmy Key , Jays , 1985 , 3.33 , 2 , L , 0.0 , 0.39
Dave Stieb , Jays , 1985 , 6.0 , 1 , N , 0.51 , 0.11
Doyle Alexander , Jays , 1985 , 6.67 , 3 , W , 0.36 , 0.33
Luis Leal , Jays , 1985 , 4.67 , 4 , L , 0.0 , 0.6
Jimmy Key , Jays , 1985 , 6.67 , 0 , N , 0.74 , 0.04
Dave Stieb , Jays , 1985 , 6.33 , 2 , W , 0.4 , 0.23
Doyle Alexander , Jays , 1985 , 6.0 , 4 , W , 0.19 , 0.5
Luis Leal , Jays , 1985 , 6.0 , 2 , N , 0.4 , 0.23
Jimmy Key , Jays , 1985 , 5.33 , 3 , L , 0.25 , 0.36
Dave Stieb , Jays , 1985 , 9.0 , 2 , L , 0.8 , 0.13
Doyle Alexander , Jays , 1985 , 7.0 , 2 , N , 0.46 , 0.23
Luis Leal , Jays , 1985 , 8.33 , 2 , W , 0.49 , 0.3
Jimmy Key , Jays , 1985 , 3.33 , 0 , N , 0.0 , 0.02
Dave Stieb , Jays , 1985 , 2.67 , 3 , N , 0.0 , 0.52
Doyle Alexander , Jays , 1985 , 9.0 , 3 , W , 0.7 , 0.23
Luis Leal , Jays , 1985 , 6.67 , 1 , W , 0.62 , 0.09
Jim Clancy , Jays , 1985 , 5.0 , 2 , N , 0.35 , 0.24
Jimmy Key , Jays , 1985 , 7.67 , 1 , W , 0.72 , 0.08
Dave Stieb , Jays , 1985 , 8.33 , 2 , L , 0.49 , 0.3
Doyle Alexander , Jays , 1985 , 6.67 , 3 , W , 0.36 , 0.33
Luis Leal , Jays , 1985 , 0.0 , 4 , L , 0.0 , 0.67
Jim Clancy , Jays , 1985 , 4.0 , 4 , L , 0.0 , 0.6
Dave Stieb , Jays , 1985 , 6.0 , 1 , W , 0.51 , 0.11
Doyle Alexander , Jays , 1985 , 7.0 , 5 , L , 0.18 , 0.64
Luis Leal , Jays , 1985 , 3.67 , 2 , N , 0.0 , 0.4
Jim Clancy , Jays , 1985 , 5.33 , 2 , N , 0.35 , 0.24
Dave Stieb , Jays , 1985 , 5.33 , 5 , W , 0.1 , 0.62
Doyle Alexander , Jays , 1985 , 6.67 , 3 , W , 0.36 , 0.33
Jimmy Key , Jays , 1985 , 4.33 , 3 , N , 0.0 , 0.5
Dave Stieb , Jays , 1985 , 7.0 , 0 , N , 0.73 , 0.04
Jim Clancy , Jays , 1985 , 6.67 , 1 , W , 0.62 , 0.09
Doyle Alexander , Jays , 1985 , 5.0 , 7 , L , 0.05 , 0.78
Jimmy Key , Jays , 1985 , 9.0 , 1 , W , 0.89 , 0.05
Luis Leal , Jays , 1985 , 5.67 , 3 , N , 0.29 , 0.35
Dave Stieb , Jays , 1985 , 7.0 , 0 , W , 0.73 , 0.04
Jim Clancy , Jays , 1985 , 5.0 , 4 , N , 0.17 , 0.5
Doyle Alexander , Jays , 1985 , 4.33 , 3 , N , 0.0 , 0.5
Jimmy Key , Jays , 1985 , 4.0 , 5 , N , 0.0 , 0.73
Luis Leal , Jays , 1985 , 5.67 , 4 , N , 0.17 , 0.51
Dave Stieb , Jays , 1985 , 9.0 , 0 , W , 0.96 , 0.01
Jim Clancy , Jays , 1985 , 4.67 , 6 , L , 0.0 , 0.73
Doyle Alexander , Jays , 1985 , 5.33 , 2 , W , 0.35 , 0.24
Jimmy Key , Jays , 1985 , 8.0 , 3 , W , 0.36 , 0.45
Dave Stieb , Jays , 1985 , 8.33 , 4 , L , 0.25 , 0.58
Luis Leal , Jays , 1985 , 5.33 , 1 , W , 0.47 , 0.13
Jim Clancy , Jays , 1985 , 8.0 , 2 , W , 0.49 , 0.3
Doyle Alexander , Jays , 1985 , 8.67 , 0 , W , 0.9 , 0.04
Jimmy Key , Jays , 1985 , 10.0 , 0 , N , 0.37 , 0.03
Dave Stieb , Jays , 1985 , 6.0 , 0 , W , 0.66 , 0.04
Luis Leal , Jays , 1985 , 3.0 , 8 , L , 0.0 , 0.92
Jim Clancy , Jays , 1985 , 5.0 , 5 , L , 0.1 , 0.62
Doyle Alexander , Jays , 1985 , 7.33 , 4 , L , 0.25 , 0.5
Jimmy Key , Jays , 1985 , 7.0 , 0 , N , 0.73 , 0.04
Dave Stieb , Jays , 1985 , 8.33 , 1 , N , 0.64 , 0.15
Luis Leal , Jays , 1985 , 4.0 , 4 , N , 0.0 , 0.6
Jim Clancy , Jays , 1985 , 7.0 , 4 , L , 0.25 , 0.5
Doyle Alexander , Jays , 1985 , 7.0 , 5 , N , 0.18 , 0.64
Jimmy Key , Jays , 1985 , 6.0 , 3 , N , 0.29 , 0.36
Dave Stieb , Jays , 1985 , 8.0 , 2 , L , 0.49 , 0.3
Luis Leal , Jays , 1985 , 4.33 , 2 , L , 0.0 , 0.38
Jim Clancy , Jays , 1985 , 7.0 , 1 , W , 0.59 , 0.11
Doyle Alexander , Jays , 1985 , 6.33 , 5 , N , 0.13 , 0.61
Jimmy Key , Jays , 1985 , 9.0 , 2 , W , 0.8 , 0.13
Ron Musselman , Jays , 1985 , 5.0 , 1 , N , 0.47 , 0.13
Dave Stieb , Jays , 1985 , 8.0 , 1 , W , 0.64 , 0.15
Jim Clancy , Jays , 1985 , 8.0 , 1 , W , 0.64 , 0.15
Doyle Alexander , Jays , 1985 , 7.33 , 5 , L , 0.18 , 0.64
Jimmy Key , Jays , 1985 , 5.67 , 3 , W , 0.29 , 0.35
Dave Stieb , Jays , 1985 , 9.0 , 0 , W , 0.96 , 0.01
Luis Leal , Jays , 1985 , 3.0 , 3 , L , 0.0 , 0.47
Jim Clancy , Jays , 1985 , 3.67 , 5 , N , 0.0 , 0.69
Doyle Alexander , Jays , 1985 , 8.33 , 3 , L , 0.36 , 0.45
Jimmy Key , Jays , 1985 , 7.33 , 4 , L , 0.25 , 0.5
Dave Stieb , Jays , 1985 , 9.0 , 2 , N , 0.8 , 0.13
Dennis Lamp , Jays , 1985 , 5.0 , 2 , N , 0.35 , 0.24
Jim Clancy , Jays , 1985 , 9.0 , 2 , W , 0.8 , 0.13
Doyle Alexander , Jays , 1985 , 5.33 , 4 , L , 0.17 , 0.5
Jimmy Key , Jays , 1985 , 8.0 , 2 , W , 0.49 , 0.3
Dave Stieb , Jays , 1985 , 7.0 , 0 , W , 0.73 , 0.04
Tom Filer , Jays , 1985 , 3.33 , 1 , N , 0.0 , 0.22
Jim Clancy , Jays , 1985 , 7.0 , 1 , W , 0.59 , 0.11
Doyle Alexander , Jays , 1985 , 6.67 , 3 , W , 0.36 , 0.33
Jimmy Key , Jays , 1985 , 5.67 , 5 , L , 0.13 , 0.61
