Name, Team, Year, IP, ER, Decision, Earned Wins, Earned Losses
Randy Johnson , Mariners , 1998 , 5.67 , 5 , N , 0.13 , 0.61
Jamie Moyer , Mariners , 1998 , 4.67 , 5 , L , 0.0 , 0.66
Ken Cloude , Mariners , 1998 , 6.0 , 4 , W , 0.19 , 0.5
Bill Swift , Mariners , 1998 , 5.0 , 3 , W , 0.25 , 0.36
Randy Johnson , Mariners , 1998 , 6.0 , 7 , L , 0.07 , 0.81
Jamie Moyer , Mariners , 1998 , 7.0 , 0 , W , 0.73 , 0.04
Jim Bullinger , Mariners , 1998 , 3.33 , 10 , L , 0.0 , 1.0
Ken Cloude , Mariners , 1998 , 6.67 , 2 , N , 0.53 , 0.18
Randy Johnson , Mariners , 1998 , 8.0 , 2 , N , 0.49 , 0.3
Jamie Moyer , Mariners , 1998 , 6.0 , 5 , L , 0.13 , 0.61
Jeff Fassero , Mariners , 1998 , 5.33 , 2 , N , 0.35 , 0.24
Ken Cloude , Mariners , 1998 , 5.0 , 4 , L , 0.17 , 0.5
Bill Swift , Mariners , 1998 , 6.0 , 3 , N , 0.29 , 0.36
Randy Johnson , Mariners , 1998 , 2.33 , 1 , N , 0.0 , 0.25
Jamie Moyer , Mariners , 1998 , 7.0 , 2 , N , 0.46 , 0.23
Jeff Fassero , Mariners , 1998 , 7.0 , 2 , W , 0.46 , 0.23
Ken Cloude , Mariners , 1998 , 5.0 , 3 , W , 0.25 , 0.36
Bill Swift , Mariners , 1998 , 6.0 , 2 , W , 0.4 , 0.23
Randy Johnson , Mariners , 1998 , 3.33 , 6 , N , 0.0 , 0.77
Jamie Moyer , Mariners , 1998 , 7.0 , 2 , N , 0.46 , 0.23
Jeff Fassero , Mariners , 1998 , 7.0 , 5 , W , 0.18 , 0.64
Ken Cloude , Mariners , 1998 , 7.33 , 1 , W , 0.59 , 0.11
Bill Swift , Mariners , 1998 , 7.0 , 2 , N , 0.46 , 0.23
Jamie Moyer , Mariners , 1998 , 9.0 , 2 , L , 0.8 , 0.13
Randy Johnson , Mariners , 1998 , 7.0 , 1 , W , 0.59 , 0.11
Jeff Fassero , Mariners , 1998 , 5.0 , 2 , L , 0.35 , 0.24
Ken Cloude , Mariners , 1998 , 4.67 , 4 , N , 0.0 , 0.6
Bill Swift , Mariners , 1998 , 4.0 , 10 , L , 0.0 , 0.96
Jamie Moyer , Mariners , 1998 , 9.0 , 0 , W , 0.96 , 0.01
Randy Johnson , Mariners , 1998 , 7.0 , 6 , W , 0.15 , 0.69
Jeff Fassero , Mariners , 1998 , 9.0 , 1 , W , 0.89 , 0.05
Ken Cloude , Mariners , 1998 , 5.0 , 4 , N , 0.17 , 0.5
Jamie Moyer , Mariners , 1998 , 6.0 , 5 , L , 0.13 , 0.61
Randy Johnson , Mariners , 1998 , 6.0 , 3 , W , 0.29 , 0.36
Bill Swift , Mariners , 1998 , 5.67 , 3 , L , 0.29 , 0.35
Jeff Fassero , Mariners , 1998 , 7.33 , 0 , W , 0.73 , 0.04
Jamie Moyer , Mariners , 1998 , 7.0 , 0 , N , 0.73 , 0.04
Ken Cloude , Mariners , 1998 , 2.0 , 5 , L , 0.0 , 0.75
Randy Johnson , Mariners , 1998 , 7.0 , 5 , L , 0.18 , 0.64
Bill Swift , Mariners , 1998 , 3.67 , 4 , L , 0.0 , 0.62
Jeff Fassero , Mariners , 1998 , 8.33 , 1 , W , 0.64 , 0.15
Jamie Moyer , Mariners , 1998 , 6.67 , 3 , N , 0.36 , 0.33
Ken Cloude , Mariners , 1998 , 2.67 , 3 , N , 0.0 , 0.52
Randy Johnson , Mariners , 1998 , 3.0 , 6 , L , 0.0 , 0.77
Bill Swift , Mariners , 1998 , 5.0 , 3 , N , 0.25 , 0.36
Jeff Fassero , Mariners , 1998 , 7.0 , 4 , N , 0.25 , 0.5
Jamie Moyer , Mariners , 1998 , 7.33 , 4 , L , 0.25 , 0.5
Ken Cloude , Mariners , 1998 , 7.0 , 0 , N , 0.73 , 0.04
Randy Johnson , Mariners , 1998 , 9.0 , 1 , W , 0.89 , 0.05
Bill Swift , Mariners , 1998 , 6.0 , 2 , W , 0.4 , 0.23
Jeff Fassero , Mariners , 1998 , 2.67 , 6 , L , 0.0 , 0.8
Jamie Moyer , Mariners , 1998 , 8.0 , 0 , W , 0.76 , 0.04
Randy Johnson , Mariners , 1998 , 8.0 , 1 , W , 0.64 , 0.15
Ken Cloude , Mariners , 1998 , 4.67 , 5 , L , 0.0 , 0.66
Bill Swift , Mariners , 1998 , 5.67 , 1 , W , 0.51 , 0.12
Jeff Fassero , Mariners , 1998 , 4.0 , 3 , N , 0.0 , 0.5
Jamie Moyer , Mariners , 1998 , 5.0 , 7 , N , 0.05 , 0.78
Randy Johnson , Mariners , 1998 , 6.67 , 5 , L , 0.17 , 0.6
Ken Cloude , Mariners , 1998 , 6.33 , 4 , L , 0.19 , 0.5
Bill Swift , Mariners , 1998 , 6.33 , 0 , W , 0.66 , 0.04
Jeff Fassero , Mariners , 1998 , 4.0 , 5 , N , 0.0 , 0.73
Jamie Moyer , Mariners , 1998 , 5.33 , 7 , L , 0.05 , 0.78
Randy Johnson , Mariners , 1998 , 7.0 , 2 , L , 0.46 , 0.23
Ken Cloude , Mariners , 1998 , 2.67 , 5 , L , 0.0 , 0.74
Bill Swift , Mariners , 1998 , 7.0 , 1 , W , 0.59 , 0.11
Jeff Fassero , Mariners , 1998 , 8.0 , 4 , L , 0.25 , 0.58
Jamie Moyer , Mariners , 1998 , 9.0 , 0 , W , 0.96 , 0.01
Randy Johnson , Mariners , 1998 , 7.0 , 7 , L , 0.08 , 0.77
Ken Cloude , Mariners , 1998 , 6.33 , 2 , N , 0.4 , 0.23
Bill Swift , Mariners , 1998 , 2.0 , 1 , L , 0.0 , 0.25
Jeff Fassero , Mariners , 1998 , 7.0 , 4 , L , 0.25 , 0.5
Jamie Moyer , Mariners , 1998 , 6.0 , 2 , N , 0.4 , 0.23
Randy Johnson , Mariners , 1998 , 8.0 , 0 , W , 0.76 , 0.04
Ken Cloude , Mariners , 1998 , 5.0 , 6 , L , 0.08 , 0.7
Bill Swift , Mariners , 1998 , 6.33 , 3 , W , 0.29 , 0.36
Jeff Fassero , Mariners , 1998 , 9.0 , 5 , L , 0.47 , 0.49
Jamie Moyer , Mariners , 1998 , 8.0 , 3 , W , 0.36 , 0.45
Randy Johnson , Mariners , 1998 , 9.0 , 1 , W , 0.89 , 0.05
Ken Cloude , Mariners , 1998 , 6.0 , 3 , L , 0.29 , 0.36
Bill Swift , Mariners , 1998 , 5.0 , 6 , N , 0.08 , 0.7
Jeff Fassero , Mariners , 1998 , 6.67 , 2 , W , 0.53 , 0.18
Jamie Moyer , Mariners , 1998 , 7.0 , 2 , N , 0.46 , 0.23
Randy Johnson , Mariners , 1998 , 8.0 , 4 , L , 0.25 , 0.58
Ken Cloude , Mariners , 1998 , 5.33 , 4 , W , 0.17 , 0.5
Bill Swift , Mariners , 1998 , 7.0 , 3 , W , 0.34 , 0.37
Jeff Fassero , Mariners , 1998 , 7.33 , 0 , W , 0.73 , 0.04
Jamie Moyer , Mariners , 1998 , 1.0 , 2 , L , 0.0 , 0.54
Randy Johnson , Mariners , 1998 , 8.0 , 8 , L , 0.0 , 1.0
Jeff Fassero , Mariners , 1998 , 6.67 , 4 , W , 0.24 , 0.5
Jamie Moyer , Mariners , 1998 , 8.0 , 2 , N , 0.49 , 0.3
Randy Johnson , Mariners , 1998 , 9.0 , 0 , W , 0.96 , 0.01
Bill Swift , Mariners , 1998 , 6.0 , 7 , L , 0.07 , 0.81
Ken Cloude , Mariners , 1998 , 8.0 , 2 , W , 0.49 , 0.3
Jeff Fassero , Mariners , 1998 , 8.0 , 3 , W , 0.36 , 0.45
Jamie Moyer , Mariners , 1998 , 8.0 , 1 , W , 0.64 , 0.15
Randy Johnson , Mariners , 1998 , 9.0 , 0 , W , 0.96 , 0.01
Bill Swift , Mariners , 1998 , 5.67 , 5 , W , 0.13 , 0.61
Ken Cloude , Mariners , 1998 , 5.0 , 4 , N , 0.17 , 0.5
Jeff Fassero , Mariners , 1998 , 9.0 , 2 , L , 0.8 , 0.13
