Name, Team, Year, IP, ER, Decision, Earned Wins, Earned Losses
Dontrelle Willis , Marlins , 2006 , 5.0 , 0 , N , 0.59 , 0.05
Sergio Mitre , Marlins , 2006 , 6.0 , 0 , W , 0.66 , 0.04
Brian Moehler , Marlins , 2006 , 2.0 , 6 , L , 0.0 , 0.82
Jason Vargas , Marlins , 2006 , 5.0 , 5 , L , 0.1 , 0.62
Dontrelle Willis , Marlins , 2006 , 8.0 , 2 , N , 0.49 , 0.3
Sergio Mitre , Marlins , 2006 , 6.0 , 5 , L , 0.13 , 0.61
Brian Moehler , Marlins , 2006 , 5.33 , 5 , L , 0.1 , 0.62
Jason Vargas , Marlins , 2006 , 6.0 , 2 , W , 0.4 , 0.23
Dontrelle Willis , Marlins , 2006 , 5.67 , 2 , W , 0.42 , 0.19
Scott Olsen , Marlins , 2006 , 5.33 , 1 , L , 0.47 , 0.13
Sergio Mitre , Marlins , 2006 , 5.67 , 3 , N , 0.29 , 0.35
Brian Moehler , Marlins , 2006 , 5.0 , 7 , L , 0.05 , 0.78
Jason Vargas , Marlins , 2006 , 4.0 , 5 , N , 0.0 , 0.73
Dontrelle Willis , Marlins , 2006 , 6.0 , 4 , N , 0.19 , 0.5
Scott Olsen , Marlins , 2006 , 6.67 , 1 , W , 0.62 , 0.09
Sergio Mitre , Marlins , 2006 , 6.0 , 4 , L , 0.19 , 0.5
Jason Vargas , Marlins , 2006 , 6.33 , 0 , N , 0.66 , 0.04
Dontrelle Willis , Marlins , 2006 , 7.0 , 3 , L , 0.34 , 0.37
Scott Olsen , Marlins , 2006 , 5.0 , 2 , N , 0.35 , 0.24
Brian Moehler , Marlins , 2006 , 6.0 , 2 , N , 0.4 , 0.23
Jason Vargas , Marlins , 2006 , 2.33 , 3 , N , 0.0 , 0.56
Sergio Mitre , Marlins , 2006 , 7.0 , 1 , L , 0.59 , 0.11
Dontrelle Willis , Marlins , 2006 , 7.33 , 8 , L , 0.0 , 0.86
Scott Olsen , Marlins , 2006 , 3.0 , 3 , N , 0.0 , 0.47
Brian Moehler , Marlins , 2006 , 4.0 , 3 , N , 0.0 , 0.5
Josh Johnson , Marlins , 2006 , 5.0 , 2 , W , 0.35 , 0.24
Sergio Mitre , Marlins , 2006 , 4.33 , 6 , L , 0.0 , 0.79
Dontrelle Willis , Marlins , 2006 , 4.67 , 6 , L , 0.0 , 0.73
Scott Olsen , Marlins , 2006 , 3.67 , 7 , L , 0.0 , 0.83
Brian Moehler , Marlins , 2006 , 5.33 , 7 , L , 0.05 , 0.78
Josh Johnson , Marlins , 2006 , 6.0 , 0 , W , 0.66 , 0.04
Dontrelle Willis , Marlins , 2006 , 2.67 , 7 , L , 0.0 , 0.85
Sergio Mitre , Marlins , 2006 , 0.0 , 0 , N , 0.0 , 0.03
