Name, Team, Year, IP, ER, Decision, Earned Wins, Earned Losses
Jonathon Niese , Mets , 2013 , 6.67 , 2 , W , 0.53 , 0.18
Matt Harvey , Mets , 2013 , 7.0 , 0 , W , 0.73 , 0.04
Dillon Gee , Mets , 2013 , 6.33 , 1 , L , 0.51 , 0.11
Jeremy Hefner , Mets , 2013 , 6.0 , 1 , L , 0.51 , 0.11
Jonathon Niese , Mets , 2013 , 6.0 , 1 , N , 0.51 , 0.11
Aaron Laffey , Mets , 2013 , 4.33 , 3 , N , 0.0 , 0.5
Matt Harvey , Mets , 2013 , 7.0 , 1 , W , 0.59 , 0.11
Dillon Gee , Mets , 2013 , 3.0 , 7 , L , 0.0 , 0.84
Jeremy Hefner , Mets , 2013 , 3.0 , 5 , L , 0.0 , 0.69
Jonathon Niese , Mets , 2013 , 5.0 , 4 , W , 0.17 , 0.5
Matt Harvey , Mets , 2013 , 8.0 , 1 , W , 0.64 , 0.15
Dillon Gee , Mets , 2013 , 4.67 , 5 , L , 0.0 , 0.66
Aaron Laffey , Mets , 2013 , 4.0 , 2 , N , 0.0 , 0.38
Jonathon Niese , Mets , 2013 , 6.0 , 3 , L , 0.29 , 0.36
Matt Harvey , Mets , 2013 , 7.0 , 1 , W , 0.59 , 0.11
Jeremy Hefner , Mets , 2013 , 4.0 , 3 , N , 0.0 , 0.5
Dillon Gee , Mets , 2013 , 5.67 , 0 , W , 0.65 , 0.05
Jonathon Niese , Mets , 2013 , 2.33 , 1 , N , 0.0 , 0.25
Matt Harvey , Mets , 2013 , 6.0 , 3 , N , 0.29 , 0.36
Jeremy Hefner , Mets , 2013 , 7.0 , 1 , N , 0.59 , 0.11
Dillon Gee , Mets , 2013 , 6.0 , 4 , L , 0.19 , 0.5
Shaun Marcum , Mets , 2013 , 4.0 , 3 , L , 0.0 , 0.5
Jonathon Niese , Mets , 2013 , 6.67 , 1 , L , 0.62 , 0.09
Matt Harvey , Mets , 2013 , 5.33 , 1 , N , 0.47 , 0.13
Jeremy Hefner , Mets , 2013 , 8.0 , 2 , L , 0.49 , 0.3
Dillon Gee , Mets , 2013 , 5.0 , 4 , W , 0.17 , 0.5
Shaun Marcum , Mets , 2013 , 4.33 , 3 , N , 0.0 , 0.5
Jonathon Niese , Mets , 2013 , 4.0 , 7 , L , 0.0 , 0.83
Matt Harvey , Mets , 2013 , 9.0 , 0 , N , 0.96 , 0.01
Jeremy Hefner , Mets , 2013 , 6.0 , 4 , L , 0.19 , 0.5
Dillon Gee , Mets , 2013 , 5.0 , 1 , N , 0.47 , 0.13
Shaun Marcum , Mets , 2013 , 4.67 , 6 , L , 0.0 , 0.73
Jonathon Niese , Mets , 2013 , 4.33 , 8 , L , 0.0 , 0.91
Matt Harvey , Mets , 2013 , 7.0 , 2 , N , 0.46 , 0.23
Jeremy Hefner , Mets , 2013 , 6.0 , 3 , N , 0.29 , 0.36
Dillon Gee , Mets , 2013 , 4.0 , 5 , L , 0.0 , 0.73
Shaun Marcum , Mets , 2013 , 6.67 , 2 , L , 0.53 , 0.18
Jonathon Niese , Mets , 2013 , 7.33 , 2 , W , 0.46 , 0.23
Matt Harvey , Mets , 2013 , 7.33 , 2 , W , 0.46 , 0.23
Jeremy Hefner , Mets , 2013 , 4.0 , 4 , L , 0.0 , 0.6
Dillon Gee , Mets , 2013 , 5.0 , 3 , N , 0.25 , 0.36
Shaun Marcum , Mets , 2013 , 6.0 , 4 , L , 0.19 , 0.5
Jonathon Niese , Mets , 2013 , 6.0 , 0 , L , 0.66 , 0.04
Matt Harvey , Mets , 2013 , 6.33 , 4 , N , 0.19 , 0.5
Jeremy Hefner , Mets , 2013 , 6.0 , 2 , N , 0.4 , 0.23
Dillon Gee , Mets , 2013 , 5.0 , 5 , L , 0.1 , 0.62
Shaun Marcum , Mets , 2013 , 7.0 , 2 , N , 0.46 , 0.23
Jonathon Niese , Mets , 2013 , 7.0 , 1 , N , 0.59 , 0.11
Matt Harvey , Mets , 2013 , 8.0 , 1 , N , 0.64 , 0.15
Jeremy Hefner , Mets , 2013 , 6.0 , 3 , W , 0.29 , 0.36
Dillon Gee , Mets , 2013 , 7.33 , 1 , W , 0.59 , 0.11
Shaun Marcum , Mets , 2013 , 6.67 , 4 , L , 0.24 , 0.5
Collin McHugh , Mets , 2013 , 4.0 , 4 , L , 0.0 , 0.6
Matt Harvey , Mets , 2013 , 5.0 , 4 , N , 0.17 , 0.5
Jeremy Hefner , Mets , 2013 , 7.0 , 1 , N , 0.59 , 0.11
Dillon Gee , Mets , 2013 , 7.0 , 1 , W , 0.59 , 0.11
