Name, Team, Year, IP, ER, Decision, Earned Wins, Earned Losses
Javier Vazquez , Nationals , 2001 , 5.67 , 4 , N , 0.17 , 0.51
Britt Reames , Nationals , 2001 , 6.0 , 0 , W , 0.66 , 0.04
Tony Armas Jr. , Nationals , 2001 , 5.0 , 1 , L , 0.47 , 0.13
Mike Thurman , Nationals , 2001 , 5.0 , 5 , W , 0.1 , 0.62
Javier Vazquez , Nationals , 2001 , 7.0 , 0 , W , 0.73 , 0.04
Chris Peters , Nationals , 2001 , 5.0 , 1 , W , 0.47 , 0.13
Britt Reames , Nationals , 2001 , 5.0 , 3 , N , 0.25 , 0.36
Tony Armas Jr. , Nationals , 2001 , 5.33 , 4 , L , 0.17 , 0.5
Mike Thurman , Nationals , 2001 , 7.0 , 3 , L , 0.34 , 0.37
Javier Vazquez , Nationals , 2001 , 4.33 , 6 , L , 0.0 , 0.79
Britt Reames , Nationals , 2001 , 6.0 , 2 , W , 0.4 , 0.23
Tony Armas Jr. , Nationals , 2001 , 6.0 , 3 , L , 0.29 , 0.36
Mike Thurman , Nationals , 2001 , 3.33 , 4 , L , 0.0 , 0.62
Chris Peters , Nationals , 2001 , 5.0 , 3 , L , 0.25 , 0.36
Javier Vazquez , Nationals , 2001 , 6.0 , 0 , W , 0.66 , 0.04
Britt Reames , Nationals , 2001 , 5.0 , 1 , N , 0.47 , 0.13
Tony Armas Jr. , Nationals , 2001 , 5.0 , 2 , L , 0.35 , 0.24
Mike Thurman , Nationals , 2001 , 7.0 , 5 , L , 0.18 , 0.64
Chris Peters , Nationals , 2001 , 5.0 , 2 , W , 0.35 , 0.24
Javier Vazquez , Nationals , 2001 , 4.0 , 4 , L , 0.0 , 0.6
Britt Reames , Nationals , 2001 , 5.0 , 4 , L , 0.17 , 0.5
Tony Armas Jr. , Nationals , 2001 , 5.0 , 2 , N , 0.35 , 0.24
Mike Thurman , Nationals , 2001 , 7.0 , 1 , W , 0.59 , 0.11
