Name, Team, Year, IP, ER, Decision, Earned Wins, Earned Losses
Clay Kirby , Padres , 1972 , 6.0 , 2 , W , 0.4 , 0.23
Steve Arlin , Padres , 1972 , 5.0 , 2 , L , 0.35 , 0.24
Bill Greif , Padres , 1972 , 9.0 , 0 , W , 0.96 , 0.01
Tom Phoebus , Padres , 1972 , 5.67 , 5 , L , 0.13 , 0.61
Clay Kirby , Padres , 1972 , 8.0 , 3 , N , 0.36 , 0.45
Steve Arlin , Padres , 1972 , 8.0 , 2 , L , 0.49 , 0.3
Bill Greif , Padres , 1972 , 1.33 , 7 , L , 0.0 , 0.94
Fred Norman , Padres , 1972 , 8.0 , 1 , L , 0.64 , 0.15
Clay Kirby , Padres , 1972 , 9.0 , 1 , W , 0.89 , 0.05
Steve Arlin , Padres , 1972 , 7.0 , 0 , L , 0.73 , 0.04
Bill Greif , Padres , 1972 , 5.33 , 3 , L , 0.25 , 0.36
Fred Norman , Padres , 1972 , 7.0 , 4 , L , 0.25 , 0.5
Clay Kirby , Padres , 1972 , 8.0 , 3 , L , 0.36 , 0.45
Steve Arlin , Padres , 1972 , 9.0 , 0 , W , 0.96 , 0.01
Bill Greif , Padres , 1972 , 1.33 , 3 , L , 0.0 , 0.57
Mike Corkins , Padres , 1972 , 4.33 , 3 , L , 0.0 , 0.5
Fred Norman , Padres , 1972 , 9.0 , 1 , W , 0.89 , 0.05
Clay Kirby , Padres , 1972 , 8.0 , 1 , N , 0.64 , 0.15
Steve Arlin , Padres , 1972 , 9.0 , 0 , W , 0.96 , 0.01
Bill Greif , Padres , 1972 , 7.33 , 2 , W , 0.46 , 0.23
Fred Norman , Padres , 1972 , 7.0 , 3 , N , 0.34 , 0.37
Clay Kirby , Padres , 1972 , 9.0 , 3 , W , 0.7 , 0.23
Steve Arlin , Padres , 1972 , 4.33 , 5 , N , 0.0 , 0.73
Bill Greif , Padres , 1972 , 6.33 , 3 , W , 0.29 , 0.36
Fred Norman , Padres , 1972 , 9.0 , 0 , W , 0.96 , 0.01
Clay Kirby , Padres , 1972 , 5.33 , 5 , L , 0.1 , 0.62
Steve Arlin , Padres , 1972 , 7.0 , 1 , N , 0.59 , 0.11
Bill Greif , Padres , 1972 , 7.33 , 2 , L , 0.46 , 0.23
Fred Norman , Padres , 1972 , 9.0 , 0 , W , 0.96 , 0.01
Clay Kirby , Padres , 1972 , 8.0 , 1 , L , 0.64 , 0.15
Steve Arlin , Padres , 1972 , 8.67 , 2 , W , 0.68 , 0.18
Bill Greif , Padres , 1972 , 1.0 , 2 , L , 0.0 , 0.54
