Name, Team, Year, IP, ER, Decision, Earned Wins, Earned Losses
Jeremy Hellickson , Phillies , 2016 , 6.0 , 0 , N , 0.66 , 0.04
Aaron Nola , Phillies , 2016 , 7.0 , 1 , N , 0.59 , 0.11
Charlie Morton , Phillies , 2016 , 3.67 , 6 , L , 0.0 , 0.81
Jerad Eickhoff , Phillies , 2016 , 5.0 , 2 , L , 0.35 , 0.24
Vincent Velasquez , Phillies , 2016 , 6.0 , 0 , W , 0.66 , 0.04
Jeremy Hellickson , Phillies , 2016 , 5.67 , 2 , W , 0.42 , 0.19
Aaron Nola , Phillies , 2016 , 7.0 , 4 , L , 0.25 , 0.5
Charlie Morton , Phillies , 2016 , 6.67 , 0 , W , 0.74 , 0.04
Jerad Eickhoff , Phillies , 2016 , 7.0 , 0 , W , 0.73 , 0.04
Vincent Velasquez , Phillies , 2016 , 9.0 , 0 , W , 0.96 , 0.01
Jeremy Hellickson , Phillies , 2016 , 3.0 , 5 , L , 0.0 , 0.69
Aaron Nola , Phillies , 2016 , 5.0 , 7 , L , 0.05 , 0.78
Charlie Morton , Phillies , 2016 , 6.0 , 1 , N , 0.51 , 0.11
Jerad Eickhoff , Phillies , 2016 , 7.0 , 2 , L , 0.46 , 0.23
Vincent Velasquez , Phillies , 2016 , 4.33 , 2 , L , 0.0 , 0.38
Jeremy Hellickson , Phillies , 2016 , 4.33 , 4 , N , 0.0 , 0.6
Aaron Nola , Phillies , 2016 , 7.0 , 1 , W , 0.59 , 0.11
Charlie Morton , Phillies , 2016 , 1.0 , 1 , N , 0.0 , 0.31
Jerad Eickhoff , Phillies , 2016 , 5.33 , 7 , L , 0.05 , 0.78
Vincent Velasquez , Phillies , 2016 , 6.0 , 3 , W , 0.29 , 0.36
Jeremy Hellickson , Phillies , 2016 , 7.0 , 0 , W , 0.73 , 0.04
Aaron Nola , Phillies , 2016 , 7.0 , 0 , N , 0.73 , 0.04
Adam C Morgan , Phillies , 2016 , 5.0 , 3 , N , 0.25 , 0.36
Jerad Eickhoff , Phillies , 2016 , 6.0 , 3 , N , 0.29 , 0.36
Vincent Velasquez , Phillies , 2016 , 6.0 , 0 , W , 0.66 , 0.04
Jeremy Hellickson , Phillies , 2016 , 5.33 , 6 , L , 0.08 , 0.7
Aaron Nola , Phillies , 2016 , 7.0 , 0 , W , 0.73 , 0.04
Adam C Morgan , Phillies , 2016 , 4.0 , 3 , N , 0.0 , 0.5
