Name, Team, Year, IP, ER, Decision, Earned Wins, Earned Losses
Francisco Liriano , Pirates , 2014 , 6.0 , 0 , N , 0.66 , 0.04
Charlie Morton , Pirates , 2014 , 6.0 , 0 , N , 0.66 , 0.04
Wandy Rodriguez , Pirates , 2014 , 6.0 , 3 , L , 0.29 , 0.36
Gerrit Cole , Pirates , 2014 , 7.0 , 2 , W , 0.46 , 0.23
Francisco Liriano , Pirates , 2014 , 6.0 , 4 , L , 0.19 , 0.5
Edinson Volquez , Pirates , 2014 , 5.67 , 1 , N , 0.51 , 0.12
Charlie Morton , Pirates , 2014 , 6.0 , 5 , N , 0.13 , 0.61
Wandy Rodriguez , Pirates , 2014 , 5.0 , 4 , L , 0.17 , 0.5
Gerrit Cole , Pirates , 2014 , 6.0 , 3 , W , 0.29 , 0.36
Francisco Liriano , Pirates , 2014 , 6.0 , 4 , L , 0.19 , 0.5
Edinson Volquez , Pirates , 2014 , 6.33 , 1 , N , 0.51 , 0.11
Charlie Morton , Pirates , 2014 , 7.0 , 2 , L , 0.46 , 0.23
Wandy Rodriguez , Pirates , 2014 , 5.0 , 6 , N , 0.08 , 0.7
Gerrit Cole , Pirates , 2014 , 6.0 , 5 , L , 0.13 , 0.61
Francisco Liriano , Pirates , 2014 , 7.0 , 3 , L , 0.34 , 0.37
Edinson Volquez , Pirates , 2014 , 7.0 , 2 , W , 0.46 , 0.23
Charlie Morton , Pirates , 2014 , 6.0 , 5 , L , 0.13 , 0.61
Wandy Rodriguez , Pirates , 2014 , 4.0 , 4 , N , 0.0 , 0.6
Gerrit Cole , Pirates , 2014 , 8.0 , 1 , N , 0.64 , 0.15
Francisco Liriano , Pirates , 2014 , 7.0 , 4 , N , 0.25 , 0.5
Edinson Volquez , Pirates , 2014 , 7.0 , 2 , L , 0.46 , 0.23
Charlie Morton , Pirates , 2014 , 6.0 , 3 , L , 0.29 , 0.36
Brandon Cumpton , Pirates , 2014 , 7.0 , 2 , L , 0.46 , 0.23
Gerrit Cole , Pirates , 2014 , 7.0 , 1 , L , 0.59 , 0.11
Francisco Liriano , Pirates , 2014 , 2.0 , 0 , N , 0.0 , 0.06
Edinson Volquez , Pirates , 2014 , 5.67 , 6 , L , 0.07 , 0.73
Charlie Morton , Pirates , 2014 , 5.33 , 2 , L , 0.35 , 0.24
Brandon Cumpton , Pirates , 2014 , 5.67 , 4 , N , 0.17 , 0.51
Gerrit Cole , Pirates , 2014 , 5.0 , 4 , N , 0.17 , 0.5
Francisco Liriano , Pirates , 2014 , 3.67 , 4 , N , 0.0 , 0.62
Edinson Volquez , Pirates , 2014 , 5.0 , 6 , L , 0.08 , 0.7
Jeff Locke , Pirates , 2014 , 5.33 , 6 , N , 0.08 , 0.7
Charlie Morton , Pirates , 2014 , 8.0 , 0 , N , 0.76 , 0.04
Gerrit Cole , Pirates , 2014 , 8.0 , 3 , W , 0.36 , 0.45
Francisco Liriano , Pirates , 2014 , 5.0 , 3 , N , 0.25 , 0.36
Edinson Volquez , Pirates , 2014 , 4.67 , 3 , N , 0.0 , 0.5
Charlie Morton , Pirates , 2014 , 6.0 , 1 , L , 0.51 , 0.11
Gerrit Cole , Pirates , 2014 , 5.67 , 3 , L , 0.29 , 0.35
Francisco Liriano , Pirates , 2014 , 6.0 , 1 , N , 0.51 , 0.11
Wandy Rodriguez , Pirates , 2014 , 5.0 , 2 , N , 0.35 , 0.24
Edinson Volquez , Pirates , 2014 , 6.33 , 5 , L , 0.13 , 0.61
Charlie Morton , Pirates , 2014 , 7.0 , 4 , L , 0.25 , 0.5
Gerrit Cole , Pirates , 2014 , 6.0 , 3 , W , 0.29 , 0.36
Francisco Liriano , Pirates , 2014 , 5.0 , 6 , L , 0.08 , 0.7
Wandy Rodriguez , Pirates , 2014 , 1.67 , 1 , N , 0.0 , 0.34
Edinson Volquez , Pirates , 2014 , 6.0 , 1 , W , 0.51 , 0.11
Charlie Morton , Pirates , 2014 , 5.67 , 1 , W , 0.51 , 0.12
Gerrit Cole , Pirates , 2014 , 6.0 , 2 , N , 0.4 , 0.23
Francisco Liriano , Pirates , 2014 , 5.0 , 4 , L , 0.17 , 0.5
Brandon Cumpton , Pirates , 2014 , 6.0 , 1 , N , 0.51 , 0.11
Edinson Volquez , Pirates , 2014 , 5.0 , 2 , N , 0.35 , 0.24
Charlie Morton , Pirates , 2014 , 5.33 , 2 , L , 0.35 , 0.24
Gerrit Cole , Pirates , 2014 , 6.33 , 3 , W , 0.29 , 0.36
Francisco Liriano , Pirates , 2014 , 5.67 , 0 , W , 0.65 , 0.05
Brandon Cumpton , Pirates , 2014 , 3.67 , 10 , L , 0.0 , 1.0
Edinson Volquez , Pirates , 2014 , 5.0 , 2 , W , 0.35 , 0.24
Charlie Morton , Pirates , 2014 , 5.0 , 2 , W , 0.35 , 0.24
Gerrit Cole , Pirates , 2014 , 5.67 , 1 , W , 0.51 , 0.12
Francisco Liriano , Pirates , 2014 , 5.0 , 2 , L , 0.35 , 0.24
Brandon Cumpton , Pirates , 2014 , 5.33 , 3 , W , 0.25 , 0.36
Edinson Volquez , Pirates , 2014 , 6.0 , 3 , L , 0.29 , 0.36
Jeff Locke , Pirates , 2014 , 7.0 , 1 , L , 0.59 , 0.11
Charlie Morton , Pirates , 2014 , 7.0 , 1 , W , 0.59 , 0.11
Francisco Liriano , Pirates , 2014 , 3.0 , 2 , N , 0.0 , 0.39
Brandon Cumpton , Pirates , 2014 , 5.0 , 2 , W , 0.35 , 0.24
Edinson Volquez , Pirates , 2014 , 7.0 , 0 , W , 0.73 , 0.04
Jeff Locke , Pirates , 2014 , 8.0 , 2 , N , 0.49 , 0.3
Charlie Morton , Pirates , 2014 , 7.0 , 2 , W , 0.46 , 0.23
Vance Worley , Pirates , 2014 , 7.0 , 0 , N , 0.73 , 0.04
Brandon Cumpton , Pirates , 2014 , 6.0 , 3 , N , 0.29 , 0.36
Edinson Volquez , Pirates , 2014 , 2.33 , 8 , L , 0.0 , 0.89
Jeff Locke , Pirates , 2014 , 6.0 , 2 , N , 0.4 , 0.23
Charlie Morton , Pirates , 2014 , 6.0 , 6 , L , 0.08 , 0.74
Vance Worley , Pirates , 2014 , 6.67 , 3 , W , 0.36 , 0.33
Brandon Cumpton , Pirates , 2014 , 7.0 , 0 , W , 0.73 , 0.04
Edinson Volquez , Pirates , 2014 , 8.0 , 1 , W , 0.64 , 0.15
Jeff Locke , Pirates , 2014 , 7.33 , 3 , W , 0.34 , 0.37
Charlie Morton , Pirates , 2014 , 7.0 , 2 , L , 0.46 , 0.23
Vance Worley , Pirates , 2014 , 7.0 , 1 , W , 0.59 , 0.11
Brandon Cumpton , Pirates , 2014 , 7.0 , 2 , N , 0.46 , 0.23
Gerrit Cole , Pirates , 2014 , 4.0 , 5 , L , 0.0 , 0.73
Edinson Volquez , Pirates , 2014 , 6.0 , 0 , W , 0.66 , 0.04
Jeff Locke , Pirates , 2014 , 8.0 , 2 , N , 0.49 , 0.3
Charlie Morton , Pirates , 2014 , 6.0 , 1 , W , 0.51 , 0.11
Vance Worley , Pirates , 2014 , 7.0 , 3 , L , 0.34 , 0.37
Gerrit Cole , Pirates , 2014 , 5.0 , 0 , W , 0.59 , 0.05
Edinson Volquez , Pirates , 2014 , 7.0 , 1 , W , 0.59 , 0.11
Jeff Locke , Pirates , 2014 , 8.0 , 1 , W , 0.64 , 0.15
Charlie Morton , Pirates , 2014 , 7.0 , 0 , N , 0.73 , 0.04
Vance Worley , Pirates , 2014 , 5.0 , 4 , N , 0.17 , 0.5
Brandon Cumpton , Pirates , 2014 , 3.33 , 4 , L , 0.0 , 0.62
Edinson Volquez , Pirates , 2014 , 9.0 , 1 , W , 0.89 , 0.05
Jeff Locke , Pirates , 2014 , 6.33 , 1 , N , 0.51 , 0.11
Charlie Morton , Pirates , 2014 , 6.0 , 5 , N , 0.13 , 0.61
Francisco Liriano , Pirates , 2014 , 4.0 , 3 , L , 0.0 , 0.5
Francisco Liriano , Pirates , 2014 , 5.0 , 0 , N , 0.59 , 0.05
Charlie Morton , Pirates , 2014 , 7.0 , 2 , N , 0.46 , 0.23
Jeff Locke , Pirates , 2014 , 6.0 , 3 , N , 0.29 , 0.36
Edinson Volquez , Pirates , 2014 , 5.67 , 5 , L , 0.13 , 0.61
Vance Worley , Pirates , 2014 , 6.0 , 1 , W , 0.51 , 0.11
Francisco Liriano , Pirates , 2014 , 7.0 , 1 , W , 0.59 , 0.11
Charlie Morton , Pirates , 2014 , 6.0 , 4 , L , 0.19 , 0.5
Jeff Locke , Pirates , 2014 , 6.67 , 6 , L , 0.09 , 0.74
Edinson Volquez , Pirates , 2014 , 4.33 , 2 , N , 0.0 , 0.38
Vance Worley , Pirates , 2014 , 9.0 , 0 , W , 0.96 , 0.01
Francisco Liriano , Pirates , 2014 , 7.0 , 1 , W , 0.59 , 0.11
Charlie Morton , Pirates , 2014 , 5.0 , 4 , N , 0.17 , 0.5
Jeff Locke , Pirates , 2014 , 5.33 , 4 , L , 0.17 , 0.5
Edinson Volquez , Pirates , 2014 , 5.67 , 3 , N , 0.29 , 0.35
Vance Worley , Pirates , 2014 , 6.0 , 1 , N , 0.51 , 0.11
Francisco Liriano , Pirates , 2014 , 6.0 , 2 , N , 0.4 , 0.23
Charlie Morton , Pirates , 2014 , 7.0 , 1 , N , 0.59 , 0.11
Jeff Locke , Pirates , 2014 , 7.0 , 3 , W , 0.34 , 0.37
Edinson Volquez , Pirates , 2014 , 7.0 , 0 , W , 0.73 , 0.04
Vance Worley , Pirates , 2014 , 7.0 , 1 , W , 0.59 , 0.11
Francisco Liriano , Pirates , 2014 , 7.0 , 2 , L , 0.46 , 0.23
Charlie Morton , Pirates , 2014 , 5.0 , 5 , L , 0.1 , 0.62
Jeff Locke , Pirates , 2014 , 5.0 , 4 , W , 0.17 , 0.5
Edinson Volquez , Pirates , 2014 , 6.0 , 2 , W , 0.4 , 0.23
Vance Worley , Pirates , 2014 , 5.33 , 3 , L , 0.25 , 0.36
Francisco Liriano , Pirates , 2014 , 6.0 , 2 , L , 0.4 , 0.23
Charlie Morton , Pirates , 2014 , 3.0 , 5 , L , 0.0 , 0.69
Jeff Locke , Pirates , 2014 , 5.67 , 0 , N , 0.65 , 0.05
Edinson Volquez , Pirates , 2014 , 6.33 , 1 , N , 0.51 , 0.11
Vance Worley , Pirates , 2014 , 6.0 , 5 , L , 0.13 , 0.61
Francisco Liriano , Pirates , 2014 , 4.0 , 7 , L , 0.0 , 0.83
Gerrit Cole , Pirates , 2014 , 7.0 , 2 , N , 0.46 , 0.23
Jeff Locke , Pirates , 2014 , 6.0 , 2 , W , 0.4 , 0.23
Edinson Volquez , Pirates , 2014 , 5.67 , 2 , W , 0.42 , 0.19
Vance Worley , Pirates , 2014 , 6.33 , 4 , L , 0.19 , 0.5
Francisco Liriano , Pirates , 2014 , 6.0 , 0 , N , 0.66 , 0.04
Gerrit Cole , Pirates , 2014 , 6.0 , 2 , N , 0.4 , 0.23
Jeff Locke , Pirates , 2014 , 7.33 , 1 , W , 0.59 , 0.11
Edinson Volquez , Pirates , 2014 , 7.67 , 1 , N , 0.72 , 0.08
Vance Worley , Pirates , 2014 , 6.33 , 1 , W , 0.51 , 0.11
Francisco Liriano , Pirates , 2014 , 7.0 , 2 , N , 0.46 , 0.23
Gerrit Cole , Pirates , 2014 , 6.33 , 5 , L , 0.13 , 0.61
Jeff Locke , Pirates , 2014 , 3.0 , 4 , L , 0.0 , 0.62
Edinson Volquez , Pirates , 2014 , 6.33 , 0 , N , 0.66 , 0.04
Vance Worley , Pirates , 2014 , 4.67 , 2 , N , 0.0 , 0.4
Francisco Liriano , Pirates , 2014 , 6.0 , 0 , W , 0.66 , 0.04
Gerrit Cole , Pirates , 2014 , 6.0 , 3 , W , 0.29 , 0.36
Jeff Locke , Pirates , 2014 , 7.0 , 1 , W , 0.59 , 0.11
Edinson Volquez , Pirates , 2014 , 6.0 , 3 , N , 0.29 , 0.36
Vance Worley , Pirates , 2014 , 5.0 , 3 , W , 0.25 , 0.36
Francisco Liriano , Pirates , 2014 , 8.0 , 0 , W , 0.76 , 0.04
Gerrit Cole , Pirates , 2014 , 6.0 , 3 , W , 0.29 , 0.36
Jeff Locke , Pirates , 2014 , 5.33 , 3 , L , 0.25 , 0.36
Edinson Volquez , Pirates , 2014 , 7.0 , 1 , W , 0.59 , 0.11
Charlie Morton , Pirates , 2014 , 5.0 , 0 , W , 0.59 , 0.05
Francisco Liriano , Pirates , 2014 , 6.0 , 1 , W , 0.51 , 0.11
Gerrit Cole , Pirates , 2014 , 7.0 , 2 , W , 0.46 , 0.23
Jeff Locke , Pirates , 2014 , 7.0 , 2 , N , 0.46 , 0.23
Edinson Volquez , Pirates , 2014 , 7.0 , 0 , N , 0.73 , 0.04
Vance Worley , Pirates , 2014 , 8.0 , 0 , W , 0.76 , 0.04
Francisco Liriano , Pirates , 2014 , 6.0 , 0 , W , 0.66 , 0.04
Gerrit Cole , Pirates , 2014 , 7.0 , 2 , W , 0.46 , 0.23
Jeff Locke , Pirates , 2014 , 4.0 , 6 , L , 0.0 , 0.79
Edinson Volquez , Pirates , 2014 , 7.0 , 0 , W , 0.73 , 0.04
Vance Worley , Pirates , 2014 , 6.33 , 1 , N , 0.51 , 0.11
Francisco Liriano , Pirates , 2014 , 5.0 , 3 , N , 0.25 , 0.36
Gerrit Cole , Pirates , 2014 , 7.0 , 1 , N , 0.59 , 0.11
