Name, Team, Year, IP, ER, Decision, Earned Wins, Earned Losses
Ken Hill , Rangers , 1996 , 8.67 , 3 , W , 0.55 , 0.28
Roger Pavlik , Rangers , 1996 , 6.0 , 2 , W , 0.4 , 0.23
Kevin Gross , Rangers , 1996 , 7.0 , 1 , W , 0.59 , 0.11
Bobby Witt , Rangers , 1996 , 6.0 , 2 , W , 0.4 , 0.23
Ken Hill , Rangers , 1996 , 5.33 , 2 , W , 0.35 , 0.24
Roger Pavlik , Rangers , 1996 , 8.0 , 1 , W , 0.64 , 0.15
Kevin Gross , Rangers , 1996 , 6.0 , 2 , W , 0.4 , 0.23
Bobby Witt , Rangers , 1996 , 4.67 , 4 , N , 0.0 , 0.6
Ken Hill , Rangers , 1996 , 6.33 , 4 , L , 0.19 , 0.5
Roger Pavlik , Rangers , 1996 , 5.0 , 3 , W , 0.25 , 0.36
Kevin Gross , Rangers , 1996 , 1.33 , 5 , L , 0.0 , 0.72
Darren Oliver , Rangers , 1996 , 5.33 , 3 , N , 0.25 , 0.36
Bobby Witt , Rangers , 1996 , 6.0 , 2 , W , 0.4 , 0.23
Ken Hill , Rangers , 1996 , 9.0 , 1 , W , 0.89 , 0.05
Roger Pavlik , Rangers , 1996 , 3.67 , 6 , N , 0.0 , 0.81
Kevin Gross , Rangers , 1996 , 7.33 , 3 , W , 0.34 , 0.37
Darren Oliver , Rangers , 1996 , 5.0 , 3 , W , 0.25 , 0.36
Bobby Witt , Rangers , 1996 , 5.67 , 9 , L , 0.09 , 0.91
Ken Hill , Rangers , 1996 , 5.67 , 6 , L , 0.07 , 0.73
Roger Pavlik , Rangers , 1996 , 2.0 , 5 , N , 0.0 , 0.75
Kevin Gross , Rangers , 1996 , 5.33 , 7 , L , 0.05 , 0.78
Darren Oliver , Rangers , 1996 , 4.67 , 2 , N , 0.0 , 0.4
Bobby Witt , Rangers , 1996 , 7.33 , 2 , W , 0.46 , 0.23
Ken Hill , Rangers , 1996 , 7.33 , 1 , N , 0.59 , 0.11
Roger Pavlik , Rangers , 1996 , 4.33 , 6 , N , 0.0 , 0.79
Kevin Gross , Rangers , 1996 , 3.67 , 5 , L , 0.0 , 0.69
Darren Oliver , Rangers , 1996 , 5.0 , 4 , N , 0.17 , 0.5
Bobby Witt , Rangers , 1996 , 6.0 , 4 , L , 0.19 , 0.5
Ken Hill , Rangers , 1996 , 9.0 , 0 , W , 0.96 , 0.01
Roger Pavlik , Rangers , 1996 , 9.0 , 1 , W , 0.89 , 0.05
Kevin Gross , Rangers , 1996 , 7.0 , 2 , W , 0.46 , 0.23
