Name, Team, Year, IP, ER, Decision, Earned Wins, Earned Losses
James Shields , Rays , 2010 , 6.0 , 3 , N , 0.29 , 0.36
Matt Garza , Rays , 2010 , 8.0 , 1 , W , 0.64 , 0.15
Jeff Niemann , Rays , 2010 , 1.33 , 0 , N , 0.0 , 0.03
David Price , Rays , 2010 , 7.67 , 3 , W , 0.46 , 0.32
Wade Davis , Rays , 2010 , 6.0 , 4 , L , 0.19 , 0.5
James Shields , Rays , 2010 , 5.33 , 2 , N , 0.35 , 0.24
Matt Garza , Rays , 2010 , 8.0 , 1 , W , 0.64 , 0.15
Jeff Niemann , Rays , 2010 , 7.0 , 3 , N , 0.34 , 0.37
David Price , Rays , 2010 , 7.0 , 1 , W , 0.59 , 0.11
Wade Davis , Rays , 2010 , 5.0 , 1 , N , 0.47 , 0.13
James Shields , Rays , 2010 , 6.67 , 4 , W , 0.24 , 0.5
Matt Garza , Rays , 2010 , 8.0 , 0 , W , 0.76 , 0.04
Jeff Niemann , Rays , 2010 , 7.0 , 2 , W , 0.46 , 0.23
David Price , Rays , 2010 , 5.0 , 3 , L , 0.25 , 0.36
Wade Davis , Rays , 2010 , 6.0 , 0 , W , 0.66 , 0.04
James Shields , Rays , 2010 , 7.0 , 2 , W , 0.46 , 0.23
Matt Garza , Rays , 2010 , 5.0 , 5 , L , 0.1 , 0.62
Jeff Niemann , Rays , 2010 , 6.67 , 3 , N , 0.36 , 0.33
David Price , Rays , 2010 , 9.0 , 0 , W , 0.96 , 0.01
Wade Davis , Rays , 2010 , 5.0 , 4 , W , 0.17 , 0.5
James Shields , Rays , 2010 , 7.0 , 1 , W , 0.59 , 0.11
Matt Garza , Rays , 2010 , 6.0 , 1 , W , 0.51 , 0.11
Jeff Niemann , Rays , 2010 , 7.33 , 1 , N , 0.59 , 0.11
David Price , Rays , 2010 , 6.0 , 2 , N , 0.4 , 0.23
Wade Davis , Rays , 2010 , 7.0 , 0 , W , 0.73 , 0.04
James Shields , Rays , 2010 , 8.0 , 2 , W , 0.49 , 0.3
Matt Garza , Rays , 2010 , 8.0 , 2 , W , 0.49 , 0.3
Jeff Niemann , Rays , 2010 , 7.0 , 0 , W , 0.73 , 0.04
David Price , Rays , 2010 , 7.67 , 0 , W , 0.83 , 0.03
Wade Davis , Rays , 2010 , 5.0 , 3 , L , 0.25 , 0.36
James Shields , Rays , 2010 , 6.0 , 2 , L , 0.4 , 0.23
Matt Garza , Rays , 2010 , 7.67 , 4 , N , 0.32 , 0.44
Jeff Niemann , Rays , 2010 , 7.33 , 2 , W , 0.46 , 0.23
David Price , Rays , 2010 , 6.33 , 2 , W , 0.4 , 0.23
Wade Davis , Rays , 2010 , 6.0 , 3 , L , 0.29 , 0.36
James Shields , Rays , 2010 , 8.0 , 2 , N , 0.49 , 0.3
Matt Garza , Rays , 2010 , 6.0 , 1 , N , 0.51 , 0.11
Jeff Niemann , Rays , 2010 , 6.0 , 3 , N , 0.29 , 0.36
David Price , Rays , 2010 , 6.0 , 0 , W , 0.66 , 0.04
Wade Davis , Rays , 2010 , 5.67 , 2 , W , 0.42 , 0.19
James Shields , Rays , 2010 , 7.33 , 3 , W , 0.34 , 0.37
Matt Garza , Rays , 2010 , 8.0 , 2 , L , 0.49 , 0.3
Jeff Niemann , Rays , 2010 , 7.0 , 2 , W , 0.46 , 0.23
David Price , Rays , 2010 , 5.0 , 5 , W , 0.1 , 0.62
Wade Davis , Rays , 2010 , 3.67 , 5 , L , 0.0 , 0.69
James Shields , Rays , 2010 , 8.0 , 2 , L , 0.49 , 0.3
Matt Garza , Rays , 2010 , 5.0 , 6 , L , 0.08 , 0.7
Jeff Niemann , Rays , 2010 , 8.0 , 1 , W , 0.64 , 0.15
David Price , Rays , 2010 , 7.0 , 3 , L , 0.34 , 0.37
Wade Davis , Rays , 2010 , 6.33 , 3 , W , 0.29 , 0.36
James Shields , Rays , 2010 , 5.33 , 7 , L , 0.05 , 0.78
Matt Garza , Rays , 2010 , 6.33 , 3 , L , 0.29 , 0.36
Jeff Niemann , Rays , 2010 , 6.33 , 5 , N , 0.13 , 0.61
David Price , Rays , 2010 , 8.0 , 0 , W , 0.76 , 0.04
Wade Davis , Rays , 2010 , 3.33 , 8 , L , 0.0 , 0.92
James Shields , Rays , 2010 , 7.0 , 3 , L , 0.34 , 0.37
Matt Garza , Rays , 2010 , 5.67 , 4 , W , 0.17 , 0.51
Jeff Niemann , Rays , 2010 , 9.0 , 0 , W , 0.96 , 0.01
David Price , Rays , 2010 , 6.0 , 1 , W , 0.51 , 0.11
Wade Davis , Rays , 2010 , 7.0 , 3 , L , 0.34 , 0.37
James Shields , Rays , 2010 , 3.33 , 10 , L , 0.0 , 1.0
Matt Garza , Rays , 2010 , 5.67 , 4 , W , 0.17 , 0.51
Jeff Niemann , Rays , 2010 , 6.0 , 5 , L , 0.13 , 0.61
David Price , Rays , 2010 , 5.0 , 2 , W , 0.35 , 0.24
Wade Davis , Rays , 2010 , 5.0 , 3 , L , 0.25 , 0.36
James Shields , Rays , 2010 , 6.0 , 3 , L , 0.29 , 0.36
Matt Garza , Rays , 2010 , 1.33 , 7 , L , 0.0 , 0.94
Jeff Niemann , Rays , 2010 , 6.0 , 2 , N , 0.4 , 0.23
David Price , Rays , 2010 , 6.0 , 3 , L , 0.29 , 0.36
Wade Davis , Rays , 2010 , 4.33 , 2 , L , 0.0 , 0.38
James Shields , Rays , 2010 , 7.0 , 4 , L , 0.25 , 0.5
Matt Garza , Rays , 2010 , 8.0 , 3 , W , 0.36 , 0.45
Jeff Niemann , Rays , 2010 , 7.33 , 1 , L , 0.59 , 0.11
David Price , Rays , 2010 , 8.0 , 2 , W , 0.49 , 0.3
