Name, Team, Year, IP, ER, Decision, Earned Wins, Earned Losses
Josh Beckett , Red_Sox , 2009 , 7.0 , 1 , W , 0.59 , 0.11
Jon Lester , Red_Sox , 2009 , 5.0 , 5 , L , 0.1 , 0.62
Daisuke Matsuzaka , Red_Sox , 2009 , 5.33 , 4 , L , 0.17 , 0.5
Tim Wakefield , Red_Sox , 2009 , 6.0 , 3 , L , 0.29 , 0.36
Brad Penny , Red_Sox , 2009 , 6.0 , 3 , W , 0.29 , 0.36
Josh Beckett , Red_Sox , 2009 , 6.0 , 4 , L , 0.19 , 0.5
Jon Lester , Red_Sox , 2009 , 6.0 , 6 , L , 0.08 , 0.74
Daisuke Matsuzaka , Red_Sox , 2009 , 1.0 , 5 , N , 0.0 , 0.72
Tim Wakefield , Red_Sox , 2009 , 9.0 , 2 , W , 0.8 , 0.13
Brad Penny , Red_Sox , 2009 , 3.0 , 8 , N , 0.0 , 0.92
Josh Beckett , Red_Sox , 2009 , 6.0 , 3 , W , 0.29 , 0.36
Jon Lester , Red_Sox , 2009 , 7.0 , 0 , W , 0.73 , 0.04
Justin Masterson , Red_Sox , 2009 , 5.33 , 1 , W , 0.47 , 0.13
Tim Wakefield , Red_Sox , 2009 , 7.0 , 1 , W , 0.59 , 0.11
Brad Penny , Red_Sox , 2009 , 6.0 , 2 , W , 0.4 , 0.23
Jon Lester , Red_Sox , 2009 , 6.0 , 2 , N , 0.4 , 0.23
Josh Beckett , Red_Sox , 2009 , 5.0 , 8 , N , 0.03 , 0.84
Justin Masterson , Red_Sox , 2009 , 5.33 , 1 , W , 0.47 , 0.13
Tim Wakefield , Red_Sox , 2009 , 7.0 , 0 , N , 0.73 , 0.04
Brad Penny , Red_Sox , 2009 , 2.67 , 4 , N , 0.0 , 0.65
Jon Lester , Red_Sox , 2009 , 6.0 , 5 , N , 0.13 , 0.61
Josh Beckett , Red_Sox , 2009 , 4.67 , 7 , L , 0.0 , 0.82
Justin Masterson , Red_Sox , 2009 , 6.0 , 6 , L , 0.08 , 0.74
Tim Wakefield , Red_Sox , 2009 , 5.0 , 5 , W , 0.1 , 0.62
Brad Penny , Red_Sox , 2009 , 6.0 , 3 , L , 0.29 , 0.36
Jon Lester , Red_Sox , 2009 , 7.0 , 3 , W , 0.34 , 0.37
Josh Beckett , Red_Sox , 2009 , 6.0 , 3 , W , 0.29 , 0.36
Justin Masterson , Red_Sox , 2009 , 6.33 , 6 , L , 0.08 , 0.74
Tim Wakefield , Red_Sox , 2009 , 6.0 , 2 , W , 0.4 , 0.23
Brad Penny , Red_Sox , 2009 , 6.33 , 3 , W , 0.29 , 0.36
Jon Lester , Red_Sox , 2009 , 4.33 , 8 , L , 0.0 , 0.91
Josh Beckett , Red_Sox , 2009 , 6.0 , 3 , N , 0.29 , 0.36
Justin Masterson , Red_Sox , 2009 , 6.0 , 2 , N , 0.4 , 0.23
Tim Wakefield , Red_Sox , 2009 , 4.67 , 7 , L , 0.0 , 0.82
Brad Penny , Red_Sox , 2009 , 6.33 , 4 , N , 0.19 , 0.5
Jon Lester , Red_Sox , 2009 , 5.67 , 5 , L , 0.13 , 0.61
Josh Beckett , Red_Sox , 2009 , 7.0 , 2 , W , 0.46 , 0.23
Justin Masterson , Red_Sox , 2009 , 6.33 , 2 , N , 0.4 , 0.23
Tim Wakefield , Red_Sox , 2009 , 8.0 , 1 , W , 0.64 , 0.15
Brad Penny , Red_Sox , 2009 , 6.67 , 2 , W , 0.53 , 0.18
Jon Lester , Red_Sox , 2009 , 6.33 , 1 , W , 0.51 , 0.11
Daisuke Matsuzaka , Red_Sox , 2009 , 5.0 , 4 , L , 0.17 , 0.5
Josh Beckett , Red_Sox , 2009 , 8.0 , 0 , N , 0.76 , 0.04
Tim Wakefield , Red_Sox , 2009 , 6.0 , 5 , W , 0.13 , 0.61
