Name, Team, Year, IP, ER, Decision, Earned Wins, Earned Losses
Jack Billingham , Reds , 1974 , 5.0 , 4 , N , 0.17 , 0.5
Don Gullett , Reds , 1974 , 4.67 , 2 , N , 0.0 , 0.4
Clay Kirby , Reds , 1974 , 5.0 , 5 , L , 0.1 , 0.62
Roger Nelson , Reds , 1974 , 5.0 , 4 , L , 0.17 , 0.5
Jack Billingham , Reds , 1974 , 6.0 , 3 , W , 0.29 , 0.36
Don Gullett , Reds , 1974 , 6.0 , 3 , L , 0.29 , 0.36
Clay Kirby , Reds , 1974 , 5.67 , 2 , W , 0.42 , 0.19
Jack Billingham , Reds , 1974 , 2.0 , 6 , L , 0.0 , 0.82
Clay Kirby , Reds , 1974 , 7.0 , 1 , N , 0.59 , 0.11
Roger Nelson , Reds , 1974 , 7.0 , 6 , L , 0.15 , 0.69
Jack Billingham , Reds , 1974 , 8.33 , 4 , W , 0.25 , 0.58
Don Gullett , Reds , 1974 , 8.0 , 0 , W , 0.76 , 0.04
Fred Norman , Reds , 1974 , 8.0 , 1 , W , 0.64 , 0.15
Clay Kirby , Reds , 1974 , 6.0 , 4 , L , 0.19 , 0.5
Roger Nelson , Reds , 1974 , 6.0 , 1 , W , 0.51 , 0.11
Jack Billingham , Reds , 1974 , 9.0 , 0 , W , 0.96 , 0.01
Don Gullett , Reds , 1974 , 5.0 , 2 , W , 0.35 , 0.24
Fred Norman , Reds , 1974 , 6.0 , 2 , N , 0.4 , 0.23
Clay Kirby , Reds , 1974 , 1.33 , 6 , L , 0.0 , 0.85
Don Gullett , Reds , 1974 , 4.0 , 2 , N , 0.0 , 0.38
Clay Kirby , Reds , 1974 , 5.0 , 2 , N , 0.35 , 0.24
Roger Nelson , Reds , 1974 , 9.0 , 0 , N , 0.96 , 0.01
Jack Billingham , Reds , 1974 , 7.67 , 0 , W , 0.83 , 0.03
Fred Norman , Reds , 1974 , 9.0 , 0 , L , 0.96 , 0.01
Don Gullett , Reds , 1974 , 7.33 , 2 , L , 0.46 , 0.23
Jack Billingham , Reds , 1974 , 9.0 , 1 , W , 0.89 , 0.05
Roger Nelson , Reds , 1974 , 7.0 , 4 , L , 0.25 , 0.5
Fred Norman , Reds , 1974 , 9.0 , 0 , W , 0.96 , 0.01
Clay Kirby , Reds , 1974 , 9.0 , 2 , W , 0.8 , 0.13
Don Gullett , Reds , 1974 , 7.33 , 1 , W , 0.59 , 0.11
Jack Billingham , Reds , 1974 , 8.0 , 4 , L , 0.25 , 0.58
Roger Nelson , Reds , 1974 , 8.67 , 3 , W , 0.55 , 0.28
Fred Norman , Reds , 1974 , 8.33 , 2 , W , 0.49 , 0.3
Clay Kirby , Reds , 1974 , 5.0 , 4 , N , 0.17 , 0.5
Don Gullett , Reds , 1974 , 9.0 , 1 , W , 0.89 , 0.05
Jack Billingham , Reds , 1974 , 5.0 , 5 , L , 0.1 , 0.62
Roger Nelson , Reds , 1974 , 7.0 , 1 , N , 0.59 , 0.11
Fred Norman , Reds , 1974 , 1.67 , 5 , L , 0.0 , 0.73
Clay Kirby , Reds , 1974 , 6.67 , 3 , N , 0.36 , 0.33
Don Gullett , Reds , 1974 , 8.0 , 2 , W , 0.49 , 0.3
Jack Billingham , Reds , 1974 , 6.67 , 1 , W , 0.62 , 0.09
Roger Nelson , Reds , 1974 , 9.0 , 1 , W , 0.89 , 0.05
Fred Norman , Reds , 1974 , 9.0 , 2 , W , 0.8 , 0.13
Clay Kirby , Reds , 1974 , 8.67 , 0 , W , 0.9 , 0.04
Don Gullett , Reds , 1974 , 7.0 , 2 , N , 0.46 , 0.23
Jack Billingham , Reds , 1974 , 2.0 , 3 , N , 0.0 , 0.56
Roger Nelson , Reds , 1974 , 1.0 , 3 , L , 0.0 , 0.57
Fred Norman , Reds , 1974 , 6.67 , 0 , W , 0.74 , 0.04
Clay Kirby , Reds , 1974 , 9.0 , 1 , W , 0.89 , 0.05
