Name, Team, Year, IP, ER, Decision, Earned Wins, Earned Losses
Kevin Ritz , Rockies , 1997 , 5.0 , 5 , L , 0.1 , 0.62
Bill Swift , Rockies , 1997 , 5.0 , 5 , L , 0.1 , 0.62
Mark Thompson , Rockies , 1997 , 7.0 , 0 , W , 0.73 , 0.04
Jamey Wright , Rockies , 1997 , 7.0 , 3 , W , 0.34 , 0.37
Roger Bailey , Rockies , 1997 , 8.0 , 3 , W , 0.36 , 0.45
Kevin Ritz , Rockies , 1997 , 6.67 , 1 , W , 0.62 , 0.09
Bill Swift , Rockies , 1997 , 6.0 , 1 , W , 0.51 , 0.11
Mark Thompson , Rockies , 1997 , 6.33 , 4 , W , 0.19 , 0.5
Jamey Wright , Rockies , 1997 , 7.0 , 4 , W , 0.25 , 0.5
Kevin Ritz , Rockies , 1997 , 4.0 , 5 , L , 0.0 , 0.73
Bill Swift , Rockies , 1997 , 5.33 , 4 , N , 0.17 , 0.5
Mark Thompson , Rockies , 1997 , 5.0 , 6 , W , 0.08 , 0.7
Roger Bailey , Rockies , 1997 , 9.0 , 0 , W , 0.96 , 0.01
Jamey Wright , Rockies , 1997 , 2.0 , 8 , L , 0.0 , 0.89
Kevin Ritz , Rockies , 1997 , 6.0 , 7 , L , 0.07 , 0.81
Darren Holmes , Rockies , 1997 , 6.0 , 1 , W , 0.51 , 0.11
Roger Bailey , Rockies , 1997 , 9.0 , 4 , W , 0.55 , 0.37
Jamey Wright , Rockies , 1997 , 7.0 , 3 , W , 0.34 , 0.37
Kevin Ritz , Rockies , 1997 , 7.0 , 2 , W , 0.46 , 0.23
Bill Swift , Rockies , 1997 , 6.0 , 0 , W , 0.66 , 0.04
Mark Thompson , Rockies , 1997 , 1.67 , 5 , L , 0.0 , 0.73
Jamey Wright , Rockies , 1997 , 3.33 , 4 , N , 0.0 , 0.62
Roger Bailey , Rockies , 1997 , 7.0 , 1 , L , 0.59 , 0.11
Kevin Ritz , Rockies , 1997 , 7.33 , 4 , W , 0.25 , 0.5
Bill Swift , Rockies , 1997 , 6.0 , 1 , W , 0.51 , 0.11
Mark Thompson , Rockies , 1997 , 6.0 , 7 , L , 0.07 , 0.81
Jamey Wright , Rockies , 1997 , 7.0 , 2 , W , 0.46 , 0.23
