Name, Team, Year, IP, ER, Decision, Earned Wins, Earned Losses
Scott Elarton , Royals , 2006 , 5.67 , 2 , L , 0.42 , 0.19
Joe Mays , Royals , 2006 , 4.33 , 6 , L , 0.0 , 0.79
Jeremy Affeldt , Royals , 2006 , 4.0 , 6 , N , 0.0 , 0.79
Denny Bautista , Royals , 2006 , 6.0 , 1 , N , 0.51 , 0.11
Scott Elarton , Royals , 2006 , 8.0 , 3 , L , 0.36 , 0.45
Joe Mays , Royals , 2006 , 2.67 , 4 , N , 0.0 , 0.65
Jeremy Affeldt , Royals , 2006 , 3.33 , 6 , L , 0.0 , 0.77
Denny Bautista , Royals , 2006 , 5.0 , 4 , L , 0.17 , 0.5
Scott Elarton , Royals , 2006 , 6.33 , 3 , L , 0.29 , 0.36
Mike Wood , Royals , 2006 , 4.0 , 2 , N , 0.0 , 0.38
Mark Redman , Royals , 2006 , 5.0 , 3 , N , 0.25 , 0.36
Joe Mays , Royals , 2006 , 5.33 , 6 , L , 0.08 , 0.7
Jeremy Affeldt , Royals , 2006 , 6.0 , 0 , L , 0.66 , 0.04
Scott Elarton , Royals , 2006 , 4.33 , 3 , L , 0.0 , 0.5
Mark Redman , Royals , 2006 , 6.0 , 3 , N , 0.29 , 0.36
Joe Mays , Royals , 2006 , 4.67 , 4 , N , 0.0 , 0.6
Jeremy Affeldt , Royals , 2006 , 5.33 , 1 , W , 0.47 , 0.13
Scott Elarton , Royals , 2006 , 7.0 , 0 , N , 0.73 , 0.04
Runelvys Hernandez , Royals , 2006 , 7.0 , 1 , W , 0.59 , 0.11
Mark Redman , Royals , 2006 , 1.67 , 5 , L , 0.0 , 0.73
Joe Mays , Royals , 2006 , 3.33 , 5 , L , 0.0 , 0.69
Scott Elarton , Royals , 2006 , 2.33 , 5 , N , 0.0 , 0.75
Runelvys Hernandez , Royals , 2006 , 6.67 , 3 , L , 0.36 , 0.33
Mark Redman , Royals , 2006 , 5.33 , 3 , L , 0.25 , 0.36
Joe Mays , Royals , 2006 , 3.33 , 2 , L , 0.0 , 0.39
Jeremy Affeldt , Royals , 2006 , 5.0 , 0 , W , 0.59 , 0.05
Scott Elarton , Royals , 2006 , 6.0 , 1 , N , 0.51 , 0.11
Runelvys Hernandez , Royals , 2006 , 4.67 , 6 , L , 0.0 , 0.73
Mark Redman , Royals , 2006 , 7.0 , 2 , N , 0.46 , 0.23
Denny Bautista , Royals , 2006 , 3.0 , 2 , N , 0.0 , 0.39
Jeremy Affeldt , Royals , 2006 , 1.67 , 2 , N , 0.0 , 0.5
Scott Elarton , Royals , 2006 , 6.0 , 5 , N , 0.13 , 0.61
Runelvys Hernandez , Royals , 2006 , 5.0 , 5 , N , 0.1 , 0.62
Mark Redman , Royals , 2006 , 6.33 , 5 , L , 0.13 , 0.61
Denny Bautista , Royals , 2006 , 4.0 , 2 , N , 0.0 , 0.38
Scott Elarton , Royals , 2006 , 5.67 , 3 , N , 0.29 , 0.35
Jeremy Affeldt , Royals , 2006 , 6.0 , 4 , L , 0.19 , 0.5
Runelvys Hernandez , Royals , 2006 , 3.33 , 5 , L , 0.0 , 0.69
Mark Redman , Royals , 2006 , 4.0 , 6 , L , 0.0 , 0.79
Denny Bautista , Royals , 2006 , 6.0 , 1 , L , 0.51 , 0.11
Scott Elarton , Royals , 2006 , 6.0 , 5 , L , 0.13 , 0.61
Jeremy Affeldt , Royals , 2006 , 6.0 , 8 , L , 0.0 , 0.99
Runelvys Hernandez , Royals , 2006 , 5.33 , 2 , N , 0.35 , 0.24
Jimmy Gobble , Royals , 2006 , 4.0 , 1 , L , 0.0 , 0.25
Denny Bautista , Royals , 2006 , 3.67 , 4 , N , 0.0 , 0.62
Scott Elarton , Royals , 2006 , 7.0 , 4 , W , 0.25 , 0.5
Jeremy Affeldt , Royals , 2006 , 5.33 , 10 , L , 0.0 , 1.0
Runelvys Hernandez , Royals , 2006 , 0.67 , 5 , L , 0.0 , 0.77
Seth Etherton , Royals , 2006 , 5.0 , 1 , W , 0.47 , 0.13
Denny Bautista , Royals , 2006 , 4.33 , 6 , N , 0.0 , 0.79
Scott Elarton , Royals , 2006 , 6.67 , 5 , L , 0.17 , 0.6
Bobby Keppel , Royals , 2006 , 6.67 , 2 , L , 0.53 , 0.18
Seth Etherton , Royals , 2006 , 2.67 , 7 , L , 0.0 , 0.85
Mark Redman , Royals , 2006 , 5.67 , 4 , W , 0.17 , 0.51
Mike Wood , Royals , 2006 , 5.33 , 2 , L , 0.35 , 0.24
Scott Elarton , Royals , 2006 , 5.0 , 4 , L , 0.17 , 0.5
Bobby Keppel , Royals , 2006 , 8.0 , 1 , N , 0.64 , 0.15
Kyle Snyder , Royals , 2006 , 2.0 , 5 , N , 0.0 , 0.75
Mark Redman , Royals , 2006 , 8.0 , 2 , W , 0.49 , 0.3
Mike Wood , Royals , 2006 , 4.67 , 3 , L , 0.0 , 0.5
Scott Elarton , Royals , 2006 , 4.67 , 4 , L , 0.0 , 0.6
Bobby Keppel , Royals , 2006 , 5.33 , 4 , L , 0.17 , 0.5
Brandon Duckworth , Royals , 2006 , 5.67 , 2 , L , 0.42 , 0.19
Mark Redman , Royals , 2006 , 8.0 , 3 , W , 0.36 , 0.45
Mike Wood , Royals , 2006 , 6.33 , 2 , N , 0.4 , 0.23
Scott Elarton , Royals , 2006 , 6.0 , 2 , W , 0.4 , 0.23
Bobby Keppel , Royals , 2006 , 3.0 , 3 , L , 0.0 , 0.47
