Name, Team, Year, IP, ER, Decision, Earned Wins, Earned Losses
Mickey Lolich , Tigers , 1971 , 9.0 , 2 , W , 0.8 , 0.13
Joe Niekro , Tigers , 1971 , 7.33 , 6 , L , 0.15 , 0.69
Mickey Lolich , Tigers , 1971 , 8.67 , 2 , L , 0.68 , 0.18
Dean Chance , Tigers , 1971 , 6.0 , 2 , N , 0.4 , 0.23
Mike Kilkenny , Tigers , 1971 , 1.67 , 5 , L , 0.0 , 0.73
Joe Niekro , Tigers , 1971 , 5.0 , 4 , L , 0.17 , 0.5
Mickey Lolich , Tigers , 1971 , 5.0 , 4 , L , 0.17 , 0.5
Dean Chance , Tigers , 1971 , 4.0 , 0 , N , 0.0 , 0.12
Joe Niekro , Tigers , 1971 , 6.0 , 3 , L , 0.29 , 0.36
Mickey Lolich , Tigers , 1971 , 1.33 , 5 , N , 0.0 , 0.72
Dean Chance , Tigers , 1971 , 8.0 , 1 , L , 0.64 , 0.15
Joe Niekro , Tigers , 1971 , 7.0 , 4 , N , 0.25 , 0.5
Mickey Lolich , Tigers , 1971 , 9.0 , 1 , W , 0.89 , 0.05
Dean Chance , Tigers , 1971 , 4.33 , 1 , L , 0.0 , 0.25
Joe Coleman , Tigers , 1971 , 5.0 , 2 , N , 0.35 , 0.24
Mickey Lolich , Tigers , 1971 , 7.0 , 2 , W , 0.46 , 0.23
Joe Niekro , Tigers , 1971 , 8.0 , 3 , W , 0.36 , 0.45
Dean Chance , Tigers , 1971 , 6.33 , 4 , L , 0.19 , 0.5
Mickey Lolich , Tigers , 1971 , 10.0 , 1 , W , 0.46 , 0.05
Joe Coleman , Tigers , 1971 , 7.67 , 4 , W , 0.32 , 0.44
Dean Chance , Tigers , 1971 , 1.67 , 1 , L , 0.0 , 0.34
Mickey Lolich , Tigers , 1971 , 5.0 , 3 , N , 0.25 , 0.36
Joe Coleman , Tigers , 1971 , 7.0 , 2 , N , 0.46 , 0.23
Dean Chance , Tigers , 1971 , 4.33 , 4 , L , 0.0 , 0.6
Mickey Lolich , Tigers , 1971 , 9.0 , 1 , W , 0.89 , 0.05
Joe Coleman , Tigers , 1971 , 7.33 , 1 , W , 0.59 , 0.11
Joe Niekro , Tigers , 1971 , 3.0 , 5 , L , 0.0 , 0.69
Dean Chance , Tigers , 1971 , 4.67 , 0 , N , 0.0 , 0.19
Mickey Lolich , Tigers , 1971 , 6.33 , 4 , L , 0.19 , 0.5
Joe Coleman , Tigers , 1971 , 9.0 , 1 , W , 0.89 , 0.05
Bill Zepp , Tigers , 1971 , 5.0 , 2 , N , 0.35 , 0.24
Mickey Lolich , Tigers , 1971 , 13.0 , 3 , N , 0.26 , 0.34
