Name, Team, Year, IP, ER, Decision, Earned Wins, Earned Losses
Frank Viola , Twins , 1988 , 5.0 , 6 , L , 0.08 , 0.7
Les Straker , Twins , 1988 , 6.0 , 2 , N , 0.4 , 0.23
Bert Blyleven , Twins , 1988 , 6.0 , 2 , W , 0.4 , 0.23
Charlie Lea , Twins , 1988 , 5.33 , 4 , L , 0.17 , 0.5
Frank Viola , Twins , 1988 , 7.67 , 2 , W , 0.56 , 0.17
Les Straker , Twins , 1988 , 3.67 , 4 , N , 0.0 , 0.62
Bert Blyleven , Twins , 1988 , 7.0 , 2 , N , 0.46 , 0.23
Charlie Lea , Twins , 1988 , 6.0 , 3 , L , 0.29 , 0.36
Frank Viola , Twins , 1988 , 6.0 , 1 , N , 0.51 , 0.11
Les Straker , Twins , 1988 , 7.0 , 2 , L , 0.46 , 0.23
Bert Blyleven , Twins , 1988 , 3.0 , 5 , L , 0.0 , 0.69
Joe Niekro , Twins , 1988 , 1.67 , 7 , L , 0.0 , 0.9
Frank Viola , Twins , 1988 , 8.0 , 4 , N , 0.25 , 0.58
Bert Blyleven , Twins , 1988 , 4.67 , 7 , L , 0.0 , 0.82
Steve Carlton , Twins , 1988 , 5.0 , 8 , L , 0.03 , 0.84
Charlie Lea , Twins , 1988 , 3.0 , 4 , N , 0.0 , 0.62
Frank Viola , Twins , 1988 , 7.0 , 2 , W , 0.46 , 0.23
Bert Blyleven , Twins , 1988 , 6.0 , 4 , N , 0.19 , 0.5
Allan Anderson , Twins , 1988 , 6.33 , 2 , W , 0.4 , 0.23
Joe Niekro , Twins , 1988 , 3.0 , 5 , N , 0.0 , 0.69
Charlie Lea , Twins , 1988 , 3.33 , 5 , L , 0.0 , 0.69
Frank Viola , Twins , 1988 , 9.0 , 0 , W , 0.96 , 0.01
Bert Blyleven , Twins , 1988 , 8.0 , 4 , L , 0.25 , 0.58
Allan Anderson , Twins , 1988 , 8.0 , 0 , L , 0.76 , 0.04
Les Straker , Twins , 1988 , 5.0 , 0 , N , 0.59 , 0.05
Frank Viola , Twins , 1988 , 9.0 , 0 , W , 0.96 , 0.01
Bert Blyleven , Twins , 1988 , 9.0 , 2 , W , 0.8 , 0.13
Allan Anderson , Twins , 1988 , 3.67 , 4 , N , 0.0 , 0.62
Charlie Lea , Twins , 1988 , 6.0 , 3 , N , 0.29 , 0.36
Frank Viola , Twins , 1988 , 7.67 , 3 , W , 0.46 , 0.32
Bert Blyleven , Twins , 1988 , 6.33 , 1 , N , 0.51 , 0.11
Allan Anderson , Twins , 1988 , 7.0 , 4 , L , 0.25 , 0.5
Les Straker , Twins , 1988 , 9.0 , 0 , W , 0.96 , 0.01
Frank Viola , Twins , 1988 , 6.0 , 2 , W , 0.4 , 0.23
Bert Blyleven , Twins , 1988 , 7.0 , 4 , N , 0.25 , 0.5
Allan Anderson , Twins , 1988 , 7.33 , 4 , L , 0.25 , 0.5
Les Straker , Twins , 1988 , 0.33 , 4 , L , 0.0 , 0.67
Bert Blyleven , Twins , 1988 , 8.0 , 3 , L , 0.36 , 0.45
Les Straker , Twins , 1988 , 6.33 , 4 , W , 0.19 , 0.5
Frank Viola , Twins , 1988 , 8.33 , 2 , W , 0.49 , 0.3
Allan Anderson , Twins , 1988 , 4.0 , 4 , N , 0.0 , 0.6
Charlie Lea , Twins , 1988 , 5.0 , 4 , W , 0.17 , 0.5
Bert Blyleven , Twins , 1988 , 7.67 , 2 , W , 0.56 , 0.17
Frank Viola , Twins , 1988 , 7.0 , 1 , W , 0.59 , 0.11
Les Straker , Twins , 1988 , 6.33 , 1 , N , 0.51 , 0.11
Allan Anderson , Twins , 1988 , 7.0 , 3 , W , 0.34 , 0.37
Bert Blyleven , Twins , 1988 , 4.33 , 5 , L , 0.0 , 0.73
Charlie Lea , Twins , 1988 , 4.0 , 4 , N , 0.0 , 0.6
Frank Viola , Twins , 1988 , 9.0 , 1 , W , 0.89 , 0.05
Les Straker , Twins , 1988 , 3.33 , 6 , L , 0.0 , 0.77
Bert Blyleven , Twins , 1988 , 7.0 , 5 , L , 0.18 , 0.64
Allan Anderson , Twins , 1988 , 4.67 , 3 , N , 0.0 , 0.5
Frank Viola , Twins , 1988 , 5.33 , 4 , N , 0.17 , 0.5
Charlie Lea , Twins , 1988 , 6.0 , 3 , N , 0.29 , 0.36
Les Straker , Twins , 1988 , 7.33 , 2 , N , 0.46 , 0.23
Bert Blyleven , Twins , 1988 , 7.33 , 5 , W , 0.18 , 0.64
Allan Anderson , Twins , 1988 , 6.33 , 1 , W , 0.51 , 0.11
Frank Viola , Twins , 1988 , 7.0 , 3 , L , 0.34 , 0.37
Charlie Lea , Twins , 1988 , 7.0 , 2 , W , 0.46 , 0.23
Les Straker , Twins , 1988 , 6.0 , 4 , L , 0.19 , 0.5
Bert Blyleven , Twins , 1988 , 6.33 , 1 , W , 0.51 , 0.11
Allan Anderson , Twins , 1988 , 6.67 , 0 , W , 0.74 , 0.04
Frank Viola , Twins , 1988 , 6.0 , 1 , W , 0.51 , 0.11
Charlie Lea , Twins , 1988 , 7.0 , 0 , W , 0.73 , 0.04
Bert Blyleven , Twins , 1988 , 7.0 , 1 , W , 0.59 , 0.11
Allan Anderson , Twins , 1988 , 7.0 , 2 , L , 0.46 , 0.23
Freddie Toliver , Twins , 1988 , 6.0 , 4 , N , 0.19 , 0.5
Frank Viola , Twins , 1988 , 9.0 , 0 , W , 0.96 , 0.01
Bert Blyleven , Twins , 1988 , 4.0 , 5 , N , 0.0 , 0.73
Allan Anderson , Twins , 1988 , 7.0 , 1 , L , 0.59 , 0.11
Charlie Lea , Twins , 1988 , 6.0 , 0 , W , 0.66 , 0.04
Frank Viola , Twins , 1988 , 6.33 , 0 , W , 0.66 , 0.04
Freddie Toliver , Twins , 1988 , 2.33 , 5 , L , 0.0 , 0.75
Bert Blyleven , Twins , 1988 , 9.0 , 1 , W , 0.89 , 0.05
Allan Anderson , Twins , 1988 , 6.0 , 2 , L , 0.4 , 0.23
Frank Viola , Twins , 1988 , 8.0 , 2 , W , 0.49 , 0.3
Charlie Lea , Twins , 1988 , 7.67 , 1 , W , 0.72 , 0.08
Bert Blyleven , Twins , 1988 , 5.67 , 2 , N , 0.42 , 0.19
Allan Anderson , Twins , 1988 , 8.0 , 0 , W , 0.76 , 0.04
Freddie Toliver , Twins , 1988 , 6.0 , 3 , N , 0.29 , 0.36
Frank Viola , Twins , 1988 , 9.0 , 1 , W , 0.89 , 0.05
Charlie Lea , Twins , 1988 , 6.0 , 4 , L , 0.19 , 0.5
Bert Blyleven , Twins , 1988 , 7.0 , 4 , L , 0.25 , 0.5
Allan Anderson , Twins , 1988 , 8.0 , 1 , N , 0.64 , 0.15
Freddie Toliver , Twins , 1988 , 6.33 , 1 , N , 0.51 , 0.11
Bert Blyleven , Twins , 1988 , 4.0 , 6 , L , 0.0 , 0.79
Allan Anderson , Twins , 1988 , 8.0 , 2 , W , 0.49 , 0.3
Charlie Lea , Twins , 1988 , 6.33 , 2 , W , 0.4 , 0.23
Freddie Toliver , Twins , 1988 , 7.0 , 2 , W , 0.46 , 0.23
Frank Viola , Twins , 1988 , 5.0 , 2 , W , 0.35 , 0.24
Bert Blyleven , Twins , 1988 , 5.67 , 5 , L , 0.13 , 0.61
Allan Anderson , Twins , 1988 , 3.67 , 3 , L , 0.0 , 0.51
Charlie Lea , Twins , 1988 , 4.0 , 3 , N , 0.0 , 0.5
Frank Viola , Twins , 1988 , 8.0 , 0 , W , 0.76 , 0.04
Bert Blyleven , Twins , 1988 , 1.67 , 7 , L , 0.0 , 0.9
Allan Anderson , Twins , 1988 , 6.67 , 1 , W , 0.62 , 0.09
Charlie Lea , Twins , 1988 , 6.33 , 3 , N , 0.29 , 0.36
Freddie Toliver , Twins , 1988 , 6.0 , 1 , N , 0.51 , 0.11
Frank Viola , Twins , 1988 , 6.0 , 4 , L , 0.19 , 0.5
Bert Blyleven , Twins , 1988 , 6.33 , 7 , L , 0.07 , 0.81
Allan Anderson , Twins , 1988 , 7.0 , 2 , W , 0.46 , 0.23
Freddie Toliver , Twins , 1988 , 5.33 , 2 , W , 0.35 , 0.24
Frank Viola , Twins , 1988 , 7.67 , 2 , L , 0.56 , 0.17
Charlie Lea , Twins , 1988 , 3.0 , 6 , L , 0.0 , 0.77
