Name, Team, Year, IP, ER, Decision, Earned Wins, Earned Losses
Billy Pierce , White_Sox , 1959 , 5.0 , 4 , N , 0.17 , 0.5
Early Wynn , White_Sox , 1959 , 9.0 , 1 , W , 0.89 , 0.05
Dick Donovan , White_Sox , 1959 , 6.33 , 3 , W , 0.29 , 0.36
Billy Pierce , White_Sox , 1959 , 9.0 , 0 , W , 0.96 , 0.01
Barry Latman , White_Sox , 1959 , 2.67 , 6 , L , 0.0 , 0.8
Early Wynn , White_Sox , 1959 , 6.33 , 5 , L , 0.13 , 0.61
Dick Donovan , White_Sox , 1959 , 5.67 , 4 , N , 0.17 , 0.51
Ray Moore , White_Sox , 1959 , 6.33 , 2 , L , 0.4 , 0.23
Billy Pierce , White_Sox , 1959 , 2.0 , 3 , L , 0.0 , 0.56
Early Wynn , White_Sox , 1959 , 1.67 , 6 , N , 0.0 , 0.76
Dick Donovan , White_Sox , 1959 , 6.33 , 4 , N , 0.19 , 0.5
Barry Latman , White_Sox , 1959 , 6.33 , 3 , N , 0.29 , 0.36
Early Wynn , White_Sox , 1959 , 5.0 , 3 , W , 0.25 , 0.36
Billy Pierce , White_Sox , 1959 , 9.0 , 2 , W , 0.8 , 0.13
Ray Moore , White_Sox , 1959 , 5.0 , 3 , L , 0.25 , 0.36
Billy Pierce , White_Sox , 1959 , 11.0 , 3 , W , 0.26 , 0.34
Early Wynn , White_Sox , 1959 , 9.0 , 0 , W , 0.96 , 0.01
Barry Latman , White_Sox , 1959 , 3.0 , 3 , L , 0.0 , 0.47
Dick Donovan , White_Sox , 1959 , 8.0 , 2 , N , 0.49 , 0.3
Billy Pierce , White_Sox , 1959 , 3.0 , 3 , L , 0.0 , 0.47
Early Wynn , White_Sox , 1959 , 7.0 , 6 , L , 0.15 , 0.69
Dick Donovan , White_Sox , 1959 , 6.0 , 3 , L , 0.29 , 0.36
Barry Latman , White_Sox , 1959 , 3.67 , 4 , N , 0.0 , 0.62
Billy Pierce , White_Sox , 1959 , 11.0 , 4 , W , 0.28 , 0.33
Early Wynn , White_Sox , 1959 , 9.0 , 0 , W , 0.96 , 0.01
Dick Donovan , White_Sox , 1959 , 6.67 , 2 , N , 0.53 , 0.18
Bob Shaw , White_Sox , 1959 , 9.0 , 0 , W , 0.96 , 0.01
Early Wynn , White_Sox , 1959 , 7.67 , 6 , W , 0.11 , 0.82
Billy Pierce , White_Sox , 1959 , 9.0 , 0 , W , 0.96 , 0.01
Ray Moore , White_Sox , 1959 , 7.0 , 3 , N , 0.34 , 0.37
Dick Donovan , White_Sox , 1959 , 1.0 , 2 , L , 0.0 , 0.54
Bob Shaw , White_Sox , 1959 , 7.33 , 6 , W , 0.15 , 0.69
Early Wynn , White_Sox , 1959 , 9.0 , 2 , W , 0.8 , 0.13
Billy Pierce , White_Sox , 1959 , 6.0 , 2 , L , 0.4 , 0.23
Dick Donovan , White_Sox , 1959 , 9.0 , 2 , W , 0.8 , 0.13
Bob Shaw , White_Sox , 1959 , 8.67 , 1 , W , 0.81 , 0.07
Early Wynn , White_Sox , 1959 , 4.0 , 4 , L , 0.0 , 0.6
Billy Pierce , White_Sox , 1959 , 1.67 , 7 , L , 0.0 , 0.9
Dick Donovan , White_Sox , 1959 , 7.0 , 3 , L , 0.34 , 0.37
Early Wynn , White_Sox , 1959 , 8.33 , 1 , W , 0.64 , 0.15
Bob Shaw , White_Sox , 1959 , 7.33 , 4 , L , 0.25 , 0.5
Billy Pierce , White_Sox , 1959 , 5.0 , 4 , L , 0.17 , 0.5
Dick Donovan , White_Sox , 1959 , 7.0 , 1 , N , 0.59 , 0.11
Early Wynn , White_Sox , 1959 , 1.67 , 5 , L , 0.0 , 0.73
Ray Moore , White_Sox , 1959 , 8.0 , 3 , L , 0.36 , 0.45
Bob Shaw , White_Sox , 1959 , 8.33 , 3 , L , 0.36 , 0.45
Billy Pierce , White_Sox , 1959 , 9.0 , 1 , W , 0.89 , 0.05
Dick Donovan , White_Sox , 1959 , 2.33 , 3 , N , 0.0 , 0.56
Early Wynn , White_Sox , 1959 , 7.0 , 1 , N , 0.59 , 0.11
Ray Moore , White_Sox , 1959 , 7.0 , 4 , L , 0.25 , 0.5
Dick Donovan , White_Sox , 1959 , 6.33 , 3 , W , 0.29 , 0.36
Billy Pierce , White_Sox , 1959 , 4.33 , 4 , L , 0.0 , 0.6
Bob Shaw , White_Sox , 1959 , 6.33 , 4 , N , 0.19 , 0.5
Early Wynn , White_Sox , 1959 , 9.0 , 1 , W , 0.89 , 0.05
Billy Pierce , White_Sox , 1959 , 9.0 , 1 , W , 0.89 , 0.05
Bob Shaw , White_Sox , 1959 , 2.33 , 4 , N , 0.0 , 0.59
Early Wynn , White_Sox , 1959 , 8.33 , 4 , W , 0.25 , 0.58
Dick Donovan , White_Sox , 1959 , 9.67 , 2 , W , 0.29 , 0.23
Billy Pierce , White_Sox , 1959 , 7.0 , 4 , L , 0.25 , 0.5
Ray Moore , White_Sox , 1959 , 1.67 , 5 , L , 0.0 , 0.73
Bob Shaw , White_Sox , 1959 , 7.33 , 4 , N , 0.25 , 0.5
Early Wynn , White_Sox , 1959 , 1.33 , 2 , L , 0.0 , 0.54
Dick Donovan , White_Sox , 1959 , 2.33 , 4 , L , 0.0 , 0.59
Billy Pierce , White_Sox , 1959 , 9.0 , 2 , W , 0.8 , 0.13
Early Wynn , White_Sox , 1959 , 9.0 , 1 , W , 0.89 , 0.05
Dick Donovan , White_Sox , 1959 , 9.0 , 1 , L , 0.89 , 0.05
Barry Latman , White_Sox , 1959 , 9.0 , 1 , W , 0.89 , 0.05
Billy Pierce , White_Sox , 1959 , 5.33 , 6 , L , 0.08 , 0.7
Bob Shaw , White_Sox , 1959 , 8.0 , 2 , W , 0.49 , 0.3
Early Wynn , White_Sox , 1959 , 9.0 , 2 , W , 0.8 , 0.13
Dick Donovan , White_Sox , 1959 , 8.33 , 2 , W , 0.49 , 0.3
Billy Pierce , White_Sox , 1959 , 7.0 , 3 , L , 0.34 , 0.37
Barry Latman , White_Sox , 1959 , 5.0 , 3 , W , 0.25 , 0.36
Bob Shaw , White_Sox , 1959 , 4.0 , 3 , L , 0.0 , 0.5
Early Wynn , White_Sox , 1959 , 6.0 , 4 , N , 0.19 , 0.5
Dick Donovan , White_Sox , 1959 , 3.67 , 4 , N , 0.0 , 0.62
Billy Pierce , White_Sox , 1959 , 2.33 , 5 , L , 0.0 , 0.75
Barry Latman , White_Sox , 1959 , 6.0 , 2 , N , 0.4 , 0.23
Billy Pierce , White_Sox , 1959 , 9.0 , 1 , W , 0.89 , 0.05
Early Wynn , White_Sox , 1959 , 4.0 , 5 , L , 0.0 , 0.73
Barry Latman , White_Sox , 1959 , 9.0 , 3 , W , 0.7 , 0.23
Dick Donovan , White_Sox , 1959 , 1.33 , 2 , N , 0.0 , 0.54
Bob Shaw , White_Sox , 1959 , 6.0 , 2 , W , 0.4 , 0.23
Billy Pierce , White_Sox , 1959 , 8.33 , 3 , W , 0.36 , 0.45
Dick Donovan , White_Sox , 1959 , 7.0 , 3 , W , 0.34 , 0.37
Barry Latman , White_Sox , 1959 , 4.67 , 3 , N , 0.0 , 0.5
Early Wynn , White_Sox , 1959 , 9.0 , 0 , W , 0.96 , 0.01
Bob Shaw , White_Sox , 1959 , 8.33 , 1 , W , 0.64 , 0.15
Barry Latman , White_Sox , 1959 , 3.67 , 3 , L , 0.0 , 0.51
Billy Pierce , White_Sox , 1959 , 4.0 , 4 , L , 0.0 , 0.6
Dick Donovan , White_Sox , 1959 , 9.0 , 1 , W , 0.89 , 0.05
Early Wynn , White_Sox , 1959 , 7.0 , 4 , N , 0.25 , 0.5
Billy Pierce , White_Sox , 1959 , 9.0 , 1 , W , 0.89 , 0.05
Bob Shaw , White_Sox , 1959 , 11.0 , 1 , N , 0.46 , 0.05
Early Wynn , White_Sox , 1959 , 9.0 , 1 , W , 0.89 , 0.05
Barry Latman , White_Sox , 1959 , 5.33 , 4 , L , 0.17 , 0.5
Billy Pierce , White_Sox , 1959 , 9.0 , 2 , W , 0.8 , 0.13
Bob Shaw , White_Sox , 1959 , 6.0 , 4 , N , 0.19 , 0.5
Early Wynn , White_Sox , 1959 , 9.0 , 0 , W , 0.96 , 0.01
Barry Latman , White_Sox , 1959 , 9.0 , 1 , W , 0.89 , 0.05
Ray Moore , White_Sox , 1959 , 8.0 , 1 , N , 0.64 , 0.15
Billy Pierce , White_Sox , 1959 , 8.0 , 2 , N , 0.49 , 0.3
Bob Shaw , White_Sox , 1959 , 7.67 , 3 , W , 0.46 , 0.32
Ken McBride , White_Sox , 1959 , 7.33 , 1 , L , 0.59 , 0.11
Barry Latman , White_Sox , 1959 , 9.0 , 0 , W , 0.96 , 0.01
Early Wynn , White_Sox , 1959 , 3.67 , 2 , L , 0.0 , 0.4
Billy Pierce , White_Sox , 1959 , 16.0 , 1 , N , 0.46 , 0.05
Bob Shaw , White_Sox , 1959 , 9.0 , 1 , W , 0.89 , 0.05
Ken McBride , White_Sox , 1959 , 4.0 , 2 , N , 0.0 , 0.38
Early Wynn , White_Sox , 1959 , 9.0 , 0 , W , 0.96 , 0.01
Billy Pierce , White_Sox , 1959 , 4.0 , 5 , L , 0.0 , 0.73
Barry Latman , White_Sox , 1959 , 3.0 , 3 , N , 0.0 , 0.47
Early Wynn , White_Sox , 1959 , 9.0 , 0 , W , 0.96 , 0.01
Bob Shaw , White_Sox , 1959 , 9.0 , 1 , W , 0.89 , 0.05
Billy Pierce , White_Sox , 1959 , 2.33 , 0 , L , 0.0 , 0.06
Dick Donovan , White_Sox , 1959 , 2.67 , 2 , L , 0.0 , 0.46
Early Wynn , White_Sox , 1959 , 4.0 , 4 , N , 0.0 , 0.6
Bob Shaw , White_Sox , 1959 , 2.33 , 3 , L , 0.0 , 0.56
Barry Latman , White_Sox , 1959 , 2.0 , 3 , L , 0.0 , 0.56
Dick Donovan , White_Sox , 1959 , 5.0 , 3 , N , 0.25 , 0.36
Barry Latman , White_Sox , 1959 , 9.0 , 0 , W , 0.96 , 0.01
Early Wynn , White_Sox , 1959 , 7.0 , 2 , L , 0.46 , 0.23
Bob Shaw , White_Sox , 1959 , 9.0 , 0 , W , 0.96 , 0.01
Ray Moore , White_Sox , 1959 , 5.67 , 1 , W , 0.51 , 0.12
Dick Donovan , White_Sox , 1959 , 8.0 , 3 , N , 0.36 , 0.45
Early Wynn , White_Sox , 1959 , 6.0 , 3 , L , 0.29 , 0.36
Barry Latman , White_Sox , 1959 , 8.33 , 1 , W , 0.64 , 0.15
Bob Shaw , White_Sox , 1959 , 9.0 , 3 , W , 0.7 , 0.23
Dick Donovan , White_Sox , 1959 , 9.0 , 0 , W , 0.96 , 0.01
Early Wynn , White_Sox , 1959 , 7.0 , 3 , W , 0.34 , 0.37
