Name, Team, Year, IP, ER, Decision, Earned Wins, Earned Losses
Whitey Ford , Yankees , 1966 , 8.67 , 2 , L , 0.68 , 0.18
Mel Stottlemyre , Yankees , 1966 , 7.0 , 1 , N , 0.59 , 0.11
Bob Friend , Yankees , 1966 , 4.0 , 3 , L , 0.0 , 0.5
Fritz Peterson , Yankees , 1966 , 9.0 , 2 , W , 0.8 , 0.13
Al Downing , Yankees , 1966 , 5.67 , 4 , L , 0.17 , 0.51
Whitey Ford , Yankees , 1966 , 7.0 , 1 , N , 0.59 , 0.11
Mel Stottlemyre , Yankees , 1966 , 6.0 , 3 , L , 0.29 , 0.36
Bob Friend , Yankees , 1966 , 6.33 , 1 , N , 0.51 , 0.11
Fritz Peterson , Yankees , 1966 , 5.0 , 4 , L , 0.17 , 0.5
Mel Stottlemyre , Yankees , 1966 , 8.0 , 2 , L , 0.49 , 0.3
Bob Friend , Yankees , 1966 , 4.33 , 6 , L , 0.0 , 0.79
Whitey Ford , Yankees , 1966 , 8.0 , 3 , N , 0.36 , 0.45
Al Downing , Yankees , 1966 , 7.0 , 2 , L , 0.46 , 0.23
Mel Stottlemyre , Yankees , 1966 , 9.0 , 0 , W , 0.96 , 0.01
Whitey Ford , Yankees , 1966 , 8.0 , 1 , L , 0.64 , 0.15
Fritz Peterson , Yankees , 1966 , 2.0 , 3 , N , 0.0 , 0.56
Al Downing , Yankees , 1966 , 8.0 , 1 , L , 0.64 , 0.15
Mel Stottlemyre , Yankees , 1966 , 8.0 , 0 , N , 0.76 , 0.04
Bob Friend , Yankees , 1966 , 7.0 , 1 , L , 0.59 , 0.11
Whitey Ford , Yankees , 1966 , 5.33 , 2 , L , 0.35 , 0.24
Fritz Peterson , Yankees , 1966 , 9.0 , 1 , W , 0.89 , 0.05
Al Downing , Yankees , 1966 , 6.0 , 2 , W , 0.4 , 0.23
Mel Stottlemyre , Yankees , 1966 , 9.0 , 2 , W , 0.8 , 0.13
Fritz Peterson , Yankees , 1966 , 3.67 , 4 , L , 0.0 , 0.62
Whitey Ford , Yankees , 1966 , 2.0 , 0 , N , 0.0 , 0.06
Mel Stottlemyre , Yankees , 1966 , 7.0 , 4 , L , 0.25 , 0.5
Al Downing , Yankees , 1966 , 8.0 , 2 , W , 0.49 , 0.3
Bob Friend , Yankees , 1966 , 6.33 , 1 , W , 0.51 , 0.11
Fritz Peterson , Yankees , 1966 , 6.0 , 4 , L , 0.19 , 0.5
Mel Stottlemyre , Yankees , 1966 , 9.0 , 2 , W , 0.8 , 0.13
Al Downing , Yankees , 1966 , 8.67 , 1 , W , 0.81 , 0.07
Bob Friend , Yankees , 1966 , 4.33 , 2 , N , 0.0 , 0.38
Mel Stottlemyre , Yankees , 1966 , 8.0 , 3 , W , 0.36 , 0.45
Fritz Peterson , Yankees , 1966 , 8.0 , 1 , W , 0.64 , 0.15
Whitey Ford , Yankees , 1966 , 1.0 , 0 , N , 0.0 , 0.03
Al Downing , Yankees , 1966 , 5.0 , 3 , W , 0.25 , 0.36
Mel Stottlemyre , Yankees , 1966 , 9.0 , 0 , W , 0.96 , 0.01
Fritz Peterson , Yankees , 1966 , 5.0 , 1 , N , 0.47 , 0.13
Bob Friend , Yankees , 1966 , 3.33 , 2 , L , 0.0 , 0.39
Al Downing , Yankees , 1966 , 5.0 , 2 , W , 0.35 , 0.24
Jim Bouton , Yankees , 1966 , 7.0 , 1 , N , 0.59 , 0.11
Mel Stottlemyre , Yankees , 1966 , 7.0 , 4 , L , 0.25 , 0.5
Fritz Peterson , Yankees , 1966 , 6.33 , 3 , L , 0.29 , 0.36
Bob Friend , Yankees , 1966 , 2.0 , 3 , N , 0.0 , 0.56
Al Downing , Yankees , 1966 , 9.0 , 4 , W , 0.55 , 0.37
