3/31/98,Andy Benes,Vs. COL,1,0,0,0,1,0,0,6.33,9,5,5,1,1,1,0,0,0
4/1/98,Willie Blair,Vs. COL,1,0,0,0,1,0,0,7.00,12,5,5,1,3,0,0,0,1
4/2/98,Brian Anderson,Vs. COL,1,0,0,0,1,0,0,6.00,6,5,5,3,1,4,0,0,0
4/3/98,Jeff Suppan,Vs. SFN,1,0,0,0,1,0,0,5.33,8,5,5,0,1,2,0,0,0
4/4/98,Joel Adamson,Vs. SFN,1,0,0,0,0,0,0,6.00,5,3,3,1,2,5,1,0,0
4/5/98,Andy Benes,Vs. SFN,1,0,0,1,0,0,0,7.00,6,2,2,2,2,2,0,0,0
4/7/98,Willie Blair,At LAN,1,0,0,0,1,0,0,3.67,8,6,6,0,0,3,1,0,0
4/8/98,Brian Anderson,At LAN,1,0,0,1,0,0,0,8.00,7,0,0,0,0,4,0,0,0
4/9/98,Jeff Suppan,At LAN,1,0,0,0,1,0,0,4.00,8,6,6,2,1,5,0,0,0
4/10/98,Andy Benes,At SDN,1,0,0,0,0,0,0,8.00,7,2,2,1,1,4,0,0,0
4/11/98,Joel Adamson,At SDN,1,0,0,0,1,0,0,3.00,5,5,5,1,0,3,1,0,0
4/12/98,Willie Blair,At SDN,1,0,0,0,1,0,0,7.00,5,4,4,2,2,5,0,0,1
4/13/98,Brian Anderson,At SDN,1,1,0,0,1,0,0,8.00,3,1,1,1,0,5,0,1,0
4/14/98,Jeff Suppan,At SLN,1,0,0,0,0,0,0,6.00,6,5,5,3,3,5,0,0,0
04/16/1998 (1),Joel Adamson,At SLN,1,0,0,0,1,0,0,6.00,5,5,5,1,5,3,1,0,0
04/16/1998 (2),Andy Benes,At SLN,1,1,0,1,0,0,0,9.00,7,2,2,1,5,3,0,1,1
4/17/98,Willie Blair,Vs. FLA,1,0,0,0,0,0,0,6.33,4,4,3,1,2,4,0,0,1
4/18/98,Brian Anderson,Vs. FLA,1,0,0,0,0,0,0,5.00,5,5,4,1,1,3,0,0,0
4/19/98,Jeff Suppan,Vs. FLA,1,0,0,0,1,0,0,5.67,7,4,4,2,1,2,0,0,0
4/20/98,Joel Adamson,Vs. FLA,1,0,0,0,0,0,0,3.33,5,2,2,0,2,0,0,0,0
Game Date,Pitcher,Opponent,GS,CG,GF,W,L,Sv,Sho,IP,H,R,ER,HR,BB,K,HBP,BK,WP
4/22/98,Andy Benes,At ATL,1,0,0,0,1,0,0,7.00,7,4,4,2,5,5,1,0,1
4/23/98,Willie Blair,At ATL,1,0,0,0,1,0,0,6.00,5,3,3,1,2,2,0,0,0
4/24/98,Brian Anderson,At ATL,1,0,0,0,0,0,0,4.00,10,4,4,1,1,0,0,0,0
4/25/98,Jeff Suppan,At FLA,1,0,0,0,0,0,0,6.00,5,2,2,0,2,5,0,0,1
4/26/98,Joel Adamson,At FLA,1,0,0,0,1,0,0,4.67,5,6,6,2,2,3,0,0,0
4/27/98,Andy Benes,Vs. ATL,1,0,0,0,0,0,0,7.00,7,5,5,1,3,6,1,0,0
4/28/98,Willie Blair,Vs. ATL,1,0,0,0,1,0,0,5.67,10,5,5,2,1,3,0,0,0
5/1/98,Brian Anderson,At MON,1,0,0,0,1,0,0,6.00,6,5,5,3,1,2,0,0,0
5/2/98,Andy Benes,At MON,1,0,0,0,0,0,0,7.00,7,3,3,2,2,4,1,0,0
5/3/98,Willie Blair,At MON,1,0,0,0,1,0,0,7.00,7,4,4,1,3,5,0,0,1
5/4/98,Jeff Suppan,At NYN,1,0,0,0,0,0,0,6.33,4,1,1,0,0,5,0,0,0
5/5/98,Omar Daal,At NYN,1,0,0,0,1,0,0,4.00,6,3,2,0,2,3,0,0,0
5/6/98,Brian Anderson,At NYN,1,0,0,0,0,0,0,6.33,4,1,1,1,1,6,0,0,0
5/7/98,Andy Benes,At PHI,1,0,0,0,1,0,0,7.67,8,4,4,1,2,6,0,0,0
5/8/98,Willie Blair,At PHI,1,0,0,0,0,0,0,6.00,6,3,3,2,4,6,0,0,0
5/10/98,Jeff Suppan,At PHI,1,0,0,0,1,0,0,1.33,7,6,5,1,2,1,0,0,0
5/11/98,Brian Anderson,Vs. CHN,1,0,0,0,1,0,0,7.00,8,4,4,1,2,4,0,0,0
5/12/98,Andy Benes,Vs. CHN,1,0,0,0,0,0,0,6.67,7,6,4,1,1,6,0,0,0
5/13/98,Willie Blair,Vs. MIL,1,0,0,0,1,0,0,7.00,9,4,3,0,3,2,0,0,0
5/14/98,Omar Daal,Vs. MIL,1,0,0,0,0,0,0,5.00,2,1,1,0,3,6,0,0,0
Game Date,Pitcher,Opponent,GS,CG,GF,W,L,Sv,Sho,IP,H,R,ER,HR,BB,K,HBP,BK,WP
5/15/98,Jeff Suppan,Vs. PIT,1,1,0,1,0,0,0,9.00,3,1,0,0,1,2,0,0,0
5/16/98,Brian Anderson,Vs. PIT,1,0,0,0,1,0,0,5.00,7,6,0,2,1,2,1,0,0
5/17/98,Andy Benes,Vs. PIT,1,0,0,1,0,0,0,7.00,9,2,2,0,2,3,0,0,0
5/18/98,Willie Blair,Vs. PIT,1,0,0,1,0,0,0,7.00,7,2,1,0,2,0,0,0,0
5/20/98,Omar Daal,At FLA,1,0,0,1,0,0,0,5.67,7,3,3,0,2,3,0,0,0
5/21/98,Jeff Suppan,At FLA,1,0,0,0,0,0,0,4.00,6,3,3,0,2,0,0,0,0
5/22/98,Andy Benes,Vs. LAN,1,0,0,0,1,0,0,7.00,10,5,5,1,1,2,0,0,0
5/23/98,Brian Anderson,Vs. LAN,1,0,0,0,1,0,0,6.67,9,4,3,1,0,3,0,0,0
5/24/98,Willie Blair,Vs. LAN,1,0,0,1,0,0,0,7.00,5,4,4,2,1,3,0,0,0
5/25/98,Omar Daal,Vs. SDN,1,0,0,0,0,0,0,7.00,4,2,2,1,2,5,0,0,0
5/26/98,Jeff Suppan,Vs. SDN,1,0,0,0,1,0,0,2.33,9,7,7,0,1,2,0,0,0
5/27/98,Andy Benes,Vs. SDN,1,0,0,0,1,0,0,6.00,7,4,4,0,1,5,0,0,1
