4/16/57,Johnny Antonelli,At PIT,1,0,0,0,1,0,0,7.00,3,3,3,1,6,2,0,0,0
4/18/57,Ruben Gomez,Vs. PHI,1,1,0,1,0,0,0,9.00,8,2,1,0,3,1,0,0,0
4/20/57,Al Worthington,Vs. PHI,1,0,0,0,1,0,0,1.00,4,3,3,1,0,1,0,0,0
04/21/1957 (1),Johnny Antonelli,Vs. PHI,1,1,0,1,0,0,0,9.00,9,1,1,1,6,3,0,0,0
04/21/1957 (2),Curt Barclay,Vs. PHI,1,0,0,0,1,0,0,0.00,4,4,4,0,0,0,0,0,0
4/22/57,Ruben Gomez,Vs. PIT,1,1,0,1,0,0,0,9.00,6,1,1,1,2,3,0,0,0
4/23/57,Pete Burnside,Vs. PIT,1,1,0,1,0,0,1,9.00,3,0,0,0,2,3,0,0,0
4/24/57,Curt Barclay,At BRO,1,0,0,0,1,0,0,3.67,4,4,2,0,3,2,0,0,0
4/26/57,Johnny Antonelli,At PHI,1,0,0,0,1,0,0,7.00,5,4,3,1,5,4,1,0,1
4/27/57,Ruben Gomez,At PHI,1,1,0,1,0,0,0,9.00,8,2,2,1,0,1,0,0,0
04/28/1957 (1),Al Worthington,At PHI,1,0,0,0,1,0,0,4.00,3,4,4,2,3,4,0,0,0
04/28/1957 (2),Pete Burnside,At PHI,1,0,0,0,0,0,0,0.67,3,3,3,0,1,0,0,0,0
4/30/57,Johnny Antonelli,Vs. MIL,1,1,0,1,0,0,1,9.00,7,0,0,0,2,9,0,0,0
5/1/57,Curt Barclay,Vs. MIL,1,0,0,0,0,0,0,7.00,6,1,1,0,4,1,0,0,0
5/2/57,Pete Burnside,Vs. CIN,1,0,0,0,0,0,0,0.67,4,3,3,0,1,2,0,0,0
5/3/57,Al Worthington,Vs. CIN,1,0,0,0,0,0,0,5.33,6,8,8,1,6,3,0,0,0
5/4/57,Johnny Antonelli,Vs. CIN,1,0,0,0,1,0,0,7.33,7,4,4,0,3,2,0,0,0
05/05/1957 (1),Curt Barclay,Vs. CHN,1,0,0,0,0,0,0,7.00,6,3,3,0,3,5,0,0,0
05/05/1957 (2),Joe Margoneri,Vs. CHN,1,1,0,1,0,0,0,9.00,7,2,2,0,4,5,0,0,0
5/6/57,Ruben Gomez,Vs. CHN,1,0,0,0,1,0,0,5.33,6,6,5,0,7,2,0,0,1
Game Date,Pitcher,Opponent,GS,CG,GF,W,L,Sv,Sho,IP,H,R,ER,HR,BB,K,HBP,BK,WP
5/7/57,Pete Burnside,Vs. SLN,1,0,0,0,0,0,0,4.00,7,5,5,2,0,3,0,0,0
5/8/57,Johnny Antonelli,Vs. SLN,1,0,0,0,1,0,0,4.67,10,6,6,1,3,3,0,0,0
5/10/57,Ruben Gomez,Vs. BRO,1,1,0,1,0,0,0,9.00,7,1,1,0,0,3,0,0,0
5/11/57,Curt Barclay,Vs. BRO,1,0,0,0,0,0,0,3.00,5,2,2,0,0,1,0,0,0
5/12/57,Pete Burnside,Vs. BRO,1,0,0,0,1,0,0,0.33,3,3,3,0,1,1,0,0,0
5/14/57,Ruben Gomez,At SLN,1,0,0,1,0,0,0,8.33,7,3,2,1,2,3,0,0,1
5/15/57,Johnny Antonelli,At SLN,1,0,0,0,0,0,0,5.00,8,4,4,0,1,0,0,0,0
5/16/57,Stu Miller,At CIN,1,0,0,0,0,0,0,9.00,7,2,2,0,2,6,0,0,0
5/17/57,Curt Barclay,At CIN,1,0,0,0,1,0,0,6.33,10,6,2,2,0,1,0,0,0
5/18/57,Ruben Gomez,At CIN,1,1,0,1,0,0,0,9.00,6,3,3,1,0,1,0,0,0
5/19/57,Al Worthington,At MIL,1,0,0,0,0,0,0,6.00,6,3,3,0,1,2,0,0,0
5/21/57,Stu Miller,At CHN,1,0,0,0,1,0,0,8.67,3,4,2,1,3,7,0,0,0
5/22/57,Ruben Gomez,At CHN,1,0,0,0,0,0,0,6.00,7,3,3,1,4,5,0,0,0
5/24/57,Johnny Antonelli,At BRO,1,0,0,0,1,0,0,4.00,6,4,4,2,0,3,0,0,0
5/25/57,Al Worthington,At BRO,1,0,0,0,0,0,0,2.67,2,1,1,0,3,0,0,0,0
5/26/57,Ruben Gomez,At BRO,1,0,0,0,1,0,0,2.33,8,2,2,1,1,3,0,0,0
5/28/57,Johnny Antonelli,Vs. PHI,1,0,0,0,1,0,0,0.00,4,4,4,0,0,0,1,0,0
5/29/57,Stu Miller,Vs. PHI,1,0,0,0,0,0,0,1.33,5,5,5,0,2,1,0,0,0
05/30/1957 (1),Ruben Gomez,Vs. PHI,1,1,0,0,1,0,0,10.00,3,2,2,1,2,1,0,0,0
