4/11/62,Roger Craig,At SLN,1,0,0,0,1,0,0,3.00,8,5,5,0,0,1,0,1,0
4/13/62,Sherman Jones,Vs. PIT,1,0,0,0,1,0,0,5.00,5,2,2,0,1,2,0,0,0
4/14/62,Al Jackson,Vs. PIT,1,0,0,0,1,0,0,7.00,9,6,6,1,4,5,0,0,0
4/15/62,Roger Craig,Vs. PIT,1,0,0,0,1,0,0,3.00,6,5,5,1,2,1,0,0,0
4/17/62,Jay Hook,Vs. HOU,1,0,0,0,0,0,0,8.00,6,2,2,1,1,5,0,0,0
4/18/62,Sherman Jones,Vs. SLN,1,0,0,0,1,0,0,4.00,8,6,5,0,1,2,0,0,1
4/19/62,Al Jackson,Vs. SLN,1,0,0,0,1,0,0,4.33,10,6,6,1,1,0,1,0,1
4/21/62,Bob Miller,At PIT,1,0,0,0,1,0,0,5.33,6,5,5,1,2,1,0,0,0
4/22/62,Roger Craig,At PIT,1,0,0,0,0,0,0,5.33,8,3,3,1,0,3,0,0,0
4/23/62,Jay Hook,At PIT,1,1,0,1,0,0,0,9.00,5,1,1,0,1,2,0,0,0
4/24/62,Craig Anderson,At CIN,1,0,0,0,1,0,0,1.00,4,4,2,0,1,0,0,0,1
4/25/62,Bob Miller,At CIN,1,0,0,0,1,0,0,2.67,6,4,4,0,1,1,1,0,0
4/27/62,Roger Craig,Vs. PHI,1,0,0,0,1,0,0,1.00,4,3,3,0,1,1,0,0,1
4/28/62,Jay Hook,Vs. PHI,1,0,0,0,0,0,0,0.67,4,4,4,2,1,1,0,0,0
04/29/1962 (1),Al Jackson,Vs. PHI,1,1,0,1,0,0,1,9.00,8,0,0,0,1,4,0,0,0
04/29/1962 (2),Sherman Jones,Vs. PHI,1,0,0,0,1,0,0,4.00,8,6,6,2,0,3,2,1,0
5/1/62,Jay Hook,Vs. CIN,1,0,0,0,1,0,0,3.33,6,4,4,0,0,3,0,0,0
5/4/62,Roger Craig,At PHI,1,0,0,0,0,0,0,0.00,2,4,4,1,2,0,0,0,0
5/5/62,Al Jackson,At PHI,1,0,0,0,1,0,0,7.00,5,2,2,0,3,1,0,0,0
5/6/62,Bob Moorhead,At PHI,1,0,0,0,0,0,0,6.00,6,3,3,0,2,4,1,0,0
Game Date,Pitcher,Opponent,GS,CG,GF,W,L,Sv,Sho,IP,H,R,ER,HR,BB,K,HBP,BK,WP
5/8/62,Jay Hook,At CHN,1,1,0,1,0,0,0,9.00,4,1,1,0,2,3,0,0,1
5/11/62,Al Jackson,Vs. MIL,1,1,0,0,1,0,0,9.00,12,8,6,0,5,8,0,0,1
05/12/1962 (1),Roger Craig,Vs. MIL,1,0,0,0,0,0,0,7.00,5,2,2,1,0,7,0,0,0
05/12/1962 (2),Bob Moorhead,Vs. MIL,1,0,0,0,0,0,0,5.00,5,5,4,1,2,3,0,0,0
5/13/62,Jay Hook,Vs. MIL,1,0,0,0,1,0,0,8.00,9,3,3,2,3,7,0,0,1
5/15/62,Vinegar Bend Mizell,Vs. CHN,1,0,0,0,0,0,0,6.00,6,4,3,3,0,2,0,0,0
5/16/62,Al Jackson,Vs. CHN,1,0,0,0,0,0,0,2.33,5,3,3,0,0,3,0,0,0
5/18/62,Roger Craig,At MIL,1,1,0,0,1,0,0,8.00,9,5,4,3,1,8,0,0,0
5/19/62,Jay Hook,At MIL,1,0,0,0,0,0,0,3.00,5,5,5,0,1,4,0,0,0
05/20/1962 (1),Bob Miller,At MIL,1,0,0,0,0,0,0,6.00,8,5,5,1,2,4,1,1,0
05/20/1962 (2),Al Jackson,At MIL,1,0,0,1,0,0,0,7.00,6,4,4,1,2,2,0,0,0
5/21/62,Dave Hillman,At HOU,1,0,0,0,0,0,0,2.67,4,2,2,0,0,0,0,0,0
5/22/62,Jay Hook,At HOU,1,1,0,0,1,0,0,8.00,7,3,3,1,2,6,0,0,0
5/23/62,Roger Craig,At LAN,1,1,0,0,1,0,0,8.00,11,3,3,0,2,0,0,1,1
5/24/62,Bob Miller,At LAN,1,0,0,0,0,0,0,6.67,5,2,1,1,3,3,0,0,0
5/25/62,Al Jackson,At LAN,1,0,0,0,1,0,0,2.33,5,5,5,0,1,2,0,0,0
5/26/62,Jay Hook,At SFN,1,1,0,0,1,0,0,9.33,10,7,6,2,1,1,0,0,0
05/27/1962 (1),Roger Craig,At SFN,1,0,0,0,1,0,0,7.00,9,6,2,0,2,0,1,0,0
