4/16/57,Robin Roberts,Vs. BRO,1,1,0,0,1,0,0,12.00,12,7,7,3,4,8,0,0,0
4/18/57,Curt Simmons,At NYN,1,0,0,0,1,0,0,5.00,6,6,6,2,3,1,0,0,0
4/20/57,Harvey Haddix,At NYN,1,0,0,1,0,0,0,6.67,6,4,4,1,3,4,0,0,0
04/21/1957 (1),Robin Roberts,At NYN,1,1,0,0,1,0,0,8.33,6,2,1,1,0,0,0,0,0
04/21/1957 (2),Jack Sanford,At NYN,1,0,0,1,0,0,0,6.00,9,4,4,2,2,3,0,0,1
4/22/57,Jim Hearn,At BRO,1,0,0,0,1,0,0,5.00,7,2,0,0,3,2,1,0,0
4/24/57,Curt Simmons,Vs. PIT,1,0,0,1,0,0,0,6.00,9,2,2,0,0,4,0,0,0
4/26/57,Don Cardwell,Vs. NYN,1,1,0,1,0,0,1,9.00,4,0,0,0,1,4,0,0,0
4/27/57,Robin Roberts,Vs. NYN,1,0,0,0,1,0,0,4.33,7,6,4,2,1,0,1,0,0
04/28/1957 (1),Jack Sanford,Vs. NYN,1,0,0,1,0,0,0,7.00,2,2,2,0,5,4,0,0,1
04/28/1957 (2),Jim Hearn,Vs. NYN,1,0,0,0,0,0,0,4.00,7,4,4,1,1,2,0,0,1
4/30/57,Harvey Haddix,Vs. CIN,1,0,0,0,1,0,0,4.00,8,4,4,1,1,3,0,0,0
5/1/57,Curt Simmons,Vs. CIN,1,0,0,0,0,0,0,8.00,9,5,5,1,6,7,0,0,0
5/2/57,Robin Roberts,Vs. CHN,1,1,0,1,0,0,0,9.00,3,2,1,1,1,13,0,0,0
5/3/57,Don Cardwell,Vs. CHN,1,0,0,0,0,0,0,5.67,7,5,5,0,4,7,0,0,0
5/4/57,Jack Sanford,Vs. CHN,1,1,0,1,0,0,0,9.00,4,2,2,1,5,10,0,0,1
05/05/1957 (1),Curt Simmons,Vs. SLN,1,0,0,0,0,0,0,5.67,8,4,4,0,0,3,0,0,0
05/05/1957 (2),Harvey Haddix,Vs. SLN,1,0,0,0,1,0,0,8.00,8,2,2,0,2,7,0,0,0
5/7/57,Robin Roberts,Vs. MIL,1,1,0,1,0,0,0,9.00,6,4,4,0,1,5,0,0,0
5/8/57,Don Cardwell,Vs. MIL,1,1,0,1,0,0,0,9.00,7,1,1,0,3,9,0,0,0
Game Date,Pitcher,Opponent,GS,CG,GF,W,L,Sv,Sho,IP,H,R,ER,HR,BB,K,HBP,BK,WP
5/10/57,Jack Sanford,At PIT,1,1,0,1,0,0,0,9.00,3,1,1,0,5,10,0,0,0
5/11/57,Harvey Haddix,At PIT,1,1,0,1,0,0,0,9.00,10,2,2,1,0,5,0,0,0
05/12/1957 (1),Curt Simmons,At PIT,1,0,0,1,0,0,0,8.67,11,2,2,0,2,4,0,0,0
05/12/1957 (2),Robin Roberts,At PIT,1,0,0,0,1,0,0,3.00,7,5,4,1,0,1,0,0,0
5/14/57,Don Cardwell,At CIN,1,0,0,0,0,0,0,4.33,5,5,5,1,2,4,0,0,0
5/15/57,Jack Sanford,At CIN,1,0,0,0,1,0,0,3.33,3,3,3,1,6,2,1,0,1
5/16/57,Harvey Haddix,At SLN,1,0,0,0,1,0,0,4.33,6,5,5,0,3,3,0,0,1
5/17/57,Robin Roberts,At SLN,1,1,0,1,0,0,0,9.00,7,3,3,2,0,1,0,0,0
5/18/57,Curt Simmons,At SLN,1,1,0,1,0,0,0,9.00,11,5,4,0,2,2,1,0,0
5/21/57,Don Cardwell,At MIL,1,1,0,0,0,0,0,5.00,3,1,1,0,1,3,0,0,0
5/22/57,Robin Roberts,At MIL,1,1,0,0,1,0,0,12.00,12,4,4,2,4,5,0,0,0
5/24/57,Jack Sanford,Vs. PIT,1,0,0,1,0,0,0,7.67,7,3,2,0,6,7,0,0,3
5/25/57,Harvey Haddix,Vs. PIT,1,0,0,1,0,0,0,6.33,9,5,5,1,1,3,0,0,0
05/26/1957 (1),Curt Simmons,Vs. PIT,1,0,0,0,1,0,0,1.33,5,4,4,0,0,2,0,0,0
05/26/1957 (2),Don Cardwell,Vs. PIT,1,1,0,1,0,0,0,9.00,8,3,3,1,2,6,0,0,0
5/27/57,Robin Roberts,Vs. BRO,1,0,0,0,1,0,0,6.00,5,5,5,2,3,4,0,0,0
5/28/57,Jack Sanford,At NYN,1,0,0,0,0,0,0,1.33,3,4,4,1,4,0,0,0,1
5/29/57,Harvey Haddix,At NYN,1,0,0,0,0,0,0,7.00,4,4,4,1,1,5,0,0,0
05/30/1957 (1),Curt Simmons,At NYN,1,1,0,1,0,0,0,10.00,6,1,1,1,0,0,0,0,0
05/30/1957 (2),Don Cardwell,At NYN,1,0,0,0,1,0,0,5.00,9,6,6,2,0,2,1,0,1
Game Date,Pitcher,Opponent,GS,CG,GF,W,L,Sv,Sho,IP,H,R,ER,HR,BB,K,HBP,BK,WP
5/31/57,Robin Roberts,Vs. BRO,1,1,0,1,0,0,0,9.00,6,1,1,1,0,6,0,0,0
6/1/57,Jack Sanford,Vs. BRO,1,1,0,1,0,0,1,9.00,2,0,0,0,1,11,0,0,0
6/2/57,Bob Miller,Vs. BRO,1,0,0,0,0,0,0,4.00,5,1,1,0,3,0,1,0,0
6/3/57,Don Cardwell,Vs. BRO,1,0,0,0,1,0,0,7.00,7,2,2,1,2,7,0,0,0
6/4/57,Harvey Haddix,Vs. CIN,1,1,0,1,0,0,0,9.00,3,1,1,0,2,9,0,0,0
6/5/57,Curt Simmons,Vs. CIN,1,0,0,0,0,0,0,10.00,7,2,1,0,3,2,0,0,0
6/6/57,Robin Roberts,Vs. CIN,1,1,0,1,0,0,0,9.00,8,2,2,0,1,2,0,0,0
6/7/57,Jack Sanford,Vs. CHN,1,1,0,1,0,0,1,9.00,3,0,0,0,4,13,0,0,0
06/09/1957 (1),Don Cardwell,Vs. CHN,1,0,0,0,0,0,0,6.00,2,3,3,0,2,7,0,0,0
06/09/1957 (2),Harvey Haddix,Vs. CHN,1,0,0,0,0,0,0,7.33,7,4,4,1,5,10,0,0,0
6/11/57,Curt Simmons,Vs. SLN,1,0,0,0,1,0,0,5.33,11,5,5,1,2,0,0,0,0
6/12/57,Robin Roberts,Vs. SLN,1,0,0,0,1,0,0,7.00,4,4,4,2,2,5,0,0,0
6/13/57,Jack Sanford,Vs. SLN,1,1,0,1,0,0,0,9.00,9,1,1,0,2,6,0,0,0
6/14/57,Don Cardwell,Vs. MIL,1,0,0,0,1,0,0,7.00,7,4,4,1,0,4,0,0,0
