4/16/57,Bob Friend,Vs. NYN,1,1,0,1,0,0,0,9.00,10,2,2,0,3,5,0,0,0
4/18/57,Luis Arroyo,At BRO,1,0,0,0,1,0,0,4.00,4,2,2,1,1,2,1,0,0
4/20/57,Bob Friend,At BRO,1,0,0,0,1,0,0,7.00,4,2,2,2,0,1,0,1,0
04/21/1957 (1),Vern Law,At BRO,1,0,0,0,0,0,0,1.00,0,0,0,0,0,1,0,0,0
04/21/1957 (2),Ron Kline,At BRO,1,0,0,0,1,0,0,1.33,5,5,3,1,0,1,0,0,0
4/22/57,Luis Arroyo,At NYN,1,0,0,0,1,0,0,4.67,5,3,3,1,3,3,0,0,0
4/23/57,Ron Kline,At NYN,1,0,0,0,1,0,0,7.00,8,1,1,0,2,6,0,0,0
4/24/57,Bob Friend,At PHI,1,0,0,0,1,0,0,6.00,7,7,7,1,1,3,1,0,0
4/26/57,Bob Purkey,Vs. BRO,1,1,0,1,0,0,0,9.00,9,1,1,1,1,2,0,0,0
4/27/57,Ron Kline,Vs. BRO,1,0,0,0,1,0,0,4.67,10,4,4,0,1,3,0,0,0
4/28/57,Bob Friend,Vs. BRO,1,1,0,1,0,0,1,9.00,7,0,0,0,4,2,0,0,0
4/30/57,Luis Arroyo,Vs. SLN,1,0,0,0,0,0,0,8.00,6,4,1,1,1,5,0,0,0
5/1/57,Bob Purkey,Vs. SLN,1,0,0,0,1,0,0,7.00,6,3,3,0,2,3,1,0,0
5/2/57,Ron Kline,Vs. MIL,1,0,0,0,0,0,0,3.33,8,3,3,1,1,1,0,0,0
5/3/57,Bob Friend,Vs. MIL,1,0,0,0,0,0,0,5.67,10,7,4,1,2,5,0,0,0
5/4/57,Vern Law,Vs. MIL,1,1,0,1,0,0,1,9.00,2,0,0,0,4,3,0,0,0
05/05/1957 (1),Luis Arroyo,Vs. CIN,1,0,0,0,1,0,0,4.33,6,3,3,0,2,3,0,0,0
05/05/1957 (2),Bob Purkey,Vs. CIN,1,0,0,0,1,0,0,1.67,3,2,2,0,1,0,1,0,0
5/7/57,Bob Friend,Vs. CHN,1,0,0,0,0,0,0,5.00,6,5,5,1,1,6,0,0,1
5/8/57,Vern Law,Vs. CHN,1,0,0,0,1,0,0,3.00,6,4,1,0,1,3,0,0,1
Game Date,Pitcher,Opponent,GS,CG,GF,W,L,Sv,Sho,IP,H,R,ER,HR,BB,K,HBP,BK,WP
5/10/57,Ron Kline,Vs. PHI,1,0,0,0,1,0,0,7.67,6,3,2,1,5,7,0,0,0
5/11/57,Bob Friend,Vs. PHI,1,0,0,0,1,0,0,5.00,11,6,6,1,1,1,0,0,0
05/12/1957 (1),Luis Arroyo,Vs. PHI,1,0,0,0,1,0,0,4.67,8,3,2,1,1,1,0,0,0
05/12/1957 (2),Vern Law,Vs. PHI,1,1,0,1,0,0,0,9.00,10,1,1,0,2,1,1,0,0
5/14/57,Ron Kline,At CHN,1,0,0,0,0,0,0,3.67,6,3,3,1,5,3,0,0,0
5/16/57,Bob Friend,At MIL,1,1,0,1,0,0,0,9.00,7,1,1,1,1,3,0,0,0
5/18/57,Vern Law,At MIL,1,0,0,0,0,0,0,3.00,6,3,2,1,0,2,0,0,0
05/19/1957 (1),Luis Arroyo,At CIN,1,0,0,0,0,0,0,6.67,11,6,6,1,0,6,0,0,0
05/19/1957 (2),Ron Kline,At CIN,1,1,0,0,1,0,0,8.00,6,5,2,3,1,4,0,0,0
5/24/57,Bob Friend,At PHI,1,0,0,0,1,0,0,7.00,7,6,6,3,2,5,0,0,1
5/25/57,Ron Kline,At PHI,1,0,0,0,1,0,0,3.00,9,5,5,0,0,1,0,0,0
05/26/1957 (1),Vern Law,At PHI,1,0,0,0,0,0,0,4.00,5,5,4,2,3,1,0,0,0
05/26/1957 (2),Laurin Pepper,At PHI,1,0,0,0,0,0,0,1.00,3,3,3,0,3,1,0,0,0
5/28/57,Bob Friend,Vs. BRO,1,0,0,0,0,0,0,8.00,11,2,2,1,4,1,0,0,0
5/29/57,Ron Kline,Vs. BRO,1,1,0,0,1,0,0,9.00,5,1,0,0,1,2,0,0,0
05/30/1957 (1),Vern Law,Vs. BRO,1,0,0,0,1,0,0,8.00,9,4,4,1,0,1,0,0,0
05/30/1957 (2),Bob Purkey,Vs. BRO,1,1,0,1,0,0,0,9.00,9,1,1,0,1,2,0,0,0
5/31/57,Luis Arroyo,Vs. NYN,1,0,0,0,0,0,0,6.33,6,2,2,0,2,2,0,0,0
6/1/57,Bob Friend,Vs. NYN,1,1,0,0,1,0,0,9.00,8,3,3,0,2,5,0,0,0
06/02/1957 (1),Ron Kline,Vs. NYN,1,0,0,1,0,0,0,8.33,9,2,2,2,1,2,0,0,0
Game Date,Pitcher,Opponent,GS,CG,GF,W,L,Sv,Sho,IP,H,R,ER,HR,BB,K,HBP,BK,WP
06/02/1957 (2),Bob Purkey,Vs. NYN,1,1,0,1,0,0,1,9.00,4,0,0,0,1,2,0,0,0
6/3/57,Vern Law,Vs. NYN,1,0,0,0,0,0,0,2.33,4,3,3,0,0,0,0,0,0
6/4/57,Bob Smith,Vs. SLN,1,0,0,0,0,0,0,4.67,5,4,4,1,2,2,0,0,0
6/5/57,Bob Friend,Vs. SLN,1,0,0,0,1,0,0,7.00,6,4,2,0,1,7,0,0,0
6/6/57,Ron Kline,Vs. SLN,1,0,0,0,1,0,0,1.67,6,3,3,1,0,1,0,0,0
6/7/57,Bob Purkey,Vs. MIL,1,0,0,0,1,0,0,5.00,4,2,2,0,4,2,0,0,0
06/09/1957 (1),Bob Friend,Vs. MIL,1,1,0,0,1,0,0,11.00,5,2,2,1,2,6,0,0,0
06/09/1957 (2),Ron Kline,Vs. MIL,1,0,0,1,0,0,0,8.00,3,3,3,1,4,6,0,0,0
6/10/57,Vern Law,Vs. CIN,1,1,0,1,0,0,0,9.00,4,2,2,1,0,3,0,0,0
6/11/57,Bob Purkey,Vs. CIN,1,1,0,1,0,0,0,9.00,5,1,0,0,0,1,1,0,0
6/12/57,Luis Arroyo,Vs. CIN,1,0,0,0,0,0,0,7.00,9,3,3,0,1,6,0,0,0
6/13/57,Bob Friend,Vs. CIN,1,1,0,1,0,0,0,9.00,6,2,2,2,1,7,0,0,0
6/14/57,Ron Kline,Vs. CHN,1,0,0,0,1,0,0,3.00,6,3,2,0,1,4,0,0,0
6/15/57,Vern Law,Vs. CHN,1,0,0,0,1,0,0,3.00,6,2,2,0,0,1,0,0,0
06/16/1957 (1),Luis Arroyo,Vs. CHN,1,0,0,0,1,0,0,5.00,8,2,2,2,0,5,0,0,0
06/16/1957 (2),Bob Purkey,Vs. CHN,1,0,0,0,0,0,0,5.33,5,3,2,1,0,2,1,0,0
6/17/57,Bob Friend,At MIL,1,0,0,0,0,0,0,5.00,8,3,2,0,0,3,0,0,0
6/18/57,Red Swanson,At SLN,1,1,0,1,0,0,0,9.00,4,1,1,0,4,3,0,0,0
06/19/1957 (1),Ron Kline,At SLN,1,1,0,0,1,0,0,8.00,9,5,5,2,0,4,0,0,0
06/19/1957 (2),Bob Purkey,At SLN,1,0,0,0,1,0,0,5.00,5,3,3,0,0,0,0,0,0
Game Date,Pitcher,Opponent,GS,CG,GF,W,L,Sv,Sho,IP,H,R,ER,HR,BB,K,HBP,BK,WP
6/20/57,Luis Arroyo,At SLN,1,0,0,0,1,0,0,2.00,4,3,3,0,1,0,1,0,0
6/21/57,Bob Friend,At CIN,1,0,0,0,0,0,0,6.00,3,2,2,1,0,3,0,0,0
6/22/57,Vern Law,At CIN,1,0,0,0,0,0,0,6.67,5,3,3,3,1,2,0,0,0
06/23/1957 (1),Red Swanson,At CIN,1,0,0,0,1,0,0,0.67,4,4,4,2,1,0,0,0,0
06/23/1957 (2),Ron Kline,At CIN,1,0,0,0,1,0,0,2.67,7,5,5,3,1,0,0,0,0
6/25/57,Bob Friend,At CHN,1,0,0,0,1,0,0,6.00,9,5,5,3,0,3,0,0,0
06/26/1957 (1),Vern Law,At CHN,1,1,0,1,0,0,0,9.00,10,5,5,1,1,2,0,0,0
06/26/1957 (2),Joe Trimble,At CHN,1,0,0,0,0,0,0,5.33,5,3,3,1,5,3,0,0,2
6/27/57,Bob Purkey,At CHN,1,0,0,0,0,0,0,7.67,9,4,4,0,0,3,0,0,1
6/28/57,Bob Friend,At MIL,1,0,0,0,1,0,0,5.00,5,4,3,1,1,1,0,0,0
6/29/57,Red Swanson,At MIL,1,0,0,0,0,0,0,4.00,5,4,3,2,1,0,0,0,0
06/30/1957 (1),Vern Law,At MIL,1,0,0,0,1,0,0,7.33,12,7,6,2,3,2,0,0,1
06/30/1957 (2),Joe Trimble,At MIL,1,0,0,0,0,0,0,7.00,4,1,1,1,1,4,0,0,0
7/1/57,Ron Kline,Vs. PHI,1,0,0,0,0,0,0,7.00,6,4,4,0,0,4,1,0,1
07/04/1957 (1),Bob Friend,At BRO,1,1,0,1,0,0,0,9.00,7,1,1,0,1,5,0,0,0
07/04/1957 (2),Bob Purkey,At BRO,1,0,0,0,1,0,0,4.00,8,6,6,0,2,0,0,0,0
7/5/57,Joe Trimble,At NYN,1,0,0,0,1,0,0,5.67,7,8,8,4,5,1,0,0,0
7/6/57,Vern Law,At NYN,1,0,0,0,0,0,0,9.00,7,2,2,2,1,2,0,0,0
07/07/1957 (1),Red Swanson,At NYN,1,0,0,1,0,0,0,6.67,9,5,5,2,0,1,0,0,0
07/07/1957 (2),Bob Friend,At NYN,1,1,0,1,0,0,0,9.00,4,1,1,1,3,7,0,0,0
Game Date,Pitcher,Opponent,GS,CG,GF,W,L,Sv,Sho,IP,H,R,ER,HR,BB,K,HBP,BK,WP
7/10/57,Bob Purkey,Vs. MIL,1,1,0,1,0,0,0,9.00,6,2,2,1,2,7,0,0,0
7/11/57,Bob Friend,Vs. MIL,1,0,0,0,1,0,0,7.00,9,4,4,1,1,2,0,0,0
7/12/57,Vern Law,Vs. MIL,1,0,0,0,0,0,0,5.00,9,2,2,1,1,3,0,0,0
7/13/57,Ron Kline,Vs. MIL,1,0,0,0,1,0,0,7.00,5,4,4,2,1,3,0,0,0
07/14/1957 (1),Red Swanson,Vs. CIN,1,0,0,0,0,0,0,0.67,1,1,1,0,2,0,0,0,0
07/14/1957 (2),Joe Trimble,Vs. CIN,1,0,0,0,1,0,0,0.33,4,5,5,0,1,0,1,0,0
7/16/57,Bob Friend,Vs. CHN,1,1,0,1,0,0,0,9.00,9,3,3,0,4,5,0,0,0
7/17/57,Ron Kline,Vs. CHN,1,1,0,0,1,0,0,9.00,10,4,3,0,3,3,0,0,0
7/18/57,Bob Purkey,Vs. CHN,1,0,0,0,0,0,0,7.00,8,4,4,1,2,2,0,0,0
7/19/57,Vern Law,Vs. SLN,1,1,0,1,0,0,1,9.00,9,0,0,0,0,4,0,0,0
7/20/57,Bob Friend,Vs. SLN,1,0,0,0,1,0,0,2.33,7,5,3,1,0,2,0,0,0
07/21/1957 (1),Ron Kline,Vs. SLN,1,0,0,0,0,0,0,5.00,3,3,3,1,1,1,0,0,0
07/21/1957 (2),Bob Purkey,Vs. SLN,1,0,0,0,1,0,0,2.00,7,4,4,1,2,3,0,0,0
7/23/57,Vern Law,At CIN,1,0,0,1,0,0,0,14.33,9,3,3,2,5,4,0,0,0
7/24/57,Bob Friend,At CIN,1,1,0,0,1,0,0,8.00,6,2,1,0,2,1,0,0,0
7/25/57,Ron Kline,At CIN,1,0,0,0,1,0,0,5.00,7,7,6,1,4,0,0,0,0
7/26/57,Roy Face,At SLN,1,0,0,0,0,0,0,8.00,7,3,3,2,0,6,0,0,0
7/27/57,Bob Purkey,At SLN,1,1,0,1,0,0,0,9.00,8,2,2,0,0,3,0,0,0
07/28/1957 (1),Vern Law,At SLN,1,1,0,0,1,0,0,8.00,11,4,4,0,1,2,0,0,0
07/28/1957 (2),Bob Friend,At SLN,1,0,0,0,0,0,0,5.00,12,5,4,1,3,2,0,0,0
Game Date,Pitcher,Opponent,GS,CG,GF,W,L,Sv,Sho,IP,H,R,ER,HR,BB,K,HBP,BK,WP
7/29/57,Whammy Douglas,At SLN,1,0,0,0,1,0,0,5.00,5,2,1,0,7,2,0,0,0
7/30/57,Red Swanson,At MIL,1,0,0,0,1,0,0,7.00,8,5,2,0,5,2,0,0,0
7/31/57,Bob Purkey,At MIL,1,0,0,0,1,0,0,5.00,9,4,4,2,0,1,0,0,0
8/2/57,Vern Law,At CHN,1,1,0,0,1,0,0,8.00,8,6,0,1,1,3,0,0,0
08/04/1957 (1),Bob Friend,At CHN,1,0,0,0,1,0,0,5.67,7,5,4,0,1,4,0,0,0
08/04/1957 (2),Bob Purkey,At CHN,1,0,0,0,0,0,0,6.00,5,2,0,0,0,0,0,0,0
8/6/57,Ron Kline,Vs. PHI,1,1,0,1,0,0,0,9.00,5,3,3,1,0,4,0,0,0
8/8/57,Vern Law,Vs. PHI,1,0,0,0,1,0,0,5.67,9,6,4,1,3,2,0,0,0
8/9/57,Bob Friend,Vs. BRO,1,0,0,0,1,0,0,8.00,10,4,3,1,4,4,0,0,0
8/10/57,Bob Purkey,Vs. BRO,1,0,0,0,1,0,0,5.00,5,3,3,1,1,1,0,0,0
08/11/1957 (1),Ron Kline,Vs. BRO,1,0,0,0,0,0,0,5.00,7,3,3,1,2,2,0,0,0
08/11/1957 (2),Whammy Douglas,Vs. BRO,1,0,0,1,0,0,0,7.00,8,2,1,0,1,6,0,0,0
8/13/57,Bob Friend,At PHI,1,1,0,1,0,0,1,9.00,2,0,0,0,2,5,0,0,0
8/14/57,Vern Law,At PHI,1,1,0,1,0,0,0,9.00,10,3,1,0,0,7,0,0,0
8/16/57,Bob Purkey,At BRO,1,0,0,0,1,0,0,4.67,8,4,4,0,0,2,1,0,0
8/17/57,Ron Kline,At BRO,1,1,0,1,0,0,0,9.00,6,3,2,1,3,6,0,0,1
08/18/1957 (1),Bob Friend,At BRO,1,0,0,0,1,0,0,7.00,2,2,2,1,0,5,0,0,0
08/18/1957 (2),Whammy Douglas,At BRO,1,0,0,0,0,0,0,2.33,1,2,2,0,4,1,0,0,0
8/20/57,Vern Law,Vs. MIL,1,0,0,0,0,0,0,8.00,3,1,1,0,0,1,0,0,0
8/22/57,Bob Friend,Vs. CIN,1,1,0,1,0,0,0,9.00,9,3,3,0,3,2,0,0,1
Game Date,Pitcher,Opponent,GS,CG,GF,W,L,Sv,Sho,IP,H,R,ER,HR,BB,K,HBP,BK,WP
8/23/57,Bob Purkey,Vs. CIN,1,0,0,0,1,0,0,3.00,6,4,3,0,0,1,0,0,0
8/24/57,Ron Kline,Vs. CIN,1,1,0,1,0,0,0,9.00,6,1,1,0,3,3,0,0,0
08/25/1957 (1),Vern Law,Vs. CHN,1,1,0,1,0,0,1,9.00,4,0,0,0,2,2,1,0,0
08/25/1957 (2),Whammy Douglas,Vs. CHN,1,0,0,0,1,0,0,3.00,4,2,2,0,1,1,1,0,0
8/27/57,Bob Friend,Vs. SLN,1,1,0,1,0,0,0,9.00,5,1,0,0,2,3,0,0,0
8/28/57,Ron Kline,Vs. SLN,1,1,0,1,0,0,1,9.00,6,0,0,0,2,4,0,0,0
8/30/57,Vern Law,At PHI,1,0,0,0,1,0,0,2.33,6,4,4,0,3,1,0,0,0
8/31/57,Bob Friend,At PHI,1,0,0,0,1,0,0,2.00,5,5,5,1,1,2,0,0,0
09/01/1957 (1),Bob Purkey,At PHI,1,0,0,0,1,0,0,2.00,7,5,5,0,1,0,0,0,0
09/01/1957 (2),Whammy Douglas,At PHI,1,0,0,1,0,0,0,7.33,8,3,2,1,6,3,0,0,0
09/02/1957 (1),Ron Kline,At NYN,1,0,0,0,0,0,0,3.67,5,5,2,2,4,0,0,0,0
09/02/1957 (2),Johnny O'Brien,At NYN,1,0,0,0,1,0,0,6.00,8,4,4,2,4,1,1,0,0
9/3/57,Vern Law,At NYN,1,0,0,0,0,0,0,2.00,2,0,0,0,0,0,0,0,0
9/4/57,Bob Friend,Vs. NYN,1,1,0,1,0,0,1,9.00,7,0,0,0,1,3,0,0,0
9/5/57,Whammy Douglas,Vs. NYN,1,0,0,1,0,0,0,8.67,10,2,1,0,4,8,1,0,0
9/6/57,Ron Kline,Vs. PHI,1,1,0,1,0,0,0,9.00,6,2,2,0,3,4,0,0,0
9/7/57,Red Swanson,Vs. PHI,1,0,0,1,0,0,0,6.67,6,2,2,0,4,2,1,0,0
09/08/1957 (1),Bob Friend,Vs. PHI,1,0,0,0,0,0,0,7.00,7,3,2,1,3,4,0,0,0
09/08/1957 (2),Bob Smith,Vs. PHI,1,1,0,1,0,0,0,9.00,8,2,2,0,1,6,0,0,0
9/10/57,Whammy Douglas,At MIL,1,0,0,0,1,0,0,3.33,4,3,3,2,1,3,1,0,0
Game Date,Pitcher,Opponent,GS,CG,GF,W,L,Sv,Sho,IP,H,R,ER,HR,BB,K,HBP,BK,WP
9/11/57,Ron Kline,At MIL,1,1,0,1,0,0,0,9.00,6,1,1,1,0,0,0,0,0
09/13/1957 (1),Bob Friend,At CHN,1,1,0,1,0,0,0,9.00,6,1,1,0,3,3,0,0,0
09/13/1957 (2),Bob Smith,At CHN,1,0,0,1,0,0,0,8.00,4,1,0,0,4,6,0,0,0
09/14/1957 (1),Eddie O'Brien,At CHN,1,1,0,1,0,0,0,9.00,6,1,1,0,3,8,0,0,0
09/14/1957 (2),Whammy Douglas,At CHN,1,0,0,0,0,0,0,5.00,3,2,2,2,2,1,0,0,0
09/15/1957 (1),Ron Kline,At SLN,1,0,0,0,1,0,0,4.00,7,6,6,0,2,0,0,0,0
09/15/1957 (2),Red Swanson,At SLN,1,0,0,0,1,0,0,0.67,3,5,4,0,2,0,0,0,0
9/17/57,Bob Friend,At CIN,1,0,0,0,1,0,0,5.33,7,6,5,1,4,6,0,0,0
9/18/57,Bob Smith,At CIN,1,1,0,0,1,0,0,8.33,7,2,2,0,4,5,0,0,0
09/21/1957 (1),Ron Kline,Vs. NYN,1,0,0,0,0,0,0,2.33,7,4,4,0,0,0,0,0,0
9/22/57,Bob Friend,Vs. NYN,1,1,0,1,0,0,0,9.00,9,1,1,0,2,6,0,0,0
9/24/57,Bennie Daniels,At BRO,1,0,0,0,1,0,0,7.00,5,2,1,0,3,2,0,0,0
9/28/57,Ron Kline,At NYN,1,1,0,1,0,0,1,9.00,6,0,0,0,2,2,0,0,0
9/29/57,Bob Friend,At NYN,1,1,0,1,0,0,0,9.00,6,1,1,0,1,4,0,0,0
4/15/58,Bob Friend,At MIL,1,0,0,0,0,0,0,6.00,5,2,2,2,1,2,0,0,0
4/17/58,Vern Law,At MIL,1,0,0,0,1,0,0,5.00,9,4,4,1,1,0,0,0,0
4/18/58,Ron Kline,Vs. CIN,1,0,0,0,1,0,0,3.00,3,4,3,1,2,1,0,0,0
4/19/58,Bob Smith,Vs. CIN,1,0,0,0,1,0,0,6.33,6,5,2,0,5,3,0,0,0
4/20/58,Bob Friend,Vs. CIN,1,1,0,1,0,0,0,9.00,11,3,3,0,3,0,0,0,0
4/22/58,Ron Kline,Vs. MIL,1,0,0,0,1,0,0,7.00,9,5,5,1,1,0,0,0,0
Game Date,Pitcher,Opponent,GS,CG,GF,W,L,Sv,Sho,IP,H,R,ER,HR,BB,K,HBP,BK,WP
4/23/58,Ron Blackburn,At PHI,1,0,0,0,1,0,0,4.00,5,3,2,0,2,3,0,0,0
4/24/58,Bob Friend,At PHI,1,0,0,1,0,0,0,8.67,13,4,4,1,3,4,0,0,0
