4/10/61,Dick Donovan,Vs. CHA,1,1,0,0,1,0,0,9.00,6,4,2,1,2,3,1,0,0
4/14/61,Joe McClain,Vs. CLE,1,1,0,1,0,0,0,9.00,7,2,2,0,0,2,0,0,0
4/15/61,Bennie Daniels,Vs. CLE,1,0,0,0,1,0,0,7.33,7,3,3,0,3,6,0,0,0
4/16/61,Dick Donovan,Vs. CLE,1,0,0,0,1,0,0,8.00,10,3,3,1,0,4,0,0,0
4/19/61,Ed Hobaugh,At CHA,1,0,0,0,0,0,0,2.67,3,2,2,0,5,1,1,0,2
4/20/61,Hal Woodeshick,At CHA,1,0,0,0,1,0,0,5.00,7,4,4,2,3,1,0,0,0
4/21/61,Joe McClain,At MIN,1,0,0,1,0,0,0,8.33,7,3,3,2,0,2,1,0,0
4/22/61,Bennie Daniels,At MIN,1,0,0,0,0,0,0,2.67,4,3,2,0,4,2,1,0,0
4/23/61,Dick Donovan,At MIN,1,0,0,0,1,0,0,7.00,4,1,1,0,1,3,0,0,0
4/25/61,Pete Burnside,At BOS,1,0,0,0,1,0,0,2.00,5,4,3,0,1,0,1,0,0
4/26/61,Tom Sturdivant,At BOS,1,0,0,1,0,0,0,7.33,3,1,0,0,4,4,1,0,1
4/27/61,Joe McClain,Vs. BAL,1,0,0,0,1,0,0,7.00,6,4,4,0,3,3,0,0,0
4/28/61,Bennie Daniels,Vs. BAL,1,0,0,0,1,0,0,7.00,7,3,3,1,1,2,1,0,0
4/29/61,Ed Hobaugh,Vs. BAL,1,0,0,0,1,0,0,5.00,8,3,2,0,2,4,0,0,0
04/30/1961 (1),Dick Donovan,Vs. NYA,1,0,0,0,1,0,0,6.33,8,3,3,0,2,2,0,0,0
04/30/1961 (2),Hal Woodeshick,Vs. NYA,1,0,0,1,0,0,0,8.00,8,1,1,0,0,3,0,0,0
5/2/61,Tom Sturdivant,Vs. DET,1,0,0,0,1,0,0,5.33,5,5,5,1,3,3,0,0,1
5/3/61,Joe McClain,Vs. DET,1,0,0,1,0,0,0,7.67,8,4,3,1,1,4,0,0,0
5/4/61,Bennie Daniels,Vs. DET,1,0,0,0,1,0,0,6.33,7,3,3,0,3,4,0,0,0
5/5/61,Ed Hobaugh,At CLE,1,1,0,1,0,0,0,9.00,5,2,2,0,4,2,0,0,1
Game Date,Pitcher,Opponent,GS,CG,GF,W,L,Sv,Sho,IP,H,R,ER,HR,BB,K,HBP,BK,WP
05/07/1961 (1),Tom Sturdivant,At CLE,1,0,0,0,1,0,0,6.00,6,4,4,0,5,3,0,0,0
05/07/1961 (2),Pete Burnside,At CLE,1,0,0,0,0,0,0,6.33,9,3,3,0,0,4,0,0,1
05/09/1961 (1),Joe McClain,At DET,1,0,0,0,1,0,0,7.00,5,3,3,0,4,1,0,0,0
05/09/1961 (2),Bennie Daniels,At DET,1,0,0,1,0,0,0,7.00,6,4,4,0,5,3,0,0,1
5/10/61,Ed Hobaugh,At DET,1,0,0,0,1,0,0,1.33,6,4,3,0,0,1,0,0,1
5/11/61,John Gabler,At DET,1,0,0,0,0,0,0,4.00,7,3,3,0,1,0,0,0,0
5/12/61,Pete Burnside,Vs. BOS,1,0,0,0,1,0,0,7.00,2,2,2,0,6,3,0,0,0
5/13/61,Tom Sturdivant,Vs. BOS,1,1,0,1,0,0,1,9.00,1,0,0,0,1,5,0,0,0
05/14/1961 (1),Joe McClain,Vs. BOS,1,1,0,1,0,0,1,9.00,5,0,0,0,0,2,0,0,0
05/14/1961 (2),Bennie Daniels,Vs. BOS,1,1,0,1,0,0,0,9.00,3,1,1,0,3,5,0,0,0
5/16/61,Hal Woodeshick,At NYA,1,0,0,1,0,0,0,6.67,1,2,2,1,7,6,0,0,2
5/17/61,Pete Burnside,At NYA,1,0,0,1,0,0,0,7.33,10,6,6,1,3,4,1,0,1
5/19/61,Tom Sturdivant,At BAL,1,0,0,0,1,0,0,7.33,7,3,3,0,4,5,0,0,1
5/20/61,Joe McClain,At BAL,1,0,0,0,1,0,0,7.00,7,2,2,0,0,2,1,0,0
05/21/1961 (1),Bennie Daniels,At LAA,1,0,0,1,0,0,0,7.00,4,2,1,1,4,3,1,0,0
05/21/1961 (2),Hal Woodeshick,At LAA,1,1,0,1,0,0,0,9.00,8,2,2,0,6,8,1,0,0
5/22/61,Pete Burnside,At LAA,1,0,0,0,1,0,0,5.00,5,4,4,1,2,6,0,0,0
5/23/61,Ed Hobaugh,At KCA,1,0,0,1,0,0,0,7.00,6,3,3,0,3,3,0,0,0
5/24/61,Tom Sturdivant,At KCA,1,0,0,0,0,0,0,7.00,6,4,4,1,3,2,0,0,0
5/25/61,Dick Donovan,At KCA,1,0,0,0,1,0,0,6.00,6,4,4,0,1,1,1,0,0
