3/31/98,Wilson Alvarez,Vs. DET,1,0,0,0,1,0,0,2.33,9,6,6,0,0,2,0,0,0
4/1/98,Rolando Arrojo,Vs. DET,1,0,0,1,0,0,0,6.00,8,4,4,0,1,6,1,0,0
4/2/98,Tony Saunders,Vs. DET,1,0,0,0,0,0,0,6.00,5,1,1,1,2,7,0,1,0
4/3/98,Rick Gorecki,Vs. CHA,1,0,0,0,1,0,0,4.67,8,6,6,0,4,2,0,0,0
4/4/98,Dennis Springer,Vs. CHA,1,0,0,1,0,0,0,7.33,6,2,2,1,1,3,0,0,1
4/5/98,Wilson Alvarez,Vs. CHA,1,0,0,1,0,0,0,6.67,3,0,0,0,3,2,0,0,0
4/7/98,Rolando Arrojo,At DET,1,0,0,0,1,0,0,5.67,8,3,3,0,2,3,2,0,0
4/10/98,Tony Saunders,At CHA,1,0,0,0,1,0,0,6.00,8,3,2,0,4,3,0,0,1
4/11/98,Rick Gorecki,At CHA,1,0,0,1,0,0,0,7.00,3,1,1,0,3,5,0,0,1
4/12/98,Wilson Alvarez,At CHA,1,0,0,1,0,0,0,8.00,4,1,1,1,1,7,0,0,0
4/13/98,Rolando Arrojo,Vs. MIN,1,0,0,0,0,0,0,2.67,9,6,6,2,0,1,0,0,0
4/14/98,Dennis Springer,Vs. MIN,1,0,0,0,1,0,0,5.33,10,8,5,2,3,3,1,0,0
4/16/98,Tony Saunders,At ANA,1,0,0,1,0,0,0,6.00,6,4,3,0,6,0,0,0,0
4/17/98,Rick Gorecki,At ANA,1,0,0,0,1,0,0,5.00,4,2,2,1,3,0,0,0,0
4/18/98,Wilson Alvarez,At ANA,1,0,0,1,0,0,0,7.00,6,1,1,0,2,9,0,0,0
4/19/98,Rolando Arrojo,At ANA,1,0,0,1,0,0,0,7.00,6,0,0,0,1,5,1,0,1
4/21/98,Dennis Springer,At TEX,1,0,0,0,1,0,0,6.67,6,4,4,1,3,4,0,0,0
4/22/98,Tony Saunders,At TEX,1,0,0,0,1,0,0,6.33,10,5,5,0,2,6,1,0,0
4/23/98,Jason Johnson,At TEX,1,0,0,1,0,0,0,5.33,4,2,2,0,5,2,0,0,0
4/24/98,Wilson Alvarez,Vs. ANA,1,0,0,0,1,0,0,1.00,3,3,3,0,3,1,2,0,1
Game Date,Pitcher,Opponent,GS,CG,GF,W,L,Sv,Sho,IP,H,R,ER,HR,BB,K,HBP,BK,WP
4/25/98,Rolando Arrojo,Vs. ANA,1,0,0,0,1,0,0,7.00,9,4,4,1,1,3,0,0,0
4/26/98,Dennis Springer,Vs. ANA,1,0,0,0,1,0,0,7.00,6,2,2,1,3,4,0,0,0
4/27/98,Tony Saunders,Vs. OAK,1,0,0,0,0,0,0,4.33,5,5,5,0,5,7,0,0,0
4/28/98,Jason Johnson,Vs. OAK,1,0,0,0,1,0,0,4.33,8,4,4,2,3,5,0,0,0
4/29/98,Wilson Alvarez,At MIN,1,0,0,0,1,0,0,7.33,5,2,2,0,3,3,0,0,0
4/30/98,Rolando Arrojo,At MIN,1,1,0,1,0,0,1,9.00,3,0,0,0,2,5,0,0,0
5/1/98,Dennis Springer,At CLE,1,0,0,0,1,0,0,3.67,6,5,5,1,5,0,1,0,0
5/2/98,Tony Saunders,At CLE,1,0,0,0,1,0,0,6.00,8,3,1,0,3,8,0,0,0
5/3/98,Jason Johnson,At CLE,1,0,0,0,0,0,0,4.33,8,3,3,2,0,2,0,0,0
5/5/98,Wilson Alvarez,At KCA,1,0,0,0,1,0,0,5.33,10,4,4,0,1,6,0,0,0
5/6/98,Rolando Arrojo,At KCA,1,1,0,1,0,0,1,9.00,3,0,0,0,2,6,0,0,0
5/8/98,Tony Saunders,Vs. BAL,1,0,0,0,0,0,0,6.00,7,1,1,0,4,4,1,0,0
5/9/98,Dennis Springer,Vs. BAL,1,0,0,0,1,0,0,6.00,5,4,4,2,3,0,0,0,0
5/10/98,Wilson Alvarez,Vs. BAL,1,0,0,0,0,0,0,6.00,5,3,3,2,1,6,0,0,0
5/11/98,Rolando Arrojo,Vs. CLE,1,0,0,1,0,0,0,8.00,5,2,2,0,2,6,1,0,0
5/12/98,Jason Johnson,Vs. CLE,1,0,0,0,0,0,0,5.00,6,3,3,0,2,1,0,0,1
5/13/98,Tony Saunders,Vs. KCA,1,0,0,0,1,0,0,6.67,6,2,2,0,4,8,0,0,0
5/14/98,Dennis Springer,Vs. KCA,1,0,0,0,1,0,0,4.00,8,6,6,2,3,2,1,0,1
5/15/98,Wilson Alvarez,At BAL,1,0,0,1,0,0,0,7.00,6,1,1,1,2,3,1,0,0
5/16/98,Rolando Arrojo,At BAL,1,0,0,1,0,0,0,5.00,4,1,0,0,0,5,0,0,0
Game Date,Pitcher,Opponent,GS,CG,GF,W,L,Sv,Sho,IP,H,R,ER,HR,BB,K,HBP,BK,WP
5/17/98,Jason Johnson,At BAL,1,0,0,0,0,0,0,6.00,2,0,0,0,3,6,0,0,0
5/18/98,Tony Saunders,At BAL,1,0,0,0,0,0,0,4.67,4,2,2,0,3,4,2,0,0
5/19/98,Dennis Springer,At TOR,1,1,0,0,1,0,0,8.00,4,3,3,2,3,3,0,0,0
5/20/98,Wilson Alvarez,At TOR,1,0,0,0,1,0,0,4.67,4,6,6,2,3,5,1,0,1
5/21/98,Rolando Arrojo,At TOR,1,0,0,0,1,0,0,3.67,8,5,5,2,3,7,0,0,0
5/22/98,Jason Johnson,At SEA,1,0,0,1,0,0,0,6.00,4,1,1,0,3,2,0,0,0
5/23/98,Tony Saunders,At SEA,1,0,0,0,0,0,0,7.00,7,3,3,1,4,7,0,0,0
5/24/98,Dennis Springer,At SEA,1,0,0,0,1,0,0,5.00,8,3,3,1,3,0,0,0,0
5/25/98,Matt Ruebel,At OAK,1,0,0,0,1,0,0,4.33,6,4,3,2,3,2,0,0,0
5/26/98,Rolando Arrojo,At OAK,1,0,0,1,0,0,0,5.00,5,2,2,1,1,7,1,1,0
5/28/98,Jason Johnson,Vs. SEA,1,0,0,0,1,0,0,3.67,7,5,5,3,0,2,0,0,0
5/29/98,Tony Saunders,Vs. SEA,1,0,0,0,1,0,0,7.00,9,3,3,0,3,8,0,0,0
5/30/98,Dennis Springer,Vs. SEA,1,0,0,1,0,0,0,5.00,2,2,1,0,3,3,2,0,0
5/31/98,Rick White,Vs. SEA,1,0,0,0,1,0,0,3.33,7,5,5,2,2,3,1,0,0
6/1/98,Rolando Arrojo,Vs. TEX,1,0,0,1,0,0,0,7.00,4,1,1,0,1,9,1,0,0
6/2/98,Jason Johnson,Vs. TEX,1,0,0,0,1,0,0,1.67,3,6,6,1,3,1,0,0,0
6/3/98,Tony Saunders,At NYA,1,0,0,0,1,0,0,5.00,6,7,7,0,3,6,0,0,0
6/4/98,Dennis Springer,At NYA,1,0,0,0,1,0,0,7.00,10,6,6,1,3,3,1,0,1
6/5/98,Rick White,Vs. MON,1,0,0,0,1,0,0,5.00,7,3,3,1,2,2,0,0,2
6/6/98,Rolando Arrojo,Vs. MON,1,0,0,0,0,0,0,7.33,6,5,5,1,1,5,1,0,1
Game Date,Pitcher,Opponent,GS,CG,GF,W,L,Sv,Sho,IP,H,R,ER,HR,BB,K,HBP,BK,WP
6/7/98,Jason Johnson,Vs. MON,1,0,0,0,0,0,0,6.00,3,2,2,0,1,6,0,0,1
6/8/98,Dennis Springer,At NYN,1,0,0,0,1,0,0,5.00,5,3,2,1,1,3,0,0,1
6/9/98,Julio Santana,At NYN,1,0,0,0,0,0,0,5.00,4,4,3,0,3,0,0,0,0
6/10/98,Rick White,At NYN,1,0,0,0,1,0,0,6.00,2,3,3,1,6,2,0,0,0
6/12/98,Rolando Arrojo,At BOS,1,0,0,0,1,0,0,7.00,5,2,2,1,4,9,0,0,0
6/14/98,Tony Saunders,At BOS,1,0,0,0,0,0,0,6.00,4,2,2,0,4,3,1,0,1
6/15/98,Julio Santana,Vs. TOR,1,0,0,0,0,0,0,4.67,6,4,4,1,3,3,0,0,0
6/16/98,Jason Johnson,Vs. TOR,1,0,0,0,0,0,0,3.67,7,3,3,0,2,2,1,0,0
6/17/98,Rolando Arrojo,Vs. TOR,1,0,0,1,0,0,0,8.00,7,1,1,0,2,4,1,0,0
6/18/98,Dennis Springer,Vs. BOS,1,0,0,0,0,0,0,6.00,9,5,5,1,3,3,0,0,0
6/19/98,Tony Saunders,Vs. BOS,1,0,0,0,1,0,0,8.00,3,3,3,2,3,10,0,0,0
6/20/98,Julio Santana,Vs. BOS,1,0,0,1,0,0,0,5.67,7,3,3,2,2,3,0,0,0
6/21/98,Jason Johnson,Vs. BOS,1,0,0,0,1,0,0,6.00,10,3,3,1,0,3,1,0,0
6/22/98,Rolando Arrojo,Vs. FLA,1,0,0,0,0,0,0,8.00,6,2,2,0,2,5,1,0,0
6/23/98,Dennis Springer,Vs. FLA,1,0,0,0,0,0,0,4.67,4,3,3,1,4,0,1,0,1
