Name, Team, Year, Games Started, IP, ERA, EWA, Record, Earned Record, Support/Luck
Marty Pattin , Brewers , 1969 , 27 , 148.99 , 5.26 , 0.28 , 7 , 12 , 7.57 , 11.76 , -0.81
Mike Marshall , Brewers , 1969 , 14 , 78.34 , 5.28 , 0.29 , 3 , 9 , 4.03 , 5.93 , -4.09
Gary Bell , Brewers , 1969 , 11 , 58.67 , 4.91 , 0.24 , 2 , 6 , 2.61 , 4.75 , -1.86
Diego Segui , Brewers , 1969 , 8 , 48.67 , 3.7 , 0.4 , 4 , 2 , 3.21 , 2.55 , 1.34
Steve Barber , Brewers , 1969 , 16 , 71.65 , 5.15 , 0.21 , 4 , 7 , 3.3 , 6.64 , 0.33
Gene Brabender , Brewers , 1969 , 29 , 183.66 , 4.02 , 0.36 , 13 , 12 , 10.47 , 10.44 , 0.97
Bucky Brandon , Brewers , 1969 , 1 , 1.67 , 26.95 , 0.0 , 0 , 1 , 0.0 , 0.73 , -0.27
Fred Talbot , Brewers , 1969 , 16 , 98.33 , 4.21 , 0.31 , 4 , 7 , 4.97 , 6.16 , -1.81
Gary Timberlake , Brewers , 1969 , 2 , 6.0 , 7.5 , 0.0 , 0 , 0 , 0.0 , 0.92 , 0.92
John Gelnar , Brewers , 1969 , 10 , 52.67 , 4.27 , 0.29 , 1 , 7 , 2.92 , 3.39 , -5.53
Garry Roggenburk , Brewers , 1969 , 4 , 23.0 , 4.7 , 0.35 , 2 , 2 , 1.41 , 1.56 , 0.15
Jim Bouton , Brewers , 1969 , 1 , 3.67 , 12.26 , 0.0 , 0 , 0 , 0.0 , 0.69 , 0.69
George Brunet , Brewers , 1969 , 11 , 62.99 , 5.43 , 0.29 , 2 , 5 , 3.16 , 4.81 , -1.34
Bob Meyer , Brewers , 1969 , 5 , 31.67 , 3.41 , 0.41 , 0 , 3 , 2.06 , 1.63 , -3.44
Miguel Fuentes , Brewers , 1969 , 4 , 21.67 , 4.98 , 0.32 , 1 , 3 , 1.27 , 1.61 , -1.67
Skip Lockwood , Brewers , 1969 , 3 , 20.0 , 2.7 , 0.44 , 0 , 1 , 1.33 , 0.72 , -1.6
Dick Baney , Brewers , 1969 , 1 , 8.0 , 1.13 , 0.64 , 1 , 0 , 0.64 , 0.15 , 0.51
