Name, Team, Year, Games Started, IP, ERA, EWA, Record, Earned Record, Support/Luck
Herm Wehmeier , Cardinals , 1957 , 18 , 127.33 , 4.52 , 0.33 , 8 , 5 , 5.98 , 7.55 , 4.57
Murry Dickson , Cardinals , 1957 , 13 , 73.68 , 4.03 , 0.32 , 5 , 3 , 4.2 , 4.62 , 2.42
Sam Jones , Cardinals , 1957 , 27 , 179.66 , 3.66 , 0.42 , 11 , 9 , 11.34 , 9.56 , 0.22
Vinegar Bend Mizell , Cardinals , 1957 , 21 , 129.01 , 3.7 , 0.37 , 7 , 9 , 7.73 , 7.3 , -2.43
Lindy McDaniel , Cardinals , 1957 , 26 , 179.67 , 3.51 , 0.46 , 12 , 9 , 12.03 , 8.31 , -0.72
Tom Cheney , Cardinals , 1957 , 3 , 5.0 , 9.0 , 0.0 , 0 , 1 , 0.0 , 1.33 , 0.33
Willard Schmidt , Cardinals , 1957 , 8 , 43.0 , 4.4 , 0.31 , 5 , 0 , 2.46 , 2.8 , 5.34
Larry Jackson , Cardinals , 1957 , 22 , 153.67 , 4.04 , 0.35 , 8 , 7 , 7.61 , 9.02 , 2.41
Von McDaniel , Cardinals , 1957 , 13 , 77.33 , 3.61 , 0.39 , 6 , 5 , 5.02 , 4.45 , 0.42
Lynn Lovenguth , Cardinals , 1957 , 1 , 8.0 , 2.25 , 0.49 , 0 , 1 , 0.49 , 0.3 , -1.18
Morrie Martin , Cardinals , 1957 , 1 , 6.0 , 0 , 0.66 , 0 , 0 , 0.66 , 0.04 , -0.62
Frank Barnes , Cardinals , 1957 , 1 , 3.0 , 15.0 , 0.0 , 0 , 1 , 0.0 , 0.69 , -0.31
Vinegar Bend Mizell , Cardinals , 1958 , 29 , 188.99 , 3.43 , 0.41 , 10 , 14 , 11.94 , 9.44 , -6.51
Lindy McDaniel , Cardinals , 1958 , 17 , 88.67 , 5.89 , 0.26 , 5 , 5 , 4.35 , 8.35 , 4.0
Sam Jones , Cardinals , 1958 , 35 , 250.0 , 2.88 , 0.48 , 14 , 13 , 16.87 , 10.01 , -5.86
Herm Wehmeier , Cardinals , 1958 , 3 , 5.99 , 13.52 , 0.0 , 0 , 1 , 0.0 , 1.64 , 0.64
Von McDaniel , Cardinals , 1958 , 1 , 2.0 , 0 , 0.0 , 0 , 0 , 0.0 , 0.06 , 0.06
Frank Barnes , Cardinals , 1958 , 1 , 3.0 , 9.0 , 0.0 , 0 , 0 , 0.0 , 0.47 , 0.47
Larry Jackson , Cardinals , 1958 , 23 , 158.33 , 3.75 , 0.38 , 11 , 8 , 8.82 , 8.23 , 2.42
Bob Mabe , Cardinals , 1958 , 13 , 75.34 , 4.78 , 0.3 , 2 , 8 , 3.88 , 5.53 , -4.35
Jim Brosnan , Cardinals , 1958 , 12 , 72.0 , 4.5 , 0.29 , 4 , 3 , 3.48 , 4.73 , 2.25
Sal Maglie , Cardinals , 1958 , 10 , 53.0 , 4.75 , 0.29 , 2 , 6 , 2.87 , 4.13 , -2.74
Bill Wight , Cardinals , 1958 , 1 , 9.0 , 4.0 , 0.55 , 1 , 0 , 0.55 , 0.37 , 0.81
Billy Muffett , Cardinals , 1958 , 6 , 31.01 , 4.93 , 0.25 , 1 , 3 , 1.5 , 2.43 , -1.07
Nelson Chittum , Cardinals , 1958 , 2 , 6.0 , 13.5 , 0.0 , 0 , 1 , 0.0 , 1.25 , 0.25
Bill Smith , Cardinals , 1958 , 1 , 7.67 , 4.69 , 0.32 , 0 , 1 , 0.32 , 0.44 , -0.87
Larry Jackson , Cardinals , 1959 , 37 , 253.67 , 3.26 , 0.46 , 14 , 12 , 17.08 , 11.54 , -3.55
Ernie Broglio , Cardinals , 1959 , 25 , 153.66 , 4.33 , 0.37 , 7 , 9 , 9.36 , 9.67 , -1.69
Vinegar Bend Mizell , Cardinals , 1959 , 30 , 197.31 , 4.24 , 0.36 , 12 , 10 , 10.88 , 11.79 , 2.91
Lindy McDaniel , Cardinals , 1959 , 7 , 39.33 , 4.35 , 0.3 , 1 , 4 , 2.09 , 2.71 , -2.38
Gary Blaylock , Cardinals , 1959 , 12 , 71.0 , 4.44 , 0.31 , 3 , 4 , 3.75 , 4.99 , 0.24
Alex Kellner , Cardinals , 1959 , 4 , 18.67 , 3.37 , 0.31 , 1 , 1 , 1.23 , 1.35 , 0.12
Tom Cheney , Cardinals , 1959 , 2 , 2.0 , 18.0 , 0.0 , 0 , 0 , 0.0 , 1.03 , 1.03
Jim Brosnan , Cardinals , 1959 , 1 , 0.33 , 109.09 , 0.0 , 0 , 0 , 0.0 , 0.67 , 0.67
Dick Ricketts , Cardinals , 1959 , 9 , 51.66 , 5.57 , 0.25 , 1 , 6 , 2.26 , 3.96 , -3.3
Marshall Bridges , Cardinals , 1959 , 4 , 27.33 , 4.61 , 0.36 , 2 , 1 , 1.44 , 1.63 , 1.19
Bob Gibson , Cardinals , 1959 , 9 , 68.33 , 3.16 , 0.46 , 2 , 5 , 4.13 , 2.79 , -4.34
Dean Stone , Cardinals , 1959 , 1 , 7.0 , 6.43 , 0.18 , 0 , 1 , 0.18 , 0.64 , -0.54
Bob Miller , Cardinals , 1959 , 10 , 68.67 , 3.41 , 0.44 , 4 , 3 , 4.36 , 3.22 , -0.14
Tom Hughes , Cardinals , 1959 , 2 , 4.0 , 15.75 , 0.0 , 0 , 2 , 0.0 , 1.24 , -0.76
Bob Blaylock , Cardinals , 1959 , 1 , 5.0 , 5.4 , 0.25 , 0 , 0 , 0.25 , 0.36 , 0.11
Larry Jackson , Cardinals , 1960 , 38 , 265.35 , 3.49 , 0.47 , 18 , 11 , 18.02 , 12.02 , 1.0
Vinegar Bend Mizell , Cardinals , 1960 , 9 , 55.34 , 4.55 , 0.29 , 1 , 3 , 2.65 , 3.78 , -0.88
Ron Kline , Cardinals , 1960 , 17 , 83.66 , 5.92 , 0.26 , 3 , 7 , 4.44 , 7.75 , -0.68
Ernie Broglio , Cardinals , 1960 , 24 , 172.33 , 2.98 , 0.47 , 14 , 7 , 11.32 , 7.26 , 2.94
Bob Miller , Cardinals , 1960 , 7 , 37.0 , 4.14 , 0.24 , 3 , 3 , 1.69 , 2.48 , 0.79
Bob Gibson , Cardinals , 1960 , 12 , 67.65 , 5.19 , 0.27 , 2 , 6 , 3.19 , 5.1 , -2.09
Lindy McDaniel , Cardinals , 1960 , 2 , 12.0 , 9.0 , 0.12 , 0 , 2 , 0.25 , 1.48 , -0.76
Frank Barnes , Cardinals , 1960 , 1 , 3.0 , 0 , 0.0 , 0 , 1 , 0.0 , 0.02 , -0.98
Ray Sadecki , Cardinals , 1960 , 26 , 157.35 , 3.78 , 0.36 , 9 , 9 , 9.45 , 9.21 , -0.24
