Name, Team, Year, Games Started, IP, ERA, EWA, Record, Earned Record, Support/Luck
Bob Rush , Cubs , 1957 , 29 , 199.33 , 4.33 , 0.36 , 6 , 16 , 10.36 , 11.64 , -8.73
Moe Drabowsky , Cubs , 1957 , 33 , 234.67 , 3.53 , 0.47 , 13 , 15 , 15.62 , 11.07 , -6.55
Don Kaiser , Cubs , 1957 , 13 , 59.0 , 5.19 , 0.24 , 2 , 6 , 3.11 , 5.29 , -1.81
Dick Drott , Cubs , 1957 , 32 , 218.99 , 3.66 , 0.41 , 13 , 11 , 13.24 , 11.34 , 0.1
Elmer Singleton , Cubs , 1957 , 2 , 8.67 , 3.11 , 0.0 , 0 , 0 , 0.0 , 0.66 , 0.66
Tom Poholsky , Cubs , 1957 , 11 , 56.66 , 5.4 , 0.2 , 1 , 7 , 2.17 , 4.7 , -3.47
Jim Brosnan , Cubs , 1957 , 5 , 26.33 , 4.1 , 0.33 , 1 , 1 , 1.63 , 1.76 , 0.14
Dick Littlefield , Cubs , 1957 , 2 , 12.0 , 7.5 , 0.1 , 0 , 2 , 0.2 , 1.4 , -0.8
Dave Hillman , Cubs , 1957 , 14 , 63.01 , 6.0 , 0.25 , 2 , 8 , 3.52 , 6.17 , -3.36
Don Elston , Cubs , 1957 , 14 , 95.34 , 3.87 , 0.38 , 3 , 6 , 5.26 , 5.34 , -2.93
Ed Mayer , Cubs , 1957 , 1 , 5.0 , 9.0 , 0.1 , 0 , 0 , 0.1 , 0.62 , 0.51
Jim Brosnan , Cubs , 1958 , 8 , 51.67 , 3.14 , 0.46 , 3 , 4 , 3.65 , 2.28 , -2.37
Glen Hobbie , Cubs , 1958 , 16 , 90.33 , 4.68 , 0.3 , 4 , 5 , 4.84 , 6.06 , 0.22
Dick Drott , Cubs , 1958 , 31 , 158.99 , 5.72 , 0.24 , 7 , 11 , 7.42 , 13.88 , 2.46
Taylor Phillips , Cubs , 1958 , 27 , 153.32 , 4.99 , 0.31 , 6 , 10 , 8.49 , 11.35 , -1.14
Gene Fodge , Cubs , 1958 , 4 , 17.66 , 4.08 , 0.2 , 1 , 1 , 0.8 , 1.41 , 0.62
Moe Drabowsky , Cubs , 1958 , 20 , 122.98 , 4.54 , 0.3 , 8 , 10 , 6.07 , 8.68 , 0.61
John Briggs , Cubs , 1958 , 17 , 91.32 , 4.43 , 0.31 , 5 , 5 , 5.23 , 6.61 , 1.37
Dick Ellsworth , Cubs , 1958 , 1 , 2.33 , 15.45 , 0.0 , 0 , 1 , 0.0 , 0.59 , -0.41
Dave Hillman , Cubs , 1958 , 16 , 104.68 , 2.92 , 0.41 , 4 , 7 , 6.58 , 4.4 , -5.19
Marcelino Solis , Cubs , 1958 , 4 , 19.33 , 6.98 , 0.03 , 0 , 2 , 0.13 , 2.12 , -0.01
Bob Anderson , Cubs , 1958 , 8 , 47.67 , 4.91 , 0.3 , 3 , 3 , 2.42 , 3.47 , 1.06
John Buzhardt , Cubs , 1958 , 2 , 17.33 , 1.56 , 0.72 , 2 , 0 , 1.43 , 0.28 , 0.85
Bob Anderson , Cubs , 1959 , 36 , 234.33 , 4.15 , 0.36 , 12 , 13 , 13.07 , 13.5 , -0.57
Taylor Phillips , Cubs , 1959 , 2 , 10.67 , 5.9 , 0.13 , 0 , 2 , 0.25 , 1.01 , -1.24
Dave Hillman , Cubs , 1959 , 24 , 157.32 , 3.72 , 0.35 , 5 , 10 , 8.52 , 8.71 , -4.8
Moe Drabowsky , Cubs , 1959 , 23 , 127.66 , 4.51 , 0.3 , 5 , 10 , 6.82 , 8.33 , -3.48
Glen Hobbie , Cubs , 1959 , 33 , 212.68 , 3.81 , 0.43 , 16 , 12 , 14.15 , 11.51 , 1.36
Dick Drott , Cubs , 1959 , 6 , 23.0 , 4.7 , 0.16 , 1 , 2 , 0.96 , 2.19 , 0.23
Joe Schaffernoth , Cubs , 1959 , 1 , 0.0 , 99 , 0.0 , 0 , 0 , 0.0 , 0.74 , 0.74
John Buzhardt , Cubs , 1959 , 10 , 56.33 , 4.95 , 0.31 , 3 , 3 , 3.06 , 4.04 , 0.97
Seth Morehead , Cubs , 1959 , 2 , 4.33 , 16.63 , 0.0 , 0 , 1 , 0.0 , 1.47 , 0.47
Elmer Singleton , Cubs , 1959 , 1 , 7.33 , 0 , 0.73 , 1 , 0 , 0.73 , 0.04 , 0.3
Art Ceccarelli , Cubs , 1959 , 15 , 99.66 , 4.7 , 0.34 , 5 , 5 , 5.11 , 6.65 , 1.55
Ben Johnson , Cubs , 1959 , 2 , 10.0 , 2.7 , 0.18 , 0 , 0 , 0.35 , 0.53 , 0.18
Bob Anderson , Cubs , 1960 , 30 , 188.65 , 3.91 , 0.38 , 9 , 10 , 11.38 , 10.76 , -1.62
Glen Hobbie , Cubs , 1960 , 36 , 233.66 , 3.7 , 0.41 , 14 , 17 , 14.89 , 12.67 , -5.22
Seth Morehead , Cubs , 1960 , 7 , 39.66 , 6.35 , 0.14 , 0 , 5 , 0.95 , 3.9 , -2.05
Dick Drott , Cubs , 1960 , 9 , 33.32 , 7.83 , 0.12 , 0 , 6 , 1.04 , 4.22 , -2.82
Art Ceccarelli , Cubs , 1960 , 1 , 4.0 , 9.0 , 0.0 , 0 , 0 , 0.0 , 0.6 , 0.6
Dick Ellsworth , Cubs , 1960 , 27 , 170.33 , 3.65 , 0.38 , 7 , 13 , 10.3 , 9.37 , -6.93
Don Cardwell , Cubs , 1960 , 26 , 168.01 , 4.45 , 0.35 , 8 , 12 , 9.21 , 10.47 , -2.74
Mark Freeman , Cubs , 1960 , 8 , 41.67 , 6.7 , 0.19 , 2 , 1 , 1.53 , 3.84 , 3.3
Moe Drabowsky , Cubs , 1960 , 7 , 19.66 , 9.16 , 0.13 , 1 , 1 , 0.94 , 3.6 , 2.65
Jim Brewer , Cubs , 1960 , 4 , 20.67 , 4.79 , 0.25 , 0 , 3 , 1.0 , 1.67 , -2.33
Dick Burwell , Cubs , 1960 , 1 , 5.0 , 10.8 , 0.08 , 0 , 0 , 0.08 , 0.7 , 0.62
Glen Hobbie , Cubs , 1961 , 29 , 188.99 , 4.43 , 0.37 , 6 , 13 , 10.65 , 12.09 , -5.56
Dick Ellsworth , Cubs , 1961 , 31 , 176.32 , 4.03 , 0.35 , 9 , 11 , 10.76 , 10.71 , -2.05
Bob Anderson , Cubs , 1961 , 12 , 68.33 , 5.4 , 0.3 , 3 , 7 , 3.61 , 5.3 , -2.31
Don Cardwell , Cubs , 1961 , 38 , 258.66 , 3.79 , 0.41 , 15 , 13 , 15.4 , 13.29 , -0.11
