Name, Team, Year, Games Started, IP, ERA, EWA, Record, Earned Record, Support/Luck
Andy Benes , Diamondbacks , 1998 , 34 , 231.34 , 3.97 , 0.39 , 14 , 13 , 13.15 , 12.7 , 0.55
Willie Blair , Diamondbacks , 1998 , 23 , 146.67 , 5.34 , 0.26 , 4 , 15 , 6.09 , 10.78 , -6.31
Brian Anderson , Diamondbacks , 1998 , 32 , 207.99 , 4.33 , 0.36 , 12 , 13 , 11.39 , 12.37 , -0.02
Jeff Suppan , Diamondbacks , 1998 , 13 , 65.99 , 6.68 , 0.23 , 1 , 7 , 2.93 , 6.31 , -2.62
Joel Adamson , Diamondbacks , 1998 , 5 , 23.0 , 8.22 , 0.08 , 0 , 3 , 0.42 , 2.78 , -0.64
Omar Daal , Diamondbacks , 1998 , 23 , 152.0 , 2.96 , 0.45 , 8 , 11 , 10.35 , 6.29 , -7.06
Bob Wolcott , Diamondbacks , 1998 , 6 , 33.0 , 7.09 , 0.22 , 1 , 3 , 1.31 , 3.22 , -0.09
Amaury Telemaco , Diamondbacks , 1998 , 18 , 104.34 , 4.31 , 0.31 , 5 , 9 , 5.6 , 6.32 , -3.27
Clint Sodowsky , Diamondbacks , 1998 , 6 , 28.67 , 5.65 , 0.18 , 1 , 2 , 1.06 , 2.56 , 0.49
Bobby Chouinard , Diamondbacks , 1998 , 2 , 6.0 , 6.0 , 0.0 , 0 , 0 , 0.0 , 0.78 , 0.78
Randy Johnson , Diamondbacks , 1999 , 35 , 271.67 , 2.48 , 0.56 , 17 , 9 , 19.65 , 9.06 , -2.59
Todd Stottlemyre , Diamondbacks , 1999 , 17 , 101.34 , 4.09 , 0.3 , 6 , 3 , 5.04 , 6.08 , 4.05
Andy Benes , Diamondbacks , 1999 , 32 , 196.35 , 4.81 , 0.29 , 13 , 12 , 9.39 , 12.99 , 4.6
Omar Daal , Diamondbacks , 1999 , 32 , 214.67 , 3.65 , 0.41 , 16 , 9 , 13.05 , 10.65 , 4.59
Armando Reynoso , Diamondbacks , 1999 , 27 , 161.0 , 4.3 , 0.35 , 10 , 6 , 9.41 , 9.64 , 4.23
Brian Anderson , Diamondbacks , 1999 , 19 , 111.66 , 4.27 , 0.35 , 7 , 1 , 6.64 , 6.75 , 6.11
Randy Johnson , Diamondbacks , 2000 , 35 , 248.68 , 2.64 , 0.52 , 19 , 7 , 18.08 , 8.8 , 2.72
Todd Stottlemyre , Diamondbacks , 2000 , 18 , 95.34 , 4.91 , 0.29 , 9 , 6 , 5.18 , 6.68 , 4.5
Omar Daal , Diamondbacks , 2000 , 16 , 88.33 , 6.72 , 0.22 , 2 , 9 , 3.5 , 8.23 , -2.27
Armando Reynoso , Diamondbacks , 2000 , 30 , 169.66 , 5.2 , 0.34 , 11 , 12 , 10.16 , 11.94 , 0.78
Brian Anderson , Diamondbacks , 2000 , 32 , 209.33 , 4.08 , 0.39 , 11 , 7 , 12.41 , 11.52 , 3.11
Nelson Figueroa , Diamondbacks , 2000 , 3 , 15.66 , 7.47 , 0.15 , 0 , 1 , 0.44 , 1.65 , 0.21
Mike Morgan , Diamondbacks , 2000 , 4 , 19.34 , 6.05 , 0.09 , 0 , 2 , 0.35 , 1.89 , -0.46
Geraldo Guzman , Diamondbacks , 2000 , 10 , 57.01 , 5.05 , 0.28 , 5 , 3 , 2.76 , 4.35 , 3.59
