Name, Team, Year, Games Started, IP, ERA, EWA, Record, Earned Record, Support/Luck
Johnny Antonelli , Giants , 1957 , 30 , 195.66 , 3.91 , 0.39 , 9 , 17 , 11.79 , 10.92 , -8.87
Ruben Gomez , Giants , 1957 , 36 , 232.65 , 3.79 , 0.41 , 15 , 13 , 14.82 , 12.81 , -0.01
Al Worthington , Giants , 1957 , 12 , 60.33 , 6.12 , 0.18 , 1 , 6 , 2.2 , 5.59 , -1.61
Curt Barclay , Giants , 1957 , 28 , 151.99 , 3.67 , 0.29 , 7 , 9 , 8.24 , 9.29 , -0.95
Pete Burnside , Giants , 1957 , 9 , 27.66 , 8.79 , 0.15 , 1 , 3 , 1.32 , 4.88 , 1.56
Joe Margoneri , Giants , 1957 , 2 , 15.0 , 2.4 , 0.59 , 1 , 0 , 1.19 , 0.37 , 0.18
Stu Miller , Giants , 1957 , 13 , 75.66 , 3.93 , 0.31 , 1 , 6 , 4.05 , 4.71 , -4.33
Ray Crone , Giants , 1957 , 17 , 95.34 , 4.63 , 0.25 , 3 , 8 , 4.19 , 7.29 , -1.89
Ramon Monzant , Giants , 1957 , 2 , 8.33 , 2.16 , 0.3 , 0 , 2 , 0.59 , 0.44 , -2.16
Mike McCormick , Giants , 1957 , 5 , 27.33 , 5.27 , 0.22 , 1 , 1 , 1.12 , 2.44 , 1.32
Ruben Gomez , Giants , 1958 , 30 , 182.0 , 4.7 , 0.37 , 10 , 10 , 10.98 , 11.55 , 0.57
Ramon Monzant , Giants , 1958 , 16 , 89.35 , 4.63 , 0.25 , 5 , 6 , 4.07 , 6.53 , 1.46
Johnny Antonelli , Giants , 1958 , 34 , 228.67 , 3.35 , 0.46 , 15 , 12 , 15.52 , 10.8 , -1.72
Al Worthington , Giants , 1958 , 12 , 68.99 , 3.65 , 0.36 , 3 , 4 , 4.31 , 4.19 , -1.12
Pete Burnside , Giants , 1958 , 1 , 2.0 , 9.0 , 0.0 , 0 , 0 , 0.0 , 0.43 , 0.43
Mike McCormick , Giants , 1958 , 28 , 161.02 , 4.3 , 0.37 , 9 , 8 , 10.39 , 10.1 , 0.71
Ray Crone , Giants , 1958 , 1 , 5.0 , 5.4 , 0.25 , 0 , 0 , 0.25 , 0.36 , 0.11
Curt Barclay , Giants , 1958 , 1 , 4.67 , 7.71 , 0.0 , 0 , 0 , 0.0 , 0.6 , 0.6
Stu Miller , Giants , 1958 , 20 , 137.66 , 3.01 , 0.47 , 6 , 7 , 9.47 , 5.49 , -4.98
Paul Giel , Giants , 1958 , 9 , 51.34 , 4.73 , 0.31 , 2 , 5 , 2.81 , 3.68 , -2.13
Gordon Jones , Giants , 1958 , 1 , 5.0 , 5.4 , 0.25 , 1 , 0 , 0.25 , 0.36 , 1.11
John Fitzgerald , Giants , 1958 , 1 , 3.0 , 3.0 , 0.0 , 0 , 0 , 0.0 , 0.22 , 0.22
Johnny Antonelli , Giants , 1959 , 38 , 279.67 , 3.12 , 0.49 , 19 , 10 , 18.71 , 11.52 , 1.81
Sam Jones , Giants , 1959 , 35 , 249.34 , 2.85 , 0.5 , 17 , 13 , 17.56 , 9.61 , -3.95
Mike McCormick , Giants , 1959 , 31 , 200.32 , 3.68 , 0.41 , 10 , 14 , 12.62 , 10.56 , -6.06
Jack Sanford , Giants , 1959 , 31 , 214.99 , 3.18 , 0.44 , 15 , 11 , 13.68 , 9.71 , 0.03
Stu Miller , Giants , 1959 , 9 , 58.67 , 3.37 , 0.3 , 1 , 3 , 2.67 , 2.99 , -1.67
Joe Shipley , Giants , 1959 , 1 , 2.67 , 6.74 , 0.0 , 0 , 0 , 0.0 , 0.46 , 0.46
Al Worthington , Giants , 1959 , 3 , 16.67 , 2.7 , 0.3 , 1 , 1 , 0.91 , 0.75 , -0.16
Eddie Fisher , Giants , 1959 , 5 , 23.33 , 6.56 , 0.19 , 2 , 2 , 0.93 , 2.46 , 1.53
