Name, Team, Year, Games Started, IP, ERA, EWA, Record, Earned Record, Support/Luck
Diego Segui , Mariners , 1977 , 7 , 26.67 , 7.76 , 0.1 , 0 , 4 , 0.72 , 3.71 , -1.01
Enrique Romo , Mariners , 1977 , 3 , 15.67 , 1.72 , 0.35 , 0 , 1 , 1.05 , 0.5 , -1.55
Stan Thomas , Mariners , 1977 , 9 , 50.67 , 5.68 , 0.2 , 1 , 5 , 1.83 , 4.54 , -1.3
Gary Wheelock , Mariners , 1977 , 17 , 88.33 , 4.89 , 0.32 , 6 , 9 , 5.41 , 6.31 , -2.1
Glenn Abbott , Mariners , 1977 , 34 , 200.65 , 4.4 , 0.35 , 12 , 13 , 11.86 , 12.54 , -0.32
John Montague , Mariners , 1977 , 15 , 79.33 , 5.56 , 0.26 , 4 , 8 , 3.97 , 6.06 , -1.9
Frank MacCormack , Mariners , 1977 , 3 , 7.0 , 3.86 , 0.0 , 0 , 0 , 0.0 , 0.65 , 0.65
Tommy Moore , Mariners , 1977 , 1 , 6.0 , 6.0 , 0.19 , 0 , 1 , 0.19 , 0.5 , -0.69
Rick Jones , Mariners , 1977 , 10 , 42.34 , 5.1 , 0.24 , 1 , 4 , 2.37 , 3.87 , -1.51
Dick Pole , Mariners , 1977 , 24 , 121.33 , 5.12 , 0.27 , 7 , 12 , 6.37 , 9.88 , -1.49
Dave Pagan , Mariners , 1977 , 4 , 22.33 , 4.03 , 0.37 , 1 , 0 , 1.49 , 1.36 , 0.87
Tom House , Mariners , 1977 , 11 , 59.65 , 3.77 , 0.32 , 4 , 4 , 3.56 , 3.28 , -0.28
Bob Galasso , Mariners , 1977 , 7 , 27.68 , 9.75 , 0.08 , 0 , 5 , 0.55 , 4.3 , -1.26
Paul Mitchell , Mariners , 1977 , 9 , 39.67 , 4.99 , 0.24 , 3 , 3 , 2.19 , 3.67 , 1.49
Rick Honeycutt , Mariners , 1977 , 3 , 15.33 , 7.05 , 0.17 , 0 , 1 , 0.51 , 1.64 , 0.12
Mike Kekich , Mariners , 1977 , 2 , 8.66 , 8.31 , 0.05 , 0 , 2 , 0.1 , 1.09 , -1.01
Doc Medich , Mariners , 1977 , 3 , 22.34 , 3.63 , 0.46 , 2 , 0 , 1.38 , 1.04 , 1.66
Glenn Abbott , Mariners , 1978 , 28 , 152.65 , 5.19 , 0.28 , 7 , 15 , 7.89 , 12.1 , -3.79
Dick Pole , Mariners , 1978 , 18 , 95.01 , 6.16 , 0.17 , 4 , 10 , 3.14 , 9.17 , 0.03
Rick Honeycutt , Mariners , 1978 , 24 , 130.33 , 4.9 , 0.31 , 5 , 11 , 7.48 , 9.8 , -3.68
Paul Mitchell , Mariners , 1978 , 29 , 168.01 , 4.18 , 0.31 , 8 , 14 , 9.0 , 10.6 , -4.39
Tom House , Mariners , 1978 , 9 , 49.0 , 4.59 , 0.29 , 3 , 4 , 2.57 , 3.44 , -0.13
Jim Todd , Mariners , 1978 , 2 , 7.66 , 4.7 , 0.2 , 0 , 1 , 0.4 , 0.77 , -0.62
Mike Parrott , Mariners , 1978 , 10 , 40.01 , 6.52 , 0.17 , 1 , 4 , 1.66 , 4.42 , -0.24
Byron McLaughlin , Mariners , 1978 , 17 , 102.68 , 4.29 , 0.35 , 4 , 8 , 5.9 , 6.3 , -3.6
