Name, Team, Year, Games Started, IP, ERA, EWA, Record, Earned Record, Support/Luck
Roger Craig , Mets , 1962 , 33 , 222.99 , 4.68 , 0.36 , 6 , 22 , 11.91 , 13.72 , -14.19
Sherman Jones , Mets , 1962 , 3 , 13.0 , 9.0 , 0.12 , 0 , 3 , 0.35 , 1.76 , -1.6
Al Jackson , Mets , 1962 , 33 , 228.64 , 4.45 , 0.36 , 8 , 20 , 11.94 , 14.18 , -9.76
Jay Hook , Mets , 1962 , 34 , 209.33 , 4.94 , 0.35 , 7 , 19 , 11.92 , 15.03 , -8.9
Bob Miller , Mets , 1962 , 21 , 117.99 , 5.03 , 0.3 , 1 , 11 , 6.26 , 8.82 , -7.44
Craig Anderson , Mets , 1962 , 14 , 65.98 , 7.64 , 0.17 , 0 , 11 , 2.43 , 7.92 , -5.51
Bob Moorhead , Mets , 1962 , 7 , 36.67 , 4.91 , 0.27 , 0 , 1 , 1.87 , 2.65 , -0.22
Vinegar Bend Mizell , Mets , 1962 , 2 , 8.67 , 7.27 , 0.14 , 0 , 0 , 0.29 , 1.01 , 0.72
Dave Hillman , Mets , 1962 , 1 , 2.67 , 6.74 , 0.0 , 0 , 0 , 0.0 , 0.46 , 0.46
Ray Daviault , Mets , 1962 , 3 , 11.66 , 8.49 , 0.16 , 0 , 2 , 0.47 , 1.5 , -0.98
Willard Hunter , Mets , 1962 , 6 , 25.67 , 8.06 , 0.1 , 0 , 6 , 0.61 , 3.19 , -3.42
Ken Mackenzie , Mets , 1962 , 1 , 1.67 , 16.17 , 0.0 , 0 , 1 , 0.0 , 0.58 , -0.42
Larry Foss , Mets , 1962 , 1 , 5.0 , 10.8 , 0.08 , 0 , 1 , 0.08 , 0.7 , -0.38
Galen Cisco , Mets , 1962 , 2 , 15.0 , 2.4 , 0.59 , 1 , 1 , 1.18 , 0.41 , -0.77
Roger Craig , Mets , 1963 , 31 , 215.99 , 3.63 , 0.46 , 5 , 21 , 14.39 , 10.89 , -19.5
Al Jackson , Mets , 1963 , 34 , 223.34 , 3.95 , 0.4 , 13 , 17 , 13.77 , 12.17 , -5.6
Jay Hook , Mets , 1963 , 20 , 114.36 , 5.9 , 0.27 , 3 , 14 , 5.48 , 9.55 , -6.93
Galen Cisco , Mets , 1963 , 17 , 94.67 , 5.13 , 0.25 , 2 , 12 , 4.19 , 7.53 , -6.65
Carl Willey , Mets , 1963 , 28 , 180.02 , 3.15 , 0.46 , 9 , 14 , 12.94 , 8.52 , -9.42
Don Rowe , Mets , 1963 , 1 , 4.67 , 5.78 , 0.0 , 0 , 0 , 0.0 , 0.5 , 0.5
Tracy Stallard , Mets , 1963 , 23 , 139.0 , 4.47 , 0.38 , 6 , 14 , 8.8 , 8.64 , -8.15
Larry Bearnarth , Mets , 1963 , 2 , 10.0 , 9.9 , 0.13 , 0 , 1 , 0.25 , 1.35 , 0.1
Grover Powell , Mets , 1963 , 4 , 21.0 , 0.86 , 0.39 , 1 , 1 , 1.56 , 0.59 , -0.97
Craig Anderson , Mets , 1963 , 2 , 8.67 , 5.19 , 0.05 , 0 , 2 , 0.1 , 0.72 , -1.38
Al Jackson , Mets , 1964 , 31 , 196.67 , 4.35 , 0.37 , 9 , 16 , 11.49 , 12.48 , -6.01
Tracy Stallard , Mets , 1964 , 34 , 224.64 , 3.69 , 0.38 , 10 , 19 , 13.02 , 11.8 , -10.21
Jack Fisher , Mets , 1964 , 34 , 221.67 , 4.18 , 0.38 , 10 , 15 , 12.87 , 12.72 , -5.15
Larry Bearnarth , Mets , 1964 , 1 , 4.33 , 14.55 , 0.0 , 0 , 1 , 0.0 , 0.83 , -0.17
Jay Hook , Mets , 1964 , 2 , 9.0 , 6.0 , 0.15 , 0 , 1 , 0.29 , 0.82 , -0.47
Galen Cisco , Mets , 1964 , 25 , 161.33 , 3.96 , 0.38 , 6 , 16 , 9.55 , 8.94 , -10.61
Bill Wakefield , Mets , 1964 , 4 , 14.67 , 9.82 , 0.07 , 0 , 3 , 0.29 , 2.33 , -0.96
Jerry Hinsley , Mets , 1964 , 2 , 5.67 , 9.52 , 0.0 , 0 , 1 , 0.0 , 1.04 , 0.04
Ron Locke , Mets , 1964 , 3 , 16.67 , 4.86 , 0.28 , 1 , 2 , 0.85 , 1.16 , -0.69
Craig Anderson , Mets , 1964 , 1 , 7.0 , 3.86 , 0.34 , 0 , 1 , 0.34 , 0.37 , -0.97
Frank Lary , Mets , 1964 , 8 , 49.33 , 5.11 , 0.36 , 2 , 3 , 2.86 , 3.5 , -0.36
Carl Willey , Mets , 1964 , 3 , 13.67 , 1.98 , 0.31 , 0 , 2 , 0.94 , 0.57 , -2.36
Darrell Sutherland , Mets , 1964 , 4 , 13.66 , 9.22 , 0.16 , 0 , 3 , 0.64 , 2.05 , -1.59
Dennis Ribant , Mets , 1964 , 7 , 47.0 , 5.55 , 0.28 , 1 , 4 , 1.99 , 3.48 , -1.51
Gary Kroll , Mets , 1964 , 2 , 8.0 , 7.88 , 0.14 , 0 , 1 , 0.29 , 0.95 , -0.34
Tom Parsons , Mets , 1964 , 2 , 12.0 , 6.0 , 0.32 , 0 , 2 , 0.64 , 0.99 , -1.65
Al Jackson , Mets , 1965 , 31 , 194.32 , 4.45 , 0.37 , 8 , 20 , 11.33 , 12.63 , -10.7
Warren Spahn , Mets , 1965 , 19 , 125.0 , 4.32 , 0.37 , 4 , 12 , 7.01 , 7.55 , -7.46
Jack Fisher , Mets , 1965 , 36 , 242.98 , 4.0 , 0.36 , 8 , 22 , 13.1 , 14.11 , -12.99
Tom Parsons , Mets , 1965 , 11 , 59.01 , 4.27 , 0.26 , 1 , 7 , 2.83 , 4.16 , -4.67
Gary Kroll , Mets , 1965 , 11 , 46.33 , 6.22 , 0.2 , 2 , 5 , 2.25 , 4.73 , -0.52
Carl Willey , Mets , 1965 , 3 , 15.67 , 4.59 , 0.39 , 1 , 2 , 1.18 , 1.13 , -1.05
Frank Lary , Mets , 1965 , 7 , 44.34 , 3.65 , 0.35 , 1 , 3 , 2.46 , 2.4 , -2.05
Galen Cisco , Mets , 1965 , 17 , 83.68 , 3.76 , 0.28 , 4 , 8 , 4.69 , 5.91 , -2.78
Larry Bearnarth , Mets , 1965 , 3 , 14.0 , 4.5 , 0.2 , 0 , 2 , 0.6 , 0.98 , -1.63
Larry Miller , Mets , 1965 , 5 , 18.33 , 6.87 , 0.2 , 0 , 4 , 0.99 , 2.28 , -2.71
Tug McGraw , Mets , 1965 , 9 , 56.01 , 3.54 , 0.4 , 2 , 6 , 3.59 , 3.04 , -4.54
Dennis Musgraves , Mets , 1965 , 1 , 7.0 , 1.29 , 0.59 , 0 , 0 , 0.59 , 0.11 , -0.48
Darrell Sutherland , Mets , 1965 , 2 , 13.0 , 4.15 , 0.32 , 0 , 1 , 0.63 , 0.73 , -0.9
Rob Gardner , Mets , 1965 , 4 , 27.0 , 3.33 , 0.19 , 0 , 2 , 0.76 , 1.42 , -1.34
Dick Selma , Mets , 1965 , 4 , 26.67 , 3.71 , 0.22 , 2 , 1 , 0.87 , 1.49 , 1.62
Dennis Ribant , Mets , 1965 , 1 , 11.0 , 0 , 0.37 , 0 , 0 , 0.37 , 0.03 , -0.34
Jack Fisher , Mets , 1966 , 33 , 218.33 , 3.83 , 0.41 , 10 , 14 , 13.63 , 11.62 , -6.01
Jack Hamilton , Mets , 1966 , 13 , 74.65 , 3.86 , 0.37 , 4 , 7 , 4.81 , 4.32 , -3.49
Dick Selma , Mets , 1966 , 7 , 31.67 , 4.55 , 0.12 , 0 , 4 , 0.84 , 2.51 , -2.33
Rob Gardner , Mets , 1966 , 17 , 99.67 , 4.97 , 0.27 , 3 , 7 , 4.63 , 7.47 , -1.16
Tug McGraw , Mets , 1966 , 12 , 60.32 , 5.52 , 0.2 , 2 , 9 , 2.45 , 5.21 , -4.25
Dennis Ribant , Mets , 1966 , 26 , 164.67 , 3.5 , 0.46 , 11 , 9 , 11.87 , 7.71 , -2.16
Larry Bearnarth , Mets , 1966 , 1 , 2.33 , 15.45 , 0.0 , 0 , 1 , 0.0 , 0.59 , -0.41
Gordie Richardson , Mets , 1966 , 1 , 1.33 , 20.3 , 0.0 , 0 , 1 , 0.0 , 0.57 , -0.43
Gerry Arrigo , Mets , 1966 , 5 , 27.66 , 3.25 , 0.39 , 1 , 3 , 1.96 , 1.23 , -2.74
Dick Rusteck , Mets , 1966 , 3 , 14.0 , 3.86 , 0.32 , 1 , 2 , 0.96 , 1.08 , -0.88
Bob Shaw , Mets , 1966 , 25 , 167.34 , 3.76 , 0.41 , 11 , 9 , 10.36 , 8.46 , 0.09
Bob Friend , Mets , 1966 , 12 , 66.65 , 4.46 , 0.33 , 4 , 4 , 3.98 , 4.57 , 0.59
Bill Hepler , Mets , 1966 , 3 , 17.34 , 3.63 , 0.29 , 0 , 2 , 0.88 , 0.96 , -1.92
Ralph Terry , Mets , 1966 , 1 , 5.33 , 6.75 , 0.17 , 0 , 0 , 0.17 , 0.5 , 0.32
Larry Miller , Mets , 1966 , 1 , 5.0 , 7.2 , 0.17 , 0 , 1 , 0.17 , 0.5 , -0.68
Nolan Ryan , Mets , 1966 , 1 , 1.0 , 36.0 , 0.0 , 0 , 1 , 0.0 , 0.73 , -0.27
Don Cardwell , Mets , 1967 , 16 , 96.67 , 3.82 , 0.37 , 4 , 9 , 5.85 , 5.71 , -5.14
Tom Seaver , Mets , 1967 , 34 , 249.66 , 2.74 , 0.53 , 16 , 12 , 18.09 , 8.65 , -5.44
Jack Fisher , Mets , 1967 , 30 , 205.67 , 4.81 , 0.32 , 8 , 17 , 9.62 , 13.17 , -5.45
Bob Shaw , Mets , 1967 , 13 , 76.33 , 4.48 , 0.32 , 2 , 8 , 4.14 , 4.93 , -5.21
Bill Denehy , Mets , 1967 , 8 , 38.67 , 5.82 , 0.19 , 1 , 7 , 1.51 , 3.59 , -3.92
Jack Hamilton , Mets , 1967 , 1 , 3.0 , 12.0 , 0.0 , 0 , 0 , 0.0 , 0.62 , 0.62
Chuck Estrada , Mets , 1967 , 2 , 6.34 , 12.78 , 0.06 , 0 , 2 , 0.13 , 1.34 , -0.79
Jack Lamabe , Mets , 1967 , 2 , 8.33 , 5.4 , 0.17 , 0 , 2 , 0.34 , 0.91 , -1.43
Dick Selma , Mets , 1967 , 4 , 17.0 , 5.82 , 0.16 , 0 , 1 , 0.65 , 1.65 , 0.0
Nick Willhite , Mets , 1967 , 1 , 2.0 , 22.5 , 0.0 , 0 , 1 , 0.0 , 0.75 , -0.25
Bob Hendley , Mets , 1967 , 13 , 68.69 , 3.54 , 0.32 , 3 , 3 , 4.17 , 3.89 , -0.27
Dennis Bennett , Mets , 1967 , 6 , 24.32 , 5.18 , 0.16 , 1 , 1 , 0.95 , 2.54 , 1.59
Danny Frisella , Mets , 1967 , 11 , 66.0 , 3.82 , 0.37 , 1 , 6 , 4.12 , 3.73 , -5.39
Cal Koonce , Mets , 1967 , 6 , 39.34 , 2.97 , 0.48 , 3 , 3 , 2.88 , 1.61 , -1.27
Billy Wynne , Mets , 1967 , 1 , 1.33 , 20.3 , 0.0 , 0 , 0 , 0.0 , 0.57 , 0.57
Bill Connors , Mets , 1967 , 1 , 4.0 , 9.0 , 0.0 , 0 , 0 , 0.0 , 0.6 , 0.6
Bill Graham , Mets , 1967 , 3 , 23.0 , 1.96 , 0.61 , 1 , 2 , 1.83 , 0.54 , -2.29
Tug McGraw , Mets , 1967 , 4 , 17.33 , 7.79 , 0.09 , 0 , 3 , 0.36 , 2.12 , -1.24
Jerry Koosman , Mets , 1967 , 3 , 11.0 , 8.18 , 0.15 , 0 , 2 , 0.46 , 1.49 , -0.97
Les Rohr , Mets , 1967 , 3 , 17.0 , 2.12 , 0.39 , 2 , 1 , 1.16 , 0.67 , 0.51
Tom Seaver , Mets , 1968 , 35 , 277.0 , 2.21 , 0.53 , 16 , 12 , 18.39 , 7.81 , -6.58
Jerry Koosman , Mets , 1968 , 34 , 263.68 , 2.08 , 0.59 , 19 , 12 , 20.06 , 7.42 , -5.64
Don Cardwell , Mets , 1968 , 25 , 166.67 , 3.02 , 0.45 , 7 , 13 , 11.16 , 7.39 , -9.77
Nolan Ryan , Mets , 1968 , 18 , 125.66 , 3.01 , 0.5 , 6 , 9 , 8.92 , 4.72 , -7.21
Al Jackson , Mets , 1968 , 9 , 57.0 , 4.42 , 0.3 , 2 , 6 , 2.72 , 3.58 , -3.14
Les Rohr , Mets , 1968 , 1 , 3.67 , 4.9 , 0.0 , 0 , 1 , 0.0 , 0.4 , -0.6
Dick Selma , Mets , 1968 , 23 , 156.32 , 2.94 , 0.47 , 9 , 10 , 10.87 , 6.76 , -5.11
Danny Frisella , Mets , 1968 , 4 , 22.33 , 5.24 , 0.27 , 2 , 2 , 1.08 , 1.81 , 0.73
Jim McAndrew , Mets , 1968 , 12 , 79.0 , 2.28 , 0.46 , 4 , 7 , 5.51 , 2.65 , -5.86
Cal Koonce , Mets , 1968 , 2 , 8.66 , 3.12 , 0.33 , 1 , 0 , 0.66 , 0.6 , 0.93
Tom Seaver , Mets , 1969 , 35 , 273.0 , 2.21 , 0.62 , 25 , 7 , 21.56 , 7.83 , 4.28
Jim McAndrew , Mets , 1969 , 21 , 127.01 , 3.19 , 0.42 , 6 , 7 , 8.78 , 6.33 , -3.44
Gary Gentry , Mets , 1969 , 35 , 233.66 , 3.43 , 0.42 , 13 , 12 , 14.53 , 11.66 , -1.87
Jerry Koosman , Mets , 1969 , 32 , 240.99 , 2.28 , 0.59 , 17 , 9 , 18.75 , 6.87 , -3.88
Don Cardwell , Mets , 1969 , 21 , 129.32 , 2.85 , 0.44 , 7 , 9 , 9.3 , 5.82 , -5.48
Nolan Ryan , Mets , 1969 , 10 , 56.66 , 3.65 , 0.37 , 3 , 3 , 3.73 , 3.0 , -0.73
Tug McGraw , Mets , 1969 , 4 , 20.67 , 5.22 , 0.24 , 1 , 1 , 0.97 , 1.66 , 0.7
Jack Dilauro , Mets , 1969 , 4 , 25.67 , 3.16 , 0.41 , 0 , 3 , 1.65 , 1.2 , -3.45
Tom Seaver , Mets , 1970 , 36 , 290.33 , 2.82 , 0.56 , 18 , 12 , 20.27 , 9.99 , -4.28
Jerry Koosman , Mets , 1970 , 29 , 207.99 , 3.2 , 0.45 , 12 , 7 , 13.06 , 9.11 , 1.05
Jim McAndrew , Mets , 1970 , 27 , 174.33 , 3.61 , 0.44 , 10 , 13 , 11.95 , 9.25 , -5.7
Gary Gentry , Mets , 1970 , 29 , 184.0 , 3.62 , 0.39 , 9 , 8 , 11.29 , 9.78 , -0.52
Nolan Ryan , Mets , 1970 , 19 , 123.33 , 3.43 , 0.43 , 6 , 10 , 8.16 , 6.16 , -6.0
Ray Sadecki , Mets , 1970 , 19 , 128.68 , 3.64 , 0.39 , 8 , 4 , 7.48 , 6.5 , 3.02
Don Cardwell , Mets , 1970 , 1 , 4.33 , 6.24 , 0.0 , 0 , 1 , 0.0 , 0.5 , -0.5
Rich Folkers , Mets , 1970 , 1 , 5.67 , 9.52 , 0.07 , 0 , 1 , 0.07 , 0.73 , -0.34
Danny Frisella , Mets , 1970 , 1 , 7.67 , 2.35 , 0.56 , 1 , 0 , 0.56 , 0.17 , 0.61
Tom Seaver , Mets , 1971 , 35 , 285.67 , 1.7 , 0.66 , 20 , 9 , 23.15 , 5.94 , -6.22
Gary Gentry , Mets , 1971 , 31 , 197.34 , 3.28 , 0.43 , 12 , 11 , 13.2 , 9.52 , -2.68
Jerry Koosman , Mets , 1971 , 24 , 160.32 , 3.09 , 0.39 , 6 , 11 , 9.32 , 7.44 , -6.89
Jim McAndrew , Mets , 1971 , 10 , 52.33 , 5.16 , 0.26 , 2 , 4 , 2.6 , 4.16 , -0.44
Ray Sadecki , Mets , 1971 , 20 , 141.0 , 3.0 , 0.48 , 6 , 7 , 9.53 , 5.75 , -4.78
