Name, Team, Year, Games Started, IP, ERA, EWA, Record, Earned Record, Support/Luck
Mudcat Grant , Nationals , 1969 , 10 , 49.66 , 4.89 , 0.26 , 1 , 6 , 2.64 , 4.32 , -3.31
Bill Stoneman , Nationals , 1969 , 36 , 227.67 , 4.43 , 0.39 , 10 , 18 , 14.12 , 13.84 , -8.28
Larry Jaster , Nationals , 1969 , 11 , 51.01 , 6.18 , 0.18 , 1 , 6 , 2.01 , 4.95 , -2.06
Carl Morton , Nationals , 1969 , 5 , 23.34 , 5.4 , 0.19 , 0 , 3 , 0.96 , 2.27 , -1.69
Mike Wegener , Nationals , 1969 , 26 , 154.33 , 4.14 , 0.3 , 5 , 13 , 7.82 , 9.81 , -6.01
Jerry Robertson , Nationals , 1969 , 27 , 164.0 , 3.95 , 0.31 , 5 , 16 , 8.35 , 9.58 , -9.77
Dan McGinn , Nationals , 1969 , 1 , 6.0 , 4.5 , 0.29 , 0 , 1 , 0.29 , 0.36 , -0.93
Don Shaw , Nationals , 1969 , 1 , 4.0 , 4.5 , 0.0 , 0 , 1 , 0.0 , 0.38 , -0.62
Howie Reed , Nationals , 1969 , 15 , 85.32 , 4.75 , 0.34 , 4 , 5 , 5.11 , 6.19 , 0.08
Gary Waslewski , Nationals , 1969 , 14 , 83.35 , 3.67 , 0.36 , 2 , 7 , 5.1 , 4.85 , -5.25
Steve Renko , Nationals , 1969 , 15 , 91.33 , 4.24 , 0.37 , 6 , 7 , 5.53 , 5.46 , -1.08
Bob Reynolds , Nationals , 1969 , 1 , 1.33 , 20.3 , 0.0 , 0 , 0 , 0.0 , 0.57 , 0.57
Joe Sparma , Nationals , 1970 , 6 , 25.33 , 7.11 , 0.22 , 0 , 4 , 1.29 , 2.9 , -2.39
Bill Stoneman , Nationals , 1970 , 30 , 184.67 , 4.48 , 0.34 , 6 , 14 , 10.2 , 11.59 , -6.6
Steve Renko , Nationals , 1970 , 33 , 208.99 , 4.52 , 0.35 , 13 , 11 , 11.42 , 13.09 , 3.66
Gary Waslewski , Nationals , 1970 , 4 , 20.67 , 5.66 , 0.23 , 0 , 2 , 0.91 , 1.68 , -1.23
Carl Morton , Nationals , 1970 , 37 , 277.01 , 3.61 , 0.44 , 18 , 11 , 16.32 , 12.54 , 3.22
Dan McGinn , Nationals , 1970 , 19 , 100.35 , 4.75 , 0.3 , 5 , 8 , 5.69 , 7.94 , -0.76
Mike Wegener , Nationals , 1970 , 16 , 88.99 , 5.16 , 0.24 , 3 , 6 , 3.8 , 6.83 , 0.03
Balor Moore , Nationals , 1970 , 2 , 8.0 , 9.0 , 0.07 , 0 , 2 , 0.13 , 1.17 , -0.96
Rich Nye , Nationals , 1970 , 6 , 44.33 , 3.86 , 0.46 , 3 , 2 , 2.78 , 2.2 , 0.42
Howie Reed , Nationals , 1970 , 1 , 3.0 , 15.0 , 0.0 , 0 , 1 , 0.0 , 0.69 , -0.31
Mike Marshall , Nationals , 1970 , 5 , 25.66 , 4.56 , 0.29 , 0 , 4 , 1.46 , 1.66 , -3.8
John O'Donoghue , Nationals , 1970 , 3 , 13.33 , 6.75 , 0.06 , 0 , 2 , 0.19 , 1.44 , -0.76
Carl Morton , Nationals , 1971 , 35 , 213.34 , 4.81 , 0.32 , 10 , 18 , 11.09 , 14.91 , -4.18
Steve Renko , Nationals , 1971 , 37 , 273.01 , 3.73 , 0.44 , 15 , 14 , 16.38 , 13.58 , -1.8
Bill Stoneman , Nationals , 1971 , 38 , 285.67 , 3.21 , 0.53 , 16 , 16 , 20.23 , 11.27 , -8.96
Ernie McAnally , Nationals , 1971 , 25 , 169.0 , 3.78 , 0.45 , 11 , 12 , 11.14 , 8.62 , -3.52
John Strohmayer , Nationals , 1971 , 14 , 91.67 , 4.42 , 0.36 , 6 , 4 , 5.04 , 5.27 , 2.23
Jim Britton , Nationals , 1971 , 6 , 25.32 , 6.4 , 0.21 , 1 , 3 , 1.26 , 2.29 , -0.97
Dan McGinn , Nationals , 1971 , 6 , 32.67 , 6.34 , 0.21 , 1 , 3 , 1.24 , 3.0 , -0.24
Bill Stoneman , Nationals , 1972 , 35 , 248.68 , 3.0 , 0.46 , 12 , 14 , 16.11 , 10.27 , -7.84
Ernie McAnally , Nationals , 1972 , 27 , 164.33 , 3.89 , 0.37 , 6 , 15 , 9.95 , 9.34 , -9.61
Steve Renko , Nationals , 1972 , 12 , 56.67 , 7.46 , 0.16 , 1 , 9 , 1.93 , 6.32 , -3.61
Carl Morton , Nationals , 1972 , 27 , 172.0 , 3.92 , 0.39 , 7 , 13 , 10.56 , 9.35 , -7.21
Mike Torrez , Nationals , 1972 , 33 , 242.67 , 3.34 , 0.48 , 16 , 12 , 15.79 , 10.53 , -1.26
