Name, Team, Year, Games Started, IP, ERA, EWA, Record, Earned Record, Support/Luck
Dick Selma , Padres , 1969 , 3 , 18.33 , 4.42 , 0.34 , 1 , 2 , 1.03 , 1.14 , -0.89
Johnny Podres , Padres , 1969 , 9 , 46.33 , 4.66 , 0.34 , 3 , 5 , 3.02 , 3.38 , -1.64
Dick Kelley , Padres , 1969 , 23 , 132.32 , 3.4 , 0.34 , 4 , 7 , 7.76 , 7.09 , -3.66
Clay Kirby , Padres , 1969 , 35 , 215.67 , 3.84 , 0.34 , 7 , 20 , 11.98 , 11.51 , -13.47
Al McBean , Padres , 1969 , 1 , 7.0 , 5.14 , 0.25 , 0 , 1 , 0.25 , 0.5 , -0.75
Al Santorini , Padres , 1969 , 30 , 180.66 , 3.94 , 0.36 , 8 , 14 , 10.92 , 9.82 , -7.1
Tommie Sisk , Padres , 1969 , 13 , 68.65 , 4.33 , 0.31 , 1 , 10 , 4.09 , 4.86 , -8.23
Joe Niekro , Padres , 1969 , 31 , 194.0 , 3.85 , 0.38 , 8 , 17 , 11.77 , 10.86 , -9.91
Gary Ross , Padres , 1969 , 7 , 26.99 , 6.67 , 0.09 , 0 , 6 , 0.61 , 3.06 , -3.56
Steve Arlin , Padres , 1969 , 1 , 2.67 , 20.22 , 0.0 , 0 , 1 , 0.0 , 0.8 , -0.2
Dave Roberts , Padres , 1969 , 5 , 21.0 , 5.14 , 0.19 , 0 , 3 , 0.95 , 1.98 , -1.98
Mike Corkins , Padres , 1969 , 4 , 13.0 , 10.38 , 0.14 , 1 , 3 , 0.54 , 2.13 , -0.41
Pat Dobson , Padres , 1970 , 34 , 241.68 , 3.65 , 0.4 , 14 , 14 , 13.71 , 11.97 , -1.74
Al Santorini , Padres , 1970 , 12 , 57.33 , 6.59 , 0.24 , 1 , 8 , 2.89 , 5.67 , -4.21
Clay Kirby , Padres , 1970 , 34 , 211.65 , 4.59 , 0.35 , 10 , 16 , 11.79 , 13.46 , -4.33
Mike Corkins , Padres , 1970 , 18 , 104.98 , 4.54 , 0.26 , 5 , 6 , 4.6 , 6.69 , 1.09
Danny Coombs , Padres , 1970 , 27 , 168.68 , 3.36 , 0.38 , 8 , 13 , 10.38 , 8.02 , -7.37
Dave Roberts , Padres , 1970 , 21 , 135.99 , 4.3 , 0.35 , 4 , 13 , 7.35 , 8.1 , -8.25
Ron Herbel , Padres , 1970 , 1 , 7.0 , 5.14 , 0.25 , 0 , 1 , 0.25 , 0.5 , -0.75
Gary Ross , Padres , 1970 , 2 , 8.0 , 9.0 , 0.18 , 0 , 0 , 0.35 , 1.01 , 0.66
Earl Wilson , Padres , 1970 , 9 , 49.67 , 5.62 , 0.21 , 0 , 5 , 1.86 , 4.02 , -2.83
Jerry Nyman , Padres , 1970 , 2 , 5.33 , 15.2 , 0.05 , 0 , 2 , 0.1 , 1.28 , -0.82
Steve Arlin , Padres , 1970 , 2 , 12.67 , 2.84 , 0.48 , 1 , 0 , 0.96 , 0.62 , 0.66
Tom Phoebus , Padres , 1971 , 21 , 116.99 , 4.85 , 0.3 , 3 , 11 , 6.4 , 8.31 , -6.09
Clay Kirby , Padres , 1971 , 36 , 264.34 , 2.83 , 0.48 , 15 , 13 , 17.44 , 10.07 , -5.38
Steve Arlin , Padres , 1971 , 34 , 223.98 , 3.46 , 0.43 , 9 , 19 , 14.55 , 11.01 , -13.53
Danny Coombs , Padres , 1971 , 7 , 32.0 , 7.03 , 0.09 , 1 , 3 , 0.65 , 3.63 , 0.98
Dave Roberts , Padres , 1971 , 34 , 256.98 , 2.14 , 0.55 , 14 , 16 , 18.68 , 7.63 , -13.04
Al Santorini , Padres , 1971 , 3 , 10.0 , 4.5 , 0.13 , 0 , 1 , 0.4 , 0.77 , -0.62
Dick Kelley , Padres , 1971 , 1 , 5.0 , 3.6 , 0.35 , 1 , 0 , 0.35 , 0.24 , 0.88
Fred Norman , Padres , 1971 , 18 , 126.0 , 3.29 , 0.45 , 3 , 12 , 8.09 , 5.46 , -11.63
Ed Acosta , Padres , 1971 , 6 , 43.67 , 2.68 , 0.57 , 3 , 2 , 3.44 , 1.46 , -0.98
