Name, Team, Year, Games Started, IP, ERA, EWA, Record, Earned Record, Support/Luck
Robin Roberts , Phillies , 1957 , 32 , 232.34 , 4.18 , 0.36 , 9 , 20 , 11.44 , 13.4 , -9.04
Curt Simmons , Phillies , 1957 , 29 , 205.31 , 3.33 , 0.43 , 12 , 11 , 12.34 , 9.76 , -1.58
Harvey Haddix , Phillies , 1957 , 25 , 162.0 , 4.28 , 0.32 , 9 , 13 , 8.07 , 10.21 , -1.87
Jack Sanford , Phillies , 1957 , 33 , 236.66 , 3.08 , 0.52 , 19 , 8 , 17.23 , 9.51 , 3.28
Jim Hearn , Phillies , 1957 , 4 , 21.33 , 4.22 , 0.32 , 1 , 1 , 1.29 , 1.35 , 0.06
Don Cardwell , Phillies , 1957 , 19 , 108.68 , 5.38 , 0.31 , 4 , 8 , 5.97 , 8.36 , -1.61
Bob Miller , Phillies , 1957 , 1 , 4.0 , 2.25 , 0.0 , 0 , 0 , 0.0 , 0.25 , 0.25
Warren Hacker , Phillies , 1957 , 10 , 60.66 , 3.71 , 0.36 , 4 , 4 , 3.61 , 3.51 , -0.1
Jack Meyer , Phillies , 1957 , 2 , 7.0 , 7.71 , 0.13 , 0 , 0 , 0.25 , 0.92 , 0.67
Seth Morehead , Phillies , 1957 , 1 , 9.0 , 0 , 0.96 , 1 , 0 , 0.96 , 0.01 , 0.04
Robin Roberts , Phillies , 1958 , 34 , 269.0 , 3.21 , 0.55 , 17 , 14 , 18.53 , 10.17 , -5.36
Jack Sanford , Phillies , 1958 , 27 , 169.33 , 4.41 , 0.35 , 8 , 12 , 9.54 , 11.08 , -2.46
Curt Simmons , Phillies , 1958 , 27 , 166.33 , 4.44 , 0.34 , 7 , 14 , 9.12 , 10.48 , -5.65
Ray Semproch , Phillies , 1958 , 30 , 190.32 , 4.02 , 0.41 , 11 , 9 , 12.23 , 11.0 , 0.77
Warren Hacker , Phillies , 1958 , 1 , 3.67 , 12.26 , 0.0 , 0 , 1 , 0.0 , 0.69 , -0.31
Seth Morehead , Phillies , 1958 , 11 , 68.0 , 4.76 , 0.32 , 1 , 6 , 3.53 , 4.46 , -4.07
Jack Meyer , Phillies , 1958 , 5 , 29.34 , 6.13 , 0.29 , 0 , 4 , 1.45 , 2.49 , -2.96
Don Cardwell , Phillies , 1958 , 14 , 101.99 , 4.77 , 0.31 , 3 , 6 , 4.3 , 6.68 , -0.62
Jim Hearn , Phillies , 1958 , 1 , 7.67 , 2.35 , 0.56 , 1 , 0 , 0.56 , 0.17 , 0.61
John Anderson , Phillies , 1958 , 1 , 6.0 , 3.0 , 0.4 , 0 , 0 , 0.4 , 0.23 , -0.16
Bob Conley , Phillies , 1958 , 2 , 8.33 , 7.56 , 0.17 , 0 , 0 , 0.34 , 1.1 , 0.76
Jim Owens , Phillies , 1958 , 1 , 7.0 , 2.57 , 0.46 , 1 , 0 , 0.46 , 0.23 , 0.78
Robin Roberts , Phillies , 1959 , 35 , 257.34 , 4.27 , 0.43 , 15 , 17 , 15.11 , 14.49 , -2.62
Jim Owens , Phillies , 1959 , 30 , 220.0 , 3.23 , 0.51 , 12 , 12 , 15.18 , 9.16 , -6.02
Ruben Gomez , Phillies , 1959 , 12 , 57.67 , 6.55 , 0.24 , 2 , 7 , 2.87 , 5.61 , -2.26
Seth Morehead , Phillies , 1959 , 3 , 10.0 , 9.9 , 0.08 , 0 , 2 , 0.25 , 1.8 , -0.45
Ray Semproch , Phillies , 1959 , 18 , 91.99 , 5.87 , 0.24 , 2 , 10 , 4.34 , 8.9 , -3.43
Don Cardwell , Phillies , 1959 , 22 , 141.32 , 4.14 , 0.37 , 9 , 9 , 8.1 , 8.0 , -0.1
Chris Short , Phillies , 1959 , 2 , 10.66 , 6.75 , 0.07 , 0 , 0 , 0.13 , 1.11 , 0.98
Gene Conley , Phillies , 1959 , 22 , 166.66 , 3.19 , 0.52 , 12 , 7 , 11.44 , 6.96 , 0.52
Jack Meyer , Phillies , 1959 , 1 , 5.0 , 5.4 , 0.25 , 0 , 1 , 0.25 , 0.36 , -0.89
Taylor Phillips , Phillies , 1959 , 3 , 12.33 , 7.3 , 0.13 , 1 , 1 , 0.4 , 1.43 , 1.03
Al Schroll , Phillies , 1959 , 1 , 5.0 , 3.6 , 0.35 , 0 , 1 , 0.35 , 0.24 , -1.12
Ed Keegan , Phillies , 1959 , 3 , 9.0 , 18.0 , 0.03 , 0 , 3 , 0.08 , 2.22 , -0.86
Humberto Robinson , Phillies , 1959 , 4 , 29.34 , 3.99 , 0.42 , 1 , 2 , 1.67 , 1.49 , -1.18
Robin Roberts , Phillies , 1960 , 33 , 233.33 , 4.01 , 0.4 , 12 , 16 , 13.15 , 12.6 , -4.55
Curt Simmons , Phillies , 1960 , 2 , 1.0 , 45.0 , 0.0 , 0 , 0 , 0.0 , 1.1 , 1.1
John Buzhardt , Phillies , 1960 , 29 , 196.32 , 3.9 , 0.34 , 5 , 16 , 9.95 , 10.69 , -10.26
Jim Owens , Phillies , 1960 , 22 , 129.99 , 5.05 , 0.34 , 4 , 13 , 7.52 , 9.71 , -6.8
Don Cardwell , Phillies , 1960 , 4 , 22.33 , 5.24 , 0.26 , 0 , 2 , 1.06 , 1.59 , -1.47
Jack Meyer , Phillies , 1960 , 4 , 18.0 , 4.0 , 0.25 , 2 , 1 , 1.0 , 1.55 , 1.55
Gene Conley , Phillies , 1960 , 25 , 179.0 , 3.47 , 0.44 , 7 , 14 , 10.92 , 8.1 , -9.82
