Name, Team, Year, Games Started, IP, ERA, EWA, Record, Earned Record, Support/Luck
Bob Friend , Pirates , 1957 , 38 , 276.0 , 3.26 , 0.5 , 14 , 17 , 18.93 , 11.55 , -10.37
Luis Arroyo , Pirates , 1957 , 10 , 52.67 , 4.61 , 0.18 , 0 , 6 , 1.82 , 4.08 , -3.74
Vern Law , Pirates , 1957 , 25 , 163.66 , 2.97 , 0.4 , 8 , 8 , 9.93 , 7.16 , -2.77
Ron Kline , Pirates , 1957 , 31 , 190.34 , 4.11 , 0.37 , 9 , 15 , 11.44 , 11.61 , -5.82
Bob Purkey , Pirates , 1957 , 21 , 124.34 , 3.98 , 0.39 , 6 , 11 , 8.26 , 7.14 , -6.12
Laurin Pepper , Pirates , 1957 , 1 , 1.0 , 27.0 , 0.0 , 0 , 0 , 0.0 , 0.57 , 0.57
Bob Smith , Pirates , 1957 , 4 , 30.0 , 2.4 , 0.51 , 2 , 1 , 2.04 , 1.08 , 0.04
Red Swanson , Pirates , 1957 , 8 , 35.35 , 5.6 , 0.26 , 3 , 3 , 2.04 , 3.64 , 1.6
Joe Trimble , Pirates , 1957 , 4 , 18.33 , 8.35 , 0.21 , 0 , 2 , 0.85 , 2.25 , -0.6
Roy Face , Pirates , 1957 , 1 , 8.0 , 3.38 , 0.36 , 0 , 0 , 0.36 , 0.45 , 0.09
Whammy Douglas , Pirates , 1957 , 8 , 41.66 , 3.02 , 0.34 , 3 , 3 , 2.69 , 2.08 , -0.6
Johnny O'Brien , Pirates , 1957 , 1 , 6.0 , 6.0 , 0.19 , 0 , 1 , 0.19 , 0.5 , -0.69
Eddie O'Brien , Pirates , 1957 , 1 , 9.0 , 1.0 , 0.89 , 1 , 0 , 0.89 , 0.05 , 0.16
Bennie Daniels , Pirates , 1957 , 1 , 7.0 , 1.29 , 0.59 , 0 , 1 , 0.59 , 0.11 , -1.48
Bob Friend , Pirates , 1958 , 38 , 274.0 , 3.65 , 0.43 , 22 , 14 , 16.39 , 13.01 , 4.62
Vern Law , Pirates , 1958 , 29 , 186.33 , 4.35 , 0.35 , 12 , 12 , 10.12 , 11.29 , 1.18
Ron Kline , Pirates , 1958 , 32 , 237.33 , 3.53 , 0.41 , 13 , 16 , 13.11 , 11.13 , -4.98
Bob Smith , Pirates , 1958 , 4 , 19.0 , 5.68 , 0.2 , 0 , 2 , 0.79 , 1.72 , -1.07
Ron Blackburn , Pirates , 1958 , 2 , 9.0 , 5.0 , 0.13 , 0 , 1 , 0.25 , 0.74 , -0.51
Bennie Daniels , Pirates , 1958 , 5 , 21.99 , 5.73 , 0.22 , 0 , 3 , 1.09 , 2.15 , -1.95
Bob Porterfield , Pirates , 1958 , 6 , 34.67 , 4.67 , 0.21 , 2 , 3 , 1.26 , 2.68 , 0.42
Curt Raydon , Pirates , 1958 , 20 , 113.65 , 3.72 , 0.33 , 8 , 3 , 6.54 , 6.99 , 5.45
Don Gross , Pirates , 1958 , 3 , 20.66 , 5.23 , 0.24 , 0 , 2 , 0.72 , 1.5 , -1.22
George Witt , Pirates , 1958 , 15 , 100.66 , 1.43 , 0.56 , 9 , 2 , 8.34 , 2.34 , 1.0
Ron Kline , Pirates , 1959 , 29 , 176.99 , 4.42 , 0.33 , 10 , 13 , 9.49 , 11.48 , -1.01
Bob Friend , Pirates , 1959 , 35 , 234.66 , 4.03 , 0.38 , 8 , 19 , 13.47 , 13.81 , -10.66
Vern Law , Pirates , 1959 , 33 , 265.0 , 2.95 , 0.56 , 18 , 9 , 18.35 , 9.49 , 0.14
George Witt , Pirates , 1959 , 11 , 43.33 , 7.27 , 0.14 , 0 , 7 , 1.58 , 5.09 , -3.49
Harvey Haddix , Pirates , 1959 , 29 , 222.34 , 3.16 , 0.48 , 12 , 12 , 13.99 , 9.48 , -4.51
Bennie Daniels , Pirates , 1959 , 12 , 54.0 , 6.0 , 0.21 , 3 , 6 , 2.5 , 5.57 , 0.07
Al Jackson , Pirates , 1959 , 3 , 8.33 , 11.88 , 0.08 , 0 , 0 , 0.25 , 1.65 , 1.4
Fred Green , Pirates , 1959 , 1 , 5.67 , 6.35 , 0.17 , 0 , 1 , 0.17 , 0.51 , -0.66
Dick Hall , Pirates , 1959 , 1 , 8.0 , 0 , 0.76 , 0 , 0 , 0.76 , 0.04 , -0.72
Jim Umbricht , Pirates , 1959 , 1 , 7.0 , 6.43 , 0.18 , 0 , 0 , 0.18 , 0.64 , 0.46
Bob Friend , Pirates , 1960 , 37 , 275.0 , 3.01 , 0.5 , 18 , 12 , 18.58 , 10.99 , -1.6
Vern Law , Pirates , 1960 , 35 , 271.67 , 3.08 , 0.54 , 20 , 9 , 18.91 , 10.34 , 2.44
Jim Umbricht , Pirates , 1960 , 3 , 12.66 , 8.53 , 0.11 , 0 , 2 , 0.33 , 1.62 , -0.71
Bennie Daniels , Pirates , 1960 , 6 , 28.66 , 7.22 , 0.18 , 1 , 3 , 1.1 , 3.12 , 0.02
Harvey Haddix , Pirates , 1960 , 28 , 168.0 , 4.02 , 0.36 , 11 , 10 , 10.22 , 9.84 , 0.63
George Witt , Pirates , 1960 , 6 , 22.66 , 4.77 , 0.19 , 1 , 2 , 1.16 , 2.04 , -0.12
Joe Gibbon , Pirates , 1960 , 9 , 42.66 , 5.49 , 0.21 , 1 , 2 , 1.9 , 3.76 , 0.86
Vinegar Bend Mizell , Pirates , 1960 , 23 , 155.67 , 3.12 , 0.44 , 13 , 5 , 10.18 , 7.2 , 5.02
Tom Cheney , Pirates , 1960 , 8 , 47.67 , 4.34 , 0.34 , 2 , 2 , 2.73 , 2.99 , 0.26
Bob Friend , Pirates , 1961 , 35 , 221.33 , 3.98 , 0.39 , 13 , 18 , 13.59 , 12.44 , -6.15
Vern Law , Pirates , 1961 , 10 , 56.33 , 4.95 , 0.3 , 3 , 4 , 3.0 , 4.06 , 0.06
Harvey Haddix , Pirates , 1961 , 22 , 139.0 , 4.34 , 0.34 , 7 , 6 , 7.55 , 8.66 , 2.11
Joe Gibbon , Pirates , 1961 , 29 , 194.35 , 3.33 , 0.45 , 13 , 10 , 13.11 , 8.95 , -1.16
Vinegar Bend Mizell , Pirates , 1961 , 17 , 89.33 , 5.54 , 0.28 , 6 , 10 , 4.84 , 7.36 , -1.48
George Witt , Pirates , 1961 , 1 , 6.33 , 5.69 , 0.19 , 0 , 1 , 0.19 , 0.5 , -0.69
Bobby Shantz , Pirates , 1961 , 6 , 34.34 , 3.41 , 0.44 , 3 , 2 , 2.61 , 1.83 , 0.22
Earl Francis , Pirates , 1961 , 15 , 84.68 , 4.57 , 0.29 , 2 , 7 , 4.39 , 5.77 , -3.62
Clem Labine , Pirates , 1961 , 1 , 4.0 , 6.75 , 0.0 , 0 , 0 , 0.0 , 0.5 , 0.5
Tom Sturdivant , Pirates , 1961 , 11 , 83.33 , 2.92 , 0.48 , 5 , 2 , 5.24 , 3.3 , 1.06
Al McBean , Pirates , 1961 , 2 , 15.0 , 3.6 , 0.49 , 0 , 1 , 0.99 , 0.59 , -1.4
Larry Foss , Pirates , 1961 , 3 , 15.33 , 5.87 , 0.27 , 1 , 1 , 0.81 , 1.24 , 0.43
Al Jackson , Pirates , 1961 , 2 , 18.0 , 4.5 , 0.6 , 1 , 0 , 1.2 , 0.67 , 0.47
Bob Friend , Pirates , 1962 , 36 , 258.68 , 3.1 , 0.49 , 18 , 14 , 17.6 , 11.11 , -2.49
Tom Sturdivant , Pirates , 1962 , 12 , 67.33 , 3.88 , 0.42 , 6 , 4 , 5.06 , 3.84 , 0.78
Vinegar Bend Mizell , Pirates , 1962 , 3 , 13.33 , 4.73 , 0.24 , 1 , 1 , 0.73 , 1.19 , 0.46
Bob Veale , Pirates , 1962 , 6 , 32.66 , 4.68 , 0.35 , 2 , 2 , 2.08 , 2.22 , 0.14
Al McBean , Pirates , 1962 , 29 , 184.31 , 3.61 , 0.42 , 15 , 10 , 12.08 , 9.65 , 2.57
Earl Francis , Pirates , 1962 , 23 , 150.34 , 3.05 , 0.37 , 7 , 8 , 8.47 , 7.17 , -2.3
Vern Law , Pirates , 1962 , 20 , 134.33 , 3.89 , 0.43 , 10 , 7 , 8.6 , 6.96 , 1.36
Harvey Haddix , Pirates , 1962 , 20 , 129.99 , 3.67 , 0.38 , 7 , 5 , 7.66 , 6.72 , 1.07
Joe Gibbon , Pirates , 1962 , 8 , 42.34 , 4.04 , 0.23 , 2 , 3 , 1.86 , 2.73 , -0.14
Tommie Sisk , Pirates , 1962 , 3 , 13.33 , 5.4 , 0.27 , 0 , 2 , 0.8 , 1.29 , -1.51
Diomedes Olivo , Pirates , 1962 , 1 , 4.0 , 4.5 , 0.0 , 0 , 0 , 0.0 , 0.38 , 0.38
Earl Francis , Pirates , 1963 , 13 , 62.33 , 4.91 , 0.2 , 2 , 6 , 2.64 , 4.95 , -1.69
Bob Friend , Pirates , 1963 , 38 , 267.66 , 2.35 , 0.51 , 16 , 16 , 19.23 , 9.22 , -10.01
Don Cardwell , Pirates , 1963 , 32 , 210.68 , 3.12 , 0.46 , 12 , 15 , 14.67 , 9.05 , -8.62
Al McBean , Pirates , 1963 , 7 , 33.0 , 3.82 , 0.34 , 2 , 1 , 2.36 , 2.4 , 1.04
Don Schwall , Pirates , 1963 , 24 , 141.66 , 3.3 , 0.36 , 6 , 10 , 8.72 , 7.35 , -5.37
Joe Gibbon , Pirates , 1963 , 22 , 125.33 , 3.81 , 0.37 , 4 , 11 , 8.05 , 7.9 , -7.14
Vern Law , Pirates , 1963 , 12 , 65.34 , 4.96 , 0.3 , 4 , 4 , 3.64 , 4.96 , 1.32
Harvey Haddix , Pirates , 1963 , 1 , 3.0 , 9.0 , 0.0 , 0 , 0 , 0.0 , 0.47 , 0.47
Bob Veale , Pirates , 1963 , 7 , 51.99 , 1.04 , 0.7 , 4 , 2 , 4.9 , 0.89 , -2.0
Tommie Sisk , Pirates , 1963 , 4 , 27.0 , 2.67 , 0.45 , 0 , 2 , 1.82 , 1.0 , -2.82
Tom Parsons , Pirates , 1963 , 1 , 4.33 , 10.39 , 0.0 , 0 , 1 , 0.0 , 0.73 , -0.27
Tom Butters , Pirates , 1963 , 1 , 7.67 , 4.69 , 0.32 , 0 , 0 , 0.32 , 0.44 , 0.13
Bob Veale , Pirates , 1964 , 38 , 276.67 , 2.73 , 0.5 , 18 , 12 , 18.92 , 10.27 , -2.65
Joe Gibbon , Pirates , 1964 , 24 , 137.0 , 3.81 , 0.32 , 9 , 7 , 7.67 , 8.35 , 2.69
Bob Friend , Pirates , 1964 , 35 , 240.33 , 3.33 , 0.46 , 13 , 18 , 16.03 , 11.32 , -9.7
Don Schwall , Pirates , 1964 , 9 , 40.0 , 4.5 , 0.23 , 3 , 3 , 2.03 , 3.11 , 1.08
Vern Law , Pirates , 1964 , 29 , 179.33 , 3.51 , 0.43 , 12 , 12 , 12.48 , 9.55 , -2.93
Tommie Sisk , Pirates , 1964 , 1 , 0.0 , 99 , 0.0 , 0 , 0 , 0.0 , 0.67 , 0.67
Steve Blass , Pirates , 1964 , 13 , 79.0 , 4.1 , 0.39 , 4 , 7 , 5.02 , 4.56 , -3.46
Tom Butters , Pirates , 1964 , 4 , 25.67 , 2.8 , 0.43 , 2 , 2 , 1.72 , 0.97 , -0.76
Frank Bork , Pirates , 1964 , 2 , 11.0 , 5.73 , 0.12 , 1 , 1 , 0.24 , 1.0 , 0.75
Don Cardwell , Pirates , 1964 , 4 , 19.33 , 2.79 , 0.36 , 1 , 2 , 1.45 , 1.04 , -1.41
Wilbur Wood , Pirates , 1964 , 2 , 14.0 , 4.5 , 0.13 , 0 , 2 , 0.26 , 0.94 , -1.32
Earl Francis , Pirates , 1964 , 1 , 5.0 , 9.0 , 0.1 , 0 , 1 , 0.1 , 0.62 , -0.49
Bob Veale , Pirates , 1965 , 37 , 265.34 , 2.85 , 0.49 , 17 , 12 , 18.2 , 10.07 , -3.13
Bob Friend , Pirates , 1965 , 34 , 221.99 , 3.24 , 0.42 , 8 , 12 , 14.37 , 10.6 , -7.77
Joe Gibbon , Pirates , 1965 , 15 , 74.65 , 5.79 , 0.22 , 1 , 8 , 3.37 , 6.76 , -3.61
Vern Law , Pirates , 1965 , 28 , 215.99 , 2.17 , 0.58 , 16 , 9 , 16.17 , 6.27 , -2.9
Don Cardwell , Pirates , 1965 , 34 , 236.02 , 3.2 , 0.45 , 13 , 10 , 15.23 , 9.84 , -2.39
Don Schwall , Pirates , 1965 , 1 , 5.0 , 5.4 , 0.25 , 0 , 1 , 0.25 , 0.36 , -0.89
Wilbur Wood , Pirates , 1965 , 1 , 4.0 , 6.75 , 0.0 , 0 , 1 , 0.0 , 0.5 , -0.5
Tommie Sisk , Pirates , 1965 , 12 , 75.0 , 2.64 , 0.48 , 4 , 3 , 5.74 , 2.84 , -1.9
