Name, Team, Year, Games Started, IP, ERA, EWA, Record, Earned Record, Support/Luck
David Nied , Rockies , 1993 , 16 , 87.01 , 5.17 , 0.25 , 5 , 9 , 4.01 , 6.88 , -1.13
Bruce Ruffin , Rockies , 1993 , 12 , 53.33 , 6.08 , 0.24 , 3 , 4 , 2.91 , 5.21 , 1.3
Bryn Smith , Rockies , 1993 , 5 , 24.33 , 5.92 , 0.22 , 1 , 4 , 1.09 , 2.22 , -1.86
Butch Henry , Rockies , 1993 , 15 , 78.34 , 6.55 , 0.25 , 2 , 8 , 3.8 , 7.04 , -2.76
Andy Ashby , Rockies , 1993 , 9 , 42.67 , 8.23 , 0.21 , 0 , 4 , 1.93 , 4.71 , -1.22
Armando Reynoso , Rockies , 1993 , 30 , 189.02 , 4.0 , 0.37 , 12 , 11 , 10.96 , 10.42 , 0.46
Willie Blair , Rockies , 1993 , 18 , 110.99 , 5.03 , 0.33 , 4 , 10 , 5.87 , 7.67 , -4.2
Lance Painter , Rockies , 1993 , 6 , 34.66 , 6.23 , 0.22 , 2 , 2 , 1.3 , 2.99 , 1.69
Jeff Parrett , Rockies , 1993 , 6 , 23.0 , 5.87 , 0.23 , 2 , 1 , 1.38 , 2.05 , 1.67
Curtis Leskanic , Rockies , 1993 , 8 , 45.0 , 4.4 , 0.33 , 1 , 4 , 2.65 , 2.88 , -2.77
Keith Shepherd , Rockies , 1993 , 1 , 2.33 , 15.45 , 0.0 , 0 , 0 , 0.0 , 0.59 , 0.59
Kent Bottenfield , Rockies , 1993 , 14 , 76.66 , 6.1 , 0.23 , 3 , 5 , 3.27 , 6.22 , 0.94
Greg Harris , Rockies , 1993 , 13 , 73.33 , 6.5 , 0.21 , 1 , 8 , 2.75 , 6.7 , -3.05
Mo Sanford , Rockies , 1993 , 6 , 29.34 , 5.21 , 0.19 , 1 , 2 , 1.12 , 2.46 , 0.34
Bruce Hurst , Rockies , 1993 , 3 , 8.67 , 5.19 , 0.0 , 0 , 1 , 0.0 , 1.17 , 0.17
Armando Reynoso , Rockies , 1994 , 9 , 52.34 , 4.81 , 0.36 , 3 , 4 , 3.23 , 3.41 , -0.82
Mike Harkey , Rockies , 1994 , 13 , 74.67 , 6.03 , 0.21 , 0 , 6 , 2.7 , 6.44 , -2.26
Greg Harris , Rockies , 1994 , 19 , 116.32 , 6.42 , 0.24 , 3 , 11 , 4.65 , 10.1 , -2.55
David Nied , Rockies , 1994 , 22 , 122.0 , 4.8 , 0.32 , 9 , 7 , 7.13 , 8.43 , 3.3
Marvin Freeman , Rockies , 1994 , 18 , 108.67 , 2.82 , 0.41 , 9 , 2 , 7.4 , 4.38 , 3.98
Willie Blair , Rockies , 1994 , 1 , 5.0 , 7.2 , 0.17 , 0 , 1 , 0.17 , 0.5 , -0.68
Lance Painter , Rockies , 1994 , 14 , 71.66 , 6.15 , 0.21 , 4 , 6 , 2.93 , 6.45 , 1.52
Kevin Ritz , Rockies , 1994 , 15 , 73.68 , 5.62 , 0.24 , 5 , 6 , 3.53 , 6.34 , 1.81
Kent Bottenfield , Rockies , 1994 , 1 , 3.0 , 15.0 , 0.0 , 0 , 1 , 0.0 , 0.69 , -0.31
Curtis Leskanic , Rockies , 1994 , 3 , 16.0 , 6.19 , 0.24 , 1 , 1 , 0.71 , 1.36 , 0.65
Mark Thompson , Rockies , 1994 , 2 , 9.0 , 9.0 , 0.15 , 1 , 1 , 0.29 , 1.12 , 0.82
Bill Swift , Rockies , 1995 , 19 , 105.67 , 4.94 , 0.33 , 9 , 3 , 6.26 , 7.02 , 6.76
Marvin Freeman , Rockies , 1995 , 18 , 89.33 , 5.84 , 0.23 , 3 , 7 , 4.18 , 7.78 , -0.4
Kevin Ritz , Rockies , 1995 , 28 , 164.67 , 4.37 , 0.29 , 11 , 11 , 8.26 , 10.24 , 1.98
Omar Olivares , Rockies , 1995 , 6 , 26.67 , 6.41 , 0.15 , 1 , 2 , 0.89 , 2.76 , 0.87
Juan Acevedo , Rockies , 1995 , 11 , 54.33 , 5.96 , 0.24 , 4 , 6 , 2.67 , 4.74 , 0.07
Joe Grahe , Rockies , 1995 , 9 , 46.67 , 4.82 , 0.27 , 4 , 2 , 2.43 , 3.39 , 2.96
Mark Thompson , Rockies , 1995 , 5 , 26.0 , 6.23 , 0.25 , 1 , 2 , 1.27 , 2.21 , -0.06
Armando Reynoso , Rockies , 1995 , 18 , 91.0 , 5.24 , 0.26 , 7 , 7 , 4.7 , 6.88 , 2.19
Bryan Rekar , Rockies , 1995 , 14 , 83.33 , 4.97 , 0.36 , 4 , 6 , 5.05 , 5.7 , -1.35
Bret Saberhagen , Rockies , 1995 , 9 , 42.99 , 6.28 , 0.25 , 2 , 1 , 2.27 , 4.13 , 2.86
Roger Bailey , Rockies , 1995 , 6 , 36.66 , 4.91 , 0.27 , 4 , 1 , 1.62 , 2.63 , 4.01
Lance Painter , Rockies , 1995 , 1 , 5.0 , 3.6 , 0.35 , 1 , 0 , 0.35 , 0.24 , 0.88
Kevin Ritz , Rockies , 1996 , 35 , 213.02 , 5.28 , 0.32 , 17 , 11 , 11.08 , 15.0 , 9.92
Marvin Freeman , Rockies , 1996 , 23 , 126.67 , 5.9 , 0.29 , 7 , 8 , 6.63 , 10.0 , 2.37
Bryan Rekar , Rockies , 1996 , 11 , 52.99 , 8.49 , 0.21 , 2 , 3 , 2.34 , 4.95 , 1.61
Armando Reynoso , Rockies , 1996 , 30 , 168.67 , 4.96 , 0.27 , 8 , 9 , 8.21 , 11.58 , 2.37
Mark Thompson , Rockies , 1996 , 28 , 163.33 , 5.46 , 0.31 , 9 , 11 , 8.76 , 11.87 , 1.12
Lance Painter , Rockies , 1996 , 1 , 5.0 , 7.2 , 0.17 , 0 , 1 , 0.17 , 0.5 , -0.68
Mike Farmer , Rockies , 1996 , 4 , 21.33 , 8.02 , 0.17 , 0 , 0 , 0.67 , 2.3 , 1.63
Bill Swift , Rockies , 1996 , 3 , 13.33 , 7.43 , 0.09 , 1 , 1 , 0.28 , 1.5 , 1.22
Jamey Wright , Rockies , 1996 , 15 , 91.0 , 4.85 , 0.32 , 4 , 4 , 4.76 , 5.8 , 1.03
Roger Bailey , Rockies , 1996 , 11 , 61.66 , 6.13 , 0.25 , 2 , 3 , 2.75 , 5.21 , 1.45
David Nied , Rockies , 1996 , 1 , 1.67 , 26.95 , 0.0 , 0 , 1 , 0.0 , 0.73 , -0.27
Kevin Ritz , Rockies , 1997 , 18 , 107.32 , 5.87 , 0.25 , 6 , 8 , 4.48 , 8.69 , 2.22
Bill Swift , Rockies , 1997 , 13 , 64.33 , 6.16 , 0.19 , 4 , 6 , 2.44 , 5.88 , 1.44
Mark Thompson , Rockies , 1997 , 6 , 29.67 , 7.89 , 0.18 , 3 , 3 , 1.08 , 3.39 , 2.31
Jamey Wright , Rockies , 1997 , 26 , 149.67 , 6.25 , 0.26 , 8 , 12 , 6.81 , 12.56 , 1.74
Roger Bailey , Rockies , 1997 , 29 , 190.99 , 4.29 , 0.36 , 9 , 10 , 10.37 , 11.5 , 0.14
Darren Holmes , Rockies , 1997 , 6 , 31.66 , 6.25 , 0.26 , 2 , 0 , 1.59 , 2.76 , 3.17
John Thomson , Rockies , 1997 , 27 , 166.34 , 4.71 , 0.33 , 7 , 9 , 8.97 , 10.82 , -0.15
Bobby Jones , Rockies , 1997 , 4 , 19.33 , 8.38 , 0.16 , 1 , 1 , 0.64 , 2.33 , 1.7
John Burke , Rockies , 1997 , 9 , 45.33 , 6.55 , 0.24 , 2 , 5 , 2.2 , 4.02 , -1.18
Bryan Rekar , Rockies , 1997 , 2 , 9.33 , 5.79 , 0.13 , 1 , 0 , 0.25 , 0.86 , 1.61
Frank Castillo , Rockies , 1997 , 14 , 86.33 , 5.42 , 0.25 , 6 , 3 , 3.54 , 6.55 , 6.01
Pedro Astacio , Rockies , 1997 , 7 , 48.67 , 4.25 , 0.38 , 5 , 1 , 2.64 , 2.81 , 4.17
Mark Hutton , Rockies , 1997 , 1 , 5.33 , 8.44 , 0.1 , 0 , 1 , 0.1 , 0.62 , -0.49
Darryl Kile , Rockies , 1998 , 35 , 228.34 , 5.2 , 0.33 , 13 , 17 , 11.42 , 15.77 , 0.35
John Thomson , Rockies , 1998 , 26 , 161.0 , 4.81 , 0.36 , 8 , 11 , 9.37 , 10.12 , -2.26
Pedro Astacio , Rockies , 1998 , 34 , 208.0 , 6.23 , 0.25 , 13 , 14 , 8.64 , 17.24 , 7.6
Jamey Wright , Rockies , 1998 , 34 , 206.34 , 5.67 , 0.28 , 9 , 14 , 9.44 , 15.92 , 1.48
Mark Thompson , Rockies , 1998 , 6 , 23.33 , 7.72 , 0.06 , 1 , 2 , 0.35 , 2.91 , 1.55
Kevin Ritz , Rockies , 1998 , 2 , 9.0 , 11.0 , 0.05 , 0 , 2 , 0.1 , 1.4 , -0.7
Bobby Jones , Rockies , 1998 , 20 , 121.0 , 5.28 , 0.28 , 7 , 8 , 5.6 , 8.63 , 2.03
Mike DeJean , Rockies , 1998 , 1 , 3.0 , 3.0 , 0.0 , 0 , 0 , 0.0 , 0.22 , 0.22
Mike Saipe , Rockies , 1998 , 2 , 10.0 , 10.8 , 0.14 , 0 , 1 , 0.29 , 1.28 , -0.01
Mark Brownson , Rockies , 1998 , 2 , 13.33 , 4.73 , 0.48 , 1 , 0 , 0.96 , 0.84 , 0.88
Darryl Kile , Rockies , 1999 , 32 , 190.68 , 6.61 , 0.24 , 8 , 13 , 7.61 , 17.18 , 4.57
Pedro Astacio , Rockies , 1999 , 34 , 232.01 , 5.04 , 0.37 , 17 , 11 , 12.51 , 15.5 , 9.0
Jamey Wright , Rockies , 1999 , 16 , 94.34 , 4.87 , 0.32 , 4 , 3 , 5.11 , 6.46 , 2.35
Brian Bohanon , Rockies , 1999 , 33 , 197.33 , 6.2 , 0.26 , 12 , 12 , 8.69 , 16.96 , 8.27
John Thomson , Rockies , 1999 , 13 , 60.66 , 8.31 , 0.12 , 1 , 10 , 1.54 , 7.61 , -2.93
Bobby Jones , Rockies , 1999 , 20 , 100.01 , 6.03 , 0.21 , 6 , 9 , 4.16 , 8.71 , 1.55
Mark Brownson , Rockies , 1999 , 7 , 29.67 , 7.89 , 0.2 , 0 , 2 , 1.36 , 3.61 , 0.24
Roberto Ramirez , Rockies , 1999 , 4 , 16.67 , 10.8 , 0.09 , 1 , 3 , 0.37 , 2.58 , 0.21
Luther Hackman , Rockies , 1999 , 3 , 14.0 , 10.93 , 0.06 , 0 , 2 , 0.18 , 2.08 , -0.1
Pedro Astacio , Rockies , 2000 , 32 , 196.32 , 5.27 , 0.29 , 12 , 9 , 9.33 , 13.95 , 7.63
Rolando Arrojo , Rockies , 2000 , 19 , 101.33 , 6.04 , 0.23 , 5 , 9 , 4.35 , 8.4 , 0.05
Brian Bohanon , Rockies , 2000 , 26 , 157.33 , 5.15 , 0.32 , 10 , 10 , 8.27 , 11.02 , 2.75
Masato Yoshii , Rockies , 2000 , 29 , 167.34 , 5.86 , 0.25 , 6 , 15 , 7.39 , 13.66 , -2.72
Scott Karl , Rockies , 2000 , 9 , 45.01 , 7.4 , 0.16 , 1 , 3 , 1.41 , 4.8 , 1.4
Kevin Jarvis , Rockies , 2000 , 19 , 104.68 , 6.1 , 0.23 , 3 , 4 , 4.3 , 8.79 , 3.49
Rigoberto Beltran , Rockies , 2000 , 1 , 1.33 , 40.6 , 0.0 , 0 , 0 , 0.0 , 0.85 , 0.85
Julian Tavarez , Rockies , 2000 , 12 , 68.66 , 3.8 , 0.39 , 5 , 3 , 4.69 , 3.81 , 1.12
Brian Rose , Rockies , 2000 , 12 , 63.66 , 5.51 , 0.27 , 4 , 5 , 3.27 , 4.99 , 0.72
John Wasdin , Rockies , 2000 , 3 , 17.67 , 4.58 , 0.21 , 0 , 2 , 0.63 , 1.23 , -1.4
Mike Hampton , Rockies , 2001 , 32 , 202.99 , 5.41 , 0.32 , 14 , 13 , 10.15 , 14.64 , 5.49
Denny Neagle , Rockies , 2001 , 30 , 170.67 , 5.38 , 0.27 , 9 , 8 , 8.09 , 12.17 , 5.08
Pedro Astacio , Rockies , 2001 , 22 , 141.01 , 5.49 , 0.3 , 6 , 13 , 6.59 , 10.39 , -3.2
Brian Bohanon , Rockies , 2001 , 19 , 95.99 , 7.22 , 0.21 , 5 , 8 , 4.03 , 9.42 , 2.39
Ron Villone , Rockies , 2001 , 6 , 27.33 , 8.23 , 0.13 , 1 , 2 , 0.78 , 3.24 , 1.46
Shawn Chacon , Rockies , 2001 , 27 , 159.99 , 5.06 , 0.32 , 6 , 10 , 8.65 , 10.9 , -1.75
John Thomson , Rockies , 2001 , 14 , 93.66 , 4.04 , 0.37 , 4 , 5 , 5.11 , 5.2 , -0.91
Mac Suzuki , Rockies , 2001 , 1 , 4.33 , 6.24 , 0.0 , 0 , 1 , 0.0 , 0.5 , -0.5
Jason Jennings , Rockies , 2001 , 7 , 39.33 , 4.58 , 0.4 , 4 , 1 , 2.79 , 2.64 , 2.85
Scott Elarton , Rockies , 2001 , 4 , 23.0 , 6.65 , 0.22 , 0 , 2 , 0.88 , 2.01 , -0.86
Mike Hampton , Rockies , 2002 , 30 , 178.68 , 6.15 , 0.24 , 7 , 15 , 7.32 , 14.65 , -0.67
Denny Neagle , Rockies , 2002 , 28 , 154.68 , 5.29 , 0.29 , 8 , 10 , 8.01 , 11.57 , 1.56
John Thomson , Rockies , 2002 , 21 , 127.33 , 4.88 , 0.32 , 7 , 8 , 6.66 , 8.28 , 0.62
Shawn Chacon , Rockies , 2002 , 21 , 119.34 , 5.73 , 0.27 , 5 , 11 , 5.71 , 9.2 , -2.51
Jason Jennings , Rockies , 2002 , 32 , 185.34 , 4.52 , 0.31 , 16 , 8 , 9.99 , 11.95 , 9.96
Denny Stark , Rockies , 2002 , 20 , 113.32 , 4.21 , 0.36 , 10 , 4 , 7.1 , 6.63 , 5.53
Aaron Cook , Rockies , 2002 , 5 , 30.0 , 4.2 , 0.3 , 2 , 1 , 1.51 , 1.8 , 1.3
Victor Santos , Rockies , 2002 , 2 , 4.0 , 27.0 , 0.0 , 0 , 1 , 0.0 , 1.58 , 0.58
Randy Flores , Rockies , 2002 , 2 , 10.67 , 6.75 , 0.1 , 0 , 1 , 0.19 , 1.1 , -0.09
Cory Vance , Rockies , 2002 , 1 , 3.0 , 3.0 , 0.0 , 0 , 0 , 0.0 , 0.22 , 0.22
Jason Jennings , Rockies , 2003 , 32 , 181.34 , 5.11 , 0.29 , 12 , 13 , 9.34 , 13.19 , 2.85
Aaron Cook , Rockies , 2003 , 16 , 86.99 , 6.0 , 0.23 , 3 , 6 , 3.71 , 7.33 , 0.62
Nelson Cruz , Rockies , 2003 , 7 , 36.34 , 6.93 , 0.25 , 3 , 3 , 1.76 , 3.3 , 1.54
Shawn Chacon , Rockies , 2003 , 23 , 137.0 , 4.53 , 0.4 , 11 , 8 , 9.09 , 7.98 , 1.89
Darren Oliver , Rockies , 2003 , 32 , 177.67 , 5.07 , 0.29 , 13 , 11 , 9.22 , 12.4 , 5.19
Jason Young , Rockies , 2003 , 3 , 12.0 , 9.75 , 0.13 , 0 , 2 , 0.4 , 1.68 , -0.72
Scott Elarton , Rockies , 2003 , 10 , 50.67 , 6.39 , 0.21 , 4 , 4 , 2.06 , 4.5 , 2.44
Todd Jones , Rockies , 2003 , 1 , 4.33 , 10.39 , 0.0 , 0 , 1 , 0.0 , 0.73 , -0.27
Denny Neagle , Rockies , 2003 , 7 , 35.33 , 7.9 , 0.17 , 2 , 4 , 1.16 , 3.86 , 0.7
Denny Stark , Rockies , 2003 , 13 , 71.0 , 6.08 , 0.24 , 3 , 3 , 3.17 , 5.81 , 2.65
Chin-hui Tsao , Rockies , 2003 , 8 , 42.33 , 6.17 , 0.19 , 3 , 3 , 1.5 , 3.73 , 2.23
Jose Jimenez , Rockies , 2003 , 7 , 39.67 , 4.31 , 0.33 , 1 , 4 , 2.3 , 2.31 , -2.99
Cory Vance , Rockies , 2003 , 3 , 16.0 , 6.19 , 0.22 , 0 , 3 , 0.67 , 1.35 , -2.33
Shawn Estes , Rockies , 2004 , 34 , 201.99 , 5.84 , 0.27 , 15 , 8 , 9.33 , 15.71 , 13.38
Jason Jennings , Rockies , 2004 , 33 , 201.01 , 5.51 , 0.29 , 11 , 12 , 9.72 , 14.43 , 3.72
Joe Kennedy , Rockies , 2004 , 27 , 162.33 , 3.66 , 0.36 , 9 , 7 , 9.62 , 8.48 , 0.86
Scott Elarton , Rockies , 2004 , 8 , 41.33 , 9.8 , 0.11 , 0 , 6 , 0.86 , 5.22 , -1.64
Denny Stark , Rockies , 2004 , 6 , 26.0 , 11.42 , 0.1 , 0 , 5 , 0.61 , 3.96 , -1.66
Jeff Fassero , Rockies , 2004 , 12 , 68.68 , 6.29 , 0.29 , 3 , 5 , 3.47 , 5.4 , -0.07
Jason Young , Rockies , 2004 , 2 , 8.33 , 12.97 , 0.04 , 0 , 1 , 0.08 , 1.48 , 0.4
Aaron Cook , Rockies , 2004 , 16 , 96.65 , 4.28 , 0.35 , 6 , 4 , 5.66 , 5.69 , 2.03
Adam Bernero , Rockies , 2004 , 2 , 10.0 , 9.0 , 0.07 , 0 , 1 , 0.13 , 1.35 , 0.22
Jamey Wright , Rockies , 2004 , 14 , 78.66 , 4.12 , 0.35 , 2 , 3 , 4.87 , 4.55 , -1.32
Jeff Francis , Rockies , 2004 , 7 , 36.66 , 5.16 , 0.34 , 3 , 2 , 2.38 , 2.55 , 1.17
Christopher Gissell , Rockies , 2004 , 1 , 4.0 , 11.25 , 0.0 , 0 , 1 , 0.0 , 0.73 , -0.27
Joe Kennedy , Rockies , 2005 , 16 , 91.99 , 7.04 , 0.2 , 4 , 8 , 3.16 , 8.65 , 1.49
Jason Jennings , Rockies , 2005 , 20 , 122.0 , 5.02 , 0.32 , 6 , 9 , 6.36 , 8.32 , -1.05
Jeff Francis , Rockies , 2005 , 33 , 183.67 , 5.68 , 0.28 , 14 , 12 , 9.3 , 14.2 , 6.9
Jamey Wright , Rockies , 2005 , 27 , 160.97 , 5.59 , 0.29 , 7 , 16 , 7.96 , 11.78 , -5.19
Shawn Chacon , Rockies , 2005 , 12 , 71.67 , 4.14 , 0.32 , 1 , 7 , 3.79 , 4.18 , -5.61
Byung-Hyun Kim , Rockies , 2005 , 22 , 125.68 , 4.37 , 0.33 , 5 , 9 , 7.28 , 7.65 , -3.63
Jose Acevedo , Rockies , 2005 , 5 , 23.33 , 9.26 , 0.17 , 1 , 3 , 0.85 , 2.83 , -0.02
Aaron Cook , Rockies , 2005 , 13 , 83.33 , 3.67 , 0.42 , 7 , 2 , 5.43 , 3.87 , 3.43
Sun-Woo Kim , Rockies , 2005 , 8 , 45.0 , 4.6 , 0.33 , 4 , 1 , 2.61 , 2.88 , 3.27
Zach Day , Rockies , 2005 , 3 , 10.33 , 6.1 , 0.15 , 0 , 1 , 0.46 , 0.89 , -0.57
Michael Esposito , Rockies , 2005 , 3 , 14.66 , 6.75 , 0.17 , 0 , 2 , 0.5 , 1.46 , -1.04
Jason Jennings , Rockies , 2006 , 32 , 212.0 , 3.78 , 0.41 , 9 , 13 , 13.17 , 10.78 , -6.39
Aaron Cook , Rockies , 2006 , 32 , 212.67 , 4.23 , 0.33 , 9 , 15 , 10.68 , 12.55 , -4.13
Jeff Francis , Rockies , 2006 , 32 , 199.01 , 4.16 , 0.37 , 13 , 11 , 11.9 , 11.21 , 1.3
Josh Fogg , Rockies , 2006 , 31 , 171.99 , 5.49 , 0.28 , 11 , 9 , 8.68 , 12.74 , 6.06
Zach Day , Rockies , 2006 , 3 , 13.34 , 10.79 , 0.11 , 1 , 2 , 0.34 , 1.97 , 0.63
Miguel Asencio , Rockies , 2006 , 1 , 3.67 , 4.9 , 0.0 , 0 , 0 , 0.0 , 0.4 , 0.4
Byung-Hyun Kim , Rockies , 2006 , 27 , 155.01 , 5.57 , 0.29 , 8 , 12 , 7.74 , 12.01 , 0.27
Denny Bautista , Rockies , 2006 , 1 , 1.67 , 5.39 , 0.0 , 0 , 1 , 0.0 , 0.34 , -0.66
Justin Hampson , Rockies , 2006 , 1 , 5.0 , 10.8 , 0.08 , 1 , 0 , 0.08 , 0.7 , 1.62
