Name, Team, Year, Games Started, IP, ERA, EWA, Record, Earned Record, Support/Luck
Wally Bunker , Royals , 1969 , 31 , 217.0 , 3.32 , 0.46 , 11 , 11 , 14.11 , 9.24 , -4.87
Roger Nelson , Royals , 1969 , 29 , 193.35 , 3.3 , 0.44 , 7 , 13 , 12.64 , 8.67 , -9.98
Dave Morehead , Royals , 1969 , 2 , 6.66 , 10.81 , 0.0 , 0 , 2 , 0.0 , 1.25 , -0.75
Steve Jones , Royals , 1969 , 4 , 24.33 , 4.81 , 0.36 , 2 , 2 , 1.43 , 1.69 , 0.27
Bill Butler , Royals , 1969 , 29 , 180.67 , 4.13 , 0.33 , 9 , 10 , 9.64 , 10.76 , 0.12
Mike Hedlund , Royals , 1969 , 16 , 93.01 , 3.77 , 0.28 , 3 , 6 , 4.52 , 5.58 , -1.94
Jim Rooker , Royals , 1969 , 22 , 146.01 , 3.82 , 0.37 , 4 , 15 , 8.14 , 8.14 , -11.0
Dick Drago , Royals , 1969 , 26 , 177.65 , 3.7 , 0.43 , 11 , 12 , 11.14 , 8.94 , -3.2
Chris Zachary , Royals , 1969 , 2 , 6.0 , 16.5 , 0.0 , 0 , 1 , 0.0 , 1.48 , 0.48
Jerry Cram , Royals , 1969 , 2 , 11.0 , 3.27 , 0.29 , 0 , 1 , 0.59 , 0.61 , -0.98
Wally Bunker , Royals , 1970 , 15 , 102.32 , 4.05 , 0.37 , 2 , 10 , 5.54 , 5.79 , -7.76
Dick Drago , Royals , 1970 , 34 , 239.32 , 3.76 , 0.41 , 9 , 15 , 13.84 , 12.4 , -7.44
Bill Butler , Royals , 1970 , 25 , 140.64 , 3.78 , 0.28 , 4 , 12 , 6.97 , 8.68 , -6.29
Roger Nelson , Royals , 1970 , 2 , 7.0 , 11.57 , 0.0 , 0 , 2 , 0.0 , 1.26 , -0.74
Dave Morehead , Royals , 1970 , 17 , 88.0 , 3.58 , 0.33 , 3 , 4 , 5.54 , 4.78 , -1.76
Bob Johnson , Royals , 1970 , 26 , 191.34 , 2.96 , 0.52 , 8 , 12 , 13.5 , 7.12 , -10.38
Jim Rooker , Royals , 1970 , 29 , 178.67 , 3.53 , 0.36 , 9 , 14 , 10.3 , 9.86 , -5.44
Al Fitzmorris , Royals , 1970 , 11 , 52.33 , 6.36 , 0.26 , 4 , 3 , 2.84 , 4.48 , 2.63
Don O'Riley , Royals , 1970 , 2 , 9.66 , 5.59 , 0.13 , 0 , 0 , 0.25 , 0.86 , 0.61
Paul Splittorff , Royals , 1970 , 1 , 7.0 , 3.86 , 0.34 , 0 , 1 , 0.34 , 0.37 , -0.97
Dick Drago , Royals , 1971 , 34 , 241.0 , 2.76 , 0.51 , 17 , 11 , 17.36 , 9.21 , -2.15
Wally Bunker , Royals , 1971 , 6 , 31.33 , 5.17 , 0.25 , 2 , 3 , 1.53 , 2.38 , -0.15
Mike Hedlund , Royals , 1971 , 30 , 201.66 , 2.77 , 0.49 , 15 , 8 , 14.64 , 7.45 , -0.2
Jim Rooker , Royals , 1971 , 7 , 32.32 , 6.68 , 0.24 , 1 , 6 , 1.65 , 3.4 , -3.24
Bruce Dal Canton , Royals , 1971 , 22 , 138.66 , 3.5 , 0.37 , 8 , 6 , 8.13 , 7.14 , 1.01
Al Fitzmorris , Royals , 1971 , 15 , 93.0 , 4.45 , 0.32 , 7 , 5 , 4.78 , 5.92 , 3.14
Ken Wright , Royals , 1971 , 12 , 62.32 , 3.61 , 0.31 , 3 , 6 , 3.74 , 4.28 , -2.46
Mike McCormick , Royals , 1971 , 1 , 5.33 , 5.07 , 0.25 , 0 , 0 , 0.25 , 0.36 , 0.11
Paul Splittorff , Royals , 1971 , 22 , 144.35 , 2.68 , 0.48 , 8 , 9 , 10.62 , 5.62 , -6.0
Bill Butler , Royals , 1971 , 6 , 28.34 , 4.76 , 0.18 , 1 , 2 , 1.08 , 2.46 , 0.38
Roger Nelson , Royals , 1971 , 1 , 3.0 , 9.0 , 0.0 , 0 , 0 , 0.0 , 0.47 , 0.47
