Name, Team, Year, Games Started, IP, ERA, EWA, Record, Earned Record, Support/Luck
Chuck Stobbs , Twins , 1957 , 31 , 184.68 , 5.65 , 0.28 , 7 , 18 , 8.72 , 14.51 , -5.2
Ted Abernathy , Twins , 1957 , 16 , 71.33 , 6.94 , 0.17 , 1 , 10 , 2.68 , 7.66 , -4.02
Camilo Pascual , Twins , 1957 , 26 , 167.34 , 4.14 , 0.36 , 8 , 14 , 9.35 , 9.86 , -5.49
Bob Chakales , Twins , 1957 , 1 , 4.33 , 8.31 , 0.0 , 0 , 0 , 0.0 , 0.6 , 0.6
Evelio Hernandez , Twins , 1957 , 2 , 7.0 , 2.57 , 0.26 , 0 , 0 , 0.53 , 0.21 , -0.32
Pedro Ramos , Twins , 1957 , 30 , 195.34 , 4.98 , 0.33 , 8 , 14 , 9.89 , 12.92 , -2.97
Garland Shifflett , Twins , 1957 , 1 , 2.0 , 13.5 , 0.0 , 0 , 0 , 0.0 , 0.56 , 0.56
Russ Kemmerer , Twins , 1957 , 26 , 149.33 , 4.88 , 0.29 , 6 , 11 , 7.59 , 10.35 , -2.24
Tex Clevenger , Twins , 1957 , 9 , 61.66 , 3.5 , 0.38 , 2 , 2 , 3.41 , 3.12 , -0.29
Jim Heise , Twins , 1957 , 2 , 8.33 , 9.72 , 0.04 , 0 , 2 , 0.08 , 1.29 , -0.79
Dick Hyde , Twins , 1957 , 2 , 13.0 , 4.15 , 0.32 , 0 , 0 , 0.63 , 0.73 , 0.1
Ralph Lumenti , Twins , 1957 , 2 , 8.33 , 7.56 , 0.23 , 0 , 1 , 0.46 , 0.95 , -0.51
Bob Wiesler , Twins , 1957 , 2 , 15.33 , 4.7 , 0.48 , 1 , 1 , 0.97 , 0.86 , -0.11
Hal Griggs , Twins , 1957 , 2 , 13.67 , 3.29 , 0.39 , 0 , 1 , 0.78 , 0.65 , -1.13
Don Minnick , Twins , 1957 , 1 , 7.33 , 6.14 , 0.18 , 0 , 1 , 0.18 , 0.64 , -0.54
Pedro Ramos , Twins , 1958 , 37 , 246.67 , 4.45 , 0.37 , 13 , 18 , 13.87 , 15.59 , -3.28
Camilo Pascual , Twins , 1958 , 27 , 172.66 , 3.23 , 0.34 , 8 , 12 , 9.27 , 8.58 , -4.7
