Name, Team, Year, Games Started, IP, ERA, EWA, Record, Earned Record, Support/Luck
Billy Pierce , White_Sox , 1957 , 34 , 253.67 , 3.16 , 0.46 , 20 , 11 , 15.62 , 10.6 , 3.98
Jack Harshman , White_Sox , 1957 , 26 , 138.99 , 4.21 , 0.3 , 8 , 6 , 7.89 , 9.35 , 3.45
Dick Donovan , White_Sox , 1957 , 28 , 220.66 , 2.81 , 0.57 , 16 , 6 , 15.96 , 7.7 , 1.74
Jim Wilson , White_Sox , 1957 , 29 , 201.33 , 3.35 , 0.45 , 15 , 7 , 13.04 , 9.52 , 4.48
Bob Keegan , White_Sox , 1957 , 20 , 120.35 , 3.59 , 0.39 , 8 , 6 , 7.82 , 6.8 , 0.98
Bill Fischer , White_Sox , 1957 , 11 , 69.0 , 3.13 , 0.39 , 4 , 4 , 4.31 , 3.3 , -1.01
Jim Derrington , White_Sox , 1957 , 5 , 13.66 , 10.54 , 0.09 , 0 , 1 , 0.46 , 2.76 , 1.31
Barry Latman , White_Sox , 1957 , 2 , 4.33 , 16.63 , 0.0 , 0 , 1 , 0.0 , 1.27 , 0.27
Billy Pierce , White_Sox , 1958 , 32 , 242.34 , 2.67 , 0.57 , 17 , 11 , 18.29 , 8.64 , -3.65
Dick Donovan , White_Sox , 1958 , 34 , 248.0 , 3.01 , 0.52 , 15 , 14 , 17.52 , 10.07 , -6.45
Early Wynn , White_Sox , 1958 , 34 , 232.01 , 4.15 , 0.44 , 13 , 14 , 14.87 , 12.55 , -3.32
Jim Wilson , White_Sox , 1958 , 23 , 140.01 , 4.24 , 0.32 , 8 , 7 , 7.35 , 9.02 , 2.67
Bill Fischer , White_Sox , 1958 , 3 , 7.67 , 16.43 , 0.0 , 0 , 2 , 0.0 , 2.04 , 0.04
Ray Moore , White_Sox , 1958 , 20 , 111.33 , 4.2 , 0.34 , 8 , 6 , 6.8 , 6.97 , 2.17
Bob Keegan , White_Sox , 1958 , 2 , 8.67 , 5.19 , 0.18 , 0 , 0 , 0.35 , 0.74 , 0.39
Bob Shaw , White_Sox , 1958 , 3 , 8.0 , 11.25 , 0.0 , 0 , 1 , 0.0 , 1.5 , 0.5
Barry Latman , White_Sox , 1958 , 3 , 18.33 , 0.98 , 0.49 , 2 , 0 , 1.48 , 0.34 , 0.86
Stover McIlwain , White_Sox , 1958 , 1 , 4.0 , 2.25 , 0.0 , 0 , 0 , 0.0 , 0.25 , 0.25
Billy Pierce , White_Sox , 1959 , 33 , 222.99 , 3.63 , 0.38 , 14 , 15 , 12.56 , 11.52 , -2.04
Early Wynn , White_Sox , 1959 , 37 , 255.67 , 3.17 , 0.47 , 22 , 10 , 17.43 , 11.52 , 6.08
Dick Donovan , White_Sox , 1959 , 29 , 173.32 , 3.79 , 0.34 , 9 , 10 , 9.9 , 10.24 , -0.67
Barry Latman , White_Sox , 1959 , 21 , 118.33 , 4.03 , 0.35 , 8 , 5 , 7.3 , 7.45 , 3.15
Ray Moore , White_Sox , 1959 , 8 , 48.67 , 4.07 , 0.34 , 1 , 5 , 2.75 , 2.92 , -3.82
Bob Shaw , White_Sox , 1959 , 26 , 187.31 , 2.93 , 0.47 , 15 , 6 , 12.33 , 7.55 , 4.21
Ken McBride , White_Sox , 1959 , 2 , 11.33 , 2.38 , 0.29 , 0 , 1 , 0.59 , 0.49 , -1.1
Early Wynn , White_Sox , 1960 , 34 , 227.33 , 3.44 , 0.44 , 12 , 12 , 15.02 , 11.16 , -3.86
Bob Shaw , White_Sox , 1960 , 32 , 186.99 , 3.99 , 0.33 , 12 , 12 , 10.6 , 11.76 , 1.16
Dick Donovan , White_Sox , 1960 , 8 , 32.68 , 6.61 , 0.15 , 1 , 1 , 1.24 , 3.54 , 2.3
Billy Pierce , White_Sox , 1960 , 31 , 194.33 , 3.66 , 0.39 , 13 , 7 , 11.94 , 9.82 , 3.88
Herb Score , White_Sox , 1960 , 22 , 111.67 , 3.63 , 0.35 , 5 , 10 , 7.63 , 6.99 , -5.65
Frank Baumann , White_Sox , 1960 , 20 , 134.67 , 2.74 , 0.48 , 7 , 3 , 9.61 , 5.03 , -0.58
Russ Kemmerer , White_Sox , 1960 , 7 , 38.33 , 3.76 , 0.29 , 2 , 1 , 2.03 , 2.3 , 1.28
Early Wynn , White_Sox , 1961 , 16 , 108.33 , 3.49 , 0.44 , 8 , 2 , 7.02 , 5.5 , 4.48
Frank Baumann , White_Sox , 1961 , 23 , 130.0 , 5.82 , 0.24 , 6 , 9 , 5.57 , 11.28 , 2.71
Cal McLish , White_Sox , 1961 , 27 , 156.33 , 4.55 , 0.31 , 10 , 13 , 8.32 , 10.78 , -0.54
Billy Pierce , White_Sox , 1961 , 28 , 158.0 , 3.99 , 0.31 , 7 , 9 , 8.81 , 9.82 , -0.99
Bob Shaw , White_Sox , 1961 , 10 , 66.67 , 3.64 , 0.38 , 3 , 4 , 3.76 , 3.65 , -1.1
Herb Score , White_Sox , 1961 , 5 , 20.66 , 6.1 , 0.21 , 1 , 2 , 1.04 , 2.17 , 0.12
Russ Kemmerer , White_Sox , 1961 , 2 , 8.67 , 7.27 , 0.21 , 0 , 0 , 0.42 , 0.88 , 0.45
Juan Pizarro , White_Sox , 1961 , 25 , 179.01 , 2.92 , 0.56 , 14 , 7 , 13.95 , 6.63 , -0.31
