Name, Team, Year, IP, ER, Decision, Earned Wins, Earned Losses
Ken McBride , Angels , 1964 , 6.33 , 0 , W , 0.66 , 0.04
Barry Latman , Angels , 1964 , 1.33 , 6 , L , 0.0 , 0.85
Dean Chance , Angels , 1964 , 5.67 , 2 , W , 0.42 , 0.19
Ken McBride , Angels , 1964 , 6.0 , 3 , L , 0.29 , 0.36
Dean Chance , Angels , 1964 , 0.33 , 1 , N , 0.0 , 0.18
Bo Belinsky , Angels , 1964 , 8.0 , 1 , N , 0.64 , 0.15
Ken McBride , Angels , 1964 , 8.33 , 3 , L , 0.36 , 0.45
Barry Latman , Angels , 1964 , 8.0 , 2 , N , 0.49 , 0.3
Bob Lee , Angels , 1964 , 10.0 , 1 , N , 0.46 , 0.05
Fred Newman , Angels , 1964 , 9.0 , 0 , W , 0.96 , 0.01
Ken McBride , Angels , 1964 , 4.33 , 5 , L , 0.0 , 0.73
Barry Latman , Angels , 1964 , 4.33 , 1 , N , 0.0 , 0.25
Bob Lee , Angels , 1964 , 7.0 , 1 , W , 0.59 , 0.11
Bo Belinsky , Angels , 1964 , 5.33 , 3 , L , 0.25 , 0.36
Ken McBride , Angels , 1964 , 4.67 , 2 , L , 0.0 , 0.4
Fred Newman , Angels , 1964 , 3.33 , 2 , N , 0.0 , 0.39
Bob Lee , Angels , 1964 , 3.67 , 2 , N , 0.0 , 0.4
Barry Latman , Angels , 1964 , 5.0 , 1 , W , 0.47 , 0.13
Don Lee , Angels , 1964 , 1.67 , 3 , N , 0.0 , 0.58
Fred Newman , Angels , 1964 , 5.33 , 3 , L , 0.25 , 0.36
Ken McBride , Angels , 1964 , 6.33 , 3 , L , 0.29 , 0.36
Bo Belinsky , Angels , 1964 , 5.0 , 3 , W , 0.25 , 0.36
Bob Lee , Angels , 1964 , 2.0 , 3 , N , 0.0 , 0.56
Fred Newman , Angels , 1964 , 7.0 , 3 , W , 0.34 , 0.37
Ken McBride , Angels , 1964 , 8.67 , 6 , L , 0.53 , 0.2
Barry Latman , Angels , 1964 , 9.0 , 0 , W , 0.96 , 0.01
Bo Belinsky , Angels , 1964 , 5.0 , 2 , L , 0.35 , 0.24
Dean Chance , Angels , 1964 , 6.0 , 2 , L , 0.4 , 0.23
Bob Lee , Angels , 1964 , 4.0 , 0 , L , 0.0 , 0.12
Fred Newman , Angels , 1964 , 5.67 , 3 , L , 0.29 , 0.35
Ken McBride , Angels , 1964 , 3.0 , 4 , N , 0.0 , 0.62
Bo Belinsky , Angels , 1964 , 8.67 , 2 , N , 0.68 , 0.18
Dean Chance , Angels , 1964 , 3.0 , 2 , N , 0.0 , 0.39
Barry Latman , Angels , 1964 , 1.33 , 2 , N , 0.0 , 0.54
Ken McBride , Angels , 1964 , 3.0 , 1 , L , 0.0 , 0.22
Bo Belinsky , Angels , 1964 , 3.0 , 5 , N , 0.0 , 0.69
Dean Chance , Angels , 1964 , 9.0 , 0 , W , 0.96 , 0.01
Fred Newman , Angels , 1964 , 5.33 , 5 , N , 0.1 , 0.62
Barry Latman , Angels , 1964 , 3.0 , 4 , L , 0.0 , 0.62
Ken McBride , Angels , 1964 , 8.0 , 1 , L , 0.64 , 0.15
Bo Belinsky , Angels , 1964 , 9.0 , 1 , W , 0.89 , 0.05
Willie Smith , Angels , 1964 , 5.67 , 1 , N , 0.51 , 0.12
Dean Chance , Angels , 1964 , 2.0 , 3 , L , 0.0 , 0.56
Ken McBride , Angels , 1964 , 5.0 , 3 , L , 0.25 , 0.36
Bo Belinsky , Angels , 1964 , 8.0 , 2 , L , 0.49 , 0.3
Barry Latman , Angels , 1964 , 9.0 , 2 , L , 0.8 , 0.13
Dean Chance , Angels , 1964 , 9.0 , 0 , W , 0.96 , 0.01
Fred Newman , Angels , 1964 , 8.33 , 0 , W , 0.76 , 0.04
Ken McBride , Angels , 1964 , 4.0 , 3 , N , 0.0 , 0.5
Bo Belinsky , Angels , 1964 , 6.0 , 2 , W , 0.4 , 0.23
Dean Chance , Angels , 1964 , 14.0 , 0 , N , 0.37 , 0.03
Ken McBride , Angels , 1964 , 7.0 , 5 , L , 0.18 , 0.64
Barry Latman , Angels , 1964 , 6.0 , 2 , N , 0.4 , 0.23
Fred Newman , Angels , 1964 , 9.0 , 1 , W , 0.89 , 0.05
Bo Belinsky , Angels , 1964 , 1.0 , 0 , N , 0.0 , 0.03
